Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
1980-12-12,0.0983,0.0987,0.0983,0.0983,469033600,0.0983,,
1980-12-15,0.0936,0.0936,0.0932,0.0932,175884800,0.0957,0.103,0.0885
1980-12-16,0.0868,0.0868,0.0863,0.0863,105728000,0.0926,0.1046,0.0806
1980-12-17,0.0885,0.0889,0.0885,0.0885,86441600,0.0916,0.1022,0.0809
1980-12-18,0.091,0.0915,0.091,0.091,73449600,0.0915,0.1007,0.0822
1980-12-19,0.0966,0.097,0.0966,0.0966,48630400,0.0923,0.1016,0.0831
1980-12-22,0.1013,0.1017,0.1013,0.1013,37363200,0.0936,0.1044,0.0828
1980-12-23,0.1056,0.106,0.1056,0.1056,46950400,0.0951,0.1082,0.082
1980-12-24,0.1111,0.1115,0.1111,0.1111,48003200,0.0969,0.1131,0.0806
1980-12-26,0.1214,0.1218,0.1214,0.1214,55574400,0.0993,0.1211,0.0775
1980-12-29,0.1231,0.1235,0.1231,0.1231,93161600,0.1015,0.1266,0.0763
1980-12-30,0.1205,0.1205,0.1201,0.1201,68880000,0.103,0.1293,0.0767
1980-12-31,0.1171,0.1171,0.1167,0.1167,35750400,0.1041,0.1304,0.0778
1981-01-02,0.118,0.1188,0.118,0.118,21660800,0.1051,0.1314,0.0788
1981-01-05,0.1158,0.1158,0.1154,0.1154,35728000,0.1058,0.1317,0.0798
1981-01-06,0.1107,0.1107,0.1103,0.1103,45158400,0.106,0.1312,0.0809
1981-01-07,0.106,0.106,0.1056,0.1056,55686400,0.106,0.1304,0.0817
1981-01-08,0.1039,0.1039,0.1034,0.1034,39827200,0.1059,0.1295,0.0822
1981-01-09,0.109,0.1094,0.109,0.109,21504000,0.106,0.1291,0.083
1981-01-12,0.109,0.109,0.1081,0.1081,23699200,0.1061,0.1286,0.0837
1981-01-13,0.1047,0.1047,0.1043,0.1043,23049600,0.1064,0.1286,0.0843
1981-01-14,0.1047,0.1051,0.1047,0.1047,14291200,0.107,0.1283,0.0857
1981-01-15,0.1068,0.1077,0.1068,0.1068,14067200,0.108,0.127,0.0891
1981-01-16,0.1064,0.1064,0.106,0.106,13395200,0.1089,0.1255,0.0923
1981-01-19,0.1124,0.1128,0.1124,0.1124,41574400,0.11,0.1243,0.0957
1981-01-20,0.1094,0.1094,0.109,0.109,30083200,0.1106,0.1235,0.0977
1981-01-21,0.1111,0.112,0.1111,0.1111,15904000,0.1111,0.1232,0.099
1981-01-22,0.1124,0.1133,0.1124,0.1124,35548800,0.1114,0.1233,0.0996
1981-01-23,0.1124,0.1128,0.112,0.112,11222400,0.1115,0.1233,0.0996
1981-01-26,0.1107,0.1107,0.1103,0.1103,24640000,0.1109,0.1218,0.1
1981-01-27,0.1103,0.1103,0.1094,0.1094,23699200,0.1102,0.1195,0.101
1981-01-28,0.1064,0.1064,0.106,0.106,28156800,0.1095,0.1178,0.1013
1981-01-29,0.1026,0.1026,0.1021,0.1021,43904000,0.1088,0.1169,0.1007
1981-01-30,0.0974,0.0974,0.0966,0.0966,46188800,0.1077,0.1164,0.0991
1981-02-02,0.0915,0.0915,0.091,0.091,23766400,0.1065,0.1173,0.0958
1981-02-03,0.0945,0.0949,0.0945,0.0945,19152000,0.1057,0.1176,0.0939
1981-02-04,0.0979,0.0983,0.0979,0.0979,27865600,0.1053,0.1177,0.093
1981-02-05,0.0979,0.0987,0.0979,0.0979,7929600,0.1051,0.1179,0.0923
1981-02-06,0.0983,0.0987,0.0983,0.0983,13865600,0.1045,0.1175,0.0915
1981-02-09,0.094,0.094,0.0932,0.0932,16755200,0.1038,0.1176,0.09
1981-02-10,0.0932,0.0936,0.0932,0.0932,18345600,0.1032,0.1178,0.0886
1981-02-11,0.0906,0.0906,0.0902,0.0902,13843200,0.1025,0.1182,0.0868
1981-02-12,0.0898,0.0898,0.0893,0.0893,14560000,0.1016,0.1182,0.085
1981-02-13,0.088,0.088,0.0872,0.0872,11155200,0.1007,0.1184,0.083
1981-02-17,0.0893,0.0898,0.0893,0.0893,12275200,0.0995,0.117,0.0821
1981-02-18,0.0932,0.094,0.0932,0.0932,19241600,0.0987,0.1158,0.0817
1981-02-19,0.088,0.088,0.0876,0.0876,22310400,0.0976,0.1143,0.0808
1981-02-20,0.0833,0.0833,0.0829,0.0829,24371200,0.0961,0.1125,0.0797
1981-02-23,0.0842,0.0846,0.0842,0.0842,14112000,0.0947,0.1102,0.0793
1981-02-24,0.0821,0.0821,0.0812,0.0812,16979200,0.0933,0.108,0.0785
1981-02-25,0.0863,0.0868,0.0863,0.0863,19488000,0.0921,0.105,0.0792
1981-02-26,0.0876,0.088,0.0876,0.0876,10841600,0.0912,0.1024,0.0799
1981-02-27,0.0906,0.0915,0.0906,0.0906,14761600,0.0906,0.1006,0.0806
1981-03-02,0.091,0.0915,0.091,0.091,11760000,0.0903,0.0999,0.0807
1981-03-03,0.0902,0.0902,0.0898,0.0898,16172800,0.0903,0.0999,0.0807
1981-03-04,0.0893,0.0893,0.0889,0.0889,13708800,0.09,0.0994,0.0806
1981-03-05,0.0889,0.0889,0.0885,0.0885,5376000,0.0895,0.0982,0.0809
1981-03-06,0.0885,0.0885,0.0876,0.0876,11603200,0.089,0.0967,0.0813
1981-03-09,0.0812,0.0812,0.0808,0.0808,15321600,0.0881,0.0954,0.0809
1981-03-10,0.0774,0.0774,0.0769,0.0769,28380800,0.0873,0.0957,0.0789
1981-03-11,0.0748,0.0748,0.0739,0.0739,29859200,0.0864,0.0962,0.0765
1981-03-12,0.0769,0.0774,0.0769,0.0769,59248000,0.0857,0.0962,0.0751
1981-03-13,0.0765,0.0765,0.0761,0.0761,231302400,0.085,0.0963,0.0738
1981-03-16,0.0791,0.0799,0.0791,0.0791,37228800,0.0846,0.0961,0.0731
1981-03-17,0.0829,0.0838,0.0829,0.0829,43747200,0.0843,0.0956,0.073
1981-03-18,0.088,0.0889,0.088,0.088,36937600,0.084,0.0947,0.0734
1981-03-19,0.0876,0.0876,0.0872,0.0872,37811200,0.084,0.0947,0.0734
1981-03-20,0.088,0.0889,0.088,0.088,14604800,0.0843,0.095,0.0735
1981-03-23,0.0915,0.0923,0.0915,0.0915,22019200,0.0846,0.0959,0.0734
1981-03-24,0.0915,0.0915,0.091,0.091,28156800,0.0851,0.0966,0.0737
1981-03-25,0.0902,0.0902,0.0893,0.0893,7056000,0.0853,0.0969,0.0737
1981-03-26,0.088,0.088,0.0876,0.0876,12275200,0.0853,0.0969,0.0737
1981-03-27,0.085,0.085,0.0846,0.0846,12252800,0.085,0.0963,0.0737
1981-03-30,0.0846,0.0855,0.0846,0.0846,9900800,0.0847,0.0956,0.0737
1981-03-31,0.0846,0.0846,0.0838,0.0838,15993600,0.0844,0.0951,0.0737
1981-04-01,0.0833,0.0833,0.0829,0.0829,34070400,0.0841,0.0946,0.0736
1981-04-02,0.0902,0.0906,0.0902,0.0902,31404800,0.0842,0.0948,0.0735
1981-04-03,0.0906,0.091,0.0906,0.0906,16486400,0.0843,0.0953,0.0733
1981-04-06,0.0893,0.0893,0.0889,0.0889,22803200,0.0847,0.0957,0.0737
1981-04-07,0.0885,0.0885,0.088,0.088,10684800,0.0853,0.0957,0.0748
1981-04-08,0.0923,0.0932,0.0923,0.0923,21952000,0.0862,0.0956,0.0767
1981-04-09,0.094,0.0945,0.094,0.094,12499200,0.087,0.0961,0.078
1981-04-10,0.0953,0.0957,0.0953,0.0953,33465600,0.088,0.0962,0.0798
1981-04-13,0.0953,0.0957,0.0953,0.0953,16060800,0.0888,0.0964,0.0812
1981-04-14,0.0953,0.0957,0.0953,0.0953,6652800,0.0894,0.0971,0.0818
1981-04-15,0.091,0.091,0.0906,0.0906,34048000,0.0896,0.0972,0.0819
1981-04-16,0.0859,0.0859,0.0855,0.0855,23878400,0.0895,0.0972,0.0817
1981-04-20,0.088,0.0885,0.088,0.088,35347200,0.0895,0.0972,0.0817
1981-04-21,0.094,0.0945,0.094,0.094,28537600,0.0896,0.0976,0.0816
1981-04-22,0.0974,0.0979,0.0974,0.0974,18995200,0.0899,0.0986,0.0812
1981-04-23,0.1,0.1004,0.1,0.1,58016000,0.0905,0.1003,0.0807
1981-04-24,0.1,0.1,0.0992,0.0992,35056000,0.091,0.1015,0.0806
1981-04-27,0.0987,0.0987,0.0983,0.0983,38528000,0.0917,0.1022,0.0813
1981-04-28,0.097,0.097,0.0966,0.0966,32188800,0.0923,0.1024,0.0822
1981-04-29,0.0957,0.0957,0.0953,0.0953,13641600,0.0929,0.1022,0.0835
1981-04-30,0.097,0.0979,0.097,0.097,12611200,0.0936,0.1018,0.0854
1981-05-01,0.097,0.0979,0.097,0.097,16553600,0.0939,0.1021,0.0857
1981-05-04,0.097,0.097,0.0966,0.0966,14448000,0.0942,0.1024,0.0861
1981-05-05,0.0966,0.0966,0.0962,0.0962,17539200,0.0946,0.1024,0.0868
1981-05-06,0.094,0.094,0.0936,0.0936,18950400,0.0949,0.102,0.0877
1981-05-07,0.0949,0.0953,0.0949,0.0949,9363200,0.095,0.1021,0.088
1981-05-08,0.0957,0.0962,0.0957,0.0957,7907200,0.0951,0.1021,0.088
1981-05-11,0.094,0.094,0.0936,0.0936,11939200,0.095,0.1021,0.0879
1981-05-12,0.0936,0.0949,0.0936,0.0936,4256000,0.0949,0.102,0.0878
1981-05-13,0.0936,0.0945,0.0932,0.0932,4905600,0.0948,0.102,0.0877
1981-05-14,0.0927,0.0927,0.0919,0.0919,4928000,0.0949,0.1019,0.0879
1981-05-15,0.094,0.0953,0.094,0.094,4905600,0.0953,0.1008,0.0898
1981-05-18,0.0957,0.0966,0.0957,0.0957,4166400,0.0957,0.0999,0.0914
1981-05-19,0.0945,0.0945,0.094,0.094,25424000,0.0957,0.0999,0.0914
1981-05-20,0.097,0.0979,0.097,0.097,13283200,0.0957,0.0999,0.0914
1981-05-21,0.1026,0.103,0.1026,0.1026,32211200,0.0958,0.1007,0.0909
1981-05-22,0.1073,0.1081,0.1073,0.1073,31427200,0.0962,0.1032,0.0892
1981-05-26,0.1073,0.1073,0.1068,0.1068,85344000,0.0966,0.105,0.0882
1981-05-27,0.1128,0.1133,0.1128,0.1128,149497600,0.0974,0.1085,0.0863
1981-05-28,0.1128,0.1133,0.1128,0.1128,73987200,0.0983,0.1113,0.0853
1981-05-29,0.1133,0.1137,0.1133,0.1133,59382400,0.0991,0.1137,0.0846
1981-06-01,0.1133,0.1137,0.1133,0.1133,51251200,0.0999,0.1158,0.0841
1981-06-02,0.1081,0.1081,0.1077,0.1077,40432000,0.1005,0.1166,0.0844
1981-06-03,0.1077,0.1086,0.1077,0.1077,39446400,0.1011,0.1174,0.0848
1981-06-04,0.1098,0.1103,0.1098,0.1098,56067200,0.1019,0.1182,0.0855
1981-06-05,0.1086,0.1086,0.1081,0.1081,57680000,0.1026,0.1188,0.0863
1981-06-08,0.1047,0.1047,0.1043,0.1043,93497600,0.103,0.1189,0.0871
1981-06-09,0.1064,0.1068,0.1064,0.1064,119593600,0.1036,0.119,0.0883
1981-06-10,0.1077,0.109,0.1077,0.1077,25222400,0.1043,0.119,0.0896
1981-06-11,0.1124,0.1128,0.1124,0.1124,38976000,0.1053,0.1194,0.0912
1981-06-12,0.1115,0.1115,0.1111,0.1111,25804800,0.1062,0.1191,0.0934
1981-06-15,0.1111,0.1111,0.1107,0.1107,143763200,0.1071,0.1187,0.0955
1981-06-16,0.109,0.109,0.1086,0.1086,37251200,0.1077,0.118,0.0974
1981-06-17,0.1073,0.1073,0.1068,0.1068,27574400,0.1084,0.1164,0.1003
1981-06-18,0.1068,0.1073,0.1064,0.1064,23049600,0.1088,0.115,0.1027
1981-06-19,0.1039,0.1039,0.1034,0.1034,27507200,0.1089,0.1149,0.1029
1981-06-22,0.1,0.1,0.0996,0.0996,10841600,0.1085,0.1158,0.1012
1981-06-23,0.1013,0.1021,0.1013,0.1013,15030400,0.1082,0.1161,0.1003
1981-06-24,0.0996,0.0996,0.0987,0.0987,23027200,0.1075,0.1162,0.0988
1981-06-25,0.1009,0.1013,0.1009,0.1009,24259200,0.1069,0.1157,0.0981
1981-06-26,0.1004,0.1004,0.0996,0.0996,23788800,0.1062,0.115,0.0974
1981-06-29,0.097,0.097,0.0962,0.0962,10595200,0.1054,0.1146,0.0961
1981-06-30,0.0893,0.0893,0.0889,0.0889,35907200,0.1044,0.1162,0.0927
1981-07-01,0.0885,0.0885,0.088,0.088,170464000,0.1034,0.1172,0.0897
1981-07-02,0.088,0.0885,0.088,0.088,30284800,0.1024,0.1173,0.0874
1981-07-06,0.0859,0.0859,0.085,0.085,16531200,0.1012,0.1178,0.0846
1981-07-07,0.0859,0.0868,0.0859,0.0859,15836800,0.1003,0.1181,0.0824
