Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen
2013-01-02,20.6136,20.8969,20.1295,20.7316,13767900
2013-01-03,20.6608,20.6608,20.1649,20.5605,16739300
2013-01-04,20.4365,20.5959,20.2181,20.3007,21372100
2013-01-07,20.159,20.9264,20.159,20.342,17897100
2013-01-08,20.2417,20.4483,19.6927,19.8993,17863300
2013-01-09,19.8403,20.041,19.8403,20.0115,18800400
2013-01-10,19.8698,20.0705,19.675,20.0705,15658100
2013-01-11,20.0645,20.2497,19.9212,20.2198,11191500
2013-01-14,20.3154,20.4588,20.19,20.3632,11584900
2013-01-15,20.1362,20.7395,20.1362,20.6678,13040200
2013-01-16,20.5902,21.2293,20.5782,21.2293,16512700
2013-01-17,21.3548,21.9222,21.3548,21.755,14424800
2013-01-18,21.761,22.2926,21.528,22.2926,17842200
2013-01-22,22.0895,22.2508,21.4623,21.755,15809700
2013-01-23,22.0477,22.6032,21.8028,22.5793,10981600
2013-01-24,22.5733,23.0094,22.2388,22.3762,11327100
2013-01-25,22.4121,22.6032,21.8864,22.4598,8934600
2013-01-28,22.4897,22.6211,21.9282,22.0357,7140100
2013-01-29,21.9282,22.3762,21.6534,22.2866,8838500
2013-01-30,21.9879,22.418,21.9879,22.0596,10841800
2013-01-31,22.0059,22.0596,21.6654,21.9163,10720700
2013-02-01,22.0059,22.2209,21.8147,22.209,9527500
2013-02-04,21.8864,22.2806,21.8326,22.2687,6348000
2013-02-05,22.3523,22.5375,22.209,22.2209,7284400
2013-02-06,22.0775,22.2687,22.0178,22.1851,5738900
2013-02-07,22.4419,22.4419,21.3846,21.755,9872500
2013-02-08,21.7251,21.755,21.4026,21.6534,13858700
2013-02-11,21.5818,21.6116,21.3548,21.4145,6032100
2013-02-12,21.3667,21.4444,21.0262,21.1576,7473800
2013-02-13,21.1576,21.2472,20.9964,21.068,4859800
2013-02-14,20.9366,21.9402,20.9127,21.8446,7570100
2013-02-15,22.0596,22.5853,22.0596,22.4479,13296300
2013-02-19,22.424,22.8959,22.1672,22.8123,8292700
2013-02-20,22.7944,23.3738,22.4658,23.0632,8096400
2013-02-21,22.9915,23.314,22.8123,23.1647,7260900
2013-02-22,23.1707,23.2065,22.7824,22.9736,4490400
2013-02-25,23.0213,23.0632,22.3225,22.3225,4665600
2013-02-26,22.4598,22.4598,22.0775,22.1552,4463000
2013-02-27,22.0835,22.0895,21.743,21.9402,12238400
2013-02-28,21.8983,22.1851,21.8028,22.0537,10321000
2013-03-01,21.982,22.7406,21.8326,22.5853,8929400
2013-03-04,22.418,22.8481,22.418,22.8421,5420800
2013-03-05,22.9676,23.0393,22.2747,22.4061,6650400
2013-03-06,22.4359,22.6152,22.3225,22.5435,5489500
2013-03-07,22.4897,22.7048,22.3643,22.3941,4442500
2013-03-08,22.4837,22.4897,22.197,22.3045,4114500
2013-03-11,22.2508,22.7884,22.1492,22.5017,4614400
2013-03-12,22.5196,22.878,22.1313,22.203,6523900
2013-03-13,22.2209,22.4539,22.1253,22.203,3710600
2013-03-14,22.3583,22.4539,22.0178,22.436,9859700
2013-03-15,22.3643,23.0213,22.2687,22.9975,12208300
2013-03-18,22.7287,22.9915,22.6928,22.7944,5178700
2013-03-19,22.8481,22.9377,22.6032,22.9138,5108400
2013-03-20,22.9974,23.4096,22.9437,23.332,7072900
2013-03-21,23.1886,23.2782,22.9855,22.9915,4736100
2013-03-22,23.0393,23.2782,22.878,23.2782,3323400
2013-03-25,23.3678,23.6067,23.2543,23.4873,6065000
2013-03-26,23.6366,24.2041,23.6366,24.0189,7249500
2013-03-27,24.0249,24.0667,23.6904,23.9831,4274800
2013-03-28,24.0488,24.3713,23.762,24.3594,7263400
2013-04-01,23.8696,24.5744,23.8696,24.5625,5740000
2013-04-02,24.6222,24.6222,24.2041,24.3176,5510700
2013-04-03,24.3415,24.7596,24.1025,24.2339,4122100
2013-04-04,24.3534,24.9567,24.2638,24.8492,20687600
2013-04-05,24.676,24.7895,24.5445,24.676,14089800
2013-04-08,24.6521,25.0105,24.5326,24.9507,16449200
2013-04-09,25.0642,26.02,24.9687,25.4167,8673900
2013-04-10,25.4764,26.1454,25.3868,26.0558,7809200
2013-04-11,26.1764,26.3512,25.9895,26.0438,6494100
2013-04-12,25.9051,26.098,25.6941,25.9774,4199800
2013-04-15,25.8448,25.9413,24.9646,24.9827,7152500
2013-04-16,25.1214,25.6398,24.7958,25.5916,6998000
2013-04-17,25.4047,25.5796,24.9707,25.465,5046200
2013-04-18,25.5434,25.7062,25.254,25.5132,5009000
2013-04-19,25.6278,25.67,25.4409,25.5554,6493200
2013-04-22,25.9232,27.0264,25.8508,26.6466,8531300
2013-04-23,26.8938,27.9247,26.7672,27.2133,9378100
2013-04-24,27.2133,27.3339,26.4899,26.719,5541300
2013-04-25,26.9782,27.0023,26.3814,26.6707,5236900
2013-04-26,27.0988,27.9187,26.9782,27.6353,10096800
2013-04-29,27.6293,27.6896,27.1591,27.2676,6024700
2013-04-30,27.1591,27.8704,27.1349,27.7619,6798600
2013-05-01,27.575,27.786,27.4605,27.4605,6398100
2013-05-02,27.5389,27.5389,26.4416,26.52,9649400
2013-05-03,26.7129,26.9903,26.4236,26.936,4641200
2013-05-06,27.0988,27.0988,26.6165,26.8817,4085700
2013-05-07,26.8275,27.1289,26.7792,27.0746,3745600
2013-05-08,27.1349,27.159,26.1583,26.2186,6973200
2013-05-09,26.1282,26.7973,26.0739,26.6707,5046900
2013-05-10,26.6526,27.1349,26.6466,27.1349,4455800
2013-05-13,27.0023,27.0023,26.6285,26.8516,3738400
2013-05-14,26.5803,27.4424,26.5803,27.3399,5760300
2013-05-15,27.563,28.2924,27.4183,27.7499,6702500
2013-05-16,27.7679,28.2744,27.7378,27.8584,4605300
2013-05-17,27.7499,28.5396,27.6413,28.4371,5244800
2013-05-20,28.407,28.419,27.774,27.8885,3537800
2013-05-21,27.8463,28.3105,27.8343,28.0573,4708800
2013-05-22,28.0091,28.9375,27.6413,28.19,5203500
2013-05-23,27.8041,28.3045,27.7438,28.0875,3306200
2013-05-24,27.8825,28.0211,27.3158,27.3942,4511700
2013-05-28,27.6655,27.7559,26.948,27.364,6181800
2013-05-29,27.0626,27.2374,26.3994,26.4537,6908400
2013-05-30,26.5682,27.2013,26.5682,26.8576,4852200
2013-05-31,26.6888,26.942,25.7303,25.7363,9308800
2013-06-03,25.8508,26.2728,25.7725,26.1402,7176800
2013-06-04,26.1764,26.8094,26.1523,26.303,4528400
2013-06-05,26.2186,26.4658,25.7363,25.9473,4801300
2013-06-06,26.0558,26.2668,25.7122,26.2246,4261300
2013-06-07,26.3572,26.6888,26.2246,26.526,5463200
2013-06-10,26.725,26.725,26.0558,26.4778,4702700
2013-06-11,26.1101,26.5562,25.9533,26.2789,3574800
2013-06-12,26.4718,26.526,25.7544,25.7845,3742600
2013-06-13,25.5735,26.0438,24.1749,26.0136,6096500
2013-06-14,25.9111,26.2246,25.6217,26.0498,4078500
2013-06-17,26.1643,26.2246,25.7303,25.9292,3457700
2013-06-18,25.9051,26.2608,25.7001,26.2487,3644900
2013-06-19,26.2608,26.4236,25.9292,25.9473,3663300
2013-06-20,25.7122,25.7905,24.6632,24.7536,7474900
2013-06-21,25.1154,25.7484,24.838,25.6941,9825700
2013-06-24,25.3625,25.5615,24.9104,25.254,6042400
2013-06-25,25.4107,25.7845,25.0852,25.7001,4686900
2013-06-26,25.9835,26.2909,25.9413,26.1523,4733700
2013-06-27,26.2608,26.514,25.7664,26.0016,5163900
2013-06-28,25.6398,25.9051,24.9104,24.9224,10753100
2013-07-01,24.9586,25.2781,24.7596,25.0852,4588200
2013-07-02,25.0671,25.6639,25.0671,25.4469,4365900
2013-07-03,25.248,25.5072,25.0852,25.459,2417500
2013-07-05,25.5916,25.8207,25.5072,25.7544,2743700
2013-07-08,25.8629,26.3392,25.8147,26.3331,3978300
2013-07-09,26.5261,26.6647,26.0739,26.1161,3805700
2013-07-10,26.1402,26.5984,26.1402,26.4718,3080100
2013-07-11,26.7334,26.8368,26.3623,26.6361,4061400
2013-07-12,26.7273,27.4452,26.6482,27.4087,5693900
2013-07-15,27.3479,27.3601,27.0984,27.1471,3265800
2013-07-16,27.0984,27.2384,26.5874,26.6543,3714500
2013-07-17,26.7517,26.8612,26.6117,26.7456,3645400
2013-07-18,26.7456,27.1106,26.6543,26.9646,3043700
2013-07-19,27.068,27.3236,26.8429,27.0863,4317900
2013-07-22,26.9524,27.4392,26.6482,27.3601,3810500
2013-07-23,27.3296,27.4331,26.9098,26.9585,3535100
2013-07-24,26.9403,26.995,26.3988,26.5509,3088100
2013-07-25,26.4109,27.0315,26.3744,26.9159,4088500
2013-07-26,27.3844,27.4513,26.8733,27.2506,4491100
2013-07-29,27.208,27.6521,27.0559,27.4148,4326200
