Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
2017-11-09,0.0252,0.0351,0.025,0.0321,18716200,0.0321,,
2017-11-10,0.0322,0.0333,0.0265,0.0271,6766780,0.0296,0.0366,0.0226
2017-11-11,0.0269,0.0297,0.0257,0.0274,5532220,0.0289,0.0344,0.0233
2017-11-12,0.0275,0.028,0.0226,0.024,7280250,0.0276,0.0343,0.021
2017-11-13,0.0244,0.0263,0.0235,0.0258,4419440,0.0273,0.0333,0.0213
2017-11-14,0.0258,0.0268,0.0253,0.0262,3033290,0.0271,0.0325,0.0217
2017-11-15,0.0261,0.0278,0.0253,0.0264,6858800,0.027,0.032,0.022
2017-11-16,0.0266,0.0282,0.0257,0.0276,4888130,0.0271,0.0317,0.0225
2017-11-17,0.0271,0.0274,0.0252,0.0258,3578870,0.0269,0.0314,0.0225
2017-11-18,0.0256,0.0271,0.0247,0.0264,2930550,0.0269,0.0311,0.0227
2017-11-19,0.0262,0.0285,0.0256,0.0281,4725050,0.027,0.031,0.023
2017-11-20,0.0282,0.0323,0.0276,0.0296,16172400,0.0272,0.0313,0.0231
2017-11-21,0.0296,0.0297,0.0274,0.0283,5836790,0.0273,0.0313,0.0233
2017-11-22,0.0284,0.029,0.0279,0.0285,4938480,0.0274,0.0313,0.0235
2017-11-23,0.0285,0.0287,0.0274,0.0274,5132300,0.0274,0.0311,0.0236
2017-11-24,0.0274,0.0286,0.027,0.0284,5502350,0.0274,0.0311,0.0238
2017-11-25,0.0283,0.0304,0.0277,0.0304,6156460,0.0276,0.0315,0.0238
2017-11-26,0.0304,0.0399,0.0301,0.0363,30527100,0.0281,0.0336,0.0226
2017-11-27,0.0366,0.0571,0.0366,0.0506,77777296,0.0293,0.0409,0.0177
2017-11-28,0.0506,0.1317,0.0479,0.1197,240338000,0.0338,0.0758,-0.0082
2017-11-29,0.1182,0.1469,0.0814,0.0897,210624992,0.0367,0.0856,-0.0122
2017-11-30,0.0949,0.1283,0.0949,0.1199,124345000,0.0413,0.1024,-0.0198
2017-12-01,0.1166,0.1314,0.113,0.1314,73657600,0.0465,0.1192,-0.0262
2017-12-02,0.1316,0.1389,0.1291,0.1324,56712600,0.0519,0.1332,-0.0293
2017-12-03,0.1324,0.1392,0.1249,0.1318,46458900,0.0572,0.1449,-0.0304
2017-12-04,0.1315,0.1459,0.1264,0.1359,76392704,0.0627,0.1558,-0.0303
2017-12-05,0.1356,0.1364,0.1268,0.1275,50381100,0.0678,0.1635,-0.0279
2017-12-06,0.1267,0.1329,0.1139,0.1178,75688800,0.0723,0.1685,-0.0239
2017-12-07,0.1178,0.1242,0.1055,0.1055,71024600,0.0763,0.171,-0.0184
2017-12-08,0.1061,0.1207,0.0991,0.1155,70092400,0.0807,0.1739,-0.0124
2017-12-09,0.1147,0.1387,0.1136,0.1196,63308600,0.0853,0.1766,-0.0059
2017-12-10,0.1198,0.1198,0.1001,0.1103,46376600,0.0893,0.1773,0.0014
2017-12-11,0.1089,0.1214,0.1086,0.1214,39513900,0.094,0.1781,0.0099
2017-12-12,0.1212,0.138,0.1142,0.1339,60056800,0.0993,0.1792,0.0193
2017-12-13,0.1337,0.1419,0.1224,0.1343,61575000,0.1046,0.1784,0.0308
2017-12-14,0.1337,0.2408,0.1318,0.2408,309307008,0.1152,0.2027,0.0278
