Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
1980-03-17,3.125,3.3021,3.125,3.1458,219600,3.1458,,
1980-03-18,3.125,3.125,2.9375,3.0313,727200,3.0885,3.2506,2.9265
1980-03-19,3.0313,3.0833,3.0208,3.0417,295200,3.0729,3.1996,2.9462
1980-03-20,3.0417,3.0625,3.0104,3.0104,159600,3.0573,3.1782,2.9364
1980-03-21,3.0104,3.0208,2.9063,2.9167,130800,3.0292,3.1928,2.8655
1980-03-24,2.9167,2.9167,2.6354,2.6667,436800,2.9688,3.2989,2.6386
1980-03-25,2.6667,2.75,2.5521,2.6042,645600,2.9167,3.3251,2.5082
1980-03-26,2.6042,2.6042,2.4271,2.4479,466800,2.8581,3.3609,2.3552
1980-03-27,2.375,2.375,2.2396,2.375,1129200,2.8044,3.3744,2.2344
1980-03-28,2.4583,2.5833,2.4583,2.5417,666000,2.7781,3.3407,2.2156
1980-03-31,2.5417,2.5833,2.5208,2.5417,430800,2.7566,3.309,2.2042
1980-04-01,2.5833,2.7708,2.5833,2.7396,492000,2.7552,3.282,2.2284
1980-04-02,2.7396,2.7396,2.6146,2.625,283200,2.7452,3.2547,2.2357
1980-04-03,2.625,2.6354,2.6042,2.6354,226800,2.7374,3.2304,2.2443
1980-04-07,2.6146,2.6146,2.5313,2.5417,355200,2.7243,3.21,2.2386
1980-04-08,2.5417,2.625,2.5,2.5938,765600,2.7161,3.1899,2.2424
1980-04-09,2.5938,2.6667,2.5833,2.6667,134400,2.7132,3.1726,2.2539
1980-04-10,2.6667,2.7396,2.6563,2.7396,174000,2.7147,3.1605,2.2689
1980-04-11,2.7396,2.7708,2.6354,2.6354,109200,2.7105,3.1453,2.2758
1980-04-14,2.6354,2.6458,2.5,2.5625,267600,2.7031,3.1314,2.2748
1980-04-15,2.5625,2.5625,2.5208,2.5625,505200,2.674,3.0518,2.2961
1980-04-16,2.5625,2.5729,2.3438,2.3542,358800,2.6401,3.0043,2.276
1980-04-17,2.3542,2.4271,2.2708,2.4271,696000,2.6094,2.9322,2.2865
1980-04-18,2.4271,2.4688,2.3125,2.3229,342000,2.575,2.8625,2.2875
1980-04-21,2.3229,2.3646,2.2813,2.2917,498000,2.5438,2.81,2.2775
1980-04-22,2.375,2.6042,2.375,2.5625,880800,2.5385,2.7987,2.2784
1980-04-23,2.5938,2.7292,2.5938,2.6146,588000,2.5391,2.7998,2.2783
1980-04-24,2.6146,2.8125,2.6146,2.7813,733200,2.5557,2.8339,2.2775
1980-04-25,2.7604,2.7604,2.6875,2.7083,343200,2.5724,2.8449,2.2999
1980-04-28,2.7188,2.7917,2.7188,2.7292,372000,2.5818,2.8626,2.3009
1980-04-29,2.7292,2.7292,2.6354,2.6667,270000,2.588,2.8707,2.3054
1980-04-30,2.625,2.625,2.5417,2.5521,273600,2.5786,2.8524,2.3049
1980-05-01,2.5417,2.5417,2.4583,2.4583,505200,2.5703,2.8483,2.2924
1980-05-02,2.4583,2.4688,2.4167,2.4688,282000,2.562,2.8417,2.2823
1980-05-05,2.5,2.6042,2.5,2.6042,302400,2.5651,2.8453,2.285
1980-05-06,2.6042,2.7292,2.5833,2.6875,386400,2.5698,2.8551,2.2845
1980-05-07,2.6875,2.7083,2.6563,2.6875,138000,2.5708,2.8577,2.2839
1980-05-08,2.6875,2.6875,2.6042,2.6042,225600,2.5641,2.8404,2.2877
1980-05-09,2.5833,2.5833,2.5313,2.5417,128400,2.5594,2.8338,2.285
1980-05-12,2.5417,2.6146,2.5208,2.6146,180000,2.562,2.8375,2.2865
1980-05-13,2.6563,2.7083,2.6563,2.6875,213600,2.5682,2.8494,2.2871
1980-05-14,2.6979,2.7813,2.6979,2.7708,345600,2.5891,2.8652,2.313
1980-05-15,2.7708,2.7708,2.7292,2.7292,292800,2.6042,2.876,2.3324
1980-05-16,2.7292,2.7396,2.6458,2.6667,135600,2.6214,2.8597,2.383
1980-05-19,2.6667,2.7083,2.6667,2.6875,66000,2.6411,2.8233,2.459
1980-05-20,2.6875,2.75,2.6771,2.75,453600,2.6505,2.8349,2.4661
1980-05-21,2.75,2.8021,2.7396,2.7813,512400,2.6589,2.8513,2.4664
1980-05-22,2.8125,2.9167,2.8125,2.9167,499200,2.6656,2.884,2.4472
1980-05-23,2.9167,2.9896,2.8958,2.9896,411600,2.6797,2.9415,2.4178
1980-05-27,3.0,3.0625,3.0,3.0104,247200,2.6938,2.9942,2.3933
1980-05-28,3.0104,3.1458,3.0,3.1458,458400,2.7177,3.0792,2.3562
1980-05-29,3.1458,3.2083,3.0729,3.0833,618000,2.7443,3.1317,2.3568
1980-05-30,3.0833,3.1667,3.0313,3.1667,298800,2.7797,3.1861,2.3733
1980-06-02,3.1667,3.1667,3.1042,3.1042,208800,2.8115,3.2149,2.4081
1980-06-03,3.0833,3.0833,3.0104,3.0208,283200,2.8323,3.2336,2.4309
1980-06-04,3.0208,3.0729,3.0,3.0729,218400,2.8516,3.2606,2.4425
1980-06-05,3.0729,3.125,3.0208,3.0208,147600,2.8682,3.2763,2.4602
1980-06-06,3.0208,3.0625,2.9688,3.0,428400,2.888,3.2802,2.4958
1980-06-09,3.0,3.0625,2.8646,2.8646,426000,2.9042,3.2614,2.547
1980-06-10,2.8646,2.9688,2.8646,2.9688,464400,2.9219,3.2528,2.591
1980-06-11,2.9688,3.0521,2.9583,3.0521,182400,2.9401,3.2565,2.6237
1980-06-12,3.0521,3.1042,3.0208,3.0938,404400,2.9563,3.2692,2.6433
1980-06-13,3.0938,3.1042,3.0729,3.0938,67200,2.9745,3.2739,2.675
