Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
1998-02-27,12.7042,13.1612,12.7042,12.7042,50000,12.7042,,
1998-03-02,12.6128,12.6128,12.43,12.6128,75000,12.6585,12.7878,12.5293
1998-03-03,12.5214,12.5214,12.2472,12.5214,35000,12.6128,12.7956,12.43
1998-03-04,11.5161,11.5161,11.3333,11.5161,60000,12.3386,13.4455,11.2318
1998-03-05,11.7902,11.7902,11.7902,11.7902,400,12.229,13.3057,11.1522
1998-03-06,11.7902,11.973,11.7902,11.7902,3600,12.1558,13.1834,11.1283
1998-03-09,11.7902,12.0644,11.6075,11.6075,3200,12.0775,13.103,11.0519
1998-03-10,11.6075,12.3386,11.6075,11.8816,56800,12.053,13.0125,11.0935
1998-03-11,11.8816,12.0644,11.7902,11.8816,10400,12.034,12.9388,11.1292
1998-03-12,11.8816,11.973,11.7902,11.973,3800,12.0279,12.8818,11.174
1998-03-13,12.0644,12.0644,12.0644,12.0644,1000,12.0312,12.8416,11.2208
1998-03-16,12.0644,12.0644,11.7902,11.7902,7700,12.0111,12.7962,11.226
1998-03-17,11.7902,11.7902,11.5161,11.6075,28000,11.9801,12.7644,11.1958
1998-03-18,11.6075,11.7902,11.5161,11.7902,45700,11.9665,12.7269,11.2062
1998-03-19,11.7902,12.7042,11.6988,12.5214,383600,12.0035,12.7902,11.2168
1998-03-20,12.6128,12.9784,12.6128,12.9784,275600,12.0644,12.9674,11.1615
1998-03-23,12.9784,13.8924,12.7042,13.801,398600,12.1666,13.3806,10.9525
1998-03-24,13.801,14.5322,13.801,14.4408,261800,12.2929,13.8856,10.7003
1998-03-25,14.4408,14.715,14.258,14.5322,135600,12.4108,14.2685,10.553
1998-03-26,14.5322,14.5322,14.0752,14.3494,26300,12.5077,14.513,10.5024
1998-03-27,14.3494,14.4408,13.4354,14.0752,62200,12.5763,14.7001,10.4525
1998-03-30,14.0752,14.5322,14.0752,14.5322,49500,12.6722,14.9694,10.3751
1998-03-31,14.5322,14.8064,14.5322,14.715,79000,12.7819,15.2517,10.3121
1998-04-01,14.715,15.0806,14.6236,14.9892,150100,12.9556,15.5365,10.3746
1998-04-02,15.9031,17.0913,15.9031,16.9999,140500,13.216,16.3036,10.1285
1998-04-03,16.9999,19.102,15.9031,18.0967,458700,13.5314,17.2329,9.8298
1998-04-06,18.0967,19.0106,16.8171,17.5483,105300,13.8284,17.8218,9.835
1998-04-07,17.5483,17.5483,16.1773,16.1773,152800,14.0432,18.0578,10.0286
1998-04-08,16.1773,16.8171,15.3547,16.4515,45100,14.2717,18.2885,10.2549
1998-04-09,16.4515,16.8171,16.2687,16.8171,151400,14.5139,18.5313,10.4965
1998-04-13,16.8171,16.9999,16.3601,16.5429,85900,14.7378,18.6788,10.7968
1998-04-14,16.5429,16.8171,16.4515,16.6343,322900,14.98,18.75,11.21
1998-04-15,16.6343,16.7257,15.7203,15.9031,23100,15.1948,18.6304,11.7592
1998-04-16,15.9031,15.9031,15.2633,15.5375,55400,15.3822,18.4219,12.3424
1998-04-17,15.5375,15.8117,15.3547,15.8117,15100,15.5467,18.2747,12.8186
1998-04-20,15.8117,16.1773,15.5375,16.1773,92900,15.7066,18.1621,13.2511
1998-04-21,16.1773,16.1773,15.9031,16.1773,23100,15.8254,18.1172,13.5337
1998-04-22,16.1773,17.2741,16.1773,16.8171,60900,15.9443,18.1795,13.709
1998-04-23,16.8171,17.1827,16.8171,17.1827,242300,16.0768,18.2734,13.8801
1998-04-24,17.1827,17.2741,16.0859,16.0859,100900,16.1636,18.2045,14.1227
1998-04-27,16.0859,16.4515,14.5322,15.2633,52200,16.223,18.0677,14.3783
1998-04-28,15.2633,15.9945,15.1719,15.7203,29100,16.2824,17.9675,14.5974
1998-04-29,15.7203,16.4515,15.3547,16.4515,101300,16.3693,17.8846,14.8539
1998-04-30,16.4515,16.9999,16.3601,16.8171,116300,16.4606,17.8399,15.0813
1998-05-01,16.8171,16.9085,16.0859,16.1773,61000,16.4195,17.78,15.059
1998-05-04,16.1773,16.2687,15.5375,15.8117,58400,16.3053,17.4374,15.1732
1998-05-05,15.8117,15.9031,15.1719,15.5375,44000,16.2047,17.2235,15.1859
1998-05-06,15.5375,16.0859,15.2633,16.0859,47300,16.2002,17.2203,15.18
1998-05-07,16.0859,16.1773,15.6289,15.6289,230900,16.159,17.2026,15.1155
1998-05-08,15.9031,16.6343,15.9031,16.5429,320700,16.1453,17.1592,15.1314
1998-05-11,16.5429,16.6343,16.2687,16.3601,375200,16.1362,17.1382,15.1341
1998-05-12,16.3601,16.5429,16.0859,16.0859,333300,16.1088,17.083,15.1345
1998-05-13,16.1773,16.5429,16.1773,16.3601,88100,16.1316,17.107,15.1562
1998-05-14,16.3601,16.4515,16.0859,16.4515,35600,16.1773,17.1206,15.234
1998-05-15,16.4515,16.4515,15.7203,16.0859,69200,16.191,17.1198,15.2622
1998-05-18,16.0859,16.1773,15.3547,15.7203,53200,16.1682,17.1206,15.2158
1998-05-19,15.7203,16.0859,15.7203,16.0859,21000,16.1636,17.1167,15.2105
1998-05-20,16.0859,16.0859,15.3547,15.3547,14100,16.0905,17.0568,15.1242
1998-05-21,15.3547,15.4461,14.258,15.4461,116400,16.0037,16.8629,15.1444
1998-05-22,15.1719,15.1719,14.8064,15.0805,45100,15.9534,16.905,15.0018
1998-05-26,15.0805,15.3547,13.9838,14.258,119500,15.9031,17.0863,14.72
1998-05-27,14.258,14.258,13.7096,14.0752,91100,15.8209,17.2588,14.3829
1998-05-28,14.0752,14.9892,13.7096,14.9892,163600,15.7477,17.1994,14.2961
1998-05-29,14.9891,16.4515,14.9891,16.4515,121900,15.7295,17.1328,14.3261
1998-06-01,16.4515,16.4515,16.0859,16.1773,258500,15.7295,17.1328,14.3261
1998-06-02,16.1773,16.4515,16.1773,16.3601,123400,15.7569,17.1881,14.3256
