Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
1997-05-15,0.1219,0.125,0.0964,0.0979,1443120000,0.0979,,
1997-05-16,0.0984,0.099,0.0854,0.0865,294000000,0.0922,0.1084,0.076
1997-05-19,0.088,0.0885,0.0812,0.0854,122136000,0.0899,0.1038,0.0761
1997-05-20,0.0865,0.0875,0.0818,0.0818,109344000,0.0879,0.1019,0.0739
1997-05-21,0.0818,0.0823,0.0688,0.0714,377064000,0.0846,0.1037,0.0655
1997-05-22,0.0719,0.0724,0.0656,0.0698,235536000,0.0821,0.103,0.0612
1997-05-23,0.0703,0.076,0.0667,0.075,318744000,0.0811,0.1009,0.0613
1997-05-27,0.0755,0.0823,0.0729,0.0792,173952000,0.0809,0.0993,0.0624
1997-05-28,0.0812,0.0818,0.0766,0.0766,91488000,0.0804,0.0979,0.0629
1997-05-29,0.0771,0.0771,0.074,0.0753,69456000,0.0799,0.0967,0.0631
1997-05-30,0.075,0.0755,0.074,0.075,51888000,0.0794,0.0956,0.0632
1997-06-02,0.0755,0.0766,0.075,0.0755,11832000,0.0791,0.0947,0.0635
1997-06-03,0.0766,0.0766,0.074,0.074,23664000,0.0787,0.0939,0.0635
1997-06-04,0.074,0.0745,0.0698,0.0708,61608000,0.0781,0.0933,0.0629
1997-06-05,0.0708,0.0771,0.0688,0.0771,113448000,0.0781,0.0927,0.0634
1997-06-06,0.0758,0.0854,0.0755,0.0828,156144000,0.0784,0.0927,0.064
1997-06-09,0.0828,0.0854,0.0828,0.0844,47040000,0.0787,0.0929,0.0645
1997-06-10,0.0854,0.0854,0.0766,0.0792,109176000,0.0787,0.0925,0.065
1997-06-11,0.0797,0.0802,0.0766,0.0771,23760000,0.0787,0.0921,0.0652
1997-06-12,0.0792,0.0823,0.0776,0.0802,32640000,0.0787,0.0918,0.0657
1997-06-13,0.0812,0.0812,0.0792,0.0792,13872000,0.0778,0.0873,0.0683
1997-06-16,0.0802,0.0802,0.0781,0.0786,18264000,0.0774,0.086,0.0688
1997-06-17,0.0799,0.0799,0.0747,0.0753,94128000,0.0769,0.0847,0.0691
1997-06-18,0.076,0.0768,0.075,0.0755,49296000,0.0766,0.084,0.0692
1997-06-19,0.0755,0.0766,0.075,0.0755,20064000,0.0768,0.0838,0.0698
1997-06-20,0.0766,0.0776,0.075,0.0763,67752000,0.0771,0.0833,0.0709
1997-06-23,0.0771,0.0771,0.074,0.075,20952000,0.0771,0.0833,0.0709
1997-06-24,0.0753,0.0763,0.074,0.0755,15024000,0.0769,0.0831,0.0708
1997-06-25,0.0763,0.0763,0.0745,0.0755,42120000,0.0769,0.0831,0.0707
1997-06-26,0.076,0.076,0.0753,0.0755,63792000,0.0769,0.0831,0.0707
1997-06-27,0.0758,0.0758,0.074,0.0745,23760000,0.0769,0.0831,0.0706
1997-06-30,0.0755,0.0799,0.074,0.0771,54936000,0.077,0.0832,0.0708
1997-07-01,0.0771,0.0771,0.0755,0.0758,25848000,0.077,0.0831,0.071
1997-07-02,0.0758,0.0797,0.0755,0.0794,77640000,0.0775,0.0829,0.0721
1997-07-03,0.0799,0.0958,0.0797,0.0956,251544000,0.0784,0.0881,0.0687
1997-07-07,0.0917,0.101,0.0917,0.1,161064000,0.0793,0.0929,0.0656
1997-07-08,0.1021,0.1167,0.1021,0.1151,310344000,0.0808,0.1018,0.0598
1997-07-09,0.1151,0.1193,0.1135,0.1161,165240000,0.0826,0.1089,0.0564
1997-07-10,0.1167,0.1286,0.1167,0.1281,181032000,0.0852,0.1182,0.0522
1997-07-11,0.126,0.126,0.1104,0.1146,210624000,0.0869,0.1223,0.0515
1997-07-14,0.1161,0.1167,0.1057,0.1068,92088000,0.0883,0.1246,0.052
1997-07-15,0.1068,0.124,0.1068,0.1219,185496000,0.0905,0.1294,0.0515
1997-07-16,0.1224,0.1247,0.1151,0.1167,60480000,0.0925,0.1324,0.0526
1997-07-17,0.1172,0.1172,0.1078,0.1109,63384000,0.0943,0.1342,0.0544
1997-07-18,0.1094,0.1109,0.1078,0.1078,15600000,0.0959,0.1352,0.0566
1997-07-21,0.1089,0.1099,0.1073,0.1091,11496000,0.0976,0.1361,0.059
1997-07-22,0.1083,0.1094,0.1031,0.1068,31272000,0.0991,0.1364,0.0619
1997-07-23,0.1094,0.1167,0.1089,0.1146,65184000,0.1011,0.1372,0.065
1997-07-24,0.1151,0.1156,0.1109,0.113,24336000,0.103,0.1374,0.0686
1997-07-25,0.1109,0.1125,0.1109,0.1115,12408000,0.1048,0.1368,0.0727
1997-07-28,0.1115,0.1198,0.1109,0.1161,51480000,0.1068,0.1358,0.0778
1997-07-29,0.1182,0.125,0.1167,0.124,96288000,0.1092,0.1355,0.0829
1997-07-30,0.125,0.1253,0.1214,0.1224,50352000,0.1115,0.1332,0.0898
1997-07-31,0.1219,0.1219,0.1167,0.1198,29088000,0.1135,0.1294,0.0977
1997-08-01,0.1172,0.1208,0.1125,0.1208,71760000,0.1148,0.1285,0.1011
1997-08-04,0.1187,0.1206,0.1151,0.1156,53424000,0.1156,0.1274,0.1037
1997-08-05,0.1167,0.1167,0.1073,0.1104,60648000,0.1154,0.1274,0.1033
1997-08-06,0.1104,0.1156,0.1094,0.1125,24864000,0.1152,0.1273,0.1031
1997-08-07,0.1125,0.113,0.1063,0.1089,40680000,0.1142,0.125,0.1034
1997-08-08,0.1083,0.1151,0.1052,0.1146,44232000,0.1142,0.125,0.1034
1997-08-11,0.1146,0.1167,0.1125,0.1164,24792000,0.1147,0.1249,0.1045
1997-08-12,0.1141,0.1151,0.1099,0.1099,11424000,0.1141,0.1239,0.1042
1997-08-13,0.1115,0.1115,0.1083,0.1099,11808000,0.1138,0.1237,0.1038
1997-08-14,0.1089,0.1125,0.106,0.1078,20832000,0.1136,0.1238,0.1034
1997-08-15,0.1068,0.1078,0.0969,0.1057,31944000,0.1135,0.124,0.103
1997-08-18,0.1026,0.1026,0.0984,0.1021,35688000,0.1131,0.1247,0.1016
1997-08-19,0.1047,0.1104,0.1026,0.1083,20064000,0.1132,0.1246,0.1018
1997-08-20,0.1094,0.1094,0.1036,0.1083,19992000,0.1129,0.1245,0.1013
1997-08-21,0.1068,0.1086,0.1036,0.1057,12480000,0.1125,0.1245,0.1005
1997-08-22,0.1052,0.1063,0.1047,0.1063,14256000,0.1123,0.1246,0.1
1997-08-25,0.1052,0.113,0.1052,0.1109,22536000,0.112,0.1242,0.0998
1997-08-26,0.112,0.1177,0.1115,0.1172,51480000,0.1117,0.1228,0.1006
1997-08-27,0.1154,0.1161,0.1125,0.1159,27840000,0.1114,0.1215,0.1012
1997-08-28,0.1151,0.1198,0.1141,0.1187,22944000,0.1113,0.1213,0.1013
1997-08-29,0.1182,0.1187,0.1161,0.1169,14448000,0.1111,0.1204,0.1018
