Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
1995-03-15,1.5697,1.7953,1.5304,1.7659,71337728,1.7659,,
1995-03-16,1.9425,2.0013,1.864,1.9425,17607744,1.8542,2.1039,1.6044
1995-03-17,1.9523,1.9523,1.864,1.8738,13216075,1.8607,2.0388,1.6827
1995-03-20,1.864,1.8738,1.8247,1.864,5498827,1.8615,2.0069,1.7161
1995-03-21,1.864,1.9719,1.8444,1.9523,6312768,1.8797,2.0295,1.7299
1995-03-22,1.9621,2.3349,1.9621,2.1877,14026731,1.931,2.216,1.646
1995-03-23,2.1681,2.227,2.1289,2.1387,6550955,1.9607,2.2645,1.6568
1995-03-24,2.1583,2.1681,2.1092,2.1485,1577781,1.9842,2.2952,1.6731
1995-03-27,2.1387,2.1779,2.1092,2.1779,1945739,2.0057,2.3241,1.6873
1995-03-28,2.1877,2.3349,2.1779,2.2466,10769323,2.0298,2.3664,1.6932
1995-03-29,2.276,2.3251,2.2172,2.2564,3939936,2.0504,2.3977,1.703
1995-03-30,2.2368,2.2368,2.07,2.1289,2329301,2.0569,2.3912,1.7227
1995-03-31,2.0994,2.2074,2.07,2.2074,3544875,2.0685,2.3992,1.7378
1995-04-03,2.1975,2.1975,2.1289,2.1583,2472213,2.0749,2.3963,1.7535
1995-04-04,2.1485,2.1583,2.0111,2.0308,2035264,2.072,2.3825,1.7615
1995-04-05,2.0308,2.0308,1.9621,1.9817,3745280,2.0663,2.3697,1.763
1995-04-06,2.0013,2.0308,1.9817,1.9817,2031979,2.0614,2.3579,1.7648
1995-04-07,1.9817,2.0111,1.9523,1.9817,1200789,2.0569,2.3471,1.7668
1995-04-10,1.9817,2.1191,1.9523,2.0798,2306304,2.0581,2.3403,1.7759
1995-04-11,2.0798,2.1092,2.0602,2.0798,1878389,2.0592,2.334,1.7844
1995-04-12,2.0896,2.1338,2.0896,2.1191,3177739,2.0769,2.3153,1.8384
1995-04-13,2.1387,2.1387,2.0602,2.0798,602037,2.0837,2.3137,1.8538
1995-04-17,2.0602,2.0994,2.0111,2.0111,770411,2.0906,2.3015,1.8797
1995-04-18,2.0111,2.0406,1.9523,1.9719,1040629,2.096,2.2871,1.9049
1995-04-19,1.9719,1.9915,1.9523,1.9523,1360128,2.096,2.2871,1.9049
1995-04-20,1.9621,1.9915,1.9523,1.9523,1312491,2.0842,2.2805,1.888
1995-04-21,1.9817,1.9915,1.9817,1.9915,502656,2.0769,2.2756,1.8782
1995-04-24,1.9915,2.2564,1.9915,2.2368,4398240,2.0813,2.2903,1.8723
1995-04-25,2.2074,2.227,2.1485,2.1485,983957,2.0798,2.2864,1.8732
1995-04-26,2.1485,2.2466,2.1485,2.227,2085365,2.0788,2.2822,1.8754
1995-04-27,2.2172,2.2564,2.2074,2.2368,1733013,2.0779,2.2778,1.8779
1995-04-28,2.227,2.227,2.1191,2.1485,817227,2.0788,2.28,1.8776
1995-05-01,2.1681,2.1681,2.1289,2.1387,820512,2.0754,2.2696,1.8812
1995-05-02,2.1681,2.1681,2.1289,2.1485,272683,2.0749,2.2683,1.8816
1995-05-03,2.1289,2.2172,2.1289,2.2074,1546571,2.0837,2.2846,1.8829
1995-05-04,2.2172,2.433,2.2172,2.3447,6742325,2.1019,2.3279,1.8758
1995-05-05,2.3447,2.4232,2.3447,2.3741,1885781,2.1215,2.3706,1.8724
1995-05-08,2.3643,2.4428,2.3545,2.4134,1213109,2.1431,2.4149,1.8713
1995-05-09,2.4134,2.4134,2.3251,2.3447,2055797,2.1563,2.4407,1.872
1995-05-10,2.3153,2.3153,2.2564,2.2662,3379787,2.1657,2.4517,1.8796
1995-05-11,2.2858,2.2858,2.2172,2.2172,749877,2.1706,2.4566,1.8845
1995-05-12,2.2172,2.3938,2.2172,2.3447,1915349,2.1838,2.4766,1.891
1995-05-15,2.3741,2.433,2.3545,2.4134,1425835,2.2039,2.502,1.9059
1995-05-16,2.4036,2.4232,2.3938,2.4134,536331,2.226,2.517,1.935
1995-05-17,2.5213,2.6881,2.4919,2.6586,5533323,2.2613,2.5824,1.9403
1995-05-18,2.7469,2.8156,2.6783,2.7371,2813888,2.3006,2.6529,1.9482
1995-05-19,2.639,2.7077,2.639,2.6488,1774080,2.3334,2.687,1.9798
1995-05-22,2.6684,2.6881,2.5703,2.6096,607787,2.3521,2.7231,1.981
1995-05-23,2.6194,2.7077,2.5605,2.7077,2675083,2.38,2.7702,1.9898
1995-05-24,2.7665,2.8548,2.7567,2.7862,5276245,2.408,2.8308,1.9852
1995-05-25,2.8352,2.845,2.6979,2.6979,1796256,2.431,2.8647,1.9974
1995-05-26,2.7077,2.7273,2.6783,2.6783,509227,2.4575,2.8832,2.0319
1995-05-30,2.6979,2.7371,2.5605,2.5765,1418443,2.4794,2.8803,2.0785
1995-05-31,2.5311,2.5703,2.4624,2.5311,2255381,2.4985,2.8683,2.1288
1995-06-01,2.5409,2.5654,2.5115,2.5654,292395,2.5164,2.8606,2.1723
1995-06-02,2.5213,2.6292,2.5017,2.6096,1369163,2.5297,2.8663,2.1931
1995-06-05,2.6194,2.6488,2.6096,2.639,768768,2.5429,2.8746,2.2113
1995-06-06,2.6096,2.6292,2.5801,2.5801,487051,2.5513,2.8776,2.225
1995-06-07,2.6194,2.639,2.5802,2.5998,560149,2.564,2.8759,2.2521
1995-06-08,2.6292,2.6488,2.6194,2.6194,251328,2.5817,2.8609,2.3025
1995-06-09,2.6488,2.6783,2.6194,2.6488,177408,2.6033,2.8245,2.382
1995-06-12,2.6488,2.6586,2.639,2.639,154411,2.618,2.803,2.4329
1995-06-13,2.6684,2.6783,2.639,2.6488,285003,2.6298,2.788,2.4715
1995-06-14,2.639,2.639,2.6096,2.6096,523189,2.6396,2.7615,2.5176
1995-06-15,2.6096,2.6783,2.59,2.6194,925643,2.6376,2.7595,2.5157
1995-06-16,2.6488,2.6488,2.6194,2.6194,175765,2.6317,2.7444,2.519
1995-06-19,2.6194,2.6586,2.6194,2.6488,1864427,2.6317,2.7444,2.519
1995-06-20,2.6488,2.6684,2.6292,2.6586,4287360,2.6342,2.747,2.5214
1995-06-21,2.6881,2.6881,2.639,2.639,1582709,2.6307,2.7382,2.5233
1995-06-22,2.6292,2.6586,2.59,2.5998,534688,2.6214,2.7007,2.5421
1995-06-23,2.59,2.6194,2.5409,2.5998,2169141,2.6165,2.6876,2.5454
1995-06-26,2.639,2.7077,2.6194,2.6684,1710016,2.616,2.6855,2.5466
1995-06-27,2.6684,2.6881,2.6096,2.6194,758091,2.6182,2.6851,2.5513
1995-06-28,2.59,2.5998,2.5703,2.5801,358923,2.6206,2.6768,2.5644
1995-06-29,2.5998,2.7862,2.5998,2.7567,882112,2.6302,2.7079,2.5525
