Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
2009-08-06,1.1599,1.1887,1.0938,1.1374,241978000,1.1374,,
2009-08-07,1.1353,1.1782,1.1268,1.155,24543000,1.1462,1.171,1.1213
2009-08-10,1.169,1.169,1.0973,1.1226,24210000,1.1383,1.1707,1.1059
2009-08-11,1.1233,1.1247,1.0896,1.1015,23054000,1.1291,1.1744,1.0838
2009-08-12,1.1353,1.1388,1.1008,1.1247,14513000,1.1283,1.1677,1.0888
2009-08-13,1.1247,1.1753,1.1247,1.1634,11506000,1.1341,1.1796,1.0886
2009-08-14,1.1599,1.195,1.1423,1.1669,6378000,1.1388,1.1871,1.0904
2009-08-17,1.1437,1.1507,1.1388,1.1402,2544000,1.139,1.1837,1.0942
2009-08-18,1.1585,1.2091,1.1493,1.2,14467000,1.1457,1.2041,1.0874
2009-08-19,1.1838,1.2611,1.181,1.2576,20708000,1.1569,1.2466,1.0673
2009-08-20,1.2618,1.2618,1.2154,1.2485,18821000,1.1653,1.2666,1.0639
2009-08-21,1.2506,1.2632,1.2358,1.2527,8636000,1.1725,1.2816,1.0635
2009-08-24,1.2316,1.2548,1.2161,1.2302,10216000,1.177,1.2862,1.0678
2009-08-25,1.2407,1.2583,1.2337,1.2548,5308000,1.1825,1.2954,1.0697
2009-08-26,1.2435,1.2548,1.2056,1.2548,7086000,1.1873,1.3023,1.0724
2009-08-27,1.2548,1.2801,1.2337,1.2766,11611000,1.1929,1.3126,1.0732
2009-08-28,1.2724,1.3356,1.2653,1.2984,12950000,1.1991,1.3258,1.0725
2009-08-31,1.2899,1.2934,1.252,1.2794,10048000,1.2036,1.3322,1.075
2009-09-01,1.2829,1.2963,1.1908,1.2548,13835000,1.2063,1.3334,1.0791
2009-09-02,1.2485,1.2829,1.2288,1.2428,12934000,1.2081,1.3329,1.0833
2009-09-03,1.2632,1.2632,1.195,1.2267,36577000,1.2126,1.3331,1.0921
2009-09-04,1.2478,1.2653,1.2295,1.2485,11586000,1.2172,1.3356,1.0989
2009-09-08,1.2485,1.2604,1.2267,1.2442,5749000,1.2233,1.3334,1.1133
2009-09-09,1.2548,1.2548,1.2105,1.2133,5512000,1.2289,1.3231,1.1347
2009-09-10,1.1957,1.2274,1.1915,1.1985,4152000,1.2326,1.3147,1.1506
2009-09-11,1.195,1.2182,1.1627,1.1866,6203000,1.2338,1.3123,1.1553
2009-09-14,1.1697,1.188,1.1465,1.1704,16145000,1.2339,1.3118,1.1561
2009-09-15,1.2126,1.2196,1.169,1.2077,19869000,1.2373,1.303,1.1716
2009-09-16,1.2231,1.2478,1.2028,1.2358,20211000,1.2391,1.3024,1.1758
2009-09-17,1.2414,1.2583,1.162,1.1697,14464000,1.2347,1.3045,1.1649
2009-09-18,1.1648,1.1964,1.1374,1.1388,8999000,1.2292,1.3107,1.1478
2009-09-21,1.1444,1.169,1.1156,1.1676,5530000,1.225,1.3101,1.1399
2009-09-22,1.1922,1.221,1.1824,1.2126,11141000,1.2241,1.3094,1.1388
2009-09-23,1.2386,1.2506,1.2161,1.2231,5303000,1.2225,1.3065,1.1385
2009-09-24,1.2182,1.2548,1.1775,1.2295,7788000,1.2213,1.304,1.1385
2009-09-25,1.2288,1.2288,1.2021,1.2042,4685000,1.2176,1.2964,1.1389
2009-09-28,1.2175,1.2548,1.1971,1.2407,2336000,1.2147,1.2848,1.1447
2009-09-29,1.2337,1.2541,1.1915,1.1971,3567000,1.2106,1.2741,1.1472
2009-09-30,1.195,1.2182,1.1922,1.2,5126000,1.2079,1.268,1.1478
2009-10-01,1.195,1.2014,1.1395,1.1465,6605000,1.2031,1.2667,1.1395
2009-10-02,1.1388,1.15,1.1177,1.1311,6296000,1.1983,1.2685,1.1281
2009-10-05,1.1318,1.162,1.1247,1.1592,1889000,1.1938,1.2619,1.1258
2009-10-06,1.1768,1.2091,1.1557,1.1578,4694000,1.1895,1.255,1.124
2009-10-07,1.1648,1.1676,1.1191,1.1339,2917000,1.1855,1.2545,1.1166
2009-10-08,1.1325,1.1374,1.1205,1.1254,5573000,1.1819,1.2556,1.1082
2009-10-09,1.1233,1.1564,1.1205,1.1423,8705000,1.1797,1.2554,1.104
2009-10-12,1.1402,1.1564,1.1275,1.1486,12888000,1.1786,1.2555,1.1017
2009-10-13,1.1381,1.1718,1.1353,1.162,5573000,1.1763,1.2523,1.1003
2009-10-14,1.1838,1.195,1.1627,1.1852,6955000,1.1738,1.2446,1.103
2009-10-15,1.2231,1.2618,1.2021,1.2063,20920000,1.1756,1.2478,1.1033
2009-10-16,1.2112,1.2112,1.1395,1.155,12638000,1.1764,1.2473,1.1055
2009-10-19,1.1571,1.1697,1.129,1.1416,21429000,1.1751,1.2476,1.1026
2009-10-20,1.1486,1.1761,1.1437,1.162,4890000,1.1726,1.243,1.1021
2009-10-21,1.1507,1.1887,1.1325,1.1592,2338000,1.1694,1.2359,1.1029
2009-10-22,1.1479,1.1479,1.0973,1.1444,9834000,1.1651,1.2261,1.1042
2009-10-23,1.1339,1.1536,1.1191,1.1283,11341000,1.1613,1.2215,1.1011
2009-10-26,1.1184,1.1332,1.1114,1.1135,1624000,1.155,1.206,1.1039
2009-10-27,1.1212,1.124,1.0727,1.0861,3288000,1.1494,1.2051,1.0937
2009-10-28,1.0896,1.0896,1.0467,1.0495,6220000,1.1419,1.2084,1.0754
2009-10-29,1.0509,1.0685,1.0348,1.0573,11833000,1.1374,1.2139,1.061
2009-10-30,1.0615,1.0678,1.0453,1.0544,2781000,1.1336,1.2186,1.0486
2009-11-02,1.0615,1.0615,1.0348,1.0453,2766000,1.1279,1.2206,1.0352
2009-11-03,1.0319,1.0418,1.0151,1.0186,3637000,1.1209,1.2244,1.0174
2009-11-04,1.0263,1.072,1.0073,1.039,8053000,1.1162,1.2257,1.0067
2009-11-05,1.0558,1.1065,1.0439,1.0769,2741000,1.1138,1.2246,1.003
2009-11-06,1.0769,1.1029,1.0453,1.0748,2575000,1.1104,1.2217,0.9991
2009-11-09,1.0727,1.1065,1.0608,1.1008,2529000,1.108,1.2179,0.9982
2009-11-10,1.1029,1.1029,1.0671,1.0861,1468000,1.1042,1.2114,0.997
2009-11-11,1.0917,1.0917,1.0629,1.0797,1535000,1.0989,1.1995,0.9983
2009-11-12,1.0826,1.1212,1.0826,1.0966,1300000,1.0935,1.1805,1.0064
2009-11-13,1.0973,1.1072,1.0833,1.0952,621000,1.0905,1.1726,1.0084
2009-11-16,1.0987,1.1395,1.0917,1.1254,1556000,1.0897,1.1699,1.0094
2009-11-17,1.1128,1.1381,1.0952,1.1297,985000,1.088,1.1633,1.0128
2009-11-18,1.1353,1.1353,1.1114,1.1268,1155000,1.0864,1.1565,1.0164
2009-11-19,1.1135,1.117,1.072,1.0945,1166000,1.0839,1.1486,1.0192
2009-11-20,1.0938,1.1001,1.0762,1.0854,4237000,1.0818,1.1431,1.0205
2009-11-23,1.0924,1.0973,1.065,1.0678,4653000,1.0795,1.1392,1.0198
2009-11-24,1.0615,1.0776,1.0551,1.0727,5228000,1.0788,1.1385,1.0192
2009-11-25,1.0812,1.1233,1.0797,1.0896,1353000,1.0808,1.139,1.0226
2009-11-27,1.0636,1.1163,1.0587,1.1149,616000,1.0837,1.1427,1.0247
2009-11-30,1.1156,1.124,1.072,1.1149,2765000,1.0867,1.1456,1.0279
2009-12-01,1.1177,1.1486,1.1177,1.1219,4178000,1.0906,1.148,1.0331
2009-12-02,1.1268,1.1325,1.0812,1.0973,8465000,1.0945,1.1409,1.0481
2009-12-03,1.0952,1.1205,1.0952,1.1198,5079000,1.0986,1.1382,1.0589
2009-12-04,1.1529,1.1746,1.0966,1.1613,9468000,1.1028,1.15,1.0556
2009-12-07,1.1599,1.1901,1.1599,1.1859,3084000,1.1083,1.1665,1.0501
2009-12-08,1.1676,1.1929,1.1634,1.1775,2495000,1.1122,1.1779,1.0464
2009-12-09,1.1676,1.1817,1.1486,1.1817,967000,1.1169,1.1883,1.0455
2009-12-10,1.181,1.1943,1.1775,1.1789,2555000,1.1219,1.1961,1.0476
2009-12-11,1.1732,1.1739,1.1571,1.1655,774000,1.1253,1.201,1.0496
2009-12-14,1.1768,1.188,1.1732,1.1845,2248000,1.1298,1.2085,1.0511
2009-12-15,1.1845,1.188,1.1746,1.1768,1404000,1.1324,1.2137,1.051
2009-12-16,1.1866,1.2042,1.1768,1.195,3157000,1.1356,1.2217,1.0496
