Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
1962-01-02,0.1943,0.1943,0.1909,0.1909,352350,0.1909,,
1962-01-03,0.1938,0.1976,0.1938,0.1947,710775,0.1928,0.1982,0.1874
1962-01-04,0.1947,0.1981,0.1928,0.1928,911250,0.1928,0.1967,0.189
1962-01-05,0.1928,0.1938,0.1838,0.189,880875,0.1919,0.1968,0.187
1962-01-08,0.189,0.1924,0.1866,0.1895,473850,0.1914,0.1962,0.1866
1962-01-09,0.1895,0.1943,0.1881,0.19,577125,0.1912,0.1956,0.1867
1962-01-10,0.19,0.1933,0.1895,0.19,352350,0.191,0.1951,0.1869
1962-01-11,0.1905,0.1962,0.1905,0.1919,692550,0.1911,0.195,0.1872
1962-01-12,0.1938,0.1986,0.1938,0.1971,972000,0.1918,0.1972,0.1864
1962-01-15,0.1962,0.1962,0.1924,0.1933,625725,0.1919,0.1971,0.1867
1962-01-16,0.1933,0.1943,0.1919,0.1919,376650,0.1919,0.1969,0.187
1962-01-17,0.1919,0.1962,0.1919,0.1924,674325,0.192,0.1967,0.1873
1962-01-18,0.1924,0.1952,0.1924,0.1933,710775,0.1921,0.1966,0.1875
1962-01-19,0.1938,0.2024,0.1938,0.2024,1293975,0.1928,0.1999,0.1858
1962-01-22,0.2024,0.2038,0.1995,0.2019,1148175,0.1934,0.2017,0.1852
1962-01-23,0.2,0.2024,0.1995,0.2024,923400,0.194,0.2031,0.1848
1962-01-24,0.2024,0.2033,0.1995,0.2033,1020600,0.1945,0.2045,0.1846
1962-01-25,0.2033,0.2091,0.2033,0.2081,2897775,0.1953,0.2069,0.1837
1962-01-26,0.2081,0.2095,0.2057,0.2072,1919700,0.1959,0.2084,0.1834
1962-01-29,0.2072,0.2086,0.2053,0.2081,941625,0.1965,0.2099,0.1832
1962-01-30,0.2081,0.2115,0.2072,0.21,1749600,0.1975,0.2118,0.1831
1962-01-31,0.2105,0.2148,0.2105,0.2143,3383775,0.1984,0.2146,0.1823
