Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
2014-09-19,88.0367,94.6846,85.4251,89.1669,271879400,89.1669,,
2014-09-22,88.0367,88.2742,84.9977,85.3681,66657800,87.2675,92.6398,81.8952
2014-09-23,84.4659,85.9284,82.2626,82.7849,39009800,85.7733,92.1937,79.3529
2014-09-24,84.0195,86.0139,82.8324,86.0139,32088000,85.8334,91.0812,80.5857
2014-09-25,86.5077,86.8971,84.048,84.4469,28598000,85.5561,90.267,80.8452
2014-09-26,85.2161,85.9094,84.2,85.9094,18340000,85.615,89.8384,81.3916
2014-09-29,85.1117,85.1876,83.5921,84.2854,25302000,85.4251,89.4093,81.4408
2014-09-30,84.5229,86.3083,84.01,84.3804,24419400,85.2945,89.0564,81.5325
2014-10-01,84.238,84.4659,81.7118,81.7687,24029600,84.9027,89.1345,80.6709
2014-10-02,81.9302,83.7631,81.3043,82.6805,21469700,84.6805,88.9106,80.4504
2014-10-03,83.6681,85.4156,83.2408,83.6681,18485700,84.5885,88.6477,80.5293
2014-10-06,84.6653,85.1402,83.6301,83.8676,9268400,84.5284,88.421,80.6358
2014-10-07,83.5257,85.1876,82.6804,83.2598,12791700,84.4308,88.2235,80.6381
2014-10-08,83.5732,84.048,82.6804,83.8581,10252600,84.3899,88.0467,80.7331
2014-10-09,84.0575,85.8049,83.5732,84.3234,21507000,84.3855,87.9094,80.8615
2014-10-10,83.8106,84.2759,80.952,81.5598,15431400,84.2089,87.8948,80.5229
2014-10-13,82.481,82.519,80.6481,80.8381,14845000,84.0106,87.9362,80.0849
2014-10-14,81.4933,81.5598,79.0336,80.6766,15559200,83.8254,87.9453,79.7054
2014-10-15,79.8124,82.1391,78.6442,81.2939,16824300,83.6921,87.8611,79.5231
2014-10-16,80.7051,84.6891,79.7886,84.3804,15232000,83.7265,87.796,79.6571
2014-10-17,85.8524,86.3273,83.2598,83.4877,17360700,83.4426,86.6052,80.28
