Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen
2017-11-09,2.0531,2.1742,1.8939,1.9908,19192200
2017-11-10,2.0077,2.0695,1.6448,1.7968,11155000
2017-11-11,1.7863,1.9178,1.6143,1.6705,8178150
2017-11-12,1.6689,1.6728,1.4626,1.5197,15298700
2017-11-13,1.526,1.735,1.5176,1.6866,12238800
2017-11-14,1.6893,1.7354,1.5683,1.5926,7829600
2017-11-15,1.5878,1.625,1.4955,1.5304,7615500
2017-11-16,1.5562,1.6822,1.5369,1.5779,8928640
2017-11-17,1.58,1.5827,1.4953,1.5104,8508840
2017-11-18,1.5114,1.6768,1.4982,1.6743,32167300
2017-11-19,1.6734,1.7012,1.5678,1.6138,38081700
2017-11-20,1.6256,1.6607,1.5556,1.6244,12994500
2017-11-21,1.6582,1.6597,1.5498,1.5741,5440790
2017-11-22,1.5905,1.6214,1.5582,1.6118,7177000
2017-11-23,1.6106,1.6167,1.5376,1.5487,8392640
2017-11-24,1.5695,1.8202,1.5556,1.7177,12155400
2017-11-25,1.717,1.9576,1.694,1.8739,12839900
2017-11-26,1.8947,1.9353,1.8267,1.8531,9056850
2017-11-27,1.8708,1.9473,1.7896,1.943,22826600
2017-11-28,1.9589,1.9589,1.868,1.9171,36377700
2017-11-29,1.9243,2.0516,1.6832,1.7515,43765500
2017-11-30,1.7614,2.0529,1.7614,1.997,31559500
2017-12-01,1.997,2.137,1.923,2.0702,28867200
2017-12-02,2.0771,2.1157,1.9969,2.0842,24332700
2017-12-03,2.0854,2.3812,2.0542,2.2273,35163500
2017-12-04,2.2581,2.577,2.2581,2.4917,41226200
2017-12-05,2.5018,2.7318,2.5018,2.5953,49190000
2017-12-06,2.5804,2.7788,2.3459,2.5877,41731500
2017-12-07,2.5494,2.9144,2.4894,2.7799,28297900
2017-12-08,2.7661,2.869,2.2596,2.8307,38648500
2017-12-09,2.826,2.8673,2.3303,2.6104,27217000
2017-12-10,2.6613,2.6954,2.2117,2.4834,19258500
2017-12-11,2.513,2.8245,2.5034,2.7067,19427000
2017-12-12,2.7264,2.7783,2.6134,2.6848,24523200
2017-12-13,2.6871,2.8751,2.5714,2.7781,28429500
2017-12-14,2.7734,3.1587,2.7727,3.1587,40335300
2017-12-15,3.1567,4.4113,3.1428,3.9962,52745900
2017-12-16,4.1685,4.7254,3.9184,4.6646,54002400
2017-12-17,4.6693,6.7504,4.6693,5.7567,98159600
2017-12-18,5.7924,6.2213,5.281,5.6158,66623700
2017-12-19,5.647,6.5453,5.5798,5.7923,66695200
2017-12-20,5.7886,5.7886,4.9332,5.1762,47866900
2017-12-21,5.1849,5.6982,4.8141,5.18,46905500
2017-12-22,5.2055,5.2127,3.5133,4.3362,36672600
2017-12-23,4.395,5.1345,4.3076,4.8393,32930300
2017-12-24,4.7418,5.2857,4.1986,5.2857,43676900
2017-12-25,5.3086,6.9552,5.2505,6.56,66374400
2017-12-26,6.5593,10.6221,6.4964,9.0294,167812992
2017-12-27,9.2543,11.3022,8.4866,10.107,167808000
2017-12-28,10.1263,10.1964,8.1493,9.3214,109298000
2017-12-29,9.3186,9.5349,8.5368,8.8076,70849400
2017-12-30,8.7138,8.7611,7.1879,7.841,72933904
2017-12-31,7.7633,8.8391,7.709,8.6356,74927904
2018-01-01,8.6295,8.7006,7.9592,8.4146,66422800
2018-01-02,8.4577,9.1226,8.2172,8.8378,104789000
2018-01-03,8.7701,9.5808,8.5292,9.5359,108852000
2018-01-04,9.4458,9.5385,8.8541,9.214,158819008
2018-01-05,9.1457,16.7177,9.0947,14.9172,341504992
2018-01-06,14.8689,23.5082,14.8212,22.7598,637020992
2018-01-07,22.7691,22.7691,18.2425,18.6568,258050000
2018-01-08,18.6465,19.2167,15.3471,18.2609,296617984
2018-01-09,18.174,20.3203,16.8014,17.4118,194750000
2018-01-10,17.7079,17.7079,15.1708,17.3908,146582000
2018-01-11,17.5666,23.1525,15.2863,21.0427,389228000
2018-01-12,21.4758,24.9121,19.9304,22.3163,387537984
2018-01-13,22.3453,23.6669,21.3734,22.1744,181676000
2018-01-14,22.2535,22.2535,19.138,20.7773,129239000
2018-01-15,20.8004,23.6048,19.3309,19.5647,244154000
2018-01-16,19.634,19.634,10.435,13.8919,399951008
2018-01-17,13.623,15.5378,9.6553,14.2032,299411008
2018-01-18,14.2506,15.9596,13.5127,14.2804,204899008
2018-01-19,14.3106,15.6351,13.989,14.9406,139882000
2018-01-20,15.0342,16.6524,15.0342,16.1903,156744992
2018-01-21,16.2489,16.2489,13.3591,14.0683,141562000
2018-01-22,14.1987,14.4503,11.9146,13.0146,138026000
2018-01-23,13.0015,13.9627,11.785,13.0935,91706200
2018-01-24,13.1906,14.1906,12.7892,13.6287,105736000
2018-01-25,13.7605,14.1374,13.065,13.2284,105648000
2018-01-26,13.2109,13.5905,12.2947,13.2182,113429000
2018-01-27,13.2332,13.4414,12.8942,13.253,84009400
2018-01-28,13.3017,13.8125,13.2038,13.5402,93871104
2018-01-29,13.5454,13.6727,12.677,12.7645,71294304
2018-01-30,12.7736,12.7736,11.0571,11.2507,59389600
2018-01-31,11.2683,11.4132,10.5684,11.145,50435000
2018-02-01,11.1783,11.3944,8.7074,9.5158,82984200
2018-02-02,9.408,10.4585,7.2181,9.6523,91468200
2018-02-03,9.6967,10.2724,8.6117,9.7497,56556200
2018-02-04,9.7456,9.7456,8.1027,8.4586,49990000
2018-02-05,8.4275,8.5517,6.1296,6.705,55276900
2018-02-06,6.8063,8.5555,5.5901,8.2888,97189904
2018-02-07,8.3153,9.225,7.351,8.095,77970304
2018-02-08,8.0937,8.7212,8.0937,8.5955,82496000
2018-02-09,8.6067,9.8893,8.3432,9.7305,9284
2018-02-10,9.7327,10.3632,8.8485,9.256,80123200
2018-02-11,9.2009,9.3455,8.1445,8.7049,68554600
2018-02-12,8.7114,9.4038,8.7114,9.3225,50792600
2018-02-13,9.3177,9.3479,8.7734,8.9868,41593400
2018-02-14,9.0159,10.6498,8.9902,10.4006,68781600
2018-02-15,10.3907,11.2839,10.1012,10.9311,108962000
2018-02-16,10.9149,11.2016,10.4295,11.2016,71131800
2018-02-17,11.0765,11.8707,10.9528,11.6893,76093504
2018-02-18,11.6926,11.7003,10.6801,10.7024,62044700
2018-02-19,10.6668,11.1949,10.6515,11.0757,54898800
2018-02-20,11.0913,11.1927,9.7934,9.9045,66512400
2018-02-21,9.8777,10.1942,9.1473,9.3808,55087600
2018-02-22,9.4047,9.8088,8.713,8.904,47216100
2018-02-23,8.8734,9.733,8.6606,9.6921,53626800
2018-02-24,9.6875,9.8354,8.778,9.1419,48709200
2018-02-25,9.1532,9.4944,8.9426,9.3466,43814500
2018-02-26,9.3693,10.065,9.1301,9.9023,53540300
2018-02-27,9.9655,11.0962,9.8186,10.6599,97184400
2018-02-28,10.6949,11.1828,10.3926,10.4382,69036400
2018-03-01,10.4482,10.6714,10.3296,10.5097,72474200
2018-03-02,10.4569,10.5404,10.142,10.2248,46449100
2018-03-03,10.2857,10.4455,10.1251,10.2179,40001900
2018-03-04,10.2072,10.3898,9.9012,10.3481,37886900
2018-03-05,10.4038,10.4355,10.101,10.1105,38605100
2018-03-06,10.1548,10.1548,9.1513,9.3844,38182600
2018-03-07,9.3953,10.1268,8.2369,9.0349,79740800
2018-03-08,9.0357,9.1375,8.1184,8.3104,48535100
2018-03-09,8.2614,8.3324,7.1742,8.3131,46893300
2018-03-10,8.2671,8.3545,7.6335,7.6717,41645000
2018-03-11,7.6487,8.4194,7.3808,8.2724,45451700
2018-03-12,8.2991,8.5476,7.7437,8.0393,51188100
2018-03-13,7.999,11.0016,7.9024,10.1152,216111008
2018-03-14,10.13,10.6719,8.5508,8.9592,124112000
2018-03-15,8.9446,9.4013,8.4195,9.0991,104531000
2018-03-16,9.1325,9.3926,8.6396,9.1113,97626000
2018-03-17,9.199,9.5024,8.665,8.9877,94679904
2018-03-18,8.9574,8.9629,7.8585,8.9518,94840304
2018-03-19,9.09,9.2614,8.4961,8.9927,97938896
2018-03-20,8.9872,9.2414,8.6553,9.1609,96919504
2018-03-21,9.1665,10.2933,9.0808,9.982,131761000
2018-03-22,10.0285,10.9059,9.5725,10.0663,112305000
2018-03-23,10.0498,11.9768,9.5354,11.7376,157246000
2018-03-24,11.7061,14.8387,11.6027,13.0891,255358000
2018-03-25,13.1352,14.2326,12.5686,12.7831,189518000
