Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
1996-05-09,22.2,24.4,22.2,23.2,4290000,23.2,,
1996-05-10,24.0,24.2,23.6,24.0,1060000,23.6,24.7314,22.4686
1996-05-13,24.0,24.1,23.3,23.9,700000,23.7,24.5718,22.8282
1996-05-14,24.0,24.1,23.1,23.6,310000,23.675,24.3938,22.9562
1996-05-15,23.6,23.7,23.0,23.2,545000,23.58,24.3337,22.8263
1996-05-16,23.1,23.1,22.3,22.6,360000,23.4167,24.4629,22.3704
1996-05-17,22.6,23.0,22.6,22.8,325000,23.3286,24.3914,22.2658
1996-05-20,22.9,23.0,22.4,22.5,240000,23.225,24.3702,22.0798
1996-05-21,22.7,22.8,22.3,22.6,235000,23.1556,24.305,22.0062
1996-05-22,22.7,22.7,21.8,22.0,250000,23.04,24.3471,21.7329
1996-05-23,22.0,22.2,21.7,22.1,205000,22.9545,24.318,21.5911
1996-05-24,22.1,22.1,21.4,21.6,155000,22.8417,24.3587,21.3246
1996-05-28,21.9,22.1,21.2,21.2,205000,22.7154,24.4297,21.001
1996-05-29,21.0,21.3,20.7,20.8,105000,22.5786,24.5179,20.6392
1996-05-30,20.7,20.8,20.0,20.5,320000,22.44,24.5951,20.2849
1996-05-31,20.2,20.4,19.8,20.4,230000,22.3125,24.631,19.994
1996-06-03,20.4,20.5,20.0,20.1,80000,22.1824,24.6706,19.6941
1996-06-04,20.1,21.4,20.1,21.4,115000,22.1389,24.5808,19.697
1996-06-05,21.4,22.0,21.3,21.86,165000,22.1242,24.5008,19.7476
1996-06-06,21.86,22.0,21.7,21.7,90000,22.103,24.424,19.782
1996-06-07,21.5,21.8,21.2,21.6,85000,22.023,24.2945,19.7515
1996-06-10,21.7,21.9,21.1,21.2,80000,21.883,23.9799,19.7861
1996-06-11,21.2,21.7,21.2,21.4,65000,21.758,23.6352,19.8808
1996-06-12,21.6,22.0,21.4,22.0,110000,21.678,23.3498,20.0062
1996-06-13,22.0,22.2,21.9,22.06,65000,21.621,23.1456,20.0964
1996-06-14,22.2,22.2,21.7,22.0,40000,21.591,23.0569,20.1251
1996-06-17,22.0,22.06,21.7,21.82,40000,21.542,22.8993,20.1847
