Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
2001-01-02,5.0712,5.0855,5.0522,5.0712,19881070,5.0712,,
2001-01-03,5.0474,5.076,5.0474,5.0474,1951558,5.0593,5.093,5.0256
2001-01-04,5.1902,5.1902,5.0712,5.1902,15194190,5.1029,5.256,4.9499
2001-01-05,5.214,5.2283,5.1902,5.214,62908584,5.1307,5.2979,4.9635
2001-01-08,5.2379,5.2379,5.1902,5.2379,38550872,5.1521,5.3258,4.9785
2001-01-09,5.2379,5.2379,5.2379,5.2379,29711530,5.1664,5.3368,4.9961
2001-01-10,5.2379,5.2379,5.2379,5.2379,411934,5.1766,5.3413,5.012
2001-01-11,5.3331,5.3331,5.2379,5.3331,3214554,5.1962,5.3845,5.0079
2001-01-12,5.4045,5.4045,5.3093,5.4045,3090818,5.2193,5.4437,4.995
2001-01-15,5.4045,5.4093,5.3807,5.4045,261000,5.2379,5.4796,4.9961
2001-01-16,5.4283,5.4283,5.4045,5.4283,2435757,5.2552,5.5117,4.9987
2001-01-17,5.4759,5.4855,5.4283,5.4759,7496291,5.2736,5.5494,4.9978
2001-01-18,5.4759,5.4759,5.4759,5.4759,329356,5.2891,5.5761,5.0022
2001-01-19,5.5331,5.5331,5.4855,5.5331,1888771,5.3066,5.6115,5.0016
2001-01-22,5.5712,5.5712,5.5474,5.5712,1401751,5.3242,5.6483,5.0001
2001-01-23,5.5712,5.5759,5.5712,5.5712,3706107,5.3396,5.6762,5.0031
2001-01-24,5.5236,5.5712,5.4807,5.5236,4556391,5.3505,5.6883,5.0126
2001-01-25,5.4998,5.5474,5.4998,5.4998,512179,5.3588,5.694,5.0235
2001-01-26,5.5236,5.5236,5.4998,5.5236,13121384,5.3674,5.7019,5.033
2001-01-29,5.5474,5.5712,5.5236,5.5474,3698817,5.3764,5.7118,5.0411
2001-01-30,5.5712,5.5712,5.5331,5.5712,14510094,5.4014,5.7148,5.0881
2001-01-31,5.5807,5.5902,5.5807,5.5807,20458,5.4281,5.703,5.1532
2001-02-01,5.7616,5.8093,5.595,5.7616,11257460,5.4567,5.7459,5.1674
2001-02-02,5.8807,5.9521,5.7616,5.8807,732468,5.49,5.8132,5.1668
2001-02-05,5.8569,5.8807,5.8331,5.8569,4661270,5.5209,5.8606,5.1813
2001-02-06,5.8093,5.8569,5.8093,5.8093,4962645,5.5495,5.885,5.214
2001-02-07,5.6664,5.714,5.6664,5.6664,2253832,5.5709,5.876,5.2659
2001-02-08,5.6664,5.6664,5.6664,5.6664,112350,5.5876,5.8738,5.3014
2001-02-09,5.6664,5.714,5.6664,5.6664,1944603,5.6007,5.8753,5.3261
2001-02-12,5.5712,5.6188,5.5712,5.5712,884763,5.609,5.8683,5.3498
2001-02-13,5.5188,5.6188,5.5188,5.5188,79355696,5.6136,5.8625,5.3646
2001-02-14,5.5236,5.5474,5.5236,5.5236,14109366,5.6159,5.8602,5.3717
2001-02-15,5.595,5.595,5.5902,5.595,2015000,5.6219,5.8574,5.3864
2001-02-16,5.6426,5.6664,5.595,5.6426,90369760,5.6274,5.8593,5.3955
2001-02-19,5.6426,5.6664,5.6426,5.6426,905360,5.6309,5.8614,5.4005
2001-02-20,5.714,5.7664,5.6616,5.714,102845432,5.6381,5.8696,5.4066
2001-02-21,5.714,5.714,5.7093,5.714,5786365,5.6476,5.8749,5.4203
2001-02-22,5.714,5.714,5.714,5.714,6179515,5.6583,5.8763,5.4404
2001-02-23,5.7378,5.8093,5.714,5.7378,14448848,5.669,5.8801,5.458
2001-02-26,5.8093,5.8093,5.7378,5.8093,15821892,5.6821,5.8939,5.4704
2001-02-27,5.8331,5.8331,5.8331,5.8331,6516608,5.6952,5.9104,5.48
2001-02-28,5.7474,5.7474,5.6997,5.7474,5070943,5.7036,5.9129,5.4942
2001-03-01,5.7855,5.8093,5.7855,5.7855,13930400,5.7047,5.9158,5.4937
2001-03-02,5.7855,5.8331,5.7855,5.7855,3231653,5.7,5.8982,5.5018
2001-03-05,5.8569,5.8616,5.7855,5.8569,5937361,5.7,5.8982,5.5018
2001-03-06,5.714,5.8807,5.714,5.714,3314458,5.6952,5.8868,5.5036
