Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
2014-09-17,465.864,468.174,452.422,457.334,21056800,457.334,,
2014-09-18,456.86,456.86,413.104,424.44,34483200,440.887,487.4062,394.3679
2014-09-19,424.103,427.835,384.532,394.796,37919700,425.5233,488.0895,362.9572
2014-09-20,394.673,423.296,389.883,408.904,36863600,421.3685,475.0889,367.6481
2014-09-21,408.085,412.426,393.181,398.821,26580100,416.859,467.5653,366.1527
2014-09-22,399.1,406.916,397.13,402.152,24127600,414.4078,461.3237,367.492
2014-09-23,402.092,441.557,396.197,435.791,45099500,417.4626,463.2395,371.6856
2014-09-24,435.751,436.112,421.132,423.205,30627700,418.1804,460.7557,375.6051
2014-09-25,423.156,423.52,409.468,411.574,26814400,417.4463,457.5146,377.378
2014-09-26,411.429,414.938,400.009,404.425,21460800,416.1442,454.8082,377.4802
2014-09-27,403.556,406.623,397.372,399.52,15029300,414.6329,452.6581,376.6078
2014-09-28,399.471,401.017,374.332,377.181,23613300,411.5119,453.7258,369.298
2014-09-29,376.928,385.211,372.24,375.467,32497700,408.7392,453.8311,363.6474
2014-09-30,376.088,390.977,373.443,386.944,34707300,407.1824,452.0444,362.3205
2014-10-01,387.427,391.379,380.78,383.615,26229400,405.6113,450.5217,360.7008
2014-10-02,383.988,385.497,372.946,375.072,21777700,403.7026,449.6988,357.7064
2014-10-03,375.181,377.695,357.859,359.512,30901200,401.1031,450.5289,351.6774
2014-10-04,359.892,364.487,325.886,328.866,47236500,397.0899,455.9016,338.2783
2014-10-05,328.916,341.801,289.296,320.51,83308096,393.0594,460.151,325.9679
2014-10-06,320.389,345.134,302.56,330.079,79011800,389.9104,461.0277,318.7931
2014-10-07,330.584,339.247,320.482,336.187,49199900,383.853,451.3346,316.3715
2014-10-08,336.116,354.364,327.188,352.94,54736300,380.278,446.2654,314.2907
2014-10-09,352.748,382.726,347.687,365.026,83641104,378.7895,444.7411,312.838
2014-10-10,364.687,375.067,352.963,361.562,43665700,376.4225,441.2111,311.6338
2014-10-11,361.362,367.191,355.951,362.299,13345200,374.5964,438.7829,310.4098
2014-10-12,362.606,379.433,356.144,378.549,17552800,373.4162,436.3247,310.5077
2014-10-13,377.921,397.226,368.897,390.414,35221400,371.1474,427.5171,314.7776
2014-10-14,391.692,411.698,391.324,400.87,38491500,370.0306,422.8299,317.2313
2014-10-15,400.955,402.227,388.766,394.773,25267100,369.1906,419.6914,318.6897
2014-10-16,394.518,398.807,373.07,382.556,26990000,368.0971,416.2795,319.9147
2014-10-17,382.756,385.478,375.389,383.758,13600700,367.309,413.8138,320.8043
2014-10-18,383.976,395.158,378.971,391.442,11416800,368.0221,415.5893,320.4548
2014-10-19,391.254,393.939,386.457,389.546,5914570,368.726,417.1659,320.2861
2014-10-20,389.231,390.084,378.252,382.845,16419000,368.5211,416.6702,320.3719
2014-10-21,382.421,392.646,380.834,386.475,14188900,368.6641,417.0185,320.3096
2014-10-22,386.118,388.576,382.249,383.158,11641300,369.0684,417.7823,320.3544
2014-10-23,382.962,385.048,356.447,358.417,26456900,369.0136,417.7752,320.252
2014-10-24,358.591,364.345,353.305,358.345,15585700,370.4876,415.7995,325.1756
2014-10-25,358.611,359.861,342.877,347.271,18127500,371.8256,412.2393,331.4119
2014-10-26,347.487,359.221,343.931,354.704,11272500,373.0569,409.412,336.7017
2014-10-27,354.777,358.632,349.809,352.989,13033000,373.897,407.3233,340.4706
2014-10-28,353.215,359.984,352.679,357.618,7845880,374.1309,407.0006,341.2611
2014-10-29,357.089,357.833,335.343,335.591,18192700,372.6591,409.626,335.6923
2014-10-30,335.709,350.913,335.072,345.305,30177900,371.8463,410.5162,333.1763
2014-10-31,345.009,348.045,337.142,338.321,12545400,370.6474,411.9601,329.3346
2014-11-01,338.65,340.529,321.055,325.749,16677200,368.0074,413.7091,322.3056
2014-11-02,326.075,329.05,320.626,325.892,8603620,364.7813,412.8701,316.6924
2014-11-03,325.569,334.002,325.481,327.554,12948500,361.1154,408.797,313.4339
2014-11-04,327.161,331.767,325.077,330.492,15655500,357.9014,404.6879,311.1149
2014-11-05,330.683,343.369,330.683,339.486,19817200,355.7479,401.7139,309.7819
2014-11-06,339.458,352.966,338.424,349.29,18797000,354.0245,398.1151,309.9339
2014-11-07,349.818,352.732,341.776,342.415,16834200,351.5732,392.2216,310.9247
2014-11-08,342.154,347.032,342.154,345.488,8535470,349.3703,385.9229,312.8176
2014-11-09,345.376,363.626,344.255,363.264,24205600,348.3912,382.1076,314.6748
2014-11-10,362.265,374.816,357.561,366.924,30450100,347.4137,377.4092,317.4181
2014-11-11,365.857,371.31,363.735,367.695,15838900,346.6405,373.3769,319.9041
2014-11-12,367.985,429.718,367.985,423.561,45783200,349.8977,393.3327,306.4627
2014-11-13,427.273,457.093,401.123,420.735,58945000,353.0172,406.7481,299.2863
2014-11-14,418.417,419.252,384.789,397.818,29589200,355.5446,412.7784,298.3107
2014-11-15,399.65,405.528,371.008,376.133,15727500,356.616,414.5812,298.6508
2014-11-16,374.73,390.799,374.602,387.882,11905600,358.3607,417.9441,298.7772
