Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
1962-01-02,0.4632,0.4677,0.4587,0.4632,163200,0.4632,,
1962-01-03,0.4632,0.4677,0.4587,0.4677,156000,0.4655,0.4719,0.4591
1962-01-04,0.4783,0.4933,0.4783,0.4798,355200,0.4702,0.4873,0.4531
1962-01-05,0.4798,0.4903,0.4783,0.4843,163200,0.4737,0.4935,0.4539
1962-01-08,0.4843,0.4918,0.4813,0.4873,204000,0.4764,0.4974,0.4555
1962-01-09,0.4873,0.4963,0.4828,0.4918,290400,0.479,0.5016,0.4564
1962-01-10,0.4918,0.4948,0.4843,0.4858,182400,0.48,0.5012,0.4587
1962-01-11,0.4858,0.4933,0.4813,0.4933,384000,0.4816,0.5034,0.4598
1962-01-12,0.4933,0.5023,0.4873,0.4963,352800,0.4833,0.5059,0.4607
1962-01-15,0.4963,0.4993,0.4873,0.4948,280800,0.4844,0.5069,0.4619
1962-01-16,0.4933,0.4933,0.4872,0.4903,163200,0.4849,0.5066,0.4633
1962-01-17,0.4903,0.4963,0.4872,0.4887,160800,0.4853,0.506,0.4645
1962-01-18,0.4887,0.4993,0.4887,0.4993,261600,0.4863,0.5077,0.465
1962-01-19,0.4993,0.5084,0.4903,0.5084,357600,0.4879,0.5116,0.4643
1962-01-22,0.5084,0.5145,0.5069,0.5069,261600,0.4892,0.514,0.4644
1962-01-23,0.5069,0.5114,0.4963,0.4963,223200,0.4896,0.5139,0.4654
1962-01-24,0.4963,0.4963,0.4842,0.4933,120000,0.4898,0.5134,0.4663
1962-01-25,0.4933,0.5008,0.4918,0.4963,151200,0.4902,0.5133,0.4672
1962-01-26,0.4963,0.5008,0.4903,0.4963,108000,0.4905,0.5131,0.468
1962-01-29,0.4963,0.5008,0.4948,0.5008,122400,0.491,0.5135,0.4686
1962-01-30,0.4993,0.4993,0.4918,0.4933,120000,0.4925,0.5108,0.4743
1962-01-31,0.4933,0.5008,0.4933,0.4963,189600,0.494,0.508,0.4799
1962-02-01,0.4963,0.5084,0.4963,0.5054,112800,0.4953,0.5085,0.482
1962-02-02,0.5054,0.5069,0.5008,0.5024,199200,0.4962,0.5087,0.4837
