Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
2000-01-03,318.0389,318.0389,313.3573,318.0389,19280,318.0389,,
2000-01-04,313.3572,315.6957,313.3572,313.3572,233915,315.6981,322.319,309.0771
2000-01-05,308.6335,311.0187,308.2126,308.6335,323164,313.3432,322.7487,303.9377
2000-01-06,304.0033,308.6802,302.1325,304.0033,78699,311.0082,323.0999,298.9165
2000-01-07,306.3417,306.3417,304.0032,306.3417,183955,310.0749,321.3478,298.802
2000-01-10,318.0342,318.0342,313.3572,318.0342,67543,311.4015,323.3971,299.4058
2000-01-11,322.7112,327.3882,322.7112,322.7112,44503,313.0171,326.9098,299.1245
2000-01-12,327.3882,327.3882,325.0497,327.3882,1088573,314.8135,331.2055,298.4216
2000-01-13,327.3882,329.7267,322.7112,327.3882,401378,316.2107,333.686,298.7354
2000-01-14,334.4036,334.4503,327.3881,334.4036,769653,318.03,338.1259,297.9341
2000-01-17,339.0806,339.0806,332.0651,339.0806,117139,319.9437,342.8478,297.0396
2000-01-18,339.0806,343.7575,339.0806,339.0806,659183,321.5384,346.0125,297.0643
2000-01-19,339.5483,339.5951,339.0338,339.5483,124779,322.9238,348.3967,297.4509
2000-01-20,339.5483,341.4191,339.0806,339.5483,813792,324.1113,350.1481,298.0744
2000-01-21,336.7421,339.0806,336.7421,336.7421,39410,324.9533,350.877,299.0296
2000-01-24,330.662,334.4036,330.662,330.662,916623,325.3101,350.5169,300.1033
2000-01-25,327.3882,327.3882,318.0342,327.3882,64875,325.4324,349.8596,301.0051
2000-01-26,332.0651,332.0651,327.3881,332.0651,657727,325.8008,349.7041,301.8976
2000-01-27,332.0651,332.0651,332.0651,332.0651,509181,326.1305,349.5375,302.7236
2000-01-28,332.0651,332.0697,332.0651,332.0651,691075,326.4273,349.364,303.4906
2000-01-31,332.0651,332.0651,332.0651,332.0651,74212,327.1286,349.842,304.4152
2000-02-01,330.662,332.0652,329.7267,330.662,267262,327.9938,349.7986,306.189
2000-02-02,332.0651,332.0651,332.0651,332.0651,200810,329.1654,349.0211,309.3097
2000-02-03,339.0806,339.0806,332.0651,339.0806,126961,330.9193,347.3114,314.5271
2000-02-04,346.0961,350.7731,341.4191,346.0961,1196376,332.907,346.0747,319.7392
2000-02-07,346.0961,346.0961,346.0961,346.0961,33104,334.3101,346.7662,321.854
2000-02-08,348.9022,348.949,346.096,348.9022,419568,335.6196,348.443,322.7963
2000-02-09,350.773,351.2407,350.773,350.773,85368,336.7889,350.6727,322.9051
2000-02-10,348.4345,350.773,348.4345,348.4345,156913,337.8412,351.914,323.7684
2000-02-11,350.773,350.773,348.4345,350.773,40380,338.6597,353.7574,323.5619
2000-02-14,350.773,350.773,350.773,350.773,11519,339.2443,355.2866,323.2019
2000-02-15,350.773,350.8198,350.773,350.773,82822,339.8289,356.6781,322.9797
2000-02-16,350.773,350.773,348.4345,350.773,16491,340.3901,357.9334,322.8468
2000-02-17,348.4345,349.3699,346.096,348.4345,552108,340.8344,358.7344,322.9344
2000-02-18,343.2431,346.0961,343.2431,343.2431,75789,341.1595,358.9825,323.3364
2000-02-21,334.4036,336.742,334.3989,334.4036,69604,341.3466,358.78,323.9132
2000-02-22,334.4036,336.742,334.4036,334.4036,182742,341.6973,358.206,325.1887
2000-02-23,332.0651,334.4036,332.0651,332.0651,27890,341.6973,358.206,325.1887
2000-02-24,327.3882,332.0652,327.3882,327.3882,217908,341.4635,358.6646,324.2624
2000-02-25,313.3572,318.0342,313.3572,313.3572,506998,340.5281,361.502,319.5542
2000-02-28,307.7449,313.3572,307.7449,307.7449,3152,339.3121,364.7062,313.9179
2000-02-29,318.0342,318.0342,307.7449,318.0342,836226,338.6807,365.5647,311.7967
2000-03-01,325.0497,325.0497,322.7113,325.0497,298669,338.3299,365.755,310.9049
2000-03-02,327.3882,327.3882,325.0497,327.3882,328985,337.7453,365.5981,309.8925
2000-03-03,336.7421,336.7421,332.0652,336.7421,183227,337.2776,364.8527,309.7025
2000-03-06,336.7421,336.7421,336.7421,336.7421,132539,336.8099,364.0708,309.549
2000-03-07,322.7112,332.0652,322.7112,322.7112,552593,335.5004,362.8316,308.1691
2000-03-08,325.0497,325.0497,322.7113,325.0497,39531,334.2142,360.9335,307.4949
2000-03-09,325.0497,325.0497,322.7113,325.0497,19523,333.045,359.1844,306.9055
2000-03-10,325.0497,325.0497,325.0497,325.0497,52264,331.7588,356.7308,306.7868
2000-03-13,325.0497,325.0497,325.0497,325.0497,0,330.4726,353.9247,307.0206
2000-03-14,322.7112,325.0497,318.0342,322.7112,28617,329.0695,350.6943,307.4448
2000-03-15,318.0342,319.905,318.0342,318.0342,84641,327.4326,346.9984,307.8668
2000-03-16,318.0342,318.081,318.0342,318.0342,194626,325.9126,343.1992,308.6259
2000-03-17,318.0342,318.5019,318.0342,318.0342,238765,324.6521,340.2077,309.0966
2000-03-20,318.0342,318.0342,318.0342,318.0342,485,323.8337,338.9451,308.7222
2000-03-21,318.0342,318.0342,313.3572,318.0342,23888,323.0152,337.4753,308.5551
2000-03-22,308.6803,313.3572,308.6803,308.6803,365849,321.846,336.9905,306.7014
2000-03-23,306.3417,306.3417,306.3417,306.3417,97010,320.7936,337.1899,304.3974
2000-03-24,308.6803,308.6803,308.6803,308.6803,151578,320.5598,337.5261,303.5935
2000-03-27,307.511,308.6802,307.511,307.511,229913,320.5481,337.5518,303.5444
2000-03-28,308.6803,308.6803,308.6803,308.6803,301701,320.0804,337.8716,302.2892
2000-03-29,308.6803,308.6803,308.6803,308.6803,6911,319.2619,337.5887,300.9352
2000-03-30,306.3417,307.7448,306.3417,306.3417,8003,318.2096,336.9832,299.436
2000-03-31,306.3417,306.3417,306.3417,306.3417,37348,316.6896,334.012,299.3672
2000-04-03,305.1725,305.1725,305.1725,305.1725,242,315.1111,330.3704,299.8518
2000-04-04,301.6648,304.9387,301.6648,301.6648,6669,314.0588,329.9989,298.1187
2000-04-05,301.6648,301.6648,301.6648,301.6648,242,312.8896,328.8657,296.9134
2000-04-06,301.6648,301.6648,301.6181,301.6648,9094,311.7203,327.3688,296.0718
2000-04-07,308.6803,308.7271,301.6648,308.6803,54689,310.9018,325.2753,296.5284
2000-04-10,308.6803,308.6803,308.6803,308.6803,242,310.0834,322.8377,297.329
2000-04-11,308.6803,309.148,308.6803,308.6803,128174,309.3818,320.671,298.0926
2000-04-12,304.0033,308.6334,304.0033,304.0033,100526,308.6803,319.4368,297.9238
2000-04-13,299.3263,304.0033,299.3263,299.3263,54931,307.7449,318.3287,297.161
2000-04-14,289.9724,299.3263,289.9724,289.9724,22433,306.3418,318.5048,294.1788
2000-04-17,294.6493,294.6493,294.6493,294.6493,4850,305.1725,317.0965,293.2485
2000-04-18,289.9724,294.1817,289.9724,289.9724,83671,303.7694,315.923,291.6159
2000-04-19,289.9724,289.9724,289.9724,289.9724,75061,302.834,316.214,289.4541
2000-04-20,289.9724,289.9724,289.9724,289.9724,0,302.0156,316.4529,287.5782
2000-04-21,289.9724,289.9724,289.9724,289.9724,0,301.0802,316.1114,286.049
2000-04-24,289.9724,289.9724,289.9724,289.9724,5456,300.2033,315.6941,284.7124
2000-04-25,289.9724,294.6493,289.9724,289.9724,21099,299.2679,314.8624,283.6733
2000-04-26,285.2954,289.9724,285.2954,285.2954,12126,298.0986,314.2195,281.9777
2000-04-27,285.763,285.9969,285.2953,285.763,13460,297.0697,313.5971,280.5422
2000-04-28,285.763,285.763,285.763,285.763,0,296.0407,312.6995,279.382
2000-05-01,285.763,285.763,285.763,285.763,0,295.0703,311.7505,278.39
2000-05-02,285.2954,285.2954,285.2954,285.2954,12126,294.2518,311.1743,277.3293
2000-05-03,280.6184,285.2954,280.6184,280.6184,24252,293.1995,310.7855,275.6134
2000-05-04,268.926,275.9415,266.5876,268.926,77729,291.5625,311.7353,271.3897
2000-05-05,275.9414,275.9414,268.9259,275.9414,220819,289.9256,309.5558,270.2954
2000-05-08,271.2645,275.9414,271.2645,271.2645,62207,288.0548,307.2868,268.8228
2000-05-09,271.2645,271.2645,271.2645,271.2645,47049,286.184,304.2097,268.1584
2000-05-10,266.5875,266.5875,266.5875,266.5875,3637,284.3132,302.3184,266.308
2000-05-11,268.926,268.926,266.5876,268.926,167584,282.7932,300.5936,264.9928
2000-05-12,289.9724,289.9724,278.2799,289.9724,138360,282.7932,300.5936,264.9928
2000-05-15,308.6803,308.6803,304.0033,308.6803,69725,283.4948,304.1411,262.8484
2000-05-16,313.3572,327.3881,308.2125,313.3572,313827,284.664,309.1471,260.1809
2000-05-17,306.3417,313.3572,306.3417,306.3417,118473,285.4825,311.7427,259.2222
2000-05-18,308.6803,308.6803,306.3418,308.6803,906558,286.4179,314.613,258.2228
2000-05-19,308.6803,308.6803,304.0033,308.6803,275629,287.3533,317.2357,257.4708
2000-05-22,308.6803,308.6803,308.6803,308.6803,4365,288.2887,319.6509,256.9264
2000-05-23,304.0033,308.6802,303.0678,304.0033,2217649,288.9902,321.1291,256.8513
2000-05-24,304.0033,304.0033,298.3909,304.0033,2910,289.9256,322.6945,257.1567
2000-05-25,304.0033,304.0033,304.0033,304.0033,30921,290.8376,324.1299,257.5454
2000-05-26,303.5356,303.5356,303.5356,303.5356,5456,291.7262,325.3948,258.0577
2000-05-29,301.6648,303.0679,301.6648,301.6648,65481,292.5213,326.3476,258.695
2000-05-30,301.6648,301.6648,301.6648,301.6648,33225,293.3398,327.222,259.4575
2000-05-31,304.0033,304.0033,301.6648,304.0033,20978,294.509,328.156,260.8621
2000-06-01,304.0033,304.0033,304.0033,304.0033,183712,296.2629,327.8913,264.6345
2000-06-02,306.3417,306.3417,304.0032,306.3417,1872899,297.7829,328.198,267.3679
2000-06-05,304.0033,304.0033,304.0033,304.0033,141270,299.4199,327.2387,271.601
2000-06-06,304.0033,304.0033,304.0033,304.0033,0,301.0568,325.5546,276.559
