Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
2008-01-02,14.7499,14.7499,14.3775,14.3775,103887755,14.3775,,
2008-01-03,14.3775,14.4697,14.1932,14.3038,34533343,14.3407,14.4449,14.2364
2008-01-04,14.3038,14.3038,14.0089,14.101,42583150,14.2608,14.5471,13.9744
2008-01-07,14.1195,14.1416,13.972,14.0089,36061655,14.1978,14.5415,13.8541
2008-01-08,14.0089,14.16,14.0089,14.0089,31888461,14.16,14.5023,13.8178
2008-01-09,14.0089,14.0089,13.714,13.8282,19443108,14.1047,14.5135,13.6959
2008-01-10,13.9167,14.3775,13.9167,14.2116,38428851,14.12,14.5018,13.7382
2008-01-11,14.2669,14.5287,14.2485,14.525,87788896,14.1706,14.6256,13.7157
2008-01-14,14.5803,14.6172,14.5213,14.6172,51461042,14.2202,14.7396,13.7009
2008-01-15,14.3775,14.6172,14.1932,14.4697,55303972,14.2452,14.7596,13.7308
2008-01-16,14.3739,14.6172,14.0089,14.1932,26797111,14.2405,14.7295,13.7514
2008-01-17,14.1932,14.3407,13.8614,13.9352,44765330,14.215,14.7135,13.7165
2008-01-18,14.0126,14.2301,13.8246,13.8651,32873181,14.1881,14.7033,13.6729
2008-01-21,13.6402,14.2301,13.1241,13.2716,59361680,14.1226,14.8191,13.4262
2008-01-22,13.0872,14.2301,12.7186,13.8246,36433288,14.1028,14.7913,13.4142
2008-01-23,13.6402,14.2301,13.2716,13.6402,23457764,14.0739,14.7781,13.3696
2008-01-24,13.6402,14.6725,13.6402,14.654,83564538,14.108,14.8457,13.3703
2008-01-25,14.654,14.9305,14.5582,14.6872,50958631,14.1402,14.9061,13.3742
2008-01-28,14.4144,14.7462,14.3775,14.3775,57038204,14.1527,14.905,13.4003
2008-01-29,14.3775,14.9305,14.3775,14.8125,45176492,14.1857,14.9751,13.3962
2008-01-30,14.7425,15.1148,14.7093,15.1148,44815750,14.2225,15.1122,13.3328
2008-01-31,14.9305,15.2254,14.8199,15.207,44582107,14.2677,15.2605,13.2749
2008-02-01,15.1112,15.4835,15.1112,15.2992,44538464,14.3276,15.4179,13.2373
2008-02-04,15.4098,15.4098,15.2439,15.2549,52165951,14.3899,15.544,13.2358
2008-02-05,15.2623,15.2623,15.0337,15.0411,15364563,14.4415,15.616,13.267
2008-02-06,15.0411,15.2254,15.078,15.1148,35467750,14.5058,15.6799,13.3318
2008-02-07,15.0227,15.2955,15.0227,15.1148,41232110,14.551,15.7467,13.3553
2008-02-08,15.207,15.207,14.9305,15.0227,2237540,14.5759,15.7899,13.3619
2008-02-11,15.2992,15.2992,15.0595,15.1148,3420727,14.6008,15.8385,13.363
2008-02-12,15.0411,15.3176,15.1148,15.2992,17047951,14.6422,15.9165,13.368
2008-02-13,15.2807,15.4835,15.2254,15.3065,18300114,14.6979,15.9868,13.409
2008-02-14,15.4835,15.4872,15.207,15.207,22871280,14.7615,16.017,13.506
2008-02-15,15.2033,15.2955,14.8384,14.842,9661786,14.8103,15.9929,13.6278
2008-02-18,14.842,14.9379,14.842,14.9379,1319440,14.8937,15.8286,13.9587
2008-02-19,15.1148,15.3508,14.9305,15.1259,16688948,14.9587,15.7506,14.1669
2008-02-20,15.078,15.4798,15.078,15.4098,6262189,15.0472,15.5677,14.5267
2008-02-21,15.4098,15.5572,15.3913,15.5572,29704181,15.0924,15.6258,14.5589
2008-02-22,15.5941,15.7416,15.5499,15.6678,14073934,15.1414,15.6978,14.585
2008-02-25,15.6678,15.8522,15.6494,15.7858,10845387,15.2118,15.7151,14.7085
2008-02-26,15.76,15.76,15.6678,15.7416,15244149,15.2583,15.7776,14.7389
2008-02-27,15.4835,15.8448,15.4835,15.8153,22528590,15.2933,15.8639,14.7227
2008-02-28,15.8153,16.1655,15.7416,16.0734,45964808,15.3366,16.0031,14.6701
2008-02-29,15.8522,15.9259,15.6678,15.8448,25887875,15.3639,16.0675,14.6602
2008-03-03,15.5204,15.9443,15.4835,15.9443,24952968,15.3983,16.1457,14.651
2008-03-04,15.8522,15.8522,15.4798,15.6678,32534683,15.4297,16.1665,14.6929
2008-03-05,15.6678,15.6678,15.4356,15.6678,77386722,15.4573,16.1858,14.7288
2008-03-06,15.6678,15.6715,15.5204,15.5609,35235521,15.4796,16.1911,14.7682
2008-03-07,15.5204,15.5609,15.4466,15.4835,9297863,15.5027,16.1809,14.8244
2008-03-10,15.4835,15.6678,14.7831,14.831,70985736,15.4885,16.2113,14.7657
2008-03-11,15.1148,15.4466,15.0079,15.1407,21774630,15.4806,16.2155,14.7456
2008-03-12,15.207,15.4835,15.207,15.395,14555627,15.485,16.2166,14.7534
2008-03-13,15.325,15.631,15.2807,15.3729,11531724,15.4933,16.2153,14.7713
2008-03-14,15.3729,15.8522,15.3729,15.572,36056465,15.5298,16.1838,14.8758
2008-03-17,15.4835,15.8522,15.1148,15.8485,39414120,15.5753,16.1808,14.9698
2008-03-18,15.8558,15.8558,15.4835,15.6678,189112873,15.6024,16.1706,15.0342
2008-03-19,15.5241,15.8522,15.6641,15.6678,730832288,15.6153,16.1767,15.0539
2008-03-20,15.1112,15.1112,14.5619,14.5619,13676065,15.5655,16.2988,14.8323
2008-03-21,14.5619,14.5619,14.5619,14.5619,0,15.5102,16.3674,14.6531
2008-03-24,14.5619,14.5656,14.3296,14.3591,10058750,15.4389,16.4269,14.4509
2008-03-25,14.3591,14.5619,14.1932,14.1932,10116808,15.3615,16.4833,14.2397
2008-03-26,14.1932,14.5619,13.7877,13.972,33859638,15.2693,16.5286,14.0101
2008-03-27,14.0089,14.1563,14.0089,14.1563,10424862,15.1735,16.4664,13.8805
2008-03-28,14.1748,14.3775,14.1563,14.1821,15253560,15.0903,16.4149,13.7657
2008-03-31,14.1932,14.3775,14.1195,14.1563,16362720,15.0009,16.3242,13.6777
2008-04-01,14.3775,14.3775,14.1195,14.1563,12650956,14.9254,16.2609,13.5899
2008-04-02,14.1563,14.2338,14.1195,14.2301,24341990,14.8535,16.1754,13.5315
2008-04-03,14.3038,14.3075,14.2116,14.2854,26155365,14.7897,16.0908,13.4885
2008-04-04,14.3702,14.525,14.3112,14.3775,10693032,14.7344,16.005,13.4638
2008-04-07,14.3775,14.5619,14.3775,14.4328,14530779,14.7145,15.9912,13.4378
2008-04-08,14.4513,14.525,14.3775,14.4328,14050715,14.6791,15.9453,13.4129
2008-04-09,14.4328,14.4513,14.3001,14.4513,7817390,14.6319,15.8554,13.4084
2008-04-10,14.5619,14.5619,14.3149,14.4513,14612939,14.5858,15.7602,13.4114
2008-04-11,14.5213,14.5213,14.3407,14.5213,9864189,14.5333,15.6121,13.4545
2008-04-14,14.4144,14.4513,14.3775,14.3775,3195022,14.4597,15.344,13.5755
2008-04-15,14.3775,14.3775,14.1563,14.1563,32672127,14.3842,15.0697,13.6986
2008-04-16,14.2669,14.3591,14.0974,14.1932,10227207,14.3104,14.6389,13.982
2008-04-17,14.1932,14.3038,14.0863,14.1195,25462536,14.2883,14.6049,13.9718
2008-04-18,14.1195,14.5508,14.1195,14.4881,30611388,14.2846,14.5892,13.98
2008-04-21,14.5619,14.5619,14.2301,14.3407,56993968,14.2837,14.5875,13.9799
2008-04-22,14.3407,14.3775,14.2854,14.3775,81215396,14.2929,14.5963,13.9895
2008-04-23,14.3739,14.3775,14.219,14.219,49908919,14.3053,14.5715,14.0391
