Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
1980-03-17,0.0572,0.0598,0.0572,0.0572,147669,0.0572,,
1980-03-18,0.0572,0.0598,0.0572,0.0572,566063,0.0572,0.0572,0.0572
1980-03-19,0.0572,0.0591,0.0566,0.0566,787566,0.057,0.0577,0.0563
1980-03-20,0.061,0.0636,0.061,0.061,1452075,0.058,0.0621,0.054
1980-03-21,0.063,0.0655,0.063,0.063,492229,0.059,0.0647,0.0534
1980-03-24,0.063,0.0649,0.0623,0.0623,344560,0.0596,0.0653,0.0538
1980-03-25,0.0623,0.0623,0.0598,0.0598,787566,0.0596,0.0648,0.0544
1980-03-26,0.0598,0.0623,0.0598,0.0598,24611,0.0596,0.0645,0.0548
1980-03-27,0.0509,0.0509,0.0483,0.0483,2313475,0.0584,0.0671,0.0496
1980-03-28,0.0515,0.054,0.0515,0.0515,590675,0.0577,0.067,0.0483
1980-03-31,0.054,0.0566,0.054,0.054,418394,0.0573,0.0665,0.0482
1980-04-01,0.0553,0.0579,0.0553,0.0553,270726,0.0572,0.066,0.0484
1980-04-02,0.0553,0.0579,0.0553,0.0553,49223,0.057,0.0655,0.0486
1980-04-03,0.0553,0.0579,0.0553,0.0553,98446,0.0569,0.0651,0.0487
1980-04-07,0.0553,0.0566,0.054,0.054,246114,0.0567,0.0648,0.0487
1980-04-08,0.054,0.056,0.0534,0.0534,24611,0.0565,0.0644,0.0486
1980-04-09,0.0534,0.056,0.0534,0.0534,196892,0.0563,0.0642,0.0485
1980-04-10,0.0553,0.0579,0.0553,0.0553,738343,0.0563,0.0639,0.0487
1980-04-11,0.0553,0.0579,0.0553,0.0553,443006,0.0562,0.0636,0.0488
1980-04-14,0.0553,0.0572,0.0547,0.0547,270726,0.0561,0.0634,0.0489
1980-04-15,0.0547,0.0572,0.0547,0.0547,639897,0.056,0.0633,0.0488
1980-04-16,0.0547,0.0547,0.0547,0.0547,0,0.0559,0.0631,0.0486
1980-04-17,0.0547,0.0547,0.0547,0.0547,0,0.0558,0.0631,0.0485
1980-04-18,0.0547,0.0572,0.0547,0.0547,49223,0.0555,0.0623,0.0486
1980-04-21,0.0547,0.0572,0.0547,0.0547,24611,0.0551,0.0609,0.0492
1980-04-22,0.0547,0.0547,0.0547,0.0547,0,0.0547,0.0595,0.0499
1980-04-23,0.0547,0.0572,0.0547,0.0547,246114,0.0544,0.0586,0.0503
1980-04-24,0.0547,0.0572,0.0547,0.0547,270726,0.0542,0.0575,0.0509
1980-04-25,0.0566,0.0591,0.0566,0.0566,836789,0.0546,0.0566,0.0526
1980-04-28,0.0572,0.0598,0.0572,0.0572,295337,0.0549,0.0567,0.0531
1980-04-29,0.0585,0.061,0.0585,0.0585,319949,0.0551,0.0575,0.0527
1980-04-30,0.0585,0.0585,0.0585,0.0585,0,0.0553,0.0581,0.0524
1980-05-01,0.0585,0.061,0.0585,0.0585,270726,0.0554,0.0586,0.0522
1980-05-02,0.0585,0.061,0.0585,0.0585,172280,0.0556,0.059,0.0521
1980-05-05,0.0585,0.061,0.0585,0.0585,98446,0.0558,0.0594,0.0522
1980-05-06,0.0591,0.0617,0.0591,0.0591,172280,0.0561,0.0598,0.0524
1980-05-07,0.0591,0.0617,0.0591,0.0591,319949,0.0564,0.0601,0.0526
1980-05-08,0.061,0.0636,0.061,0.061,516840,0.0567,0.0609,0.0524
1980-05-09,0.0623,0.0649,0.0623,0.0623,910623,0.057,0.0619,0.0521
1980-05-12,0.0642,0.0668,0.0642,0.0642,393783,0.0575,0.0632,0.0518
1980-05-13,0.0687,0.0712,0.0687,0.0687,1205960,0.0582,0.0656,0.0507
1980-05-14,0.0674,0.0674,0.0649,0.0649,886012,0.0587,0.0665,0.0509
1980-05-15,0.0674,0.0699,0.0674,0.0674,369172,0.0593,0.0678,0.0508
1980-05-16,0.0753,0.0753,0.0715,0.0715,836789,0.0602,0.07,0.0504
1980-05-19,0.0715,0.0744,0.0706,0.0706,196892,0.061,0.0714,0.0505
1980-05-20,0.0706,0.0734,0.0696,0.0696,492229,0.0617,0.0724,0.051
1980-05-21,0.0706,0.0744,0.0706,0.0706,426598,0.0625,0.0734,0.0516
1980-05-22,0.0706,0.0744,0.0706,0.0706,393783,0.0633,0.0741,0.0525
1980-05-23,0.0773,0.0811,0.0773,0.0773,984458,0.0643,0.0763,0.0523
1980-05-27,0.0773,0.0792,0.0753,0.0753,853197,0.0652,0.0777,0.0528
1980-05-28,0.0753,0.0792,0.0753,0.0753,131261,0.0661,0.0789,0.0533
1980-05-29,0.0753,0.0792,0.0753,0.0753,689120,0.0669,0.0798,0.054
1980-05-30,0.0753,0.0792,0.0753,0.0753,164076,0.0678,0.0806,0.055
1980-06-02,0.0753,0.0782,0.0744,0.0744,328153,0.0686,0.0809,0.0562
1980-06-03,0.0744,0.0744,0.0706,0.0706,344560,0.0692,0.0806,0.0577
1980-06-04,0.0715,0.0753,0.0715,0.0715,278930,0.0698,0.0802,0.0593
1980-06-05,0.0715,0.0744,0.0706,0.0706,295337,0.0704,0.0795,0.0612
1980-06-06,0.0706,0.0744,0.0706,0.0706,443006,0.0708,0.0789,0.0628
1980-06-09,0.0773,0.0811,0.0773,0.0773,1739208,0.0716,0.079,0.0641
1980-06-10,0.0773,0.0801,0.0763,0.0763,574267,0.0722,0.0791,0.0653
1980-06-11,0.0763,0.0801,0.0763,0.0763,180484,0.0726,0.0795,0.0657
