Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
2000-01-03,2259.3108,2259.3108,2190.1482,2217.8132,158900,2217.8132,,
2000-01-04,2213.2019,2213.2019,2167.0935,2180.926,84900,2199.3696,2251.536,2147.2032
2000-01-05,2222.4241,2222.4241,2167.094,2217.8132,227400,2205.5175,2248.1112,2162.9238
2000-01-06,2217.8127,2217.8127,2185.5369,2185.5369,221700,2200.5223,2240.631,2160.4137
2000-01-07,2194.7593,2194.7593,2176.3159,2194.7593,97300,2199.3697,2234.4853,2164.2542
2000-01-10,2227.0347,2227.0347,2194.7588,2222.4238,575100,2203.2121,2239.8291,2166.595
2000-01-11,2231.6455,2231.6455,2194.7588,2203.9805,186900,2203.3218,2236.7535,2169.8902
2000-01-12,2296.197,2296.197,2213.2019,2296.197,1252100,2214.9312,2287.5323,2142.3302
2000-01-13,2425.3008,2425.3008,2305.419,2379.1924,695600,2233.1825,2362.0387,2104.3263
2000-01-14,2397.9117,2397.9117,2379.1917,2397.635,590000,2249.6277,2409.5555,2089.7
2000-01-17,2425.301,2425.301,2305.4192,2420.6902,362500,2265.1789,2448.6457,2081.7121
2000-01-18,2462.1867,2462.1867,2397.635,2397.635,341700,2276.2169,2467.1312,2085.3026
2000-01-19,2434.5225,2434.5225,2397.6358,2425.3008,321800,2287.6849,2488.3081,2087.0616
2000-01-20,2425.3005,2425.3005,2397.6355,2416.0789,260900,2296.8559,2501.4617,2092.25
2000-01-21,2425.3005,2425.3005,2406.8572,2416.0789,216300,2304.8041,2511.3561,2098.252
2000-01-24,2416.0788,2416.0788,2369.9705,2360.7488,223100,2308.3006,2509.7998,2106.8014
2000-01-25,2360.7495,2360.7495,2305.4194,2323.8628,257300,2309.216,2504.4628,2113.9693
2000-01-26,2369.9709,2369.9709,2314.6409,2314.6409,281300,2309.5174,2498.9519,2120.083
2000-01-27,2314.6411,2314.6411,2277.7544,2286.9761,229500,2308.331,2492.7185,2123.9435
2000-01-28,2314.7327,2314.7327,2296.197,2296.197,79000,2307.7243,2487.276,2128.1727
2000-01-31,2296.197,2296.197,2268.532,2296.197,189400,2311.6435,2486.2866,2137.0005
2000-02-01,2297.1197,2297.1197,2296.1975,2291.5867,287700,2317.1766,2481.0628,2153.2903
2000-02-02,2314.6409,2314.6409,2291.5867,2314.6409,411900,2322.0179,2479.1256,2164.9102
2000-02-03,2379.1924,2379.1924,2314.6407,2379.1924,61200,2331.7007,2476.8033,2186.5981
2000-02-04,2485.2417,2485.2417,2379.1924,2480.6309,180800,2345.9943,2490.6181,2201.3705
2000-02-07,2480.6309,2480.6309,2443.7442,2480.6309,151700,2358.9046,2503.1815,2214.6278
2000-02-08,2489.8523,2489.8523,2471.4089,2489.8523,164000,2373.1982,2509.2591,2237.1373
2000-02-09,2527.6612,2527.6612,2489.8523,2526.739,114500,2384.7253,2531.9257,2237.5249
2000-02-10,2508.2956,2508.2956,2480.6306,2489.8523,178500,2390.2583,2544.7228,2235.7938
2000-02-11,2499.0742,2499.0742,2462.1875,2499.0742,157700,2395.3303,2557.2943,2233.3663
2000-02-14,2499.0742,2499.0742,2471.4092,2471.4092,63600,2397.8662,2563.0582,2232.6743
