Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
1986-07-09,7.1303,7.3805,7.047,7.3388,1116800,7.3388,,
1986-07-10,7.3805,7.4222,7.1303,7.2971,595600,7.318,7.377,7.259
1986-07-11,7.2554,7.2971,7.047,7.047,800400,7.2276,7.5434,6.9119
1986-07-14,7.0887,7.0887,6.7551,6.8385,738000,7.1303,7.5972,6.6635
1986-07-15,6.7968,6.7968,6.213,6.63,2059200,7.0303,7.6334,6.4272
1986-07-16,6.63,7.0053,6.63,6.7551,1160400,6.9844,7.5688,6.4
1986-07-17,6.7551,6.8385,6.6717,6.7968,1046000,6.9576,7.5096,6.4056
1986-07-18,6.7968,6.901,6.6717,6.8385,1420000,6.9427,7.4606,6.4248
1986-07-21,6.8385,6.8802,6.7968,6.8385,322800,6.9311,7.4206,6.4417
1986-07-22,6.8385,6.8593,6.7968,6.7968,390800,6.9177,7.3869,6.4485
1986-07-23,6.8385,6.8385,6.6717,6.7134,1004000,6.8991,7.361,6.4372
1986-07-24,6.7134,6.7551,6.5466,6.63,1071600,6.8767,7.3437,6.4097
1986-07-25,6.63,6.7551,6.5883,6.7134,688400,6.8641,7.3203,6.4079
1986-07-28,6.7134,6.8385,6.6508,6.7551,414800,6.8563,7.2985,6.4142
1986-07-29,6.6717,6.7968,6.6717,6.7968,278400,6.8524,7.2795,6.4252
1986-07-30,6.7134,6.7551,6.5883,6.7551,459200,6.8463,7.2618,6.4307
1986-07-31,6.7551,6.8385,6.6717,6.7134,1213600,6.8385,7.246,6.431
1986-08-01,6.6717,6.7551,6.5049,6.5049,1118000,6.8199,7.2454,6.3945
1986-08-04,6.5466,6.5466,6.3589,6.5049,892400,6.8033,7.2414,6.3653
1986-08-05,6.5049,6.5049,6.3381,6.3798,868800,6.7822,7.2487,6.3157
1986-08-06,6.3798,6.4215,6.0879,6.0879,550400,6.7196,7.2069,6.2324
1986-08-07,6.0045,6.0462,5.4207,5.5875,7560000,6.6341,7.2715,5.9968
1986-08-08,5.6292,5.9628,5.5875,5.9211,2802000,6.5779,7.2591,5.8966
1986-08-11,6.0045,6.0879,5.9211,6.0879,1428000,6.5403,7.2434,5.8372
1986-08-12,6.0879,6.2964,6.0879,6.2547,1155200,6.5216,7.2346,5.8086
1986-08-13,6.2964,6.7342,6.2547,6.4632,865600,6.507,7.2117,5.8022
1986-08-14,6.5049,6.5466,6.2547,6.3381,762000,6.484,7.1789,5.7892
1986-08-15,6.3381,6.3381,6.1296,6.2547,654400,6.4548,7.1359,5.7738
1986-08-18,6.2964,6.5883,6.1713,6.4632,606800,6.4361,7.0929,5.7793
1986-08-19,6.5049,6.5049,6.3381,6.3798,2744000,6.4152,7.0499,5.7805
1986-08-20,6.3798,6.3798,6.2547,6.3381,500000,6.3965,7.0161,5.7769
1986-08-21,6.3381,6.3798,6.2964,6.2964,353200,6.3798,6.9908,5.7687
1986-08-22,6.3381,6.3798,6.2547,6.2547,286000,6.3569,6.9493,5.7644
1986-08-25,6.3381,6.3381,6.0879,6.1713,766400,6.3277,6.8945,5.7608
1986-08-26,6.1296,6.2547,6.1296,6.2547,408800,6.3006,6.8231,5.7781
1986-08-27,6.2547,6.2547,6.1296,6.213,686400,6.2735,6.751,5.7959
1986-08-28,6.213,6.213,6.0879,6.1296,286000,6.2443,6.6779,5.8106
