Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
1983-12-30,0.5774,0.5774,0.5739,0.5756,282000,0.5756,,
1984-01-03,0.5756,0.5792,0.5756,0.5792,1062000,0.5774,0.5825,0.5724
1984-01-04,0.5792,0.5881,0.5792,0.5863,420000,0.5804,0.5913,0.5695
1984-01-05,0.5917,0.5952,0.5881,0.5917,222000,0.5832,0.5976,0.5688
1984-01-06,0.5917,0.5952,0.5881,0.5917,1035000,0.5849,0.5995,0.5703
1984-01-09,0.5917,0.5917,0.5881,0.5899,543000,0.5857,0.5994,0.5721
1984-01-10,0.597,0.6006,0.5917,0.597,3729000,0.5873,0.6025,0.5722
1984-01-11,0.597,0.6077,0.597,0.6077,564000,0.5899,0.61,0.5698
1984-01-12,0.6077,0.6131,0.6042,0.6113,459000,0.5923,0.6158,0.5687
1984-01-13,0.6113,0.6113,0.6042,0.6042,114000,0.5935,0.6169,0.57
1984-01-16,0.6042,0.6042,0.5988,0.5988,3231000,0.5939,0.6164,0.5715
1984-01-17,0.5988,0.6006,0.5952,0.597,504000,0.5942,0.6157,0.5727
1984-01-18,0.597,0.6042,0.597,0.6006,3156000,0.5947,0.6156,0.5738
1984-01-19,0.6006,0.6042,0.6006,0.6006,198000,0.5951,0.6154,0.5748
1984-01-20,0.6006,0.6042,0.5988,0.5988,204000,0.5954,0.615,0.5757
1984-01-23,0.5988,0.5988,0.5935,0.5935,159000,0.5952,0.6143,0.5762
1984-01-24,0.5935,0.5952,0.5899,0.5935,414000,0.5951,0.6136,0.5767
1984-01-25,0.5935,0.597,0.5899,0.5899,417000,0.5948,0.6129,0.5768
1984-01-26,0.5899,0.5917,0.5774,0.581,1152000,0.5941,0.6128,0.5754
1984-01-27,0.581,0.5828,0.5792,0.5828,225000,0.5935,0.6124,0.5747
1984-01-30,0.5828,0.5845,0.5667,0.5667,435000,0.5931,0.6141,0.5721
1984-01-31,0.5667,0.5685,0.5649,0.5667,624000,0.5925,0.6158,0.5692
1984-02-01,0.5667,0.5667,0.5578,0.5578,558000,0.5911,0.619,0.5631
1984-02-02,0.5578,0.5578,0.5525,0.556,648000,0.5893,0.6213,0.5573
1984-02-03,0.556,0.556,0.5418,0.5471,429000,0.587,0.6241,0.5499
1984-02-06,0.54,0.5436,0.5364,0.5364,525000,0.5844,0.6278,0.541
1984-02-07,0.5257,0.5311,0.5257,0.5311,2307000,0.5811,0.6301,0.5321
1984-02-08,0.5311,0.54,0.5311,0.5311,1104000,0.5772,0.6294,0.5251
1984-02-09,0.5248,0.5293,0.5204,0.5275,3843000,0.5731,0.6271,0.519
1984-02-10,0.5275,0.5311,0.5257,0.5293,1266000,0.5693,0.6246,0.514
1984-02-13,0.5293,0.5311,0.5168,0.5168,330000,0.5652,0.6234,0.507
1984-02-14,0.5168,0.5222,0.5168,0.5222,1005000,0.5615,0.6207,0.5023
1984-02-15,0.5222,0.5275,0.5204,0.5257,1218000,0.5577,0.616,0.4995
1984-02-16,0.5231,0.524,0.5222,0.524,378000,0.5539,0.6103,0.4975
