Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
2004-06-23,3.6957,4.2624,3.6341,4.2378,43574400,4.2378,,
2004-06-24,4.324,4.3585,4.0653,4.1294,8887200,4.1836,4.3369,4.0303
2004-06-25,4.0678,4.1269,3.8904,3.8928,6710000,4.0867,4.4394,3.7339
2004-06-28,3.9421,3.9939,3.8041,3.9421,2270800,4.0505,4.3728,3.7283
2004-06-29,3.9421,4.1146,3.9002,4.0407,2112000,4.0486,4.3278,3.7693
2004-06-30,4.0407,4.1737,3.9495,3.9594,2087600,4.0337,4.2939,3.7735
2004-07-01,3.9618,3.9914,3.9175,3.9495,1754800,4.0217,4.2675,3.7758
2004-07-02,3.9668,4.1836,3.9544,4.1836,993200,4.0419,4.2967,3.7871
2004-07-06,4.1713,4.1885,4.0604,4.1885,1216800,4.0582,4.3158,3.8006
2004-07-07,4.1639,4.1639,3.9544,4.0185,1787600,4.0542,4.2984,3.8101
2004-07-08,4.0185,4.0185,3.8584,3.8781,2179200,4.0382,4.293,3.7834
2004-07-09,3.9273,4.0826,3.9175,4.0407,596800,4.0384,4.2814,3.7954
2004-07-12,4.09,4.1466,3.9791,4.1269,780800,4.0452,4.283,3.8075
2004-07-13,4.1244,4.1244,3.9618,3.9618,1674000,4.0393,4.272,3.8065
2004-07-14,3.9544,3.9544,3.8386,3.8559,2366000,4.027,4.2705,3.7836
2004-07-15,3.8805,3.8928,3.681,3.7795,1806000,4.0116,4.2773,3.7458
2004-07-16,3.7943,4.0407,3.6859,3.9421,3278800,4.0075,4.267,3.748
2004-07-19,3.9544,3.984,3.9002,3.9446,954800,4.004,4.2575,3.7505
2004-07-20,3.9446,3.9865,3.8263,3.9569,2245200,4.0015,4.2488,3.7542
2004-07-21,3.9668,3.9668,2.7225,2.8827,25415200,3.9456,4.5008,3.3903
2004-07-22,2.8457,3.2473,2.7841,3.198,9824800,3.8936,4.5233,3.2638
2004-07-23,3.1907,3.3262,3.1414,3.2128,1674400,3.8478,4.5359,3.1596
2004-07-26,3.3385,3.3385,3.1734,3.272,1286000,3.8167,4.5508,3.0826
2004-07-27,3.2966,3.3089,3.2276,3.2375,751200,3.7815,4.5567,3.0062
2004-07-28,3.2153,3.2572,3.1044,3.2005,1534800,3.7395,4.546,2.9329
2004-07-29,3.203,3.2892,3.1907,3.1931,908000,3.7012,4.536,2.8663
2004-07-30,3.1931,3.2523,3.0921,3.2054,815200,3.664,4.5183,2.8096
2004-08-02,3.198,3.2227,3.097,3.1562,1297600,3.6126,4.4589,2.7663
2004-08-03,3.1537,3.2251,2.9541,2.9886,2944400,3.5526,4.3971,2.7081
2004-08-04,2.9886,2.9936,2.9443,2.9517,2746800,3.4993,4.3546,2.6439
2004-08-05,2.9541,2.9541,2.6314,2.6856,3030400,3.4396,4.3483,2.5309
2004-08-06,2.6856,2.7102,2.6388,2.6535,1797200,3.3703,4.2974,2.4432
2004-08-09,2.6979,2.7225,2.6757,2.7077,1121600,3.2993,4.1994,2.3992
2004-08-10,2.7102,2.7201,2.6806,2.7102,733200,3.2367,4.1167,2.3567
2004-08-11,2.6979,2.6979,2.6092,2.6166,628400,3.1748,4.0457,2.3039
2004-08-12,2.6412,2.6437,2.4441,2.4614,1578000,3.1089,3.9865,2.2312
2004-08-13,2.4614,2.4761,2.3332,2.3628,2496000,3.0299,3.8755,2.1843
2004-08-16,2.3653,2.4269,2.2174,2.3948,2171200,2.9524,3.7261,2.1787
2004-08-17,2.4343,2.7077,2.4343,2.7028,2968000,2.8897,3.5083,2.2711
