Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
2019-06-12,63.5,67.0,56.0,58.0,19449200,58.0,,
2019-06-13,63.86,69.67,61.6,67.56,10923900,62.78,76.2999,49.2601
2019-06-14,69.78,70.79,63.02,64.16,6264200,63.24,72.9319,53.5481
2019-06-17,64.75,70.01,62.0,70.01,3247500,64.9325,75.3467,54.5183
2019-06-18,73.0,78.7,71.5,76.5,6612600,67.246,80.9714,53.5206
2019-06-19,78.75,79.79,73.555,77.22,3319100,68.9083,83.6403,54.1764
2019-06-20,78.0,78.22,70.69,74.85,3429600,69.7571,83.9357,55.5786
2019-06-21,72.46,73.928,68.3,72.23,2657500,70.0663,83.309,56.8235
2019-06-24,71.05,72.39,65.08,67.97,2448000,69.8333,82.2994,57.3673
2019-06-25,67.1,68.99,61.17,61.52,2480200,69.002,81.8775,56.1265
2019-06-26,63.3,64.92,62.005,62.65,1625500,68.4245,81.2259,55.6232
2019-06-27,63.39,64.995,62.571,63.28,914500,67.9958,80.5576,55.4341
2019-06-28,64.36,68.38,63.3,68.29,1474300,68.0185,80.0466,55.9904
2019-07-01,69.1,69.729,61.81,63.2,2670900,67.6743,79.514,55.8345
2019-07-02,63.3,65.03,61.721,64.52,1735600,67.464,78.9888,55.9392
2019-07-03,64.68,67.48,64.52,67.24,1564100,67.45,78.5845,56.3155
2019-07-05,67.15,67.25,64.84,67.21,804900,67.4359,78.2175,56.6543
2019-07-08,68.26,71.715,66.9,66.91,4567200,67.4067,77.8693,56.944
2019-07-09,67.42,69.2,66.88,68.45,1782700,67.4616,77.6407,57.2825
2019-07-10,70.0,74.5,69.5,74.34,2719300,67.8055,78.1797,57.4313
2019-07-11,74.5,74.98,70.5,70.88,2351800,68.4495,77.8103,59.0887
2019-07-12,71.6,75.2,70.5,73.5,1838300,68.7465,78.362,59.131
2019-07-15,74.0,74.295,71.4,71.6,1325100,69.1185,78.561,59.676
2019-07-16,71.93,73.087,69.0,69.54,1582300,69.095,78.5305,59.6595
2019-07-17,70.0,71.56,69.59,71.0,1037000,68.82,77.6478,59.9922
2019-07-18,71.0,74.19,70.15,72.75,2779900,68.5965,76.7277,60.4653
2019-07-19,85.16,85.85,80.75,83.52,13669000,69.03,79.227,58.833
2019-07-22,82.27,88.5,82.08,87.68,5357700,69.8025,82.9378,56.6672
2019-07-23,88.32,89.44,84.49,86.74,2529800,70.741,85.8577,55.6243
2019-07-24,86.79,87.85,85.5,87.46,1250700,72.038,88.2361,55.8399
2019-07-25,87.5,93.339,87.0,92.28,3270400,73.5195,91.4316,55.6074
2019-07-26,93.04,95.5,91.91,92.88,2053000,74.9995,94.1948,55.8042
2019-07-29,93.69,93.9,82.65,87.23,3317800,75.9465,95.6111,56.2819
2019-07-30,86.0,96.19,84.0,94.0,3127200,77.4865,97.7627,57.2103
2019-07-31,93.95,94.801,86.817,89.07,2476000,78.714,98.6547,58.7733
2019-08-01,90.07,94.32,89.439,91.53,2238200,79.9285,99.8856,59.9714
2019-08-02,91.54,92.78,86.91,88.01,1801000,80.9685,100.2927,61.6443
2019-08-05,83.34,86.92,82.25,85.48,2196400,81.897,100.1308,63.6632
2019-08-06,87.2,89.76,82.71,85.24,1357400,82.7365,99.8768,65.5962
2019-08-07,83.69,86.45,82.8,84.22,990400,83.2305,99.9153,66.5457
2019-08-08,85.49,91.86,85.49,91.65,1692300,84.269,100.2894,68.2486
2019-08-09,90.25,98.0,90.0,94.9,3062200,85.339,101.1886,69.4894
2019-08-12,94.25,98.2,91.53,93.01,1895600,86.4095,101.2093,71.6097
2019-08-13,92.84,100.5,92.84,99.65,3024600,87.915,101.571,74.259
2019-08-14,96.52,97.73,91.6,94.02,2822900,89.066,100.4027,77.7293
2019-08-15,95.99,97.14,91.37,93.66,1513100,90.1115,98.6154,81.6076
2019-08-16,95.0,98.1,93.4,96.05,1517800,90.738,99.0411,82.4349
2019-08-19,98.8,101.48,95.6,99.39,2782700,91.3235,100.3395,82.3075
2019-08-20,99.23,101.88,97.26,99.16,1438800,91.9445,101.3344,82.5546
2019-08-21,100.59,100.96,96.27,96.58,1783900,92.4005,101.7592,83.0418
2019-08-22,96.29,96.58,92.8,92.97,1764000,92.435,101.7969,83.0731
2019-08-23,91.37,91.56,86.0,88.43,3041000,92.2125,101.7399,82.6851
2019-08-26,90.24,90.84,86.13,88.88,1462400,92.295,101.6681,82.9219
2019-08-27,89.28,89.95,83.234,84.08,1821600,91.799,101.8197,81.7783
2019-08-28,84.0,87.524,82.614,86.99,1919300,91.695,101.8768,81.5132
2019-08-29,88.3,89.346,83.29,83.82,1787000,91.3095,102.0842,80.5348
2019-08-30,84.02,84.94,78.89,81.28,1907300,90.973,102.5705,79.3755
2019-09-03,80.85,83.8,80.252,83.76,1827700,90.887,102.6799,79.0941
2019-09-04,85.0,87.77,82.89,85.31,2393100,90.8905,102.6764,79.1046
2019-09-05,86.25,87.19,82.5,86.85,3918600,91.022,102.5504,79.4936
2019-09-06,79.7,81.5,75.305,75.98,8672300,90.2385,103.5753,76.9017
2019-09-09,76.105,76.118,64.34,67.1,8598200,88.8485,105.518,72.179
2019-09-10,65.7,71.8,65.7,71.65,4672500,87.7805,105.993,69.568
2019-09-11,69.21,70.93,67.2,69.11,3114000,86.2535,105.3743,67.1327
2019-09-12,69.68,72.4,69.06,69.66,2923500,85.0355,105.1509,64.9201
2019-09-13,69.86,70.31,64.71,64.86,4166300,83.5955,105.181,62.01
2019-09-16,63.71,68.86,63.5,67.86,2804500,82.186,104.0272,60.3448
2019-09-17,68.64,71.334,68.13,71.04,2810500,80.7685,101.5633,59.9737
2019-09-18,70.12,71.879,68.8,70.85,1999200,79.353,98.6788,60.0272
2019-09-19,71.5,71.87,67.64,68.93,1684000,77.9705,96.0213,59.9197
2019-09-20,68.95,69.458,66.19,66.97,3357500,76.6705,93.8992,59.4418
2019-09-23,67.12,68.57,66.54,66.91,825900,75.5945,92.414,58.775
2019-09-24,67.02,67.37,62.0,62.52,2605700,74.2765,90.8419,57.7111
2019-09-25,62.0,63.39,60.11,62.02,2463400,73.1735,89.927,56.42
2019-09-26,62.05,62.36,57.66,58.3,2885100,71.739,88.4243,55.0537
2019-09-27,58.27,58.33,52.84,53.46,4449400,70.221,87.7799,52.6621
2019-09-30,53.5,58.65,51.61,58.31,4020800,69.0725,86.5905,51.5545
2019-10-01,58.3,59.51,55.65,57.89,2835200,67.779,84.5345,51.0235
2019-10-02,56.805,57.66,54.07,56.63,1561000,66.345,81.6274,51.0626
2019-10-03,59.48,62.4,56.754,62.14,5072300,65.1095,77.0398,53.1792
2019-10-04,62.0,64.46,61.55,63.84,2153900,64.5025,75.2841,53.7209
2019-10-07,63.36,69.7,62.72,68.78,3614300,64.5865,75.4789,53.6941
2019-10-08,67.4,68.43,64.48,65.3,2760000,64.269,74.6528,53.8852
2019-10-09,66.35,66.43,62.5,63.08,2196600,63.9675,74.1067,53.8283
2019-10-10,62.6,63.61,60.4,61.41,2288300,63.555,73.3857,53.7243
2019-10-11,58.77,61.48,57.27,60.27,3331600,63.3255,73.2419,53.4091
2019-10-14,55.8,57.85,53.2,54.52,4445400,62.6585,73.0727,52.2443
2019-10-15,55.01,56.41,54.03,55.21,1980300,61.867,72.0015,51.7325
2019-10-16,53.57,55.77,51.8,52.03,2589100,60.926,71.0435,50.8085
2019-10-17,51.76,53.15,50.33,50.44,2781000,60.0015,70.4143,49.5887
2019-10-18,50.0,50.32,46.46,47.04,3669100,59.005,70.38,47.63
2019-10-21,46.93,48.97,46.22,47.4,2404200,58.0295,69.8862,46.1728
2019-10-22,47.25,48.48,44.581,46.2,2695600,57.2135,69.9804,44.4466
2019-10-23,47.0,50.43,46.03,47.87,3686100,56.506,69.7121,43.2999
2019-10-24,48.6,52.18,48.11,51.84,2046800,56.183,69.5197,42.8463
2019-10-25,50.88,52.07,49.41,50.11,1528300,56.0155,69.5784,42.4526
2019-10-28,50.26,51.312,47.71,47.95,2758200,55.4975,69.4764,41.5186
2019-10-29,47.43,48.37,46.21,47.8,1739200,54.993,69.332,40.654
2019-10-30,47.72,52.48,46.78,51.445,2217600,54.7338,69.1355,40.332
2019-10-31,51.2,51.64,48.1,49.91,1046000,54.1223,68.2356,40.0089
2019-11-01,49.94,50.847,47.75,48.5,1438700,53.3553,66.9009,39.8096
2019-11-04,49.15,50.483,48.01,49.65,1301300,52.3988,63.9067,40.8908
2019-11-05,50.18,50.6,47.77,48.7,1457200,51.5688,61.4364,41.7011
2019-11-06,48.56,48.71,46.9,47.83,1028600,50.8063,59.171,42.4415
2019-11-07,48.26,48.5,45.38,45.5,1665000,50.0108,57.0507,42.9708
2019-11-08,45.02,47.21,44.8,47.21,1977300,49.3578,54.5788,44.1367
2019-11-11,46.5,47.0,45.46,46.2,1286900,48.9418,53.7396,44.1439
2019-11-12,47.5,47.85,46.11,47.05,1740800,48.5338,52.3808,44.6867
2019-11-13,46.83,52.44,46.65,52.0,2860000,48.5323,52.3736,44.6909
2019-11-14,51.31,54.92,50.643,52.73,2820900,48.6468,52.8473,44.4462
2019-11-15,53.0,59.99,53.0,59.75,4004300,49.2823,55.713,42.8515
2019-11-18,60.0,60.0,55.52,57.07,2239400,49.7658,57.004,42.5275
2019-11-19,57.45,57.556,53.76,56.0,1591200,50.2558,57.7981,42.7134
2019-11-20,55.24,58.31,53.39,54.88,2256900,50.6063,58.3311,42.8814
2019-11-21,55.46,55.46,52.852,53.77,959400,50.7028,58.5399,42.8656
2019-11-22,54.19,55.3,53.75,54.2,1028400,50.9073,58.8913,42.9232
2019-11-25,55.32,56.17,54.855,55.84,1843100,51.3018,59.4486,43.1549
2019-11-26,56.5,58.02,54.26,55.58,1996800,51.6908,59.8765,43.505
