Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
1962-01-02,0.3031,0.308,0.3031,0.308,105840,0.308,,
1962-01-03,0.308,0.3087,0.3059,0.3073,127680,0.3076,0.3086,0.3066
1962-01-04,0.3073,0.3073,0.3045,0.3045,75600,0.3066,0.3103,0.3029
1962-01-05,0.3045,0.3052,0.2968,0.2968,201600,0.3041,0.3143,0.294
1962-01-08,0.2968,0.2982,0.2934,0.2955,126000,0.3024,0.3142,0.2907
1962-01-09,0.2955,0.2996,0.292,0.2996,183120,0.3019,0.3127,0.2912
1962-01-10,0.2996,0.2996,0.2955,0.2996,72240,0.3016,0.3116,0.2916
1962-01-11,0.2996,0.308,0.2982,0.3073,112560,0.3023,0.3124,0.2923
1962-01-12,0.3073,0.308,0.3038,0.3066,124320,0.3028,0.3126,0.293
1962-01-15,0.3066,0.3073,0.3017,0.3017,92400,0.3027,0.312,0.2934
1962-01-16,0.3017,0.3038,0.2989,0.3024,99120,0.3027,0.3115,0.2938
1962-01-17,0.3024,0.3052,0.3003,0.3003,151200,0.3025,0.311,0.2939
1962-01-18,0.3003,0.3045,0.2982,0.3045,147840,0.3026,0.3109,0.2944
1962-01-19,0.3045,0.3052,0.301,0.3031,124320,0.3027,0.3106,0.2947
1962-01-22,0.3031,0.3045,0.3017,0.3045,102480,0.3028,0.3105,0.2951
1962-01-23,0.3045,0.3045,0.3017,0.3024,122640,0.3028,0.3102,0.2953
1962-01-24,0.3024,0.3031,0.301,0.301,102480,0.3027,0.3099,0.2954
1962-01-25,0.3017,0.3052,0.3017,0.3017,136080,0.3026,0.3096,0.2956
1962-01-26,0.3017,0.3059,0.3017,0.3038,114240,0.3027,0.3095,0.2958
1962-01-29,0.3038,0.3059,0.3003,0.3017,194880,0.3026,0.3093,0.2959
1962-01-30,0.3017,0.3052,0.3017,0.3031,156240,0.3024,0.3086,0.2962
1962-01-31,0.3059,0.308,0.301,0.3038,226800,0.3022,0.308,0.2964
1962-02-01,0.3052,0.3108,0.3052,0.3108,327600,0.3025,0.3094,0.2956
1962-02-02,0.3108,0.3256,0.3094,0.3256,509040,0.304,0.316,0.2919
1962-02-05,0.3242,0.3242,0.3185,0.3199,208320,0.3052,0.3185,0.2919
1962-02-06,0.3192,0.3192,0.3143,0.3171,146160,0.3061,0.3201,0.292
1962-02-07,0.3171,0.327,0.3164,0.3235,294000,0.3072,0.3229,0.2916
1962-02-08,0.3249,0.3263,0.3249,0.3249,87360,0.3081,0.3257,0.2906
1962-02-09,0.3249,0.3284,0.3242,0.3277,159600,0.3092,0.3288,0.2896
1962-02-12,0.3284,0.3326,0.3284,0.3312,127680,0.3106,0.3322,0.2891
1962-02-13,0.3305,0.3305,0.327,0.3305,240240,0.3121,0.335,0.2892
1962-02-14,0.3298,0.3298,0.3263,0.3298,117600,0.3135,0.337,0.29
1962-02-15,0.3298,0.3333,0.3291,0.3312,142800,0.3149,0.3392,0.2905
1962-02-16,0.3312,0.3347,0.3305,0.334,156240,0.3164,0.3415,0.2913
1962-02-19,0.334,0.3375,0.334,0.3347,273840,0.3179,0.3436,0.2922
1962-02-20,0.3347,0.3354,0.3326,0.3347,188160,0.3195,0.3452,0.2938
1962-02-21,0.3333,0.3333,0.3312,0.3319,215040,0.3211,0.3458,0.2964
1962-02-23,0.3319,0.3319,0.3298,0.3305,173040,0.3225,0.3458,0.2993
1962-02-26,0.3305,0.3319,0.3284,0.3284,159600,0.3237,0.3454,0.3021
1962-02-27,0.3284,0.3312,0.3263,0.3312,295680,0.3252,0.3444,0.306
1962-02-28,0.3312,0.3319,0.3284,0.3284,176400,0.3265,0.3426,0.3103
1962-03-01,0.3284,0.3305,0.3227,0.3298,162960,0.3278,0.3399,0.3156
1962-03-02,0.3298,0.3305,0.3291,0.3298,110880,0.3287,0.3379,0.3195
1962-03-05,0.3298,0.3298,0.3256,0.3298,107520,0.3289,0.338,0.3198
1962-03-06,0.3291,0.3291,0.3263,0.327,97440,0.3293,0.3374,0.3212
1962-03-07,0.327,0.3312,0.3263,0.3263,204960,0.3297,0.3357,0.3238
1962-03-08,0.3263,0.3284,0.3256,0.3256,105840,0.3298,0.3354,0.3243
1962-03-09,0.3256,0.3291,0.3242,0.3256,132720,0.3299,0.3353,0.3244
1962-03-12,0.3256,0.3284,0.3256,0.3284,89040,0.3299,0.3353,0.3245
1962-03-13,0.3284,0.3298,0.327,0.327,105840,0.3297,0.3352,0.3242
1962-03-14,0.3277,0.3305,0.3277,0.3277,146160,0.3296,0.3351,0.324
1962-03-15,0.3277,0.3312,0.327,0.3298,144480,0.3296,0.3351,0.324
1962-03-16,0.3298,0.3319,0.3291,0.3319,95760,0.3296,0.3352,0.324
1962-03-19,0.3319,0.3333,0.3305,0.3333,99120,0.3296,0.3351,0.324
1962-03-20,0.3333,0.3347,0.3319,0.334,141120,0.3295,0.3349,0.3241
1962-03-21,0.3333,0.3333,0.3312,0.3326,92400,0.3294,0.3345,0.3244
1962-03-22,0.3326,0.3326,0.3263,0.3305,179760,0.3293,0.3343,0.3244
1962-03-23,0.3305,0.3354,0.3305,0.3326,137760,0.3294,0.3346,0.3243
1962-03-26,0.3319,0.3319,0.3263,0.3263,102480,0.3293,0.3346,0.324
1962-03-27,0.3263,0.3277,0.3227,0.3277,82320,0.3292,0.3344,0.3239
1962-03-28,0.3277,0.3305,0.3277,0.3305,60480,0.3293,0.3346,0.324
1962-03-29,0.3305,0.3312,0.3291,0.3291,55440,0.3292,0.3345,0.324
1962-03-30,0.3291,0.3319,0.3291,0.3305,77280,0.3293,0.3346,0.324
1962-04-02,0.3305,0.3319,0.327,0.3277,84000,0.3292,0.3345,0.3238
1962-04-03,0.3277,0.3305,0.3249,0.3256,68880,0.3291,0.3346,0.3236
1962-04-04,0.3256,0.3277,0.3227,0.3256,90720,0.3291,0.3347,0.3235
1962-04-05,0.3256,0.3256,0.3213,0.3256,55440,0.3291,0.3347,0.3235
1962-04-06,0.327,0.3305,0.327,0.3305,84000,0.3293,0.3347,0.3239
1962-04-09,0.3305,0.3305,0.3249,0.3291,94080,0.3293,0.3347,0.324
1962-04-10,0.3291,0.3312,0.3263,0.3298,60480,0.3295,0.3347,0.3242
1962-04-11,0.3298,0.3326,0.3284,0.3284,119280,0.3295,0.3347,0.3243
1962-04-12,0.3284,0.3291,0.3263,0.327,70560,0.3294,0.3347,0.3241
1962-04-13,0.327,0.3277,0.3242,0.327,112560,0.3291,0.3344,0.3238
1962-04-16,0.327,0.3277,0.3249,0.3256,89040,0.3287,0.3339,0.3236
