Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
2000-11-20,19.0718,20.0517,18.9901,19.4165,39684530,19.4165,,
2000-11-21,19.4891,21.2765,19.4256,20.7957,12872310,20.1061,22.0565,18.1557
2000-11-22,20.9136,21.3673,20.3239,20.8682,8707820,20.3602,21.9961,18.7242
2000-11-23,21.2312,21.585,20.6868,20.8955,4569828,20.494,21.933,19.0549
2000-11-24,20.6868,20.9862,20.2785,20.3964,4332766,20.4745,21.7238,19.2252
2000-11-27,19.9609,20.8682,19.5073,20.5507,2861775,20.4872,21.6063,19.368
2000-11-28,20.2876,20.6505,20.1424,20.4146,1640238,20.4768,21.4999,19.4537
2000-11-29,19.9609,20.2331,19.9609,20.0517,1924840,20.4237,21.4174,19.4299
2000-11-30,19.8702,20.6414,19.8702,20.342,1763400,20.4146,21.3458,19.4834
2000-12-01,20.1424,21.2312,20.1424,20.5053,1922966,20.4237,21.3035,19.5439
2000-12-04,20.097,20.8229,20.097,20.46,1027963,20.427,21.2619,19.592
2000-12-05,20.4146,21.0406,20.4146,20.8864,1806034,20.4652,21.3044,19.6261
2000-12-06,20.8682,20.959,20.6142,20.8682,1460673,20.4962,21.3302,19.6623
2000-12-07,20.6868,21.1404,20.6414,21.0769,850527,20.5377,21.3969,19.6785
2000-12-08,20.8682,21.7211,20.6959,21.4217,1587059,20.5967,21.5421,19.6512
2000-12-11,21.2312,21.6758,21.1677,21.2312,784643,20.6363,21.6032,19.6694
2000-12-12,20.9681,21.1858,20.8682,20.8682,750823,20.65,21.5929,19.707
2000-12-13,20.8682,21.3219,20.4146,21.1223,1096710,20.6762,21.6177,19.7347
2000-12-14,20.8682,21.3219,20.8682,20.8773,1767682,20.6868,21.6064,19.7672
2000-12-15,20.5961,20.7775,20.2331,20.2331,1535057,20.6641,21.5819,19.7463
2000-12-18,20.5053,20.7775,20.2331,20.5961,908003,20.7231,21.4309,20.0152
2000-12-19,20.0244,20.9408,20.0244,20.6686,2210524,20.7167,21.4241,20.0093
2000-12-20,20.5053,20.8682,20.2785,20.4963,1193326,20.6981,21.4083,19.988
2000-12-21,20.4146,20.8229,20.2513,20.4146,1240391,20.6741,21.3887,19.9595
2000-12-22,20.4146,20.7775,20.2876,20.5598,352837,20.6822,21.3871,19.9774
