Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
1962-01-02,0.0571,0.059,0.0571,0.0571,841958,0.0571,,
1962-01-03,0.0571,0.058,0.0571,0.0578,801865,0.0574,0.0585,0.0564
1962-01-04,0.0578,0.058,0.0574,0.0578,962238,0.0576,0.0584,0.0567
1962-01-05,0.0578,0.0582,0.0576,0.058,962238,0.0577,0.0585,0.0568
1962-01-08,0.058,0.0588,0.0567,0.0578,1282984,0.0577,0.0585,0.057
1962-01-09,0.0578,0.059,0.0574,0.059,641492,0.0579,0.0591,0.0567
1962-01-10,0.059,0.0599,0.059,0.0595,681585,0.0581,0.0598,0.0565
1962-01-11,0.0595,0.0617,0.0594,0.0613,2004663,0.0585,0.0612,0.0558
1962-01-12,0.0613,0.0615,0.0586,0.0594,2004663,0.0586,0.0612,0.0561
1962-01-15,0.0594,0.0597,0.059,0.0594,641492,0.0587,0.0612,0.0562
1962-01-16,0.059,0.059,0.0574,0.0578,360839,0.0586,0.061,0.0562
1962-01-17,0.0578,0.0578,0.0559,0.0559,400933,0.0584,0.0612,0.0556
1962-01-18,0.0563,0.0574,0.0563,0.0571,320746,0.0583,0.0611,0.0555
1962-01-19,0.0574,0.0582,0.0574,0.0582,441026,0.0583,0.0609,0.0556
1962-01-22,0.0586,0.0592,0.0586,0.0592,360839,0.0583,0.0609,0.0557
1962-01-23,0.0592,0.0605,0.0586,0.059,1202798,0.0584,0.0609,0.0559
1962-01-24,0.059,0.059,0.0574,0.0582,360839,0.0584,0.0608,0.0559
1962-01-25,0.0582,0.0584,0.0574,0.0574,160373,0.0583,0.0607,0.0559
1962-01-26,0.0574,0.0582,0.0571,0.0571,360839,0.0583,0.0607,0.0558
1962-01-29,0.0571,0.0578,0.0571,0.0571,240560,0.0582,0.0606,0.0558
1962-01-30,0.0571,0.0576,0.0567,0.0574,681585,0.0582,0.0606,0.0558
1962-01-31,0.0574,0.0576,0.0571,0.0574,320746,0.0582,0.0606,0.0558
1962-02-01,0.0574,0.0592,0.0574,0.0582,1282984,0.0582,0.0606,0.0558
1962-02-02,0.0582,0.059,0.0582,0.0582,641492,0.0582,0.0606,0.0558
1962-02-05,0.0582,0.0588,0.0582,0.0582,400933,0.0582,0.0606,0.0559
1962-02-06,0.0582,0.0586,0.0578,0.0578,240560,0.0582,0.0606,0.0558
1962-02-07,0.0582,0.059,0.0582,0.0586,1403264,0.0581,0.0604,0.0558
1962-02-08,0.0594,0.0607,0.0594,0.0601,2084849,0.0581,0.0601,0.0561
1962-02-09,0.0603,0.0609,0.0603,0.0605,1042425,0.0581,0.0603,0.0559
1962-02-12,0.0605,0.0607,0.0601,0.0605,641492,0.0582,0.0606,0.0558
1962-02-13,0.0605,0.0605,0.0597,0.0605,641492,0.0583,0.0609,0.0557
1962-02-14,0.0603,0.0603,0.0597,0.0597,200466,0.0585,0.0609,0.0561
1962-02-15,0.0599,0.0603,0.0599,0.0601,481119,0.0587,0.0611,0.0563
1962-02-16,0.0605,0.0622,0.0605,0.0613,3728673,0.0588,0.0615,0.0562
1962-02-19,0.0613,0.0613,0.0603,0.0603,841958,0.0589,0.0616,0.0562
1962-02-20,0.0607,0.0609,0.0607,0.0609,240560,0.059,0.0619,0.0561
1962-02-21,0.0605,0.0605,0.0601,0.0601,120280,0.0591,0.062,0.0562
1962-02-23,0.0601,0.0603,0.0597,0.0597,441026,0.0592,0.062,0.0564
1962-02-26,0.059,0.059,0.0574,0.0582,761772,0.0592,0.0619,0.0566
1962-02-27,0.0582,0.059,0.0578,0.0578,481119,0.0593,0.0618,0.0567
1962-02-28,0.0578,0.0582,0.0572,0.0572,280653,0.0593,0.0619,0.0567
1962-03-01,0.0574,0.0588,0.0574,0.0588,441026,0.0593,0.0618,0.0569
1962-03-02,0.0588,0.0592,0.0584,0.0584,280653,0.0594,0.0618,0.0569
1962-03-05,0.0586,0.0595,0.0586,0.0586,441026,0.0594,0.0618,0.057
1962-03-06,0.0586,0.0586,0.0578,0.0578,160373,0.0594,0.0618,0.0569
1962-03-07,0.0574,0.0574,0.0574,0.0574,120280,0.0593,0.0618,0.0568
1962-03-08,0.0574,0.0584,0.0572,0.0584,360839,0.0593,0.0618,0.0568
1962-03-09,0.0584,0.059,0.0582,0.0582,521212,0.0592,0.0618,0.0567
1962-03-12,0.0584,0.0594,0.0584,0.0594,400933,0.0592,0.0616,0.0567
1962-03-13,0.0595,0.0605,0.0595,0.0605,360839,0.0592,0.0616,0.0567
1962-03-14,0.0605,0.061,0.0599,0.0599,601399,0.0591,0.0615,0.0567
1962-03-15,0.0599,0.0607,0.0599,0.0603,280653,0.0592,0.0616,0.0567
1962-03-16,0.0603,0.0605,0.0601,0.0603,120280,0.0592,0.0616,0.0567
1962-03-19,0.0603,0.0608,0.0603,0.0603,561306,0.0591,0.0614,0.0568
1962-03-20,0.0599,0.0599,0.0595,0.0595,240560,0.0591,0.0613,0.0568
1962-03-21,0.0593,0.0593,0.0585,0.0585,320746,0.059,0.0611,0.0569
1962-03-22,0.0584,0.0584,0.058,0.058,120280,0.0589,0.0609,0.0568
1962-03-23,0.058,0.0587,0.058,0.058,441026,0.0588,0.0608,0.0567
1962-03-26,0.058,0.0584,0.0576,0.0576,200466,0.0587,0.0608,0.0566
1962-03-27,0.0572,0.0572,0.0568,0.0568,240560,0.0587,0.0609,0.0564
1962-03-28,0.0566,0.0566,0.0562,0.0564,240560,0.0586,0.061,0.0563
1962-03-29,0.0568,0.0574,0.0568,0.0574,320746,0.0586,0.061,0.0561
1962-03-30,0.0574,0.0576,0.057,0.0574,441026,0.0585,0.061,0.056
1962-04-02,0.0574,0.058,0.0568,0.0568,280653,0.0584,0.0611,0.0558
