Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
2017-11-09,0.0012,0.0014,0.0012,0.0014,6259550,0.0014,,
2017-11-10,0.0014,0.0014,0.0011,0.0012,4246520,0.0013,0.0016,0.0009
2017-11-11,0.0011,0.0013,0.0011,0.0012,2231080,0.0013,0.0015,0.001
2017-11-12,0.0012,0.0012,0.001,0.001,3288960,0.0012,0.0015,0.0009
2017-11-13,0.001,0.0012,0.001,0.0012,2481270,0.0012,0.0015,0.0009
2017-11-14,0.0012,0.0012,0.0011,0.0012,2660340,0.0012,0.0014,0.001
2017-11-15,0.0012,0.0014,0.0012,0.0013,2840180,0.0012,0.0015,0.001
2017-11-16,0.0013,0.0014,0.0013,0.0014,3423010,0.0012,0.0015,0.001
2017-11-17,0.0014,0.0014,0.0013,0.0013,2787480,0.0013,0.0015,0.001
2017-11-18,0.0013,0.0014,0.0013,0.0014,1648260,0.0013,0.0015,0.001
2017-11-19,0.0014,0.0014,0.0013,0.0014,1431720,0.0013,0.0015,0.001
2017-11-20,0.0014,0.0014,0.0013,0.0014,2141360,0.0013,0.0015,0.001
2017-11-21,0.0014,0.0014,0.0013,0.0014,3047660,0.0013,0.0015,0.0011
2017-11-22,0.0014,0.0021,0.0014,0.0018,18841700,0.0013,0.0017,0.001
2017-11-23,0.0018,0.0022,0.0018,0.0019,26126500,0.0014,0.0018,0.0009
2017-11-24,0.0019,0.002,0.0018,0.0019,9585960,0.0014,0.0019,0.0009
2017-11-25,0.0019,0.0021,0.0019,0.0021,5430930,0.0014,0.002,0.0008
2017-11-26,0.0021,0.0021,0.0019,0.002,7670430,0.0015,0.0021,0.0008
2017-11-27,0.002,0.002,0.0019,0.002,6185790,0.0015,0.0022,0.0008
2017-11-28,0.002,0.0024,0.0019,0.0024,8317540,0.0015,0.0023,0.0008
2017-11-29,0.0023,0.0026,0.002,0.0021,11077200,0.0016,0.0024,0.0008
2017-11-30,0.002,0.0023,0.0019,0.0021,4919490,0.0016,0.0024,0.0008
2017-12-01,0.0021,0.0022,0.002,0.0021,5258110,0.0017,0.0025,0.0009
2017-12-02,0.0021,0.0022,0.002,0.0021,4978180,0.0017,0.0025,0.001
2017-12-03,0.0021,0.0023,0.0021,0.0022,4751640,0.0018,0.0025,0.001
2017-12-04,0.0022,0.0025,0.0022,0.0025,6307150,0.0018,0.0026,0.0011
