Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
2020-08-20,2.7879,3.0778,2.6929,2.9001,48819867,2.9001,,
2020-08-21,2.8969,3.0901,2.7309,2.875,49313137,2.8876,2.923,2.8521
2020-08-22,2.8786,4.5106,2.8168,4.4847,485801096,3.4199,5.2643,1.5755
2020-08-23,4.4871,4.4871,3.7163,3.9671,320749483,3.5567,5.159,1.9545
2020-08-24,3.9874,4.7832,3.8127,4.6026,407690171,3.7659,5.4394,2.0924
2020-08-25,4.585,5.7608,4.5012,5.5234,898847538,4.0588,6.1324,1.9853
2020-08-26,5.5414,6.5547,5.1362,6.0817,1054351759,4.3478,6.7812,1.9144
2020-08-27,6.0758,6.7892,5.3139,5.6283,1289248953,4.5079,6.9359,2.0798
2020-08-28,5.6395,6.3337,5.541,6.16,727162235,4.6914,7.2156,2.1672
2020-08-29,6.1759,6.5629,6.0423,6.1591,527290028,4.8382,7.3927,2.2837
2020-08-30,6.1534,6.2195,5.75,5.8699,485335136,4.932,7.4339,2.43
2020-08-31,5.9059,6.4594,5.773,6.3,512604781,5.046,7.5589,2.5331
2020-09-01,6.2988,6.8389,6.1723,6.2888,601527409,5.1416,7.6443,2.6389
2020-09-02,6.2827,6.4327,5.6574,6.1395,584155028,5.2129,7.6758,2.7499
2020-09-03,6.1312,6.3181,5.6826,5.7479,763663457,5.2485,7.6379,2.8591
2020-09-04,5.7266,5.9814,4.6267,5.146,845787793,5.2421,7.5511,2.9332
2020-09-05,5.136,5.3118,3.6535,4.1223,805800385,5.1763,7.4769,2.8756
2020-09-06,4.137,4.9016,3.7597,4.7995,924160482,5.1553,7.3944,2.9163
2020-09-07,4.796,4.82,4.0326,4.5947,675375183,5.1258,7.3169,2.9347
2020-09-08,4.589,4.6164,4.1196,4.2743,519440288,5.0832,7.2496,2.9168
2020-09-09,4.2829,4.7967,4.1589,4.7089,534097094,5.1737,7.0933,3.2541
2020-09-10,4.7098,4.8701,4.4713,4.5816,633577674,5.259,6.8763,3.6417
2020-09-11,4.5798,4.7481,4.3171,4.6456,633472140,5.2671,6.8697,3.6644
2020-09-12,4.6506,5.2802,4.516,5.137,753745737,5.3256,6.8094,3.8417
2020-09-13,5.145,5.4788,4.8068,5.298,1099475714,5.3603,6.8049,3.9157
2020-09-14,5.2964,5.6028,5.1264,5.3487,1008259712,5.3516,6.7941,3.909
2020-09-15,5.3666,5.4519,5.0957,5.0957,897864384,5.3023,6.7067,3.8979
2020-09-16,5.069,5.2813,4.9862,5.0803,792360521,5.2749,6.6738,3.8759
2020-09-17,5.0803,5.4177,5.0617,5.3363,776350363,5.2337,6.5701,3.8974
2020-09-18,5.3417,5.4591,5.1086,5.2458,683398180,5.188,6.4517,3.9244
2020-09-19,5.2532,5.2557,4.825,4.9254,605268040,5.1408,6.3672,3.9144
2020-09-20,4.9289,4.9745,4.4249,4.6724,798507891,5.0594,6.1727,3.9461
2020-09-21,4.6724,4.7009,3.9505,4.0946,1096736657,4.9497,5.9825,3.917
2020-09-22,4.0854,4.2086,3.9182,4.1745,673117344,4.8515,5.7758,3.9271
2020-09-23,4.1686,4.3159,3.9741,4.0314,557062766,4.7657,5.6578,3.8735
2020-09-24,4.0214,4.4,3.9932,4.382,437573446,4.7274,5.6164,3.8385
2020-09-25,4.3763,4.5279,4.2621,4.421,425191119,4.7424,5.5979,3.8868
2020-09-26,4.4222,4.464,4.2425,4.3477,329745176,4.7198,5.5927,3.8469
2020-09-27,4.3404,4.3622,4.1605,4.3103,316361927,4.7056,5.5961,3.815
2020-09-28,4.3024,4.583,4.2701,4.3979,543507456,4.7117,5.5914,3.8321
2020-09-29,4.4218,4.6029,4.3581,4.5005,508965929,4.7013,5.586,3.8166
2020-09-30,4.5029,4.5029,4.2536,4.3498,378446620,4.6897,5.587,3.7925
2020-10-01,4.351,4.5834,4.2574,4.3438,445143708,4.6746,5.5851,3.7642
2020-10-02,4.3445,4.3585,3.9332,4.1232,554916297,4.624,5.5389,3.709
2020-10-03,4.1273,4.1315,4.0381,4.07,361964763,4.5626,5.4515,3.6736
2020-10-04,4.0676,4.1955,4.0215,4.1739,286356969,4.5038,5.3268,3.6808
