Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
1995-11-17,5.8584,6.2865,5.8359,6.2189,35659200,6.2189,,
1995-11-20,6.1964,6.3541,5.9035,5.9936,8434000,6.1063,6.4249,5.7876
1995-11-21,5.9486,5.9711,5.7232,5.881,6440000,6.0312,6.3754,5.687
1995-11-22,5.8584,6.1514,5.8584,6.0612,3480800,6.0387,6.3213,5.7561
1995-11-24,6.1063,6.2865,6.0838,6.2865,1279200,6.0883,6.4185,5.758
1995-11-27,6.2865,6.4217,6.2189,6.3091,2403200,6.1251,6.4711,5.779
1995-11-28,6.3091,6.3316,6.1288,6.2189,1054800,6.1385,6.4622,5.8147
1995-11-29,6.1964,6.4668,6.1739,6.3091,1331200,6.1598,6.4829,5.8367
1995-11-30,6.3767,6.6245,6.3541,6.5569,2426000,6.2039,6.6057,5.8021
1995-12-01,6.5569,6.5795,6.4443,6.4893,978400,6.2325,6.6521,5.8128
1995-12-04,6.5119,6.5569,6.3767,6.4217,594000,6.2497,6.6638,5.8355
1995-12-05,6.4217,6.4217,6.2189,6.3316,1148800,6.2565,6.6542,5.8588
1995-12-06,6.3091,6.4893,6.3091,6.3541,1216000,6.264,6.6486,5.8794
1995-12-07,6.3992,6.4217,6.264,6.3091,641200,6.2672,6.6375,5.8969
1995-12-08,6.2865,6.4668,6.2189,6.4668,668800,6.2805,6.6519,5.9091
1995-12-11,6.4893,6.5569,6.4668,6.5569,660000,6.2978,6.6823,5.9133
1995-12-12,6.5119,6.5344,6.2865,6.3091,971600,6.2985,6.6708,5.9261
1995-12-13,6.3541,6.3541,6.1513,6.264,528400,6.2966,6.6581,5.935
1995-12-14,6.2865,6.2865,6.0838,6.0838,639200,6.2854,6.6501,5.9206
1995-12-15,6.1288,6.1739,6.0162,6.0387,1366400,6.273,6.6448,5.9013
1995-12-18,6.0387,6.0612,5.9486,5.9711,741600,6.2606,6.6557,5.8655
1995-12-19,5.9486,6.1513,5.926,6.0838,643600,6.2651,6.6493,5.8809
1995-12-20,6.1063,6.264,6.1063,6.2189,360400,6.282,6.6223,5.9418
1995-12-21,6.1964,6.3316,6.1739,6.264,301600,6.2922,6.6164,5.9679
1995-12-22,6.2865,6.3091,6.2189,6.3091,208400,6.2933,6.6176,5.969
1995-12-26,6.2865,6.2865,6.1288,6.1513,240000,6.2854,6.6158,5.9551
1995-12-27,6.2189,6.3767,6.2189,6.3767,351600,6.2933,6.6245,5.9621
1995-12-28,6.3992,6.4217,6.3316,6.3541,344400,6.2956,6.6278,5.9633
1995-12-29,6.3316,6.3767,6.2415,6.2865,219200,6.282,6.5907,5.9734
1996-01-02,6.2865,6.3316,6.2415,6.3091,169200,6.273,6.5663,5.9797
1996-01-03,6.3316,6.4443,6.2415,6.2865,682000,6.2663,6.5512,5.9813
1996-01-04,6.3091,6.3541,6.1513,6.2415,414800,6.2618,6.5452,5.9783
1996-01-05,6.1513,6.1964,5.9711,6.0838,773600,6.2482,6.5389,5.9576
1996-01-08,6.0837,6.1063,6.0387,6.1063,48800,6.2381,6.5339,5.9423
1996-01-09,6.1288,6.1288,6.0387,6.0387,864000,6.2167,6.5047,5.9287
1996-01-10,5.9711,6.0387,5.8584,5.9711,458400,6.1874,6.4475,5.9273
1996-01-11,5.9936,6.1739,5.9936,6.1063,477600,6.1773,6.4331,5.9214
1996-01-12,6.0837,6.264,6.0612,6.264,338400,6.1773,6.4331,5.9214
1996-01-15,6.264,6.3091,6.2189,6.2415,580800,6.1851,6.4386,5.9317
1996-01-16,6.1964,6.1964,5.926,6.0838,512800,6.1874,6.4361,5.9387
1996-01-17,5.9936,6.0387,5.8584,6.0387,126400,6.1908,6.4287,5.9528
1996-01-18,5.9711,6.0162,5.7908,5.881,696000,6.1806,6.4526,5.9086
1996-01-19,5.881,5.9035,5.8134,5.8359,792800,6.1615,6.4732,5.8498
1996-01-22,5.8359,6.1063,5.8359,5.9936,568800,6.148,6.4644,5.8316
1996-01-23,5.9486,5.9711,5.881,5.881,798400,6.1266,6.4548,5.7984
1996-01-24,5.8584,5.9711,5.8584,5.9711,776400,6.1175,6.4527,5.7824
1996-01-25,5.9486,6.1739,5.9486,6.1739,1303200,6.1074,6.4212,5.7937
1996-01-26,6.1739,6.1964,6.1288,6.1739,634800,6.0984,6.392,5.8048
1996-01-29,6.1964,6.1964,6.0387,6.0838,652000,6.0883,6.3682,5.8083
1996-01-30,6.0838,6.7823,6.0387,6.6696,2810800,6.1063,6.4776,5.735
1996-01-31,6.6245,6.8724,6.5795,6.6471,1136400,6.1243,6.5616,5.687
1996-02-01,6.6245,6.6471,6.3767,6.5119,516800,6.1378,6.606,5.6696
1996-02-02,6.5569,6.7147,6.5569,6.6696,702400,6.1671,6.6911,5.6432
1996-02-05,6.7147,6.8273,6.6696,6.7823,756400,6.2009,6.7913,5.6105
1996-02-06,6.7823,6.8949,6.7597,6.8273,455200,6.2404,6.8877,5.593
1996-02-07,6.8724,7.0977,6.8499,7.0526,650800,6.2944,7.0227,5.5661
1996-02-08,7.0301,7.0752,6.8724,6.8949,571600,6.3339,7.1035,5.5642
1996-02-09,6.94,6.94,6.8273,6.9174,520800,6.3665,7.178,5.555
1996-02-12,6.8724,6.8949,6.6696,6.7372,619200,6.3913,7.2169,5.5657
1996-02-13,6.6696,6.6921,6.5795,6.6245,204400,6.4184,7.2369,5.5998
1996-02-14,6.6471,6.8048,6.602,6.602,410000,6.4465,7.2487,5.6444
1996-02-15,6.6921,6.8048,6.6921,6.7372,348800,6.4893,7.2549,5.7237
1996-02-16,6.7372,6.7372,6.602,6.6245,322400,6.5288,7.2313,5.8262
1996-02-20,6.5344,6.6245,6.4443,6.5344,633200,6.5558,7.2117,5.8999
1996-02-21,6.5569,6.6471,6.5569,6.5795,497600,6.5907,7.1646,6.0169
1996-02-22,6.5795,6.5795,6.3316,6.5569,1184000,6.62,7.1151,6.1249
1996-02-23,6.5795,6.7372,6.5569,6.7147,532400,6.6471,7.0965,6.1976
1996-02-26,6.7147,6.7372,6.6245,6.6696,359600,6.6718,7.0622,6.2815
1996-02-27,6.7147,6.7597,6.5795,6.602,1742400,6.6978,6.9767,6.4189
1996-02-28,6.6245,6.6696,6.6245,6.6471,921600,6.6966,6.9762,6.4171
1996-02-29,6.6471,6.7597,6.5795,6.602,812400,6.6944,6.9763,6.4124
1996-03-01,6.6921,6.8724,6.6471,6.8273,605600,6.7102,6.9843,6.436
1996-03-04,6.8499,6.8499,6.7147,6.7597,650800,6.7147,6.989,6.4403
1996-03-05,6.7147,6.8273,6.6921,6.7823,511200,6.7147,6.989,6.4403
1996-03-06,6.8048,6.8273,6.7147,6.7147,445600,6.709,6.9782,6.4399
1996-03-07,6.6921,6.7372,6.6358,6.6471,547600,6.6887,6.9048,6.4727
1996-03-08,6.5344,6.6471,6.3767,6.4893,625200,6.6685,6.8791,6.4579
1996-03-11,6.4893,6.4893,6.3767,6.3992,217200,6.6426,6.8517,6.4334
1996-03-12,6.4217,6.4217,6.0612,6.2415,598000,6.6178,6.8882,6.3473
1996-03-13,6.2794,6.4601,6.2117,6.4375,335600,6.6084,6.8905,6.3263
1996-03-14,6.4375,6.4827,6.3924,6.4375,273600,6.6002,6.8925,6.3079
1996-03-15,6.4827,6.4827,6.2342,6.302,371600,6.5784,6.8918,6.265
1996-03-18,6.3246,6.4827,6.3246,6.4827,257600,6.5713,6.8868,6.2559
1996-03-19,6.4827,6.4827,6.3246,6.4375,276800,6.5665,6.8872,6.2458
1996-03-20,6.415,6.4375,6.2568,6.302,236400,6.5526,6.8943,6.2109
1996-03-21,6.302,6.302,6.2117,6.2568,520000,6.5376,6.904,6.1713
1996-03-22,6.2568,6.2568,6.2117,6.2568,198000,6.5147,6.8916,6.1379
1996-03-25,6.3698,6.3698,6.302,6.3472,284000,6.4986,6.8752,6.1221
1996-03-26,6.3698,6.6634,6.3472,6.5053,327200,6.4938,6.8672,6.1204
1996-03-27,6.5505,6.6408,6.5279,6.5731,275600,6.4901,6.8585,6.1216
1996-03-28,6.6182,6.6634,6.5505,6.5731,236800,6.4886,6.8555,6.1218
1996-03-29,6.5731,6.5957,6.4375,6.4601,280800,6.4703,6.8007,6.1399
1996-04-01,6.4827,6.5731,6.3924,6.5731,214800,6.4609,6.7665,6.1553
1996-04-02,6.5279,6.5731,6.415,6.4375,640400,6.4437,6.7093,6.1781
1996-04-03,6.3924,6.3924,6.2794,6.3472,164400,6.4253,6.6611,6.1895
1996-04-04,6.3924,6.3924,6.2794,6.3472,82400,6.4103,6.6239,6.1968
1996-04-08,6.2568,6.2794,6.2117,6.2794,186000,6.3998,6.6176,6.1821
1996-04-09,6.302,6.302,6.2568,6.2794,285200,6.3939,6.6182,6.1695
1996-04-10,6.2794,6.2794,6.1891,6.2568,228000,6.3946,6.6169,6.1724
1996-04-11,6.2794,6.302,6.2343,6.2568,222400,6.3856,6.6151,6.1561
1996-04-12,6.2343,6.3246,6.2343,6.3246,238400,6.3799,6.6096,6.1503
1996-04-15,6.3472,6.4601,6.3246,6.3924,185600,6.3845,6.6112,6.1577
1996-04-16,6.3472,6.415,6.3246,6.415,159600,6.3811,6.6036,6.1585
1996-04-17,6.3924,6.3924,6.1439,6.2342,766000,6.3709,6.601,6.1408
1996-04-18,6.2342,6.2342,5.9632,6.0987,1770000,6.3607,6.6198,6.1017
1996-04-19,6.0987,6.2117,6.0987,6.2117,429200,6.3585,6.6221,6.0949
1996-04-22,6.1891,6.2568,6.1439,6.2568,118800,6.3585,6.6221,6.0949
1996-04-23,6.2343,6.2794,6.1213,6.1439,206000,6.3483,6.6289,6.0677
1996-04-24,6.0987,6.0987,5.9632,6.0084,1152400,6.3235,6.6321,6.0148
1996-04-25,6.0084,6.031,5.7825,6.031,1270800,6.2964,6.6079,5.9848
1996-04-26,6.031,6.8667,5.9858,6.7989,3303600,6.3077,6.6732,5.9422
1996-04-29,6.7312,7.1378,6.7086,6.8667,2256400,6.328,6.767,5.8889
1996-04-30,6.8215,6.8441,6.6182,6.6182,771200,6.3302,6.775,5.8855
1996-05-01,6.6408,6.6408,6.5279,6.5957,303600,6.3382,6.7964,5.8799
1996-05-02,6.5505,6.7086,6.5505,6.6182,489600,6.3517,6.8268,5.8766
1996-05-03,6.6408,6.6408,6.5053,6.5957,1512800,6.3641,6.8515,5.8767
1996-05-06,6.5957,6.7086,6.5957,6.6182,308400,6.3811,6.8795,5.8826
1996-05-07,6.5957,6.6182,6.5731,6.5731,508800,6.3958,6.8989,5.8926
1996-05-08,6.5505,6.686,6.4827,6.6634,362400,6.4161,6.9283,5.9038
1996-05-09,6.7764,6.8215,6.686,6.7312,279200,6.4398,6.9648,5.9148
1996-05-10,6.7764,6.7989,6.686,6.7086,74000,6.459,6.9942,5.9238
1996-05-13,6.6634,6.686,6.6408,6.6634,198800,6.4726,7.0144,5.9307
1996-05-14,6.6408,6.6408,6.5279,6.5957,256400,6.4816,7.0254,5.9378
1996-05-15,6.6182,6.6182,6.4827,6.5053,752800,6.4951,7.0263,5.9639
1996-05-16,6.6408,6.9797,6.6408,6.8441,1938000,6.5324,7.0509,6.0139
1996-05-17,6.9345,6.9571,6.8441,6.8441,601600,6.564,7.0773,6.0507
1996-05-20,6.8215,6.8893,6.7086,6.7989,448000,6.5911,7.0933,6.089
1996-05-21,6.8441,6.8441,6.5957,6.6182,209200,6.6149,7.0707,6.159
1996-05-22,6.5957,6.5957,6.415,6.5731,368800,6.6431,7.0,6.2862
1996-05-23,6.5731,6.5957,6.5505,6.5505,615200,6.6691,6.8869,6.4512
1996-05-24,6.5279,6.5957,6.5279,6.5957,340400,6.6589,6.8701,6.4477
1996-05-28,6.5731,6.8667,6.5731,6.8215,999200,6.6566,6.8593,6.454
1996-05-29,6.8667,6.9571,6.7764,6.7989,872400,6.6657,6.877,6.4543
1996-05-30,6.7989,7.0022,6.7764,6.9345,332000,6.6826,6.9227,6.4426
1996-05-31,6.9119,7.0022,6.8667,6.8667,531200,6.695,6.9465,6.4436
1996-06-03,6.8215,6.8893,6.7764,6.8215,535600,6.7063,6.9593,6.4534
1996-06-04,6.7989,6.8441,6.7312,6.8215,875200,6.7165,6.9709,6.4621
1996-06-05,6.8667,7.2055,6.8667,7.1378,684800,6.7447,7.052,6.4375
1996-06-06,7.1378,7.3185,7.1378,7.2281,804400,6.773,7.1456,6.4004
1996-06-07,7.1378,7.2281,7.0474,7.2281,345600,6.7978,7.2215,6.3742
1996-06-10,7.2281,7.2733,7.1378,7.1829,269200,6.8215,7.2761,6.3669
1996-06-11,7.2055,7.4088,7.1829,7.2959,580400,6.8532,7.3477,6.3586
1996-06-12,7.2886,7.515,7.2886,7.3792,489200,6.8923,7.4237,6.3609
1996-06-13,7.3792,7.4697,7.266,7.3565,193600,6.9349,7.4721,6.3977
1996-06-14,7.3339,7.3339,7.2207,7.2434,148400,6.9549,7.5073,6.4024
1996-06-17,7.1755,7.1755,6.768,6.8586,3204400,6.9556,7.5075,6.4037
1996-06-18,6.9265,7.017,6.8133,6.8586,926000,6.9586,7.5075,6.4096
1996-06-19,6.8586,6.8586,6.768,6.8359,302000,6.9694,7.4983,6.4406
1996-06-20,6.8586,6.8812,6.768,6.8586,259600,6.9837,7.482,6.4854
1996-06-21,6.8586,7.0623,6.8586,7.0623,166400,7.0093,7.4646,6.554
1996-06-24,7.1076,7.1302,7.017,7.0623,332000,7.0326,7.4445,6.6208
1996-06-25,7.0623,7.266,7.0623,7.2207,723600,7.0526,7.46,6.6452
1996-06-26,7.3113,7.4697,7.266,7.4245,425200,7.0839,7.5051,6.6626
1996-06-27,7.4244,7.6508,7.3792,7.6282,568000,7.1186,7.5982,6.6389
1996-06-28,7.7866,7.9677,7.6508,7.6508,1070400,7.1578,7.6772,6.6383
1996-07-01,7.7866,7.8545,7.7413,7.7413,520800,7.2038,7.7595,6.648
1996-07-02,7.7187,7.764,7.6055,7.6961,356800,7.2475,7.8141,6.6809
1996-07-03,7.6282,7.6282,7.4244,7.5603,1087600,7.2686,7.8493,6.6879
1996-07-05,7.4697,7.6055,7.4244,7.5829,157200,7.2863,7.8833,6.6894
1996-07-08,7.5376,7.5603,7.4697,7.4924,358800,7.2996,7.9028,6.6963
1996-07-09,7.4697,7.5829,7.4697,7.5603,110800,7.3184,7.9298,6.707
1996-07-10,7.5829,7.6055,7.4697,7.4924,621600,7.3282,7.9444,6.7121
1996-07-11,7.4244,7.4244,6.9265,7.1755,619600,7.3181,7.9374,6.6987
1996-07-12,7.2434,7.2434,7.0623,7.0623,129200,7.3033,7.9327,6.6739
1996-07-15,7.017,7.017,6.6322,6.6548,337600,7.2739,7.9669,6.5809
1996-07-16,6.5643,6.8359,6.2927,6.8359,652000,7.2728,7.9687,6.5768
1996-07-17,6.8812,7.0396,6.7227,6.768,601600,7.2683,7.9766,6.5599
1996-07-18,6.7907,7.0849,6.7907,7.0849,711600,7.2807,7.9654,6.596
1996-07-19,7.0849,7.0849,7.017,7.017,478400,7.2886,7.9562,6.621
1996-07-22,7.0396,7.0849,6.9265,7.0849,107200,7.2898,7.9558,6.6237
1996-07-23,7.0623,7.2434,7.0396,7.0623,183600,7.2898,7.9558,6.6237
1996-07-24,6.9717,6.9717,6.768,6.8133,250000,7.2694,7.9685,6.5703
1996-07-25,6.8133,6.9265,6.8133,6.9038,292800,7.2434,7.9567,6.53
1996-07-26,6.9265,6.9944,6.9265,6.9265,138000,7.2083,7.9109,6.5056
1996-07-29,6.9491,6.9491,6.8359,6.8812,235600,7.1698,7.8545,6.4851
1996-07-30,6.9265,6.9944,6.8812,6.9944,566000,7.1325,7.7654,6.4995
1996-07-31,6.9717,7.0623,6.9038,6.9717,317600,7.0962,7.6738,6.5186
1996-08-01,7.017,7.1076,6.9491,7.1076,237600,7.0736,7.6085,6.5387
1996-08-02,7.0623,7.0849,6.8812,6.9491,844800,7.0419,7.5221,6.5617
1996-08-05,6.9491,6.9491,6.9038,6.9265,139600,7.0136,7.4464,6.5808
1996-08-06,6.9491,6.9491,6.9265,6.9491,132400,6.9831,7.3314,6.6347
1996-08-07,6.9491,6.9717,6.9265,6.9491,95200,6.9559,7.2086,6.7032
1996-08-08,6.9491,6.9491,6.9265,6.9265,37600,6.9434,7.1742,6.7127
1996-08-09,6.9038,6.9944,6.8812,6.8812,70400,6.9344,7.1597,6.7091
1996-08-12,6.9038,6.9717,6.8359,6.9717,174400,6.9502,7.1334,6.7671
1996-08-13,6.9717,7.2886,6.9717,7.2886,2547600,6.9729,7.2025,6.7432
1996-08-14,7.2886,7.3792,7.2434,7.3792,450400,7.0034,7.2768,6.7301
1996-08-15,7.3792,7.764,7.3113,7.6961,820800,7.034,7.4468,6.6212
1996-08-16,7.6734,7.7187,7.5376,7.5376,270000,7.06,7.53,6.59
1996-08-19,7.6055,7.7413,7.6055,7.6961,288400,7.0906,7.6401,6.541
1996-08-20,7.6961,8.013,7.6508,7.9451,356000,7.1347,7.8036,6.4659
1996-08-21,7.8545,7.8998,7.7187,7.8093,316800,7.1845,7.8993,6.4697
1996-08-22,7.8093,7.8319,7.764,7.7866,150000,7.2287,7.9786,6.4787
1996-08-23,7.764,7.8093,7.7413,7.7413,137600,7.2694,8.0386,6.5002
1996-08-26,7.7866,7.7866,7.6961,7.764,116000,7.3135,8.0902,6.5369
1996-08-27,7.7413,7.8093,7.7413,7.7866,158400,7.3531,8.142,6.5643
1996-08-28,7.8319,8.013,7.8319,7.9224,187600,7.4007,8.2071,6.5943
1996-08-29,7.9677,7.9677,7.8319,7.8545,390400,7.438,8.2564,6.6197
1996-08-30,7.8545,7.8545,7.7413,7.7866,152800,7.4799,8.2784,6.6814
1996-09-03,7.7413,7.7866,7.6508,7.6508,407600,7.5161,8.2736,6.7587
1996-09-04,7.6282,7.6961,7.5829,7.6055,524400,7.5489,8.2583,6.8396
1996-09-05,7.6282,7.7413,7.6055,7.7187,190000,7.5874,8.2411,6.9338
1996-09-06,7.6508,8.0356,7.6508,8.013,462000,7.6418,8.2426,7.0409
1996-09-09,8.013,8.6015,8.013,8.4657,1454800,7.721,8.3174,7.1246
1996-09-10,8.3751,8.3751,8.262,8.3299,1861200,7.7889,8.3331,7.2447
1996-09-11,8.2546,8.2546,7.801,7.9598,1326400,7.8224,8.3173,7.3276
1996-09-12,8.0051,8.0051,7.7557,7.8917,834800,7.8481,8.2973,7.3989
1996-09-13,7.9371,8.0278,7.8464,7.8464,571600,7.8556,8.2991,7.4121
