Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
2016-04-21,44.4703,56.3549,50.0933,55.1715,3291265,55.1715,,
2016-04-22,55.1715,56.2923,54.7081,55.7225,3179586,55.447,56.2262,54.6677
2016-04-25,55.7225,55.3217,52.2848,53.8753,3805213,54.9231,56.8197,53.0265
2016-04-26,53.8753,54.4764,51.6649,52.9548,18200224,54.431,56.9354,51.9266
2016-04-27,52.9548,52.7232,50.7257,51.809,6916806,53.9066,57.101,50.7122
2016-04-28,51.8089,52.5666,50.757,51.5773,29104868,53.5184,56.9507,50.0861
2016-04-29,51.5773,51.6587,50.0933,50.6631,19986945,53.1105,56.9152,49.3058
2016-05-02,50.6631,51.953,51.0325,51.7839,33373102,52.9447,56.5899,49.2994
2016-05-03,51.7839,51.8152,50.7507,51.7401,9719899,52.8108,56.3139,49.3077
2016-05-04,51.7401,51.9718,50.5629,51.1891,49645250,52.6486,56.107,49.1903
2016-05-05,51.189,51.978,51.0075,51.5334,46037530,52.5473,55.8964,49.1982
2016-05-06,51.5334,51.6587,50.9511,51.283,51854285,52.4419,55.7175,49.1663
2016-05-09,51.283,51.5021,49.7802,51.02,30003907,52.3325,55.5663,49.0987
2016-05-10,51.02,51.6587,50.4063,51.0576,33905378,52.2415,55.4223,49.0606
2016-05-11,51.0576,51.6587,50.4189,51.1014,18608806,52.1655,55.2866,49.0443
2016-05-12,51.1014,51.8403,51.2266,51.3268,22270138,52.113,55.1574,49.0687
2016-05-13,51.3268,51.6587,51.283,51.3707,9601563,52.0694,55.0389,49.0998
2016-05-16,51.3706,51.9404,49.4671,50.7633,19074326,51.9968,54.9428,49.0508
2016-05-17,50.7633,51.6587,49.6236,50.6819,10832972,51.9276,54.8534,49.0018
2016-05-18,52.0275,53.0366,49.0321,49.6427,50857842,51.8134,54.8389,48.7878
2016-05-19,49.6427,50.2662,48.595,49.0899,16283415,51.5093,54.3293,48.6893
2016-05-20,49.0899,50.7162,48.5307,48.5692,7735240,51.1516,53.496,48.8072
2016-05-23,48.5692,49.302,47.5665,48.1064,16369707,50.8632,53.2161,48.5102
2016-05-24,48.1064,49.4306,47.5665,48.4278,52515913,50.6368,53.0134,48.2602
2016-05-25,48.4278,50.2662,48.5307,50.1184,36753160,50.5523,52.873,48.2316
2016-05-26,50.1184,50.1377,49.6234,49.6491,22608385,50.4559,52.7574,48.1544
