Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
2017-11-09,308.645,329.452,307.056,320.884,893249984,320.884,,
2017-11-10,320.671,324.718,294.542,299.253,885985984,310.0685,340.6594,279.4776
2017-11-11,298.586,319.453,298.192,314.681,842300992,311.606,333.8831,289.3289
2017-11-12,314.69,319.153,298.513,307.908,1613479936,310.6815,329.2428,292.1202
2017-11-13,307.025,328.415,307.025,316.716,1041889984,311.8884,328.8449,294.9319
2017-11-14,316.763,340.177,316.763,337.631,1069680000,316.1788,342.0981,290.2596
2017-11-15,337.964,340.912,329.813,333.357,722665984,318.6329,345.6229,291.6428
2017-11-16,333.443,336.159,323.606,330.924,797254016,320.1693,346.6255,293.713
2017-11-17,330.167,334.964,327.523,332.394,621732992,321.5276,347.5825,295.4726
2017-11-18,331.98,349.616,327.687,347.612,649638976,324.136,353.7264,294.5456
2017-11-19,347.401,371.291,344.74,354.386,1181529984,326.886,360.3641,293.4079
2017-11-20,354.094,372.137,353.289,366.73,807027008,330.2063,369.5519,290.8608
2017-11-21,367.443,372.47,350.693,360.401,949912000,332.529,373.7552,291.3028
2017-11-22,360.312,381.42,360.147,380.652,800819008,335.9664,383.1948,288.738
2017-11-23,381.439,425.548,376.088,410.166,1845680000,340.913,400.4055,281.4205
2017-11-24,412.501,480.973,402.758,474.911,2292829952,349.2879,437.5617,261.0141
2017-11-25,475.676,485.192,461.053,466.276,1422080000,356.1695,458.7636,253.5755
2017-11-26,465.974,472.723,451.606,471.33,1197779968,362.5673,475.9405,249.1941
2017-11-27,471.531,493.405,468.485,480.355,1396480000,368.7667,491.4868,246.0466
2017-11-28,480.518,482.48,466.347,472.902,1346499968,373.9735,502.178,245.7689
2017-11-29,473.281,522.307,425.071,427.523,2675940096,379.3054,507.0827,251.5281
2017-11-30,431.215,465.497,401.243,447.114,1903040000,386.6985,512.061,261.3359
2017-12-01,445.209,472.609,428.312,466.54,1247879936,394.2914,519.6834,268.8994
2017-12-02,466.851,476.239,456.653,463.449,943649984,402.0685,524.1522,279.9847
2017-12-03,463.705,482.814,451.852,465.853,990556992,409.5253,527.8179,291.2327
2017-12-04,466.054,474.777,453.312,470.204,1005550016,416.154,532.3224,299.9855
2017-12-05,470.294,473.558,457.66,463.281,1216720000,422.6502,533.7436,311.5567
2017-12-06,462.604,462.708,420.21,428.588,1998259968,427.5334,529.8929,325.1738
2017-12-07,426.369,441.397,414.411,434.408,2129570048,432.6341,524.6792,340.589
2017-12-08,434.989,466.062,422.367,456.031,2336379904,438.055,521.3735,354.7365
2017-12-09,457.344,504.147,456.253,473.502,2003849984,444.0108,518.7326,369.289
2017-12-10,472.789,472.789,429.514,441.721,1404179968,447.7604,513.0897,382.431
2017-12-11,440.358,516.969,439.104,515.136,1771440000,455.4971,513.505,397.4892
2017-12-12,522.286,657.318,504.494,651.431,5179829760,469.0361,566.483,371.5891
2017-12-13,644.906,747.993,597.798,702.767,4524539904,483.6661,622.8285,344.5037
2017-12-14,700.594,753.121,664.989,695.816,3821580032,494.7114,662.972,326.4507
2017-12-15,696.376,697.132,621.061,684.448,2758710016,505.62,693.288,317.9519
2017-12-16,686.192,718.385,680.786,696.209,2165690112,516.8639,722.0142,311.7136
2017-12-17,696.237,735.825,696.237,719.975,2147389952,528.8449,752.1982,305.4916
2017-12-18,721.732,803.928,689.231,794.645,3249230080,544.9321,795.9536,293.9105
2017-12-19,793.901,881.944,785.342,826.823,4096549888,564.8971,839.0509,290.7432
2017-12-20,827.516,845.062,756.004,819.086,3969939968,583.4957,873.988,293.0033
2017-12-21,820.236,880.543,792.689,821.063,3569060096,601.2218,904.6437,297.7999
2017-12-22,822.643,827.683,543.762,674.86,4977710080,611.7924,909.6848,313.8999
2017-12-23,681.316,763.895,679.731,719.387,2480339968,624.4691,917.7549,331.1832
2017-12-24,721.769,721.769,614.922,694.148,2300549888,635.6663,921.1497,350.1828
2017-12-25,698.87,782.521,698.87,765.834,2491760128,650.7939,929.8067,371.7811
2017-12-26,763.37,786.79,760.935,773.836,2201159936,668.0563,931.4683,404.6443
2017-12-27,774.97,789.253,738.413,762.842,2100029952,684.478,926.6533,442.3027
2017-12-28,762.208,763.319,701.187,737.023,2389149952,698.5276,916.2707,480.7845
2017-12-29,740.389,770.117,729.608,753.592,2648969984,712.5321,903.75,521.3142
2017-12-30,753.815,753.815,685.231,717.257,3187780096,726.3089,868.8926,583.7252
2017-12-31,712.212,760.348,710.119,756.733,2554269952,738.3887,840.9673,635.8102
2018-01-01,755.757,782.53,742.004,772.641,2595760128,744.4492,839.4376,649.4609
2018-01-02,772.346,914.83,772.346,884.444,5783349760,753.5331,865.048,642.0182
2018-01-03,886.0,974.471,868.451,962.72,5093159936,766.8783,908.9939,624.7627
2018-01-04,961.713,1045.08,946.086,980.922,6502859776,781.702,947.492,615.9119
2018-01-05,975.75,1075.39,956.325,997.72,6683149824,796.7775,983.3643,610.1908
2018-01-06,995.154,1060.71,994.622,1041.6801,4662219776,812.8628,1025.2543,600.4713
2018-01-07,1043.01,1153.17,1043.01,1153.17,5569880064,830.789,1091.6877,569.8904
2018-01-08,1158.26,1266.9301,1016.05,1148.53,8450970112,846.8744,1143.9097,549.8391
2018-01-09,1146.0,1320.98,1145.49,1299.74,7965459968,870.9071,1229.8107,512.0035
2018-01-10,1300.34,1417.38,1226.6,1255.8199,9214950400,892.6449,1289.4954,495.7945
2018-01-11,1268.09,1337.3,1135.17,1154.9301,7235899904,916.6484,1316.1003,517.1966
2018-01-12,1158.29,1296.04,1120.09,1273.2,5222300160,944.3391,1362.5559,526.1223
2018-01-13,1270.47,1432.88,1270.47,1396.42,5746760192,979.4527,1426.177,532.7284
2018-01-14,1397.48,1400.5601,1286.21,1366.77,4841630208,1009.4995,1476.1218,542.8772
2018-01-15,1365.21,1390.59,1290.6,1291.92,4781100032,1035.4037,1504.4568,566.3506
2018-01-16,1292.63,1292.63,875.545,1053.6899,8405139968,1049.9461,1501.1121,598.7801
2018-01-17,1061.34,1090.23,780.922,1014.25,8545160192,1063.8074,1490.8849,636.73
2018-01-18,1016.44,1100.3101,967.759,1036.28,5938319872,1077.9419,1479.7549,676.1288
2018-01-19,1028.8199,1093.22,1003.71,1039.1,4084450048,1094.034,1459.127,728.941
2018-01-20,1044.95,1167.11,1044.95,1155.15,3975190016,1113.9549,1443.282,784.6277
2018-01-21,1155.6801,1155.6801,1021.5,1049.58,3378089984,1127.8018,1417.6228,837.9808
