Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
1972-06-01,0.2078,0.2102,0.2078,0.2082,1091238,0.2082,,
1972-06-02,0.2082,0.2102,0.2071,0.2078,1174468,0.208,0.2086,0.2075
1972-06-05,0.2078,0.2098,0.2071,0.2078,5209582,0.208,0.2084,0.2075
1972-06-06,0.2078,0.2086,0.2047,0.2055,1424158,0.2073,0.2099,0.2048
1972-06-07,0.2055,0.2067,0.2043,0.2043,675088,0.2067,0.2102,0.2033
1972-06-08,0.2043,0.2059,0.2027,0.2027,1038834,0.2061,0.2106,0.2016
1972-06-09,0.2027,0.2031,0.1976,0.2016,6590583,0.2054,0.2108,0.2001
1972-06-12,0.2016,0.2039,0.2,0.2016,1430323,0.2049,0.2106,0.1993
1972-06-13,0.2016,0.2035,0.2016,0.2031,934026,0.2047,0.2102,0.1993
1972-06-14,0.2039,0.2082,0.2039,0.2063,2940794,0.2049,0.2101,0.1997
1972-06-15,0.2063,0.2082,0.2051,0.2055,1464232,0.2049,0.2099,0.2
1972-06-16,0.2055,0.2063,0.2031,0.2063,752153,0.2051,0.2098,0.2003
1972-06-19,0.2063,0.2074,0.2043,0.2051,530206,0.2051,0.2096,0.2005
1972-06-20,0.2051,0.2071,0.2051,0.2059,897034,0.2051,0.2095,0.2007
1972-06-21,0.2059,0.2063,0.2039,0.2039,1612196,0.205,0.2093,0.2007
1972-06-22,0.2035,0.2035,0.2008,0.2027,1282359,0.2049,0.2092,0.2006
1972-06-23,0.2023,0.2023,0.2004,0.2023,1276193,0.2047,0.2091,0.2004
1972-06-26,0.2023,0.2023,0.2008,0.2016,622684,0.2046,0.2091,0.2001
1972-06-27,0.2016,0.2031,0.2016,0.2031,878539,0.2045,0.2089,0.2001
1972-06-28,0.2031,0.2043,0.2023,0.2027,906282,0.2044,0.2088,0.2
1972-06-29,0.2027,0.2035,0.202,0.202,450059,0.2041,0.2082,0.2
1972-06-30,0.2008,0.2008,0.1984,0.2004,826135,0.2037,0.2077,0.1997
1972-07-03,0.2004,0.2004,0.1984,0.1996,440811,0.2033,0.2072,0.1994
1972-07-05,0.1996,0.2,0.1965,0.1984,1396415,0.203,0.2073,0.1986
1972-07-06,0.1992,0.2027,0.1992,0.2008,1174468,0.2028,0.2072,0.1984
1972-07-07,0.2008,0.202,0.1984,0.2,1353258,0.2026,0.2072,0.1981
1972-07-10,0.2,0.2004,0.1976,0.1976,527123,0.2024,0.2075,0.1974
1972-07-11,0.1976,0.1992,0.1965,0.1965,548702,0.2022,0.2079,0.1965
1972-07-12,0.1965,0.1992,0.1949,0.1949,1803317,0.2018,0.2084,0.1952
1972-07-13,0.1949,0.1953,0.1925,0.1949,681253,0.2012,0.2081,0.1943
1972-07-14,0.1949,0.1961,0.1941,0.1945,943273,0.2007,0.2079,0.1935
1972-07-17,0.1945,0.1961,0.1937,0.1945,585693,0.2001,0.2073,0.1929
1972-07-18,0.1945,0.1969,0.1914,0.1965,1340928,0.1996,0.2066,0.1927
1972-07-19,0.1965,0.2008,0.1961,0.1976,1710839,0.1992,0.2056,0.1929
1972-07-20,0.1976,0.1984,0.1949,0.1949,493215,0.1988,0.205,0.1925
1972-07-21,0.1949,0.1984,0.1949,0.1976,604188,0.1985,0.2045,0.1926
1972-07-24,0.1992,0.2043,0.1992,0.2031,1458066,0.1986,0.2046,0.1925
1972-07-25,0.2053,0.2057,0.2037,0.2045,1553627,0.1987,0.2052,0.1922
1972-07-26,0.2045,0.2045,0.2033,0.2037,431563,0.1987,0.2053,0.1921
