Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
2000-01-03,465.3325,473.1532,465.3325,465.3325,461585,465.3325,,
2000-01-04,457.5039,465.3325,457.5039,457.5039,329502,461.4182,472.4894,450.3469
2000-01-05,457.512,457.512,445.7809,457.512,353902,460.1161,469.1511,451.0811
2000-01-06,453.6014,461.4221,453.6014,453.6014,203569,458.4874,468.3293,448.6456
2000-01-07,453.6014,453.6014,445.7807,453.6014,57068,457.5102,467.0886,447.9319
2000-01-10,457.4337,457.5119,453.6015,457.4337,153660,457.4975,466.0648,448.9301
2000-01-11,449.691,453.6014,449.691,449.691,35995,456.3823,466.1797,446.5848
2000-01-12,461.4221,461.4221,449.691,461.4221,2406437,457.0122,466.7579,447.2666
2000-01-13,473.1532,473.1532,461.4221,473.1532,2705692,458.8057,472.9087,444.7026
2000-01-14,480.9739,480.9739,469.2428,480.9739,1510590,461.0225,480.3452,441.6998
2000-01-17,480.9739,480.9739,469.2428,480.9739,1833034,462.8363,484.7629,440.9096
2000-01-18,477.0635,484.8842,473.1532,477.0635,2858445,464.0219,486.4839,441.5598
2000-01-19,473.1532,477.0636,473.1532,473.1532,198830,464.7243,486.8185,442.6301
2000-01-20,484.8842,484.8842,473.1532,484.8842,880118,466.1643,489.9703,442.3583
2000-01-21,480.9739,483.3201,480.9739,480.9739,418835,467.1516,491.3328,442.9704
2000-01-24,473.1454,480.9739,473.1454,473.1454,250655,467.5262,491.0789,443.9735
2000-01-25,453.6014,465.3325,445.7807,453.6014,883647,466.7071,490.4912,442.923
2000-01-26,461.4221,465.3324,449.691,461.4221,1093065,466.4135,489.6216,443.2054
2000-01-27,461.4221,461.4221,453.6014,461.4221,219903,466.1508,488.8209,443.4806
2000-01-28,469.2429,469.2507,461.4222,469.2429,122202,466.3054,488.4142,444.1966
2000-01-31,469.2429,469.2429,461.4222,469.2429,23492,466.5009,488.6426,444.3592
2000-02-01,469.2429,469.2429,465.3325,469.2429,82274,467.0878,488.8444,445.3313
