Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen
1995-07-10,6.3163,6.5503,6.3163,6.5503,5438000
1995-07-11,6.7174,6.7174,6.6171,6.684,4907000
1995-07-12,6.684,6.9847,6.6505,6.9847,1055800
1995-07-13,6.9513,7.0182,6.9179,6.9847,1373600
1995-07-14,6.9513,6.9847,6.9179,6.9513,985600
1995-07-17,6.9513,6.9513,6.8845,6.9179,947600
1995-07-18,6.9179,6.9179,6.7174,6.7508,727400
1995-07-19,6.7174,6.7174,6.2495,6.3498,558200
1995-07-20,6.2829,6.3163,6.2829,6.3163,464600
1995-07-21,6.3498,6.5169,6.3498,6.45,721200
1995-07-24,6.45,6.5503,6.45,6.45,509000
1995-07-25,6.4834,6.6171,6.45,6.4834,847000
1995-07-26,6.5503,6.7174,6.5503,6.7174,1584800
1995-07-27,6.684,6.8845,6.684,6.8845,2082600
1995-07-28,6.8845,7.3189,6.7842,7.3189,14640800
1995-07-31,7.2855,7.2855,7.085,7.2187,2544600
1995-08-01,7.1853,7.1853,7.085,7.1184,1956000
1995-08-02,7.1184,7.1184,6.7508,6.7842,2307600
1995-08-03,6.7174,6.9513,6.7174,6.9513,1762800
1995-08-04,6.8845,6.9179,6.684,6.7842,903800
1995-08-07,6.7508,6.7508,6.6505,6.7174,837000
1995-08-08,6.684,6.7174,6.6505,6.6505,729000
1995-08-09,6.6505,6.6505,6.5169,6.5503,586600
1995-08-10,6.5503,6.7174,6.5503,6.6171,1319400
1995-08-11,6.6171,6.7508,6.6171,6.684,1152000
1995-08-14,6.684,6.684,6.4834,6.5503,379800
1995-08-15,6.5503,6.6171,6.5503,6.5837,349600
1995-08-16,6.6505,6.684,6.5837,6.6171,440200
1995-08-17,6.6171,6.7174,6.5837,6.7174,410600
1995-08-18,6.7174,6.7174,6.5169,6.5503,598800
1995-08-21,6.5837,6.6505,6.4834,6.4834,440400
1995-08-22,6.5169,6.5503,6.3498,6.4166,444200
1995-08-23,6.45,6.45,6.1827,6.3163,193200
1995-08-24,6.3163,6.3163,6.1827,6.2161,1284000
1995-08-25,6.2161,6.3832,6.1158,6.3163,733400
1995-08-28,6.3163,6.3163,6.1492,6.2161,447600
1995-08-29,6.2161,6.2161,6.049,6.1158,368600
1995-08-30,6.049,6.2829,6.049,6.1827,398000
1995-08-31,6.2161,6.2495,6.1827,6.2495,417400
1995-09-01,6.2161,6.3163,6.2161,6.2829,594600
1995-09-05,6.3498,6.3832,6.2495,6.3163,487600
1995-09-06,6.3498,6.4166,6.3163,6.3832,476400
1995-09-07,6.3498,6.3498,6.1827,6.2161,618000
1995-09-08,6.2161,6.2495,6.1827,6.2161,1015600
1995-09-11,6.2161,6.4166,6.1827,6.3498,279000
1995-09-12,6.3498,6.4166,6.2495,6.4166,290000
1995-09-13,6.5169,6.6505,6.5169,6.5169,325000
1995-09-14,6.5169,6.5503,6.45,6.5503,491800
1995-09-15,6.6171,6.6505,6.5503,6.6171,1108600
1995-09-18,6.6171,6.6505,6.5837,6.6505,609400
1995-09-19,6.6171,6.6505,6.5837,6.6505,581600
1995-09-20,6.6171,6.6505,6.5837,6.6171,597600
1995-09-21,6.6171,6.6505,6.5837,6.6171,437400
