Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
1978-04-12,0.757,0.7819,0.757,0.757,11657600,0.757,,
1978-04-13,0.7881,0.813,0.7881,0.7881,7366400,0.7725,0.8166,0.7285
1978-04-14,0.838,0.8691,0.838,0.838,6771200,0.7943,0.8761,0.7126
1978-04-17,0.838,0.838,0.813,0.813,4076800,0.799,0.8683,0.7297
1978-04-18,0.813,0.8286,0.8068,0.8068,2966400,0.8006,0.861,0.7402
1978-04-19,0.8224,0.8442,0.8224,0.8224,2272000,0.8042,0.8611,0.7473
1978-04-20,0.8442,0.8691,0.8442,0.8442,1699200,0.8099,0.87,0.7498
1978-04-21,0.8442,0.8598,0.838,0.838,1046400,0.8134,0.8725,0.7544
1978-04-24,0.838,0.8442,0.8224,0.8224,931200,0.8144,0.87,0.7589
1978-04-25,0.8598,0.8847,0.8598,0.8598,2256000,0.819,0.8787,0.7592
1978-04-26,0.9003,0.9252,0.9003,0.9003,1264000,0.8263,0.9013,0.7514
1978-04-27,0.9003,0.9252,0.9003,0.9003,1075200,0.8325,0.9157,0.7493
1978-04-28,0.9563,0.9812,0.9563,0.9563,1971200,0.842,0.9472,0.7368
1978-05-01,0.9408,0.9408,0.9158,0.9158,1500800,0.8473,0.9558,0.7388
1978-05-02,0.9252,0.9501,0.9252,0.9252,816000,0.8525,0.9645,0.7405
1978-05-03,0.9252,0.9252,0.9003,0.9003,627200,0.8555,0.9663,0.7447
1978-05-04,0.9158,0.9408,0.9158,0.9158,1046400,0.859,0.9702,0.7478
1978-05-05,0.9252,0.9501,0.9252,0.9252,681600,0.8627,0.975,0.7504
1978-05-08,0.9345,0.9563,0.9345,0.9345,918400,0.8665,0.9805,0.7525
1978-05-09,0.9408,0.9657,0.9408,0.9408,694400,0.8702,0.986,0.7544
1978-05-10,0.9501,0.9719,0.9501,0.9501,774400,0.8799,0.9879,0.7718
1978-05-11,0.9812,1.0124,0.9812,0.9812,1449600,0.8895,0.9975,0.7815
1978-05-12,0.9968,1.0217,0.9968,0.9968,627200,0.8975,1.0126,0.7823
1978-05-15,0.9968,1.0124,0.9875,0.9875,307200,0.9062,1.0209,0.7915
1978-05-16,1.0529,1.0778,1.0529,1.0529,1225600,0.9185,1.0408,0.7961
1978-05-17,1.0529,1.0685,1.0436,1.0436,534400,0.9295,1.0553,0.8038
1978-05-18,1.0436,1.0591,1.0373,1.0373,633600,0.9392,1.067,0.8114
