Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
1962-01-02,0.6193,0.6296,0.6131,0.6172,432682,0.6172,,
1962-01-03,0.6141,0.6141,0.609,0.6111,296467,0.6141,0.6229,0.6054
1962-01-04,0.6111,0.6162,0.5987,0.6038,368581,0.6107,0.6241,0.5973
1962-01-05,0.6038,0.6049,0.578,0.5883,546862,0.6051,0.63,0.5802
1962-01-08,0.5883,0.5883,0.5698,0.5873,620978,0.6016,0.6284,0.5747
1962-01-09,0.5873,0.5956,0.5832,0.5904,466735,0.5997,0.6253,0.574
1962-01-10,0.5904,0.5966,0.5883,0.5935,392619,0.5988,0.6227,0.5749
1962-01-11,0.5935,0.5945,0.5832,0.5945,326514,0.5983,0.6206,0.576
1962-01-12,0.5945,0.5956,0.5842,0.5863,338533,0.5969,0.6193,0.5746
1962-01-15,0.5873,0.5945,0.5873,0.5925,424669,0.5965,0.6178,0.5752
1962-01-16,0.5925,0.5997,0.5883,0.5976,278439,0.5966,0.6168,0.5764
1962-01-17,0.5966,0.5966,0.5801,0.5842,428675,0.5956,0.6161,0.575
1962-01-18,0.5842,0.5904,0.5832,0.5904,296467,0.5952,0.615,0.5753
1962-01-19,0.5904,0.5956,0.5904,0.5956,266420,0.5952,0.6143,0.5761
1962-01-22,0.5966,0.6049,0.5966,0.5976,284448,0.5954,0.6138,0.5769
1962-01-23,0.5956,0.5956,0.5842,0.5863,456720,0.5948,0.6132,0.5764
1962-01-24,0.5863,0.5997,0.5842,0.5976,320505,0.595,0.6128,0.5771
1962-01-25,0.5976,0.6018,0.5873,0.5914,318502,0.5948,0.6122,0.5774
1962-01-26,0.5914,0.5925,0.5873,0.5894,202319,0.5945,0.6116,0.5774
1962-01-29,0.5894,0.5925,0.5883,0.5904,204322,0.5943,0.611,0.5775
1962-01-30,0.5976,0.6069,0.5976,0.6007,356562,0.5935,0.6067,0.5802
