Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
2010-11-18,26.0383,26.7748,25.2125,25.4357,457044300,25.4357,,
2010-11-19,25.4059,25.6663,24.6322,25.4878,107842000,25.4617,25.5354,25.3881
2010-11-22,25.4431,25.6514,25.153,25.3539,36650600,25.4258,25.5608,25.2908
2010-11-23,25.2571,25.2869,24.6917,24.7364,31170200,25.2534,25.9516,24.5553
2010-11-24,25.0935,25.1455,24.7141,24.9075,26138000,25.1842,25.8634,24.505
2010-11-26,24.8554,25.153,24.7066,25.1456,12301200,25.1778,25.7861,24.5695
2010-11-29,25.1456,25.153,24.6025,25.1456,27776900,25.1732,25.729,24.6173
2010-11-30,24.9447,25.4803,24.8182,25.4431,57476900,25.2069,25.7558,24.6581
2010-12-01,25.7779,26.0011,25.6068,25.8746,34633200,25.2811,25.9606,24.6016
2010-12-02,25.9788,26.0234,25.6738,25.8002,23196100,25.333,26.0529,24.6131
2010-12-03,25.7035,25.7407,25.272,25.7035,19395200,25.3667,26.0853,24.6481
2010-12-06,25.6514,25.8746,25.5994,25.6514,11676500,25.3904,26.095,24.6859
2010-12-07,25.8523,25.9565,25.6366,25.8002,20823000,25.422,26.1338,24.7101
2010-12-08,25.7481,25.8374,25.5398,25.6291,12603900,25.4368,26.1296,24.7439
2010-12-09,25.5622,25.6142,25.0116,25.1009,18402200,25.4144,26.1041,24.7246
2010-12-10,25.1827,25.2869,24.9447,25.153,11741700,25.398,26.0771,24.719
2010-12-13,25.2646,25.3315,25.0712,25.1456,11029300,25.3832,26.052,24.7144
2010-12-14,25.0935,25.2348,24.8852,25.2125,15165600,25.3737,26.0275,24.7199
2010-12-15,25.153,25.3018,25.0042,25.0042,10182700,25.3542,26.0119,24.6966
2010-12-16,24.9744,25.1902,24.967,25.0042,9885700,25.3367,25.9957,24.6778
2010-12-17,24.9447,25.2943,24.6917,25.2943,35681600,25.3297,25.9872,24.6722
2010-12-20,25.2274,25.3315,25.1009,25.1158,12476400,25.3111,25.9708,24.6513
2010-12-21,25.1902,25.2497,25.086,25.1827,9012400,25.3025,25.9644,24.6407
2010-12-22,25.086,26.0011,24.9447,25.9788,20935100,25.3646,26.0359,24.6934
2010-12-23,25.7928,26.4251,25.7556,25.8969,20529200,25.4141,26.0893,24.7389
2010-12-27,25.5994,25.9565,25.4357,25.7407,7368300,25.4439,26.1217,24.766
2010-12-28,26.321,26.5367,26.0904,26.2764,23489000,25.5004,26.2575,24.7433
2010-12-29,26.3879,27.0054,26.2243,26.7971,20960800,25.5681,26.5206,24.6157
2010-12-30,26.8566,27.5113,26.7971,27.3923,16980800,25.644,26.8945,24.3935
2010-12-31,27.4072,27.4964,27.2063,27.422,6163900,25.7251,27.2071,24.2431
2011-01-03,27.7642,28.2701,27.5485,27.5708,24874900,25.8185,27.5146,24.1223
2011-01-04,27.6006,28.2627,27.2881,28.1958,32363400,25.9457,27.9438,23.9475
2011-01-05,27.8758,28.4933,27.8758,28.3222,22503900,26.0718,28.3324,23.8112
2011-01-06,28.4487,29.3712,28.3222,28.9397,38556900,26.2373,28.8229,23.6517
2011-01-07,28.8951,29.2596,28.6496,28.9992,19901100,26.4322,29.2357,23.6288
2011-01-10,29.267,29.2819,28.5975,28.6868,18341600,26.6089,29.5164,23.7014
2011-01-11,28.7612,29.334,28.6496,28.8281,14856500,26.793,29.7758,23.8103
2011-01-12,28.9769,29.2894,28.5454,28.7314,16773900,26.969,29.9742,23.9637
2011-01-13,28.7611,28.7983,28.352,28.471,11358300,27.1423,30.0693,24.2153
2011-01-14,28.404,28.6198,28.2999,28.4189,5894200,27.313,30.1104,24.5157
2011-01-18,28.3073,28.5156,27.7643,28.2925,8918200,27.463,30.1228,24.8032
2011-01-19,28.1065,28.2181,27.7196,27.8238,12667700,27.5984,30.0201,25.1766
2011-01-20,27.608,27.7419,26.9831,27.6601,15844900,27.7222,29.8606,25.5838
2011-01-21,27.7717,28.1585,27.3923,27.7047,9548500,27.8085,29.7837,25.8333
2011-01-24,28.0544,28.166,27.5485,28.0023,12202800,27.9138,29.6726,26.155
2011-01-25,28.1586,28.6347,28.0544,28.5677,12318700,28.0551,29.5061,26.6042
2011-01-26,28.8281,28.9471,28.166,28.1883,11534600,28.1507,29.3358,26.9657
2011-01-27,28.4189,28.9769,28.2925,28.7686,13950000,28.2493,29.2779,27.2207
2011-01-28,28.2701,28.285,26.7897,27.2286,37134600,28.2411,29.3006,27.1817
2011-01-31,27.4444,27.5634,26.7004,27.1468,13954800,28.2274,29.3376,27.1172
2011-02-01,27.4741,27.6973,26.8789,27.117,28091600,28.2047,29.3875,27.0218
2011-02-02,27.1244,27.1988,26.4698,26.5442,17434700,28.1221,29.5188,26.7253
2011-02-03,26.7599,26.8269,26.135,26.8269,19350000,28.0473,29.5547,26.54
2011-02-04,26.9682,27.3253,26.7004,27.2212,11115000,27.9614,29.4504,26.4724
2011-02-07,27.489,27.5931,27.236,27.303,7328800,27.8766,29.3088,26.4444
2011-02-08,27.5039,27.5634,27.0798,27.4444,6243000,27.8145,29.2059,26.423
2011-02-09,27.3923,27.4592,26.9905,27.0873,6399300,27.7274,29.0688,26.386
2011-02-10,26.9087,27.2584,26.4251,26.693,11542400,27.6255,28.9554,26.2956
2011-02-11,26.6037,27.2063,26.4475,27.117,13508300,27.5578,28.8436,26.272
2011-02-14,27.1914,27.1989,26.3879,26.998,7121200,27.4868,28.7285,26.245
2011-02-15,26.9236,27.0873,26.6335,26.8641,10336500,27.4153,28.6259,26.2048
2011-02-16,26.8641,27.4072,26.7971,27.3402,8680900,27.3912,28.5866,26.1957
2011-02-17,27.1914,27.303,27.0054,27.0575,7463000,27.361,28.5583,26.1638
2011-02-18,27.0947,27.3476,27.0649,27.1617,6815800,27.3339,28.5229,26.1448
2011-02-22,26.6781,26.8938,26.3731,26.6111,13937400,27.2643,28.4515,26.0772
2011-02-23,26.6706,26.7376,25.1455,25.7333,28192500,27.1226,28.3312,25.914
2011-02-24,25.9639,26.0383,23.8436,24.5653,63562800,26.9414,28.5099,25.373
2011-02-25,25.0488,25.4431,24.5876,24.7364,29017800,26.7398,28.3553,25.1243
2011-02-28,24.9149,25.1009,24.4462,24.9447,15886400,26.6256,28.4098,24.8415
2011-03-01,25.0637,25.1084,24.1263,24.5132,27321600,26.494,28.492,24.4959
2011-03-02,24.476,24.6769,24.2454,24.4611,14306700,26.3612,28.5306,24.1918
2011-03-03,24.5727,24.6769,24.29,24.5727,17614800,26.2626,28.5717,23.9535
2011-03-04,24.6025,24.6099,23.8139,24.0966,24240900,26.1261,28.6108,23.6413
2011-03-07,24.0668,24.1784,23.4493,23.5833,15077100,25.9442,28.6169,23.2715
2011-03-08,23.613,24.4165,23.5758,24.3421,14509400,25.7961,28.4799,23.1123
2011-03-09,24.357,24.3718,23.8808,23.9924,11225600,25.6235,28.305,22.942
2011-03-10,23.4121,23.6428,23.0253,23.3749,38333600,25.4379,28.2054,22.6705
2011-03-11,23.2485,23.8511,23.241,23.7544,14024000,25.291,28.0897,22.4923
2011-03-14,23.9106,24.0296,23.3824,23.5014,9976500,25.1102,27.8792,22.3412
2011-03-15,23.0476,24.171,22.8021,24.0668,21471300,24.9637,27.62,22.3073
2011-03-16,24.1189,24.2007,23.3601,23.6428,14148900,24.8026,27.3626,22.2425
2011-03-17,23.9404,24.0966,23.308,23.3898,11025600,24.6051,26.9405,22.2697
2011-03-18,23.613,23.7692,23.3749,23.6948,9861200,24.4369,26.4968,22.377
2011-03-21,23.985,24.0296,23.2336,23.2708,13196500,24.2424,25.9179,22.5669
2011-03-22,23.2708,23.3229,22.6979,22.8691,16982100,24.0553,25.4248,22.6858
2011-03-23,22.7649,23.2708,22.4673,23.1815,23016000,23.9277,25.1003,22.7551
2011-03-24,23.3005,23.5088,23.241,23.3526,15743100,23.8671,25.0262,22.7079
2011-03-25,23.427,23.5833,23.1294,23.4121,15242300,23.8009,24.9007,22.701
2011-03-28,23.494,23.494,22.9509,22.9509,10302600,23.7012,24.7232,22.6792
2011-03-29,23.0104,23.189,22.8244,23.1369,9756700,23.6324,24.6084,22.6563
2011-03-30,23.1815,23.5386,23.0922,23.4717,7657000,23.5829,24.4791,22.6866
2011-03-31,23.3601,23.4717,23.0625,23.0848,8976600,23.5085,24.2996,22.7173
2011-04-01,23.3526,24.2751,22.9435,24.1115,29883100,23.5092,24.3027,22.7157
2011-04-04,24.1784,24.3421,23.9552,24.0966,12331400,23.5349,24.3706,22.6992
2011-04-05,24.0445,24.4537,23.8808,24.4537,10106900,23.5405,24.4,22.681
2011-04-06,24.5504,24.7587,24.1933,24.4537,8160100,23.5635,24.4958,22.6313
2011-04-07,24.4314,24.4314,23.8585,24.0371,11242400,23.5966,24.5475,22.6457
2011-04-08,24.104,24.3644,23.308,23.4493,16057700,23.5814,24.5314,22.6314
2011-04-11,23.3154,23.3973,22.7277,22.8914,15179100,23.5509,24.5497,22.5521
2011-04-12,22.6161,23.3154,22.3929,23.1741,19648600,23.5063,24.4876,22.5249
2011-04-13,23.2336,23.3006,22.7575,22.9583,13781100,23.472,24.4807,22.4634
2011-04-14,22.8021,22.9583,22.5789,22.75,9044800,23.44,24.499,22.3811
2011-04-15,22.7575,22.8542,22.4524,22.4971,9882800,23.3802,24.5114,22.2489
2011-04-18,22.3632,22.5715,22.2441,22.2962,12745600,23.3314,24.5621,22.1007
2011-04-19,22.1772,22.2516,21.7011,22.0135,19914800,23.2886,24.6405,21.9368
2011-04-20,22.14,22.6012,21.887,22.2665,22038100,23.2429,24.6699,21.8159
2011-04-21,22.3557,23.0625,22.326,23.0253,18920800,23.2265,24.6557,21.7973
2011-04-25,23.0625,23.2038,22.5566,23.1666,15442500,23.2143,24.641,21.7875
2011-04-26,23.3526,23.4419,23.0327,23.2634,15700000,23.2299,24.6513,21.8085
2011-04-27,23.4121,23.6502,23.2708,23.6428,14945600,23.2552,24.6876,21.8228
2011-04-28,23.6279,23.8808,23.4196,23.7395,15810100,23.2686,24.7144,21.8227
2011-04-29,23.799,24.2379,23.7395,23.8734,13774600,23.308,24.7756,21.8404
2011-05-02,24.1115,24.1784,23.7469,23.9403,11014500,23.2994,24.7492,21.8497
2011-05-03,24.0891,24.6992,24.0743,24.5429,29894800,23.3218,24.8355,21.808
2011-05-04,24.6694,24.9,24.3346,24.5801,20492000,23.3281,24.8627,21.7935
2011-05-05,23.8511,24.3123,23.427,23.8213,26623400,23.2965,24.7577,21.8352
2011-05-06,24.1784,24.2528,23.6874,23.7395,12801800,23.2816,24.7169,21.8463
2011-05-09,23.613,23.8511,23.3303,23.3526,10716400,23.2767,24.7103,21.8431
2011-05-10,23.4121,23.5386,23.308,23.5163,7841900,23.308,24.7334,21.8825
2011-05-11,23.4865,23.7023,23.1443,23.2857,9073300,23.3136,24.7377,21.8895
2011-05-12,23.1146,23.5089,23.0104,23.3749,14128200,23.3344,24.7488,21.92
2011-05-13,23.4047,23.4642,22.9509,23.1146,10837200,23.3526,24.7445,21.9607
2011-05-16,23.2485,23.4345,23.122,23.1369,7291700,23.3846,24.7221,22.0472
2011-05-17,23.1071,23.3452,22.936,23.1369,11191200,23.4266,24.6696,22.1837
