Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
2004-08-19,2.482,2.5828,2.3817,2.4904,893181924,2.4904,,
2004-08-20,2.5071,2.7074,2.4944,2.6882,456686856,2.5893,2.8691,2.3096
2004-08-23,2.7488,2.8166,2.7066,2.7153,365122512,2.6313,2.8769,2.3858
2004-08-24,2.761,2.7699,2.5706,2.6029,304946748,2.6242,2.8267,2.4217
2004-08-25,2.6051,2.6805,2.5783,2.6309,183772044,2.6255,2.801,2.4501
2004-08-26,2.6048,2.6793,2.5976,2.6783,141897960,2.6343,2.7971,2.4716
2004-08-27,2.683,2.6959,2.6232,2.6346,124235640,2.6344,2.7829,2.4858
2004-08-30,2.613,2.6183,2.5319,2.5319,103935960,2.6216,2.777,2.4661
2004-08-31,2.5391,2.5741,2.5356,2.5408,98357544,2.6126,2.7677,2.4575
2004-09-01,2.549,2.5557,2.4738,2.4882,182765052,2.6002,2.7662,2.4341
2004-09-02,2.4619,2.5408,2.4557,2.5195,302373324,2.5928,2.7577,2.428
2004-09-03,2.5056,2.5252,2.4651,2.4822,103048848,2.5836,2.7533,2.4139
2004-09-07,2.5071,2.5316,2.4723,2.5212,116950932,2.5788,2.7449,2.4127
2004-09-08,2.5004,2.5572,2.4944,2.5391,99712188,2.576,2.7369,2.415
2004-09-09,2.5448,2.5493,2.5068,2.5393,81234684,2.5735,2.7298,2.4173
2004-09-10,2.5217,2.6448,2.5143,2.6143,173977848,2.5761,2.7284,2.4237
2004-09-13,2.6465,2.6907,2.6423,2.6681,156882960,2.5815,2.7356,2.4274
2004-09-14,2.6669,2.7798,2.6505,2.7672,216579204,2.5918,2.7651,2.4186
2004-09-15,2.7441,2.8352,2.7352,2.7798,214261524,2.6017,2.7909,2.4125
2004-09-16,2.7883,2.8741,2.7711,2.8287,185326488,2.6131,2.8233,2.4028
2004-09-17,2.8399,2.9161,2.8183,2.9161,189450360,2.6343,2.8761,2.3925
2004-09-20,2.9027,3.0181,2.8982,2.9625,212575212,2.648,2.9304,2.3657
2004-09-21,2.9737,2.9888,2.9166,2.9248,144575280,2.6585,2.9659,2.3512
2004-09-22,2.9139,2.9702,2.8992,2.9382,151624224,2.6753,3.0056,2.345
2004-09-23,2.9496,3.0437,2.9044,2.9987,170713116,2.6937,3.0532,2.3341
2004-09-24,3.0017,3.0801,2.9724,2.9742,182469348,2.7085,3.0891,2.3279
2004-09-27,2.9675,3.0002,2.9238,2.9352,141322536,2.7235,3.1154,2.3316
2004-09-28,3.0107,3.1621,2.9836,3.1487,338581080,2.7543,3.1785,2.3302
2004-09-29,3.1447,3.3512,3.133,3.2534,610329060,2.79,3.2562,2.3237
2004-09-30,3.2241,3.2837,3.2018,3.2167,275160564,2.8264,3.307,2.3458
2004-10-01,3.2464,3.3318,3.1993,3.2906,302497200,2.8649,3.3652,2.3647
2004-10-04,3.3569,3.3971,3.3266,3.3522,260455284,2.9084,3.4197,2.3972
2004-10-05,3.3422,3.4383,3.2822,3.4343,299464236,2.9541,3.4826,2.4256
2004-10-06,3.414,3.4363,3.3755,3.4023,267628104,2.9973,3.524,2.4705
2004-10-07,3.3983,3.4718,3.3892,3.4462,282301416,3.0426,3.5594,2.5258
2004-10-08,3.443,3.4668,3.4008,3.4184,221390388,3.0828,3.5842,2.5814
2004-10-11,3.4003,3.4465,3.3221,3.3571,209442348,3.1173,3.5927,2.6418
2004-10-12,3.3368,3.4155,3.311,3.4103,233310456,3.1494,3.612,2.6868
2004-10-13,3.5572,3.5629,3.4768,3.4971,395324280,3.1853,3.6383,2.7322
