Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
1999-05-04,52.3135,53.1739,48.1835,48.4416,22320900,48.4416,,
1999-05-05,48.0975,48.0975,45.6022,47.5812,7565700,48.0114,49.2282,46.7946
1999-05-06,46.8068,47.7533,46.1615,46.7638,2905700,47.5955,49.2735,45.9175
1999-05-07,46.7638,51.5391,45.9464,51.0229,4862300,48.4524,52.1434,44.7613
1999-05-10,50.5066,50.5927,48.3556,48.6567,2589400,48.4933,51.695,45.2915
1999-05-11,48.1835,49.0009,47.8393,48.6137,1839800,48.5133,51.3788,45.6479
1999-05-12,48.8718,51.5391,47.5812,50.5927,2659300,48.8104,51.8621,45.7587
1999-05-13,50.4206,51.7973,49.9043,50.3776,1142900,49.0063,52.0412,45.9714
1999-05-14,49.0439,49.7322,47.5382,48.3125,2058400,48.9292,51.8055,46.0529
1999-05-17,47.5812,48.3556,46.8068,47.237,2075000,48.76,51.6753,45.8446
1999-05-18,46.9789,48.4846,46.8929,47.237,1407100,48.6215,51.5358,45.7073
1999-05-19,47.7533,48.0544,47.3231,47.7103,727400,48.5456,51.3736,45.7176
1999-05-20,47.8824,48.2695,47.065,47.065,520800,48.4317,51.2611,45.6023
1999-05-21,46.8929,47.3661,46.4627,46.4627,936200,48.2911,51.2061,45.376
1999-05-24,46.1185,46.2906,44.7418,44.9569,1493000,48.0688,51.3635,44.7741
1999-05-25,44.1395,45.3871,44.0535,44.3976,1662400,47.8393,51.5136,44.165
1999-05-26,45.172,45.8604,43.4082,45.4732,1602900,47.7001,51.4383,43.9619
1999-05-27,44.7418,46.6348,44.5267,46.6348,1220500,47.641,51.3022,43.9798
1999-05-28,46.6347,47.3661,46.1185,46.7638,901900,47.5948,51.1755,44.0141
1999-06-01,45.8604,45.8604,43.7523,44.1826,953900,47.4242,51.2288,43.6195
1999-06-02,43.8814,44.0965,42.6768,43.5372,2204300,47.179,51.3244,43.0335
1999-06-03,44.0535,44.1825,43.4512,43.7954,852600,46.9897,51.3954,42.5839
1999-06-04,44.2686,46.1185,44.2686,44.9999,1357400,46.9015,51.396,42.407
1999-06-07,44.8709,46.6347,44.8709,45.3871,891900,46.6197,50.7152,42.5242
1999-06-08,45.0,45.2151,43.8814,43.8814,571700,46.3809,50.5328,42.2291
1999-06-09,44.2256,45.086,43.7954,45.086,611400,46.2045,50.2555,42.1536
1999-06-10,44.6558,44.6988,43.5803,43.6233,664200,45.8561,49.4958,42.2163
1999-06-11,44.0105,44.2686,42.8919,43.5372,969300,45.514,48.6097,42.4184
1999-06-14,43.7093,44.0535,41.6443,42.1606,821100,45.2064,48.3535,42.0594
1999-06-15,43.2791,43.6233,42.8489,43.1931,831700,45.0042,48.1214,41.8871
1999-06-16,44.0105,45.043,44.0105,44.9139,690300,44.8881,47.8228,41.9534
1999-06-17,44.3976,46.0324,44.3976,44.7418,955700,44.7397,47.3564,42.123
1999-06-18,44.2256,44.6558,43.7093,44.6128,613900,44.6171,46.9938,42.2403
1999-06-21,45.9034,48.1405,45.8173,47.8393,1811000,44.6859,47.3501,42.0217
1999-06-22,48.2696,48.2696,46.6348,46.8068,1165900,44.7784,47.6056,41.9511
1999-06-23,46.1615,46.4196,44.6558,44.7418,1351700,44.7956,47.6173,41.9739
1999-06-24,45.4732,45.7743,44.3977,44.7848,1408900,44.7612,47.5648,41.9576
1999-06-25,45.086,45.9894,44.9999,45.6022,1111500,44.7096,47.4038,42.0153
1999-06-28,45.7313,46.4627,45.2581,45.8173,784600,44.6622,47.2351,42.0894
1999-06-29,45.4302,47.151,45.4302,46.6348,629800,44.7848,47.4917,42.078
1999-06-30,47.151,49.7322,45.5162,49.7322,2127600,45.0946,48.5222,41.667
1999-07-01,49.13,49.173,48.0114,48.7428,813600,45.342,49.0752,41.6087
1999-07-02,48.5707,49.0009,47.9684,48.8288,536900,45.5334,49.5729,41.4939
1999-07-06,48.1835,49.0009,47.6672,48.5277,747600,45.6904,49.9445,41.4364
1999-07-07,47.8824,48.1835,46.8068,46.8068,648800,45.8367,50.0296,41.6438
1999-07-08,46.8068,47.4091,46.2476,46.2906,424400,45.8969,50.079,41.7149
1999-07-09,46.4196,46.9359,46.2906,46.2906,312700,46.0303,50.0749,41.9857
1999-07-12,46.8068,47.4521,46.7208,47.065,547700,46.2067,50.0983,42.315
1999-07-13,46.9789,47.2801,46.5487,46.7208,969600,46.4347,49.831,43.0383
1999-07-14,46.3766,46.6347,46.3336,46.5487,888200,46.6025,49.6368,43.5681
1999-07-15,46.8068,46.8068,46.4627,46.7638,864700,46.695,49.6235,43.7664
1999-07-16,46.6348,47.3231,46.6348,46.8499,476700,46.8004,49.5809,44.0198
1999-07-19,46.9789,48.6998,46.9789,47.7963,646100,46.9596,49.5722,44.3469
1999-07-20,47.5812,48.4847,46.7208,46.8929,886100,46.9122,49.4919,44.3326
1999-07-21,46.8068,46.8498,46.2045,46.7208,626100,46.9079,49.4886,44.3272
1999-07-22,46.8929,46.9789,45.7743,45.7743,579500,46.9596,49.395,44.5241
1999-07-23,45.6883,45.6883,44.0535,44.0965,767200,46.9251,49.5052,44.3451
1999-07-26,44.2256,44.5697,43.4942,43.5372,749500,46.8219,49.7646,43.8792
1999-07-27,44.2256,45.2581,43.5803,45.086,592200,46.7853,49.798,43.7727
1999-07-28,44.9139,45.6883,44.0535,45.4732,584800,46.7272,49.7964,43.6581
1999-07-29,45.086,45.086,44.3976,44.7418,646000,46.4777,49.3213,43.6341
1999-07-30,44.7418,44.7418,43.7953,44.2686,629600,46.254,49.0509,43.4571
