Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
1981-09-22,0.0166,0.0166,0.0166,0.0166,7449469,0.0166,,
1981-09-23,0.0166,0.0166,0.0166,0.0166,7381125,0.0166,0.0166,0.0166
1981-09-24,0.0166,0.0166,0.0166,0.0166,5091609,0.0166,0.0166,0.0166
1981-09-25,0.0166,0.0166,0.0166,0.0166,7312781,0.0166,0.0166,0.0166
1981-09-28,0.0166,0.0166,0.0166,0.0166,5809219,0.0166,0.0166,0.0166
1981-09-29,0.0166,0.0166,0.0166,0.0166,3963938,0.0166,0.0166,0.0166
1981-09-30,0.0166,0.0166,0.0166,0.0166,5262469,0.0166,0.0166,0.0166
1981-10-01,0.0166,0.0166,0.0166,0.0166,4374000,0.0166,0.0166,0.0166
1981-10-02,0.0166,0.0221,0.0166,0.0166,3485531,0.0166,0.0166,0.0166
1981-10-05,0.0166,0.0221,0.0166,0.0166,1776938,0.0166,0.0166,0.0166
1981-10-06,0.0166,0.0221,0.0166,0.0166,2528719,0.0166,0.0166,0.0166
1981-10-07,0.0166,0.0221,0.0166,0.0166,4203141,0.0166,0.0166,0.0166
1981-10-08,0.0166,0.0221,0.0166,0.0166,136688,0.0166,0.0166,0.0166
1981-10-09,0.0166,0.0221,0.0166,0.0166,5638359,0.0166,0.0166,0.0166
1981-10-12,0.0166,0.0221,0.0166,0.0166,375891,0.0166,0.0166,0.0166
1981-10-13,0.0166,0.0221,0.0166,0.0166,1161844,0.0166,0.0166,0.0166
1981-10-14,0.0166,0.0221,0.0166,0.0166,375891,0.0166,0.0166,0.0166
1981-10-15,0.0166,0.0221,0.0166,0.0166,3109641,0.0166,0.0166,0.0166
1981-10-16,0.0166,0.0221,0.0166,0.0166,307547,0.0166,0.0166,0.0166
1981-10-19,0.0166,0.0221,0.0166,0.0166,1230188,0.0166,0.0166,0.0166
