Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
2013-12-12,41.3135,42.516,41.2165,41.7014,12935478,41.7014,,
2013-12-13,42.6518,43.4082,41.7984,42.8651,1224854,42.2833,43.9291,40.6375
2013-12-16,44.7659,49.9447,41.7402,41.7402,4717690,42.1022,43.4242,40.7802
2013-12-17,41.9147,42.6518,41.8565,42.3026,2313840,42.1523,43.2502,41.0545
2013-12-18,42.3414,43.0203,42.0117,42.3414,2857846,42.1902,43.1558,41.2245
2013-12-19,42.1863,43.4664,41.7984,43.2143,1469103,42.3608,43.563,41.1587
2013-12-20,43.641,43.738,42.3996,42.5354,994834,42.3858,43.4911,41.2804
2013-12-23,42.6906,43.0397,41.8178,41.8178,1220712,42.3148,43.4141,41.2154
2013-12-24,41.8953,42.0311,41.0225,41.7208,1234064,42.2488,43.3507,41.1468
2013-12-26,41.8178,42.5936,41.7984,42.0893,1309211,42.2328,43.2766,41.189
2013-12-27,41.8953,42.3608,41.7984,41.8953,1090302,42.2021,43.2131,41.1912
2013-12-30,42.1281,42.613,41.8953,42.4578,871832,42.2235,43.1986,41.2483
2013-12-31,42.6712,43.5828,42.5742,43.1561,1134308,42.2952,43.3626,41.2278
2014-01-02,43.1561,43.35,42.2251,42.3996,1763791,42.3027,43.3297,41.2756
2014-01-03,42.2833,42.8457,42.1863,42.6906,461257,42.3285,43.3382,41.3188
2014-01-06,42.6518,42.9039,42.2057,42.6712,1172320,42.3499,43.3404,41.3595
2014-01-07,42.6712,42.8651,42.4772,42.6712,1992593,42.3688,43.3404,41.3973
2014-01-08,42.7294,42.7294,42.2833,42.7294,1154240,42.3889,43.3466,41.4311
2014-01-09,42.6712,42.71,42.1087,42.419,459600,42.3904,43.3213,41.4596
2014-01-10,42.2057,42.3996,41.8371,42.0699,812329,42.3744,43.2917,41.4571
2014-01-13,41.8178,42.3414,41.8178,42.1281,728216,42.3958,43.2658,41.5257
2014-01-14,42.1087,42.8845,41.9729,42.8651,1251608,42.3958,43.2658,41.5257
2014-01-15,42.7682,43.0009,42.3414,42.4966,915253,42.4336,43.2476,41.6196
2014-01-16,42.4772,42.7294,42.0699,42.5936,1130019,42.4481,43.2627,41.6336
2014-01-17,42.5936,43.7574,42.2833,43.1561,2702290,42.4889,43.3604,41.6173
2014-01-21,43.6604,43.8155,42.3609,42.516,1280214,42.4539,43.2563,41.6515
2014-01-22,42.6518,43.6216,42.4772,43.5634,1428655,42.5053,43.449,41.5617
2014-01-23,43.5052,43.9513,42.8651,43.9513,936062,42.612,43.6998,41.5243
2014-01-24,43.35,43.6022,42.8457,43.544,891033,42.7032,43.782,41.6244
2014-01-27,43.544,43.544,42.4578,42.6518,1099610,42.7313,43.7714,41.6912
2014-01-28,42.3608,42.6712,42.1863,42.4772,686209,42.7604,43.7323,41.7885
2014-01-29,42.3027,42.4384,41.8178,42.0117,437865,42.7381,43.7585,41.7177
2014-01-30,42.2057,42.3221,41.8953,42.0117,520273,42.6809,43.7305,41.6312
2014-01-31,41.7208,42.0699,41.3911,41.9923,428606,42.6605,43.7483,41.5728
2014-02-03,41.9923,42.0893,40.4212,40.6346,1115010,42.5577,43.9728,41.1426
2014-02-04,40.7316,40.8868,40.4212,40.7898,835770,42.4636,44.0825,40.8448
2014-02-05,40.4406,40.654,39.8588,40.3437,694786,42.3473,44.2183,40.4762
2014-02-06,40.4212,41.1195,40.3824,41.1195,294103,42.2668,44.2059,40.3277
2014-02-07,41.2359,42.419,41.1583,41.9923,513012,42.2454,44.1869,40.304
2014-02-10,42.0311,42.0699,41.3135,41.5268,562427,42.2183,44.1851,40.2515
2014-02-11,42.1475,42.2251,41.6238,42.0699,642446,42.2154,44.1829,40.2479
2014-02-12,42.1669,42.5742,41.9341,42.4578,436647,42.195,44.1425,40.2475
2014-02-13,42.2445,42.71,41.9923,42.5742,551608,42.1989,44.1493,40.2485
2014-02-14,42.6712,42.7681,42.3996,42.6712,647856,42.2028,44.1567,40.2488
2014-02-18,42.6712,42.6712,42.1475,42.2057,616179,42.1552,44.0571,40.2534
2014-02-19,42.2057,42.5742,41.7014,41.7596,441033,42.1174,44.0192,40.2157
