Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
1980-03-17,0.5132,0.5222,0.5132,0.5132,26000,0.5132,,
1980-03-18,0.5222,0.5222,0.5222,0.5222,2000,0.5177,0.5304,0.505
1980-03-19,0.5168,0.5168,0.5168,0.5168,2000,0.5174,0.5265,0.5084
1980-03-20,0.5168,0.5168,0.5168,0.5168,0,0.5173,0.5247,0.5099
1980-03-21,0.5168,0.5168,0.5168,0.5168,2000,0.5172,0.5236,0.5108
1980-03-24,0.5186,0.5186,0.5186,0.5186,24000,0.5174,0.5233,0.5116
1980-03-25,0.5312,0.5366,0.5312,0.5312,18000,0.5194,0.5311,0.5077
1980-03-26,0.5222,0.5222,0.5186,0.5186,4000,0.5193,0.5301,0.5084
1980-03-27,0.5132,0.5132,0.5096,0.5096,4000,0.5182,0.5302,0.5062
1980-03-28,0.5096,0.5096,0.4989,0.5096,6000,0.5174,0.5299,0.5048
1980-03-31,0.5401,0.5401,0.5401,0.5401,4000,0.5194,0.5376,0.5012
1980-04-01,0.5222,0.5222,0.5168,0.5168,6000,0.5192,0.5366,0.5018
1980-04-02,0.5096,0.5096,0.5096,0.5096,2000,0.5185,0.536,0.501
1980-04-03,0.5043,0.5043,0.5043,0.5043,2000,0.5175,0.5359,0.499
1980-04-07,0.5186,0.5222,0.5186,0.5222,8000,0.5178,0.5357,0.4998
1980-04-08,0.5222,0.524,0.5222,0.524,28000,0.5182,0.5358,0.5006
1980-04-09,0.5222,0.5222,0.5222,0.5222,8000,0.5184,0.5356,0.5012
1980-04-10,0.5348,0.5366,0.5348,0.5366,12000,0.5194,0.5381,0.5007
1980-04-11,0.5419,0.5419,0.5419,0.5419,16000,0.5206,0.5415,0.4997
1980-04-14,0.5455,0.5527,0.5455,0.5455,28000,0.5218,0.5451,0.4986
1980-04-15,0.5455,0.5455,0.5455,0.5455,0,0.5235,0.5486,0.4983
1980-04-16,0.5455,0.5455,0.5455,0.5455,0,0.5246,0.5516,0.4977
1980-04-17,0.5419,0.5419,0.5419,0.5419,2000,0.5259,0.5536,0.4981
1980-04-18,0.5455,0.5491,0.5455,0.5491,6000,0.5275,0.5568,0.4982
1980-04-21,0.5491,0.5491,0.5491,0.5491,18000,0.5291,0.5594,0.4988
1980-04-22,0.5527,0.5545,0.5527,0.5545,18000,0.5309,0.5628,0.499
1980-04-23,0.5527,0.5527,0.5527,0.5527,4000,0.532,0.5654,0.4986
1980-04-24,0.5689,0.576,0.5689,0.576,4000,0.5349,0.5729,0.4968
1980-04-25,0.576,0.576,0.5725,0.576,4000,0.5382,0.5785,0.4978
1980-04-28,0.585,0.5904,0.585,0.5904,6000,0.5422,0.5865,0.4979
1980-04-29,0.5904,0.5958,0.5904,0.5958,6000,0.545,0.5953,0.4947
1980-04-30,0.5958,0.5958,0.5922,0.5922,6000,0.5488,0.6014,0.4961
1980-05-01,0.5922,0.5922,0.5922,0.5922,8000,0.5529,0.6056,0.5002
1980-05-02,0.5922,0.5922,0.5922,0.5922,0,0.5573,0.6075,0.5071
1980-05-05,0.5922,0.5922,0.5922,0.5922,6000,0.5608,0.6105,0.5111
1980-05-06,0.5922,0.5994,0.5922,0.5922,6000,0.5642,0.6126,0.5158
1980-05-07,0.5958,0.5994,0.5958,0.5958,12000,0.5679,0.614,0.5218
1980-05-08,0.5958,0.5994,0.5958,0.5994,14000,0.571,0.6167,0.5254
1980-05-09,0.5994,0.6083,0.5922,0.5922,32000,0.5735,0.618,0.5291
1980-05-12,0.5922,0.5922,0.5922,0.5922,2000,0.5759,0.619,0.5327
1980-05-13,0.5958,0.5958,0.5958,0.5958,2000,0.5784,0.6199,0.5369
1980-05-14,0.5994,0.5994,0.5994,0.5994,2000,0.5811,0.6205,0.5416
1980-05-15,0.5994,0.5994,0.5994,0.5994,0,0.5839,0.6196,0.5483
1980-05-16,0.5922,0.5922,0.5814,0.5868,26000,0.5858,0.6175,0.5541
1980-05-19,0.5868,0.5868,0.5868,0.5868,2000,0.5877,0.6143,0.5611
1980-05-20,0.5868,0.5868,0.5868,0.5868,0,0.5893,0.6108,0.5678
1980-05-21,0.5904,0.5922,0.5904,0.5904,14000,0.5912,0.6041,0.5783
1980-05-22,0.5904,0.5904,0.5904,0.5904,0,0.5919,0.6027,0.5812
1980-05-23,0.6137,0.6209,0.6137,0.6173,16000,0.594,0.6074,0.5806
1980-05-27,0.6173,0.6227,0.6101,0.6227,16000,0.5956,0.614,0.5772
1980-05-28,0.6173,0.6173,0.6137,0.6137,6000,0.5965,0.6166,0.5763
1980-05-29,0.6083,0.6083,0.6083,0.6083,4000,0.5973,0.618,0.5766
1980-05-30,0.6173,0.6227,0.6173,0.6227,14000,0.5988,0.6223,0.5754
1980-06-02,0.6281,0.6281,0.6281,0.6281,4000,0.6006,0.6272,0.574
1980-06-03,0.6173,0.6173,0.6173,0.6173,2000,0.6019,0.6291,0.5746
1980-06-04,0.6173,0.6173,0.6083,0.6083,16000,0.6027,0.6297,0.5757
1980-06-05,0.6083,0.6083,0.6083,0.6083,0,0.6033,0.6302,0.5764
1980-06-06,0.6083,0.6083,0.6083,0.6083,14000,0.6038,0.6307,0.5768
1980-06-09,0.6137,0.6137,0.6137,0.6137,4000,0.6048,0.6316,0.5781
1980-06-10,0.6083,0.6083,0.6048,0.6048,40000,0.6055,0.6315,0.5794
1980-06-11,0.6173,0.6173,0.6173,0.6173,24000,0.6065,0.6327,0.5804
1980-06-12,0.6173,0.6173,0.6173,0.6173,12000,0.6074,0.6338,0.5811
1980-06-13,0.6173,0.6173,0.6173,0.6173,8000,0.6083,0.6347,0.5819
1980-06-16,0.6173,0.6173,0.6173,0.6173,4000,0.6099,0.6345,0.5852
1980-06-17,0.6173,0.6173,0.6173,0.6173,0,0.6114,0.6337,0.5891
1980-06-18,0.6173,0.6173,0.6173,0.6173,6000,0.6129,0.6321,0.5938
1980-06-19,0.6353,0.6353,0.6353,0.6353,8000,0.6152,0.6337,0.5966
1980-06-20,0.6281,0.6281,0.6227,0.6227,4000,0.6168,0.6315,0.6021
1980-06-23,0.6281,0.6317,0.6281,0.6281,44000,0.6173,0.6328,0.6018
