Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
1962-01-02,0.9661,0.9726,0.9661,0.9704,43225,0.9704,,
1962-01-03,0.9726,0.9814,0.9726,0.9814,88576,0.9759,0.9914,0.9605
1962-01-04,0.9836,0.9967,0.9836,0.9879,79364,0.9799,0.9976,0.9622
1962-01-05,0.9879,0.9967,0.9836,0.9857,45351,0.9814,0.9969,0.9658
1962-01-08,0.9857,0.9967,0.9748,0.9901,96371,0.9831,0.9987,0.9675
1962-01-09,0.9901,0.9945,0.9836,0.9879,66609,0.9839,0.9984,0.9694
1962-01-10,0.9879,0.9879,0.9661,0.9683,41099,0.9817,0.9994,0.9639
1962-01-11,0.9683,0.9704,0.9573,0.9683,49603,0.98,0.999,0.961
1962-01-12,0.9683,0.9748,0.9573,0.9595,31887,0.9777,1.0001,0.9553
1962-01-15,0.9595,0.9595,0.9355,0.942,38973,0.9742,1.0051,0.9432
1962-01-16,0.942,0.942,0.9289,0.9289,27636,0.97,1.0101,0.93
1962-01-17,0.9289,0.9311,0.9289,0.9311,41808,0.9668,1.0111,0.9225
1962-01-18,0.9311,0.9311,0.9289,0.9311,33305,0.9641,1.0109,0.9172
1962-01-19,0.9311,0.9355,0.9311,0.9311,40391,0.9617,1.01,0.9134
1962-01-22,0.9311,0.9311,0.9202,0.9202,53854,0.9589,1.0102,0.9077
1962-01-23,0.9202,0.9224,0.918,0.9202,46060,0.9565,1.0097,0.9033
1962-01-24,0.9136,0.9136,0.9027,0.9114,51728,0.9539,1.0098,0.8979
1962-01-25,0.9114,0.9136,0.9092,0.9092,43934,0.9514,1.0096,0.8932
1962-01-26,0.9092,0.9092,0.9005,0.9005,58106,0.9487,1.0099,0.8875
1962-01-29,0.9005,0.9071,0.8961,0.9027,34013,0.9464,1.0094,0.8834
1962-01-30,0.9049,0.9158,0.9049,0.9158,36848,0.9437,1.007,0.8803
1962-01-31,0.9158,0.9311,0.9114,0.9289,64483,0.941,1.0021,0.88
1962-02-01,0.9289,0.9377,0.9202,0.9289,70152,0.9381,0.9952,0.881
1962-02-02,0.9289,0.9355,0.9245,0.9311,38973,0.9354,0.9879,0.8828
1962-02-05,0.9311,0.9398,0.9289,0.9398,53146,0.9328,0.9788,0.8869
1962-02-06,0.9456,0.9456,0.9412,0.9456,41099,0.9307,0.9693,0.8922
1962-02-07,0.9456,0.9566,0.9412,0.9566,60940,0.9301,0.9666,0.8937
1962-02-08,0.9566,0.961,0.9522,0.9566,75821,0.9296,0.9638,0.8953
1962-02-09,0.9566,0.9588,0.9544,0.9544,37556,0.9293,0.9626,0.896
1962-02-12,0.9544,0.9566,0.9522,0.9544,21967,0.9299,0.9647,0.8952
1962-02-13,0.9544,0.9544,0.9478,0.9478,51020,0.9309,0.9665,0.8952
1962-02-14,0.9478,0.9478,0.9279,0.9279,42516,0.9307,0.9664,0.895
1962-02-15,0.9279,0.9368,0.9191,0.9301,58106,0.9307,0.9663,0.895
1962-02-16,0.9301,0.9346,0.9213,0.9235,99914,0.9303,0.9661,0.8945
1962-02-19,0.9257,0.9434,0.9257,0.9279,70861,0.9307,0.9662,0.8951
1962-02-20,0.9257,0.9257,0.9191,0.9235,60940,0.9308,0.9662,0.8955
1962-02-21,0.9169,0.9169,0.9037,0.9059,88576,0.9306,0.9666,0.8945
1962-02-23,0.9059,0.9081,0.8861,0.8905,113377,0.9296,0.9689,0.8904
1962-02-26,0.8905,0.8949,0.8706,0.875,119755,0.9284,0.9729,0.8838
1962-02-27,0.875,0.8993,0.875,0.8905,102040,0.9277,0.974,0.8814
1962-02-28,0.8949,0.9103,0.8949,0.9103,109834,0.9275,0.9741,0.8808
1962-03-01,0.9103,0.9147,0.9015,0.9081,102748,0.9264,0.9739,0.879
1962-03-02,0.9081,0.9103,0.9037,0.9037,72278,0.9252,0.9737,0.8767
1962-03-05,0.9037,0.9081,0.8905,0.8949,85742,0.9234,0.9736,0.8731
1962-03-06,0.8949,0.8949,0.8772,0.8817,89285,0.9204,0.9733,0.8676
1962-03-07,0.8817,0.8817,0.864,0.8684,107000,0.9166,0.9729,0.8603
1962-03-08,0.8684,0.8905,0.864,0.8839,52437,0.913,0.9678,0.8581
1962-03-09,0.8839,0.8949,0.8839,0.8883,64483,0.9095,0.9613,0.8577
1962-03-12,0.8883,0.8883,0.8728,0.8728,72987,0.9055,0.9552,0.8557
1962-03-13,0.8728,0.8905,0.8728,0.8839,76530,0.9019,0.9468,0.8571
1962-03-14,0.8839,0.8905,0.8596,0.8861,123298,0.8988,0.9387,0.859
1962-03-15,0.8839,0.8839,0.875,0.8794,99914,0.8964,0.9346,0.8582
1962-03-16,0.8794,0.8861,0.8772,0.8794,78655,0.8939,0.9293,0.8585
1962-03-19,0.8794,0.8794,0.8684,0.8794,64483,0.8917,0.9247,0.8586
1962-03-20,0.8794,0.8794,0.875,0.8794,35430,0.8893,0.9179,0.8606
1962-03-21,0.8772,0.8772,0.8662,0.8684,84324,0.8865,0.9117,0.8613
1962-03-22,0.8684,0.8706,0.8596,0.8596,74404,0.8842,0.9104,0.858
1962-03-23,0.8596,0.8662,0.853,0.853,134635,0.8823,0.9118,0.8529
1962-03-26,0.853,0.8596,0.8464,0.8464,58814,0.8809,0.9143,0.8474
1962-03-27,0.8464,0.8508,0.8354,0.8354,85742,0.8781,0.9169,0.8393
1962-03-28,0.8354,0.8354,0.8155,0.8354,112669,0.8744,0.9145,0.8342
1962-03-29,0.8354,0.842,0.8177,0.8265,180695,0.8703,0.9125,0.8281
1962-03-30,0.8265,0.8265,0.8155,0.8243,59523,0.8663,0.9102,0.8224
1962-04-02,0.8177,0.8177,0.8023,0.8111,129675,0.8621,0.9104,0.8139
1962-04-03,0.8111,0.8155,0.8067,0.8067,99914,0.8584,0.9116,0.8052
1962-04-04,0.8067,0.8155,0.8023,0.8023,62357,0.8551,0.9136,0.7965
1962-04-05,0.8023,0.8199,0.8001,0.8177,94953,0.8518,0.911,0.7926
1962-04-06,0.8177,0.8288,0.8155,0.8243,76530,0.8486,0.9064,0.7908
1962-04-09,0.8199,0.8199,0.8111,0.8111,66609,0.8455,0.9044,0.7866
1962-04-10,0.8111,0.8199,0.8111,0.8199,55271,0.8423,0.8993,0.7853
1962-04-11,0.8199,0.8265,0.8133,0.8199,80781,0.839,0.8929,0.7851
1962-04-12,0.8177,0.8177,0.8045,0.8111,55271,0.8356,0.8873,0.7838
1962-04-13,0.8111,0.8199,0.8023,0.8177,39682,0.8325,0.8805,0.7845
1962-04-16,0.8177,0.8177,0.8067,0.8067,68026,0.8289,0.8727,0.785
1962-04-17,0.8067,0.8199,0.8067,0.8199,53854,0.8259,0.8628,0.789
1962-04-18,0.8199,0.8265,0.8111,0.8111,84324,0.823,0.8545,0.7915
1962-04-19,0.8111,0.8111,0.8023,0.8111,117629,0.8206,0.8474,0.7938
1962-04-23,0.8111,0.8133,0.8023,0.8045,75821,0.8182,0.8411,0.7953
1962-04-24,0.8045,0.8067,0.7935,0.8001,98496,0.8159,0.8359,0.7958
1962-04-25,0.7957,0.7957,0.7626,0.7781,153059,0.813,0.8373,0.7887
1962-04-26,0.7781,0.7803,0.7626,0.7714,92828,0.8098,0.8382,0.7814
1962-04-27,0.7714,0.7847,0.7604,0.767,136053,0.8068,0.8399,0.7738
1962-04-30,0.767,0.7803,0.767,0.7736,72278,0.8043,0.8394,0.7692
1962-05-01,0.7736,0.7869,0.7582,0.7847,105583,0.803,0.839,0.767
1962-05-02,0.7847,0.7913,0.7781,0.7825,78655,0.8018,0.8389,0.7647
1962-05-03,0.7869,0.7979,0.7869,0.7935,114086,0.8013,0.8386,0.764
1962-05-04,0.7913,0.7913,0.7781,0.7869,41099,0.7998,0.8367,0.7628
1962-05-07,0.7869,0.7935,0.7759,0.7869,80073,0.7979,0.8334,0.7624
1962-05-08,0.7882,0.7882,0.7615,0.7815,128967,0.7964,0.8321,0.7608
1962-05-09,0.7771,0.7771,0.7637,0.7659,94245,0.7937,0.83,0.7574
1962-05-10,0.7659,0.7659,0.7481,0.757,112669,0.7906,0.8282,0.7529
1962-05-11,0.757,0.7659,0.7504,0.757,95662,0.7879,0.827,0.7487
1962-05-14,0.757,0.7971,0.7504,0.7949,97079,0.7867,0.8235,0.75
1962-05-15,0.7949,0.7949,0.7659,0.7815,120463,0.7855,0.821,0.7499
1962-05-16,0.7793,0.7793,0.7615,0.7637,114086,0.7827,0.8155,0.7498
1962-05-17,0.757,0.757,0.7415,0.7526,126132,0.7797,0.8124,0.7471
1962-05-18,0.7481,0.7481,0.7303,0.7348,98496,0.7759,0.8109,0.741
1962-05-21,0.7348,0.7415,0.7303,0.7415,85033,0.7728,0.8082,0.7373
1962-05-22,0.7348,0.7348,0.7259,0.7281,75112,0.7692,0.8074,0.7309
1962-05-23,0.7281,0.7281,0.7125,0.7192,145265,0.7662,0.8102,0.7222
1962-05-24,0.7192,0.7303,0.7103,0.717,157311,0.7635,0.8126,0.7144
1962-05-25,0.717,0.7259,0.7103,0.7147,141722,0.7609,0.8145,0.7072
1962-05-28,0.7125,0.7125,0.6858,0.688,174318,0.7566,0.8189,0.6943
1962-05-29,0.688,0.7481,0.6724,0.7481,219668,0.7548,0.8158,0.6938
1962-05-31,0.7481,0.757,0.7303,0.7459,199119,0.7529,0.8126,0.6933
1962-06-01,0.7459,0.7481,0.7303,0.7348,192741,0.75,0.807,0.693
1962-06-04,0.7348,0.737,0.7125,0.717,51728,0.7465,0.8026,0.6905
1962-06-05,0.717,0.7348,0.7125,0.7348,138887,0.7439,0.7968,0.691
1962-06-06,0.7348,0.7459,0.7259,0.737,119755,0.7417,0.7916,0.6918
1962-06-07,0.737,0.7392,0.7325,0.7348,68735,0.7401,0.7888,0.6915
1962-06-08,0.7348,0.7437,0.7325,0.7437,128258,0.7394,0.7875,0.6914
1962-06-11,0.7415,0.7415,0.7214,0.7214,41099,0.7377,0.7856,0.6897
1962-06-12,0.7214,0.7236,0.7058,0.7058,125424,0.7332,0.7749,0.6915
1962-06-13,0.7058,0.7214,0.6969,0.6969,112669,0.729,0.767,0.6909
