Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
1980-03-17,0.1815,0.1844,0.1815,0.1815,10924800,0.1815,,
1980-03-18,0.1815,0.183,0.18,0.18,17068800,0.1808,0.1828,0.1787
1980-03-19,0.1844,0.1873,0.1844,0.1844,18508800,0.182,0.1864,0.1775
1980-03-20,0.1844,0.1866,0.1837,0.1837,11174400,0.1824,0.1864,0.1784
1980-03-21,0.18,0.18,0.1771,0.1771,12172800,0.1814,0.1872,0.1755
1980-03-24,0.1764,0.1764,0.1735,0.1735,8966400,0.18,0.1883,0.1718
1980-03-25,0.1742,0.1771,0.1742,0.1742,11347200,0.1792,0.1879,0.1705
1980-03-26,0.1742,0.1757,0.1728,0.1728,16262400,0.1784,0.1877,0.1691
1980-03-27,0.1699,0.1699,0.167,0.167,26918400,0.1771,0.1887,0.1656
1980-03-28,0.1735,0.1764,0.1735,0.1735,20102400,0.1768,0.1879,0.1657
1980-03-31,0.1793,0.1822,0.1793,0.1793,9004800,0.177,0.1877,0.1663
1980-04-01,0.18,0.183,0.18,0.18,8179200,0.1773,0.1876,0.1669
1980-04-02,0.1815,0.1844,0.1815,0.1815,12556800,0.1776,0.1877,0.1674
1980-04-03,0.1808,0.1808,0.1779,0.1779,6988800,0.1776,0.1874,0.1679
1980-04-07,0.1764,0.1764,0.1735,0.1735,13478400,0.1773,0.187,0.1677
1980-04-08,0.1742,0.1771,0.1742,0.1742,29184000,0.1771,0.1866,0.1677
1980-04-09,0.1735,0.1735,0.1706,0.1706,11558400,0.1768,0.1864,0.1671
1980-04-10,0.1706,0.1728,0.1699,0.1699,14784000,0.1764,0.1863,0.1664
1980-04-11,0.1699,0.1728,0.1699,0.1699,9523200,0.176,0.1861,0.1659
1980-04-14,0.1713,0.1742,0.1713,0.1713,8025600,0.1758,0.1859,0.1657
1980-04-15,0.1713,0.1721,0.1692,0.1692,10598400,0.1752,0.1853,0.1651
1980-04-16,0.1655,0.1655,0.1626,0.1626,10752000,0.1743,0.1856,0.163
1980-04-17,0.1626,0.1626,0.1597,0.1597,17702400,0.1731,0.1851,0.1611
1980-04-18,0.1619,0.1648,0.1619,0.1619,18739200,0.172,0.1839,0.1601
1980-04-21,0.1619,0.1633,0.1604,0.1604,9043200,0.1712,0.1838,0.1585
1980-04-22,0.1677,0.1706,0.1677,0.1677,20428800,0.1709,0.1836,0.1581
1980-04-23,0.1779,0.1808,0.1779,0.1779,14822400,0.171,0.1841,0.158
1980-04-24,0.1786,0.1815,0.1786,0.1786,8832000,0.1713,0.1848,0.1579
1980-04-25,0.1786,0.1786,0.1757,0.1757,7104000,0.1718,0.1852,0.1584
1980-04-28,0.1757,0.1771,0.1742,0.1742,6931200,0.1718,0.1853,0.1584
1980-04-29,0.1757,0.1786,0.1757,0.1757,6297600,0.1716,0.1847,0.1585
1980-04-30,0.1779,0.1808,0.1779,0.1779,7065600,0.1715,0.1844,0.1587
1980-05-01,0.1786,0.1815,0.1786,0.1786,7008000,0.1714,0.1838,0.1589
1980-05-02,0.1815,0.1844,0.1815,0.1815,5510400,0.1716,0.1845,0.1586
1980-05-05,0.1837,0.1866,0.1837,0.1837,3513600,0.1721,0.1861,0.1581
1980-05-06,0.1837,0.1859,0.183,0.183,6988800,0.1725,0.1873,0.1577
1980-05-07,0.183,0.1859,0.183,0.183,6393600,0.1731,0.1886,0.1576
1980-05-08,0.183,0.1837,0.1808,0.1808,7468800,0.1737,0.1894,0.1579
1980-05-09,0.183,0.1859,0.183,0.183,16684800,0.1743,0.1905,0.1581
1980-05-12,0.183,0.1851,0.1822,0.1822,8582400,0.1749,0.1914,0.1584
1980-05-13,0.1859,0.1888,0.1859,0.1859,7372800,0.1757,0.1927,0.1587
1980-05-14,0.1888,0.1917,0.1888,0.1888,4742400,0.177,0.1938,0.1602
1980-05-15,0.1902,0.1931,0.1902,0.1902,8102400,0.1785,0.1942,0.1629
1980-05-16,0.1924,0.1953,0.1924,0.1924,4838400,0.18,0.1948,0.1653
1980-05-19,0.1931,0.196,0.1931,0.1931,8640000,0.1817,0.1944,0.169
1980-05-20,0.1931,0.1938,0.1909,0.1909,21811200,0.1828,0.1944,0.1713
1980-05-21,0.1895,0.1895,0.1866,0.1866,10540800,0.1833,0.1947,0.1719
1980-05-22,0.1866,0.1873,0.1844,0.1844,5318400,0.1836,0.1947,0.1724
1980-05-23,0.1909,0.1938,0.1909,0.1909,29779200,0.1843,0.1953,0.1733
1980-05-27,0.1909,0.1931,0.1902,0.1902,8332800,0.1851,0.1953,0.1749
1980-05-28,0.1946,0.1975,0.1946,0.1946,6700800,0.1861,0.1961,0.1761
1980-05-29,0.1946,0.1975,0.1946,0.1946,7660800,0.1869,0.1968,0.177
1980-05-30,0.1975,0.2004,0.1975,0.1975,5721600,0.1879,0.198,0.1777
1980-06-02,0.1982,0.2011,0.1982,0.1982,6355200,0.1887,0.1994,0.178
1980-06-03,0.196,0.196,0.1931,0.1931,15244800,0.1892,0.1998,0.1786
1980-06-04,0.196,0.1989,0.196,0.196,7680000,0.1898,0.2004,0.1792
1980-06-05,0.196,0.1989,0.196,0.196,6470400,0.1905,0.2009,0.18
1980-06-06,0.196,0.1975,0.1946,0.1946,28723200,0.1912,0.2007,0.1816
1980-06-09,0.1946,0.196,0.1931,0.1931,7545600,0.1917,0.2004,0.1829
1980-06-10,0.1953,0.1982,0.1953,0.1953,17280000,0.1923,0.2,0.1847
1980-06-11,0.1975,0.2004,0.1975,0.1975,3206400,0.1929,0.2002,0.1856
1980-06-12,0.1975,0.1975,0.1946,0.1946,10809600,0.1932,0.2003,0.1861
1980-06-13,0.1946,0.1975,0.1946,0.1946,3590400,0.1934,0.2004,0.1864
1980-06-16,0.1946,0.1975,0.1946,0.1946,7987200,0.1935,0.2005,0.1865
1980-06-17,0.1946,0.1967,0.1938,0.1938,12864000,0.1936,0.2005,0.1866
1980-06-18,0.1938,0.1953,0.1924,0.1924,8064000,0.1936,0.2005,0.1867
1980-06-19,0.1917,0.1917,0.1888,0.1888,13689600,0.1937,0.2002,0.1873
1980-06-20,0.1895,0.1924,0.1895,0.1895,7027200,0.194,0.1992,0.1888
1980-06-23,0.1895,0.1924,0.1895,0.1895,9888000,0.1939,0.1993,0.1885
1980-06-24,0.1895,0.1924,0.1895,0.1895,9676800,0.1939,0.1994,0.1883
1980-06-25,0.1917,0.1946,0.1917,0.1917,15494400,0.1937,0.1994,0.1881
1980-06-26,0.1917,0.1946,0.1917,0.1917,10156800,0.1936,0.1993,0.1879
1980-06-27,0.1924,0.1953,0.1924,0.1924,6912000,0.1933,0.1987,0.1879
1980-06-30,0.1924,0.1938,0.1909,0.1909,5337600,0.193,0.1979,0.188
1980-07-01,0.1938,0.1967,0.1938,0.1938,9811200,0.193,0.198,0.188
1980-07-02,0.1953,0.1982,0.1953,0.1953,6585600,0.193,0.1979,0.1881
1980-07-03,0.1967,0.1996,0.1967,0.1967,4550400,0.193,0.198,0.188
1980-07-07,0.204,0.2055,0.204,0.204,19545600,0.1935,0.2005,0.1865
1980-07-08,0.2084,0.2098,0.2084,0.2084,13190400,0.1942,0.2039,0.1846
1980-07-09,0.2084,0.2091,0.2084,0.2084,9388800,0.1949,0.2064,0.1834
1980-07-10,0.2113,0.212,0.2113,0.2113,14092800,0.1956,0.2092,0.1819
1980-07-11,0.2113,0.212,0.2105,0.2105,9888000,0.1964,0.2116,0.1812
1980-07-14,0.2127,0.2142,0.2127,0.2127,15052800,0.1973,0.2141,0.1805
1980-07-15,0.2193,0.22,0.2193,0.2193,20678400,0.1985,0.2179,0.1791
1980-07-16,0.2229,0.2236,0.2229,0.2229,11692800,0.2,0.2221,0.1779
1980-07-17,0.228,0.2294,0.228,0.228,15456000,0.2018,0.2268,0.1767
1980-07-18,0.2338,0.2345,0.2338,0.2338,12576000,0.204,0.232,0.176
1980-07-21,0.2338,0.2345,0.2338,0.2338,14208000,0.2062,0.2363,0.1761
1980-07-22,0.2323,0.2323,0.2309,0.2309,14150400,0.2083,0.2392,0.1773
1980-07-23,0.2294,0.2294,0.2287,0.2287,8371200,0.2102,0.2412,0.1793
1980-07-24,0.228,0.228,0.2272,0.2272,11616000,0.212,0.2425,0.1815
1980-07-25,0.2258,0.2258,0.2251,0.2251,22156800,0.2137,0.2431,0.1843
1980-07-28,0.2272,0.2287,0.2272,0.2272,7372800,0.2154,0.2437,0.1872
1980-07-29,0.2374,0.2389,0.2374,0.2374,11424000,0.2178,0.2451,0.1904
1980-07-30,0.2447,0.2454,0.2447,0.2447,12614400,0.2203,0.2478,0.1928
1980-07-31,0.2461,0.2476,0.2461,0.2461,24384000,0.2228,0.25,0.1957
1980-08-01,0.2447,0.2447,0.2425,0.2425,9523200,0.2251,0.2506,0.1996
1980-08-04,0.2461,0.2483,0.2461,0.2461,5721600,0.2272,0.2524,0.2021
1980-08-05,0.2476,0.249,0.2476,0.2476,6720000,0.2292,0.2542,0.2042
1980-08-06,0.2476,0.2476,0.2454,0.2454,11193600,0.231,0.2551,0.207
1980-08-07,0.2483,0.249,0.2483,0.2483,8812800,0.2329,0.2562,0.2096
1980-08-08,0.2519,0.2534,0.2519,0.2519,5817600,0.235,0.2572,0.2127
1980-08-11,0.2679,0.2693,0.2679,0.2679,7276800,0.2377,0.262,0.2135
1980-08-12,0.2686,0.2715,0.2686,0.2686,22406400,0.2402,0.2665,0.2139
1980-08-13,0.265,0.265,0.2635,0.2635,12153600,0.2422,0.2691,0.2153
