Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
1962-01-02,0.06,0.0603,0.06,0.0603,0,0.0603,,
1962-01-03,0.0597,0.0597,0.0594,0.0594,345600,0.0599,0.0612,0.0585
1962-01-04,0.0594,0.0597,0.0588,0.0588,216000,0.0595,0.0611,0.0579
1962-01-05,0.0583,0.0583,0.0578,0.0578,129600,0.0591,0.0612,0.057
1962-01-08,0.0574,0.0574,0.0569,0.0569,172800,0.0587,0.0613,0.056
1962-01-09,0.0575,0.0575,0.0575,0.0575,43200,0.0585,0.061,0.0559
1962-01-10,0.058,0.0588,0.058,0.0588,172800,0.0585,0.0609,0.0562
1962-01-11,0.0588,0.0588,0.0585,0.0585,172800,0.0585,0.0607,0.0563
1962-01-12,0.0585,0.0588,0.0578,0.0578,259200,0.0584,0.0605,0.0563
1962-01-15,0.0578,0.0583,0.0578,0.0578,129600,0.0584,0.0604,0.0564
1962-01-16,0.0578,0.0583,0.0575,0.0575,345600,0.0583,0.0603,0.0563
1962-01-17,0.0575,0.0582,0.0575,0.0578,259200,0.0583,0.0601,0.0564
1962-01-18,0.0575,0.0575,0.0574,0.0574,172800,0.0582,0.0601,0.0563
1962-01-19,0.0577,0.058,0.0577,0.058,129600,0.0582,0.06,0.0564
1962-01-22,0.0575,0.0575,0.0574,0.0574,172800,0.0581,0.0599,0.0563
1962-01-23,0.0574,0.0575,0.0569,0.0569,259200,0.058,0.0599,0.0562
1962-01-24,0.0569,0.0569,0.0566,0.0567,302400,0.058,0.0599,0.0561
1962-01-25,0.0567,0.0569,0.0564,0.0566,129600,0.0579,0.0598,0.056
1962-01-26,0.0566,0.0569,0.0564,0.0564,561600,0.0578,0.0598,0.0558
1962-01-29,0.0566,0.0572,0.0566,0.0572,216000,0.0578,0.0598,0.0558
1962-01-30,0.0572,0.058,0.0569,0.0569,734400,0.0576,0.0592,0.056
1962-01-31,0.0574,0.0582,0.0574,0.0582,345600,0.0576,0.0589,0.0562
1962-02-01,0.0582,0.0586,0.058,0.0586,388800,0.0575,0.0589,0.0562
1962-02-02,0.0588,0.0616,0.0588,0.0614,2160000,0.0577,0.0599,0.0555
1962-02-05,0.0632,0.065,0.0632,0.0641,1944000,0.0581,0.0616,0.0545
1962-02-06,0.0647,0.0671,0.0647,0.0669,2289600,0.0586,0.0639,0.0532
1962-02-07,0.0675,0.07,0.0675,0.0675,3369600,0.059,0.0656,0.0523
1962-02-08,0.0675,0.0685,0.0664,0.0668,1382400,0.0594,0.0669,0.0519
1962-02-09,0.0668,0.0668,0.0653,0.0666,777600,0.0598,0.0679,0.0517
1962-02-12,0.066,0.066,0.0657,0.066,216000,0.0602,0.0687,0.0518
1962-02-13,0.0661,0.0661,0.0653,0.0655,734400,0.0606,0.0693,0.0519
1962-02-14,0.0652,0.0652,0.0633,0.0636,1080000,0.0609,0.0696,0.0522
1962-02-15,0.0636,0.0636,0.063,0.0636,302400,0.0612,0.0698,0.0526
1962-02-16,0.0636,0.0636,0.0631,0.0633,172800,0.0615,0.07,0.053
1962-02-19,0.0628,0.0628,0.0628,0.0628,43200,0.0618,0.0701,0.0535
1962-02-20,0.0622,0.0622,0.0617,0.0617,86400,0.062,0.07,0.0541
1962-02-21,0.0617,0.0621,0.0602,0.0602,604800,0.0622,0.0698,0.0546
1962-02-23,0.0599,0.0599,0.0595,0.0595,432000,0.0623,0.0696,0.0551
1962-02-26,0.0599,0.0608,0.0599,0.0608,259200,0.0626,0.0693,0.0558
1962-02-27,0.0608,0.0616,0.0605,0.0616,302400,0.0628,0.0691,0.0565
1962-02-28,0.0616,0.0624,0.0608,0.0608,475200,0.063,0.0688,0.0572
1962-03-01,0.0608,0.0614,0.0608,0.061,259200,0.0631,0.0685,0.0577
1962-03-02,0.0606,0.0606,0.0605,0.0606,345600,0.0632,0.0683,0.0581
1962-03-05,0.0608,0.0611,0.0608,0.0608,216000,0.0632,0.0684,0.058
1962-03-06,0.0613,0.0616,0.0613,0.0616,86400,0.0631,0.0683,0.0579
1962-03-07,0.0616,0.0621,0.0614,0.0617,475200,0.0628,0.0677,0.0579
1962-03-08,0.0621,0.0624,0.0621,0.0621,172800,0.0625,0.0669,0.0582
1962-03-09,0.0617,0.0617,0.0617,0.0617,43200,0.0623,0.0662,0.0584
1962-03-12,0.0622,0.0625,0.0622,0.0624,129600,0.0621,0.0654,0.0587
1962-03-13,0.0627,0.0644,0.0627,0.0644,345600,0.062,0.065,0.059
1962-03-14,0.0652,0.0661,0.0652,0.0655,864000,0.062,0.065,0.059
1962-03-15,0.0655,0.0663,0.0652,0.066,518400,0.0621,0.0655,0.0587
1962-03-16,0.0658,0.0658,0.0644,0.0644,345600,0.0621,0.0657,0.0586
1962-03-19,0.0644,0.0646,0.0642,0.0642,86400,0.0622,0.0658,0.0586
1962-03-20,0.0642,0.0646,0.0639,0.0642,388800,0.0623,0.066,0.0585
1962-03-21,0.0642,0.0642,0.0639,0.0639,86400,0.0624,0.0662,0.0586
1962-03-22,0.0638,0.0638,0.0638,0.0638,129600,0.0626,0.0662,0.0589
1962-03-23,0.0638,0.0639,0.0631,0.0631,259200,0.0627,0.0661,0.0593
1962-03-26,0.0631,0.0633,0.0625,0.0633,259200,0.0629,0.0661,0.0596
1962-03-27,0.0628,0.0628,0.0624,0.0624,86400,0.0629,0.0661,0.0597
1962-03-28,0.0621,0.0621,0.0621,0.0621,43200,0.063,0.0661,0.0598
1962-03-29,0.0621,0.0621,0.0621,0.0621,43200,0.063,0.066,0.06
1962-03-30,0.0621,0.0624,0.0606,0.0606,432000,0.063,0.066,0.06
1962-04-02,0.0603,0.0603,0.0603,0.0603,43200,0.063,0.0661,0.0599
1962-04-03,0.0603,0.0606,0.0602,0.0606,86400,0.0629,0.0661,0.0597
1962-04-04,0.0605,0.0605,0.0605,0.0605,172800,0.0629,0.0662,0.0595
1962-04-05,0.0608,0.0608,0.0608,0.0608,86400,0.0628,0.0663,0.0594
1962-04-06,0.0608,0.0613,0.0603,0.0603,216000,0.0627,0.0664,0.0591
1962-04-09,0.0602,0.0602,0.0602,0.0602,86400,0.0626,0.0664,0.0589
1962-04-10,0.0602,0.0602,0.0595,0.0595,345600,0.0624,0.0663,0.0585
1962-04-11,0.0599,0.0605,0.0599,0.0599,216000,0.0621,0.0659,0.0583
1962-04-12,0.0592,0.0592,0.0583,0.0583,302400,0.0617,0.0654,0.058
1962-04-13,0.0583,0.0597,0.0583,0.0594,259200,0.0615,0.0651,0.0579
1962-04-16,0.0592,0.0592,0.0592,0.0592,43200,0.0612,0.0647,0.0577
1962-04-17,0.0592,0.0592,0.0589,0.0592,0,0.061,0.0643,0.0577
1962-04-18,0.0589,0.0589,0.0589,0.0589,43200,0.0607,0.0639,0.0576
1962-04-19,0.0589,0.0592,0.0589,0.0592,172800,0.0605,0.0633,0.0577
1962-04-23,0.0591,0.0591,0.0589,0.0591,86400,0.0603,0.0629,0.0577
1962-04-24,0.0586,0.0586,0.0583,0.0583,129600,0.06,0.0624,0.0577
1962-04-25,0.0583,0.0586,0.0581,0.0581,388800,0.0598,0.0621,0.0576
