Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
1980-03-17,1.0291,1.0519,1.0291,1.0329,62775,1.0329,,
1980-03-18,1.0329,1.0481,1.0329,1.0405,64125,1.0367,1.0475,1.026
1980-03-19,1.0481,1.0595,1.0481,1.0557,40500,1.0431,1.0663,1.0198
1980-03-20,1.0557,1.0557,1.0443,1.0481,18900,1.0443,1.0639,1.0247
1980-03-21,1.0481,1.0709,1.0481,1.0709,97200,1.0496,1.0789,1.0204
1980-03-24,1.0633,1.0633,1.0443,1.0443,90450,1.0487,1.0752,1.0223
1980-03-25,1.0443,1.0481,1.0367,1.0405,72225,1.0476,1.0725,1.0226
1980-03-26,1.0405,1.0557,1.0329,1.0481,31725,1.0476,1.0708,1.0245
1980-03-27,1.0443,1.0443,1.0101,1.0405,62100,1.0468,1.069,1.0247
1980-03-28,1.0405,1.0405,1.0101,1.0291,84375,1.0451,1.0688,1.0214
1980-03-31,1.0405,1.0633,1.0405,1.0595,55350,1.0464,1.0705,1.0223
1980-04-01,1.0595,1.0785,1.0405,1.0481,126225,1.0465,1.0695,1.0235
1980-04-02,1.0557,1.0861,1.0557,1.0861,58725,1.0496,1.0807,1.0185
1980-04-03,1.1089,1.1393,1.1089,1.1279,311175,1.0552,1.1066,1.0038
1980-04-07,1.1279,1.1544,1.1241,1.1355,115425,1.0605,1.1251,0.9959
1980-04-08,1.1279,1.1279,1.1165,1.1165,218025,1.064,1.1324,0.9956
1980-04-09,1.1089,1.1089,1.0785,1.1013,181575,1.0662,1.1349,0.9976
1980-04-10,1.1013,1.1317,1.1013,1.1241,191700,1.0694,1.1414,0.9975
1980-04-11,1.1241,1.1468,1.1203,1.1241,112050,1.0723,1.1466,0.998
1980-04-14,1.1241,1.1241,1.1127,1.1203,18900,1.0747,1.1501,0.9993
1980-04-15,1.1127,1.1127,1.0937,1.0937,63450,1.0777,1.1509,1.0045
1980-04-16,1.1013,1.1127,1.1013,1.1127,30375,1.0813,1.1539,1.0087
1980-04-17,1.1051,1.1051,1.0899,1.0937,43875,1.0832,1.155,1.0115
1980-04-18,1.0937,1.1051,1.0861,1.0861,27675,1.0851,1.155,1.0153
1980-04-21,1.0823,1.0823,1.0481,1.0595,83700,1.0846,1.1551,1.0141
1980-04-22,1.0595,1.0937,1.0481,1.0937,122850,1.087,1.155,1.0191
1980-04-23,1.0937,1.0937,1.0671,1.0937,132300,1.0897,1.1541,1.0253
1980-04-24,1.0937,1.0937,1.0709,1.0861,209250,1.0916,1.153,1.0302
1980-04-25,1.0823,1.0823,1.0671,1.0709,21600,1.0931,1.1505,1.0357
1980-04-28,1.0823,1.1013,1.0823,1.0937,141750,1.0963,1.1453,1.0474
1980-04-29,1.0937,1.1013,1.0899,1.0975,45225,1.0982,1.144,1.0525
1980-04-30,1.0975,1.1127,1.0861,1.1089,85050,1.1013,1.1406,1.0619
1980-05-01,1.1127,1.1355,1.1127,1.1279,48600,1.1034,1.1437,1.063
1980-05-02,1.1279,1.1468,1.1203,1.1393,49950,1.1039,1.1461,1.0618
1980-05-05,1.1544,1.2,1.1544,1.2,621675,1.1072,1.166,1.0483
1980-05-06,1.2,1.2228,1.181,1.181,143775,1.1104,1.1778,1.0429
1980-05-07,1.181,1.2152,1.181,1.2,483975,1.1153,1.1936,1.0371
1980-05-08,1.2,1.2114,1.1886,1.1962,36450,1.1189,1.2051,1.0328
1980-05-09,1.1886,1.1886,1.1734,1.1886,24975,1.1222,1.2138,1.0305
1980-05-12,1.1886,1.1886,1.1582,1.1848,27000,1.1254,1.2212,1.0296
1980-05-13,1.1848,1.1962,1.1734,1.181,40500,1.1298,1.2274,1.0321
1980-05-14,1.1848,1.2,1.1848,1.1848,61425,1.1334,1.2337,1.033
1980-05-15,1.1848,1.1924,1.1734,1.181,37125,1.1377,1.2384,1.0371
1980-05-16,1.181,1.181,1.1696,1.1772,11475,1.1423,1.2413,1.0432
1980-05-19,1.1772,1.2152,1.1772,1.2038,51300,1.1495,1.2441,1.0549
1980-05-20,1.2038,1.2038,1.181,1.181,85725,1.1539,1.2456,1.0621
1980-05-21,1.181,1.1848,1.1658,1.1734,40500,1.1579,1.2454,1.0703
1980-05-22,1.1734,1.1924,1.162,1.1848,143775,1.1628,1.2443,1.0813
1980-05-23,1.1886,1.2076,1.1886,1.2,113400,1.1693,1.2398,1.0987
1980-05-27,1.2,1.2,1.1886,1.1886,57375,1.174,1.2353,1.1127
1980-05-28,1.1924,1.2076,1.1924,1.2076,135000,1.1795,1.2308,1.1282
1980-05-29,1.2076,1.2114,1.1734,1.1924,108675,1.1837,1.223,1.1444
1980-05-30,1.1886,1.1886,1.1658,1.1886,80325,1.1867,1.2159,1.1575
1980-06-02,1.1886,1.2038,1.1734,1.181,107325,1.1888,1.208,1.1696
1980-06-03,1.181,1.1924,1.1772,1.1886,101250,1.1882,1.2067,1.1698
1980-06-04,1.1886,1.219,1.1848,1.219,143100,1.1901,1.2128,1.1675
