Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen
1962-01-02,0.0447,0.046,0.0447,0.0447,806400
1962-01-03,0.0441,0.0441,0.0431,0.0437,1574400
1962-01-04,0.0439,0.0444,0.0439,0.0441,844800
1962-01-05,0.0441,0.0446,0.043,0.0431,1420800
1962-01-08,0.0428,0.0428,0.0418,0.0426,2035200
1962-01-09,0.0426,0.0436,0.0423,0.0434,960000
1962-01-10,0.0434,0.0442,0.043,0.0436,1612800
1962-01-11,0.0436,0.0441,0.0434,0.0441,614400
1962-01-12,0.0441,0.0441,0.0433,0.0437,883200
1962-01-15,0.0436,0.0436,0.0432,0.0433,614400
1962-01-16,0.0432,0.0432,0.0425,0.0425,1113600
1962-01-17,0.0425,0.0425,0.0412,0.0412,1574400
1962-01-18,0.0412,0.0414,0.0402,0.0404,2649600
1962-01-19,0.0408,0.0416,0.0408,0.0416,1459200
1962-01-22,0.0416,0.0421,0.0412,0.042,1075200
1962-01-23,0.0419,0.0419,0.0411,0.0411,768000
1962-01-24,0.0411,0.0412,0.0399,0.0406,2611200
1962-01-25,0.0406,0.0413,0.0403,0.0403,1574400
1962-01-26,0.0403,0.0403,0.0396,0.0399,1574400
1962-01-29,0.0399,0.04,0.0398,0.0399,307200
1962-01-30,0.0399,0.0402,0.0397,0.0397,1574400
1962-01-31,0.0399,0.0413,0.0399,0.0413,1766400
1962-02-01,0.0416,0.0423,0.0416,0.0416,1420800
1962-02-02,0.0416,0.0421,0.041,0.0421,1152000
1962-02-05,0.0421,0.0421,0.0418,0.0421,384000
1962-02-06,0.0421,0.0421,0.0415,0.0415,691200
1962-02-07,0.0415,0.0418,0.0415,0.0418,192000
1962-02-08,0.0418,0.0421,0.0413,0.0419,768000
1962-02-09,0.0419,0.0421,0.0416,0.0421,729600
1962-02-12,0.0421,0.0422,0.0418,0.0418,307200
1962-02-13,0.0418,0.042,0.0418,0.0418,652800
1962-02-14,0.0418,0.0418,0.041,0.041,652800
1962-02-15,0.041,0.0413,0.0408,0.0408,652800
1962-02-16,0.0408,0.0415,0.0408,0.0408,1190400
1962-02-19,0.0411,0.0414,0.0411,0.0414,345600
1962-02-20,0.0414,0.0415,0.0411,0.0412,460800
1962-02-21,0.0412,0.0415,0.041,0.041,691200
1962-02-23,0.041,0.0415,0.0405,0.0405,1036800
1962-02-26,0.0405,0.0415,0.0403,0.0412,768000
1962-02-27,0.0412,0.0415,0.0412,0.0414,460800
1962-02-28,0.0413,0.0413,0.0405,0.0406,652800
1962-03-01,0.0406,0.0406,0.0399,0.0404,19545600
1962-03-02,0.0405,0.0409,0.0405,0.0409,806400
1962-03-05,0.0409,0.0409,0.0403,0.0403,652800
1962-03-06,0.0408,0.0412,0.0408,0.0412,883200
1962-03-07,0.0412,0.0412,0.0406,0.0406,691200
1962-03-08,0.0406,0.0411,0.0405,0.0408,883200
1962-03-09,0.0408,0.0409,0.04,0.0403,1113600
1962-03-12,0.0408,0.0412,0.0408,0.0412,998400
1962-03-13,0.0415,0.0419,0.0415,0.0419,1344000
1962-03-14,0.0419,0.042,0.0417,0.0419,1689600
1962-03-15,0.0419,0.042,0.0417,0.0417,883200
1962-03-16,0.0417,0.0419,0.0417,0.0417,768000
1962-03-19,0.0417,0.0421,0.0417,0.0419,921600
1962-03-20,0.0419,0.0424,0.0419,0.0424,1305600
1962-03-21,0.0426,0.0431,0.0426,0.0429,2188800
1962-03-22,0.043,0.0436,0.043,0.0434,1344000
1962-03-23,0.0437,0.0445,0.0437,0.0441,1497600
1962-03-26,0.0441,0.0445,0.0435,0.0436,1420800
1962-03-27,0.0434,0.0434,0.043,0.0433,844800
1962-03-28,0.0433,0.0433,0.0429,0.0429,460800
1962-03-29,0.0429,0.0435,0.0428,0.043,1036800
1962-03-30,0.043,0.043,0.0424,0.0424,1382400
1962-04-02,0.0424,0.0431,0.0421,0.0429,1152000
1962-04-03,0.0429,0.0431,0.0412,0.0416,1228800
1962-04-04,0.0419,0.0427,0.0419,0.0421,1459200
1962-04-05,0.0421,0.0425,0.0419,0.0421,1036800
1962-04-06,0.0424,0.043,0.0424,0.0428,729600
1962-04-09,0.0429,0.0433,0.0429,0.0429,537600
1962-04-10,0.0429,0.0433,0.0429,0.0429,614400
1962-04-11,0.0429,0.0431,0.0417,0.0419,883200
1962-04-12,0.0417,0.0417,0.041,0.0411,1075200
1962-04-13,0.0411,0.0424,0.0405,0.0424,1804800
1962-04-16,0.0424,0.043,0.0422,0.0425,2227200
1962-04-17,0.0425,0.0429,0.0421,0.0427,1152000
1962-04-18,0.0427,0.0429,0.0426,0.0429,691200
1962-04-19,0.0429,0.043,0.0427,0.043,806400
1962-04-23,0.043,0.0435,0.0429,0.043,691200
1962-04-24,0.043,0.0433,0.0427,0.0433,883200
1962-04-25,0.0431,0.0431,0.0427,0.0427,422400
1962-04-26,0.0427,0.0429,0.0421,0.0425,806400
1962-04-27,0.0425,0.0429,0.0422,0.0429,883200
1962-04-30,0.0425,0.0425,0.041,0.0412,1382400
1962-05-01,0.0412,0.0419,0.041,0.0418,1574400
1962-05-02,0.042,0.0424,0.042,0.0423,1305600
1962-05-03,0.0423,0.0428,0.0421,0.0428,844800
1962-05-04,0.0428,0.043,0.0425,0.0425,537600
1962-05-07,0.0425,0.0428,0.042,0.042,691200
1962-05-08,0.042,0.0426,0.0415,0.0415,1190400
1962-05-09,0.0415,0.0415,0.0407,0.0407,1267200
1962-05-10,0.0407,0.0408,0.0401,0.0404,1920000
1962-05-11,0.0404,0.0407,0.0387,0.039,2380800
