Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
1972-06-01,0.8887,0.899,0.8887,0.8938,456000,0.8938,,
1972-06-02,0.8956,0.9042,0.8956,0.9042,640000,0.899,0.9137,0.8844
1972-06-05,0.9025,0.9025,0.8887,0.8921,464000,0.8967,0.9098,0.8836
1972-06-06,0.8921,0.8921,0.8835,0.8835,796800,0.8934,0.9104,0.8764
1972-06-07,0.8835,0.8956,0.8818,0.8938,584000,0.8935,0.9082,0.8788
1972-06-08,0.8938,0.8973,0.8818,0.8835,726400,0.8918,0.9073,0.8763
1972-06-09,0.8852,0.8956,0.8852,0.8938,296000,0.8921,0.9063,0.8779
1972-06-12,0.8938,0.9007,0.8869,0.8921,473600,0.8921,0.9053,0.8789
1972-06-13,0.8938,0.9042,0.8938,0.9007,478400,0.8931,0.9067,0.8795
1972-06-14,0.9042,0.9232,0.9042,0.9197,795200,0.8957,0.9169,0.8746
1972-06-15,0.9249,0.9353,0.9249,0.9249,836800,0.8984,0.9251,0.8717
1972-06-16,0.9249,0.9266,0.9111,0.9145,267200,0.8997,0.9268,0.8726
1972-06-19,0.9145,0.9197,0.8973,0.9076,1001600,0.9003,0.9267,0.874
1972-06-20,0.9111,0.9197,0.9111,0.9197,345600,0.9017,0.9291,0.8744
1972-06-21,0.9197,0.9232,0.9094,0.9111,556800,0.9024,0.9291,0.8756
1972-06-22,0.9111,0.9197,0.9076,0.918,321600,0.9033,0.9304,0.8763
1972-06-23,0.918,0.9232,0.918,0.9214,212800,0.9044,0.932,0.8768
1972-06-26,0.9214,0.9318,0.9128,0.9318,278400,0.9059,0.9357,0.8762
1972-06-27,0.9318,0.937,0.9214,0.9266,268800,0.907,0.9374,0.8766
1972-06-28,0.9232,0.9232,0.9076,0.9111,433600,0.9072,0.9369,0.8775
1972-06-29,0.9111,0.9163,0.9059,0.9059,313600,0.9078,0.9368,0.8788
1972-06-30,0.9076,0.9214,0.9076,0.918,404800,0.9085,0.9378,0.8792
1972-07-03,0.918,0.9301,0.9163,0.9283,240000,0.9103,0.9398,0.8808
1972-07-05,0.9353,0.9456,0.9353,0.9387,734400,0.9131,0.9423,0.8838
1972-07-06,0.9508,0.9611,0.9508,0.956,809600,0.9162,0.9497,0.8826
1972-07-07,0.9577,0.9784,0.9577,0.9784,595200,0.9209,0.9612,0.8807
1972-07-10,0.9784,0.9801,0.9663,0.968,316800,0.9246,0.9679,0.8813
1972-07-11,0.968,0.9784,0.968,0.9715,232000,0.9286,0.9739,0.8834
1972-07-12,0.9732,0.9887,0.9732,0.9801,1132800,0.9326,0.9813,0.8838
1972-07-13,0.9801,0.9905,0.9698,0.9801,790400,0.9356,0.9883,0.8829
1972-07-14,0.9818,1.0008,0.9818,0.9974,950400,0.9392,0.9984,0.88
1972-07-17,0.9974,0.9974,0.9801,0.9801,187200,0.9425,1.0032,0.8818
1972-07-18,0.9749,0.9749,0.9698,0.9732,385600,0.9458,1.0056,0.886
1972-07-19,0.9732,0.9974,0.9732,0.9836,636800,0.949,1.0097,0.8882
1972-07-20,0.9836,0.9939,0.9836,0.9939,326400,0.9531,1.0143,0.8919
1972-07-21,0.9974,1.0095,0.9974,1.0095,340800,0.9577,1.0214,0.8939
1972-07-24,1.0095,1.0388,1.0077,1.0267,811200,0.9629,1.0313,0.8946
