Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
1962-01-02,0.8341,0.8478,0.8341,0.8363,40424,0.8363,,
1962-01-03,0.8363,0.8478,0.8363,0.8409,87368,0.8386,0.8451,0.8322
1962-01-04,0.8409,0.8478,0.8249,0.8249,92584,0.8341,0.8505,0.8176
1962-01-05,0.8249,0.8363,0.8112,0.8181,149960,0.8301,0.851,0.8092
1962-01-08,0.8181,0.8181,0.8021,0.8066,241240,0.8254,0.8531,0.7977
1962-01-09,0.8112,0.8249,0.8112,0.8135,122576,0.8234,0.85,0.7968
1962-01-10,0.8135,0.8203,0.8112,0.8112,74328,0.8217,0.8476,0.7957
1962-01-11,0.8112,0.8501,0.8089,0.8409,221680,0.8241,0.8517,0.7964
1962-01-12,0.8455,0.8706,0.8455,0.866,215160,0.8287,0.8668,0.7906
1962-01-15,0.8592,0.8592,0.8478,0.8592,95192,0.8318,0.8725,0.791
1962-01-16,0.8592,0.8638,0.8501,0.8546,143440,0.8338,0.8749,0.7928
1962-01-17,0.8546,0.866,0.8432,0.8478,119968,0.835,0.875,0.795
1962-01-18,0.8523,0.866,0.8523,0.8638,149960,0.8372,0.8787,0.7958
1962-01-19,0.8638,0.8798,0.8569,0.8798,271232,0.8403,0.8861,0.7944
1962-01-22,0.8889,0.9003,0.8889,0.8958,598536,0.844,0.8966,0.7913
1962-01-23,0.8958,0.9095,0.8935,0.9026,392504,0.8476,0.9064,0.7889
1962-01-24,0.9026,0.9049,0.8866,0.9049,350776,0.851,0.9143,0.7877
1962-01-25,0.9072,0.9209,0.9072,0.9209,564632,0.8549,0.9246,0.7852
1962-01-26,0.9209,0.9529,0.914,0.9415,899760,0.8594,0.9379,0.7809
1962-01-29,0.9392,0.9392,0.9095,0.9232,268624,0.8626,0.9442,0.7811
1962-01-30,0.9232,0.9552,0.9232,0.9506,552896,0.8683,0.9578,0.7789
1962-01-31,0.9506,0.962,0.9072,0.9415,576368,0.8734,0.9675,0.7792
1962-02-01,0.9323,0.9323,0.9049,0.9277,332520,0.8785,0.9727,0.7843
1962-02-02,0.9277,0.93,0.8958,0.9277,245152,0.884,0.9761,0.7918
1962-02-05,0.9277,0.9369,0.9163,0.9323,161696,0.8903,0.9772,0.8033
1962-02-06,0.9323,0.9323,0.9117,0.9323,173432,0.8962,0.9771,0.8153
1962-02-07,0.9323,0.9437,0.93,0.9415,134312,0.9027,0.9753,0.8301
1962-02-08,0.9437,0.9552,0.9437,0.9552,271232,0.9084,0.9785,0.8384
1962-02-09,0.9552,0.9575,0.9415,0.9506,195600,0.9127,0.9822,0.8432
1962-02-12,0.9506,0.9575,0.9323,0.9437,134312,0.9169,0.9829,0.8509
1962-02-13,0.9493,0.9516,0.9378,0.9401,118664,0.9212,0.981,0.8614
1962-02-14,0.9401,0.947,0.9401,0.9447,80848,0.926,0.9756,0.8764
1962-02-15,0.947,0.9585,0.947,0.9516,160392,0.9304,0.9716,0.8892
1962-02-16,0.9539,0.9722,0.9539,0.963,237328,0.9346,0.9708,0.8984
1962-02-19,0.963,0.9699,0.9607,0.9607,99104,0.9378,0.9709,0.9047
1962-02-20,0.9607,0.9722,0.9585,0.9653,125184,0.9409,0.9718,0.9101
1962-02-21,0.9653,0.9676,0.947,0.947,136920,0.9431,0.9689,0.9172
1962-02-23,0.947,0.9493,0.9148,0.9309,133008,0.9436,0.9679,0.9192
1962-02-26,0.9286,0.9286,0.9102,0.9148,96496,0.9422,0.9698,0.9147
1962-02-27,0.9148,0.924,0.9102,0.9102,130400,0.9416,0.9715,0.9116
1962-02-28,0.9102,0.924,0.9056,0.9194,87368,0.94,0.9712,0.9088
1962-03-01,0.924,0.9355,0.924,0.9355,104320,0.9397,0.971,0.9085
1962-03-02,0.9332,0.9332,0.9194,0.924,78240,0.9395,0.9711,0.9079
1962-03-05,0.924,0.9309,0.9194,0.9286,76936,0.9396,0.9711,0.908
1962-03-06,0.9286,0.9309,0.9125,0.9125,63896,0.9386,0.9722,0.9049
1962-03-07,0.9125,0.9194,0.9079,0.9102,67808,0.9375,0.9734,0.9016
1962-03-08,0.9102,0.9171,0.9033,0.9102,87368,0.9359,0.9737,0.898
1962-03-09,0.9102,0.9125,0.9056,0.9056,46944,0.9334,0.9724,0.8944
1962-03-12,0.9056,0.9125,0.901,0.901,86064,0.9309,0.9716,0.8903
1962-03-13,0.901,0.9125,0.901,0.9056,101712,0.929,0.9708,0.8873
1962-03-14,0.9056,0.9125,0.9033,0.9079,147352,0.9274,0.9698,0.885
1962-03-15,0.9079,0.9125,0.9033,0.9033,143440,0.9254,0.9683,0.8825
1962-03-16,0.9033,0.9079,0.8941,0.8941,88672,0.9225,0.9657,0.8793
1962-03-19,0.8941,0.8987,0.8826,0.8849,192992,0.9186,0.9604,0.8767
1962-03-20,0.8826,0.8826,0.8665,0.8711,123880,0.9141,0.9561,0.872
1962-03-21,0.8665,0.8665,0.8573,0.8596,121272,0.9088,0.9503,0.8673
1962-03-22,0.8596,0.8826,0.8573,0.878,114752,0.9054,0.9449,0.8658
1962-03-23,0.878,0.8872,0.878,0.8872,108232,0.9032,0.9416,0.8647
1962-03-26,0.8918,0.901,0.8918,0.8918,106928,0.902,0.9404,0.8637
1962-03-27,0.8918,0.8964,0.8872,0.8895,65200,0.901,0.9395,0.8624
1962-03-28,0.8895,0.9056,0.8849,0.8918,110840,0.8996,0.9374,0.8619
1962-03-29,0.8987,0.9148,0.8987,0.9125,156480,0.8985,0.9329,0.8641
1962-03-30,0.9125,0.9148,0.9033,0.9033,99104,0.8974,0.9298,0.8651
1962-04-02,0.9033,0.9125,0.8964,0.8987,88672,0.8959,0.9248,0.8671
1962-04-03,0.8987,0.9056,0.8665,0.8826,108232,0.8944,0.9228,0.8661
1962-04-04,0.878,0.878,0.8596,0.8596,78240,0.8919,0.9232,0.8606
1962-04-05,0.8596,0.8596,0.8389,0.8596,135616,0.8894,0.9226,0.8562
1962-04-06,0.8596,0.8757,0.8596,0.8688,48248,0.8875,0.921,0.8541
1962-04-09,0.8688,0.878,0.8458,0.8458,69112,0.8848,0.9224,0.8471
1962-04-10,0.8481,0.8642,0.8481,0.8573,66504,0.8824,0.9206,0.8441
1962-04-11,0.8573,0.8619,0.8274,0.8297,11736,0.8785,0.9214,0.8355
1962-04-12,0.8297,0.832,0.7999,0.8182,203424,0.8742,0.9232,0.8252
1962-04-13,0.8182,0.8228,0.7999,0.8205,143440,0.8705,0.9241,0.817
1962-04-16,0.8205,0.832,0.8159,0.8182,89976,0.8672,0.9251,0.8093
1962-04-17,0.8205,0.8343,0.8205,0.832,67808,0.8652,0.9252,0.8053
1962-04-18,0.832,0.8435,0.832,0.8435,83456,0.8644,0.9251,0.8038
1962-04-19,0.8435,0.8481,0.8389,0.8412,44336,0.8626,0.9238,0.8014
1962-04-23,0.8412,0.8458,0.8297,0.8389,45640,0.8602,0.9211,0.7993
1962-04-24,0.8389,0.8504,0.832,0.8412,59984,0.8577,0.9172,0.7981
1962-04-25,0.8412,0.8435,0.8297,0.8297,41728,0.8547,0.9135,0.7958
1962-04-26,0.8297,0.8343,0.7907,0.793,190384,0.8497,0.9119,0.7875
1962-04-27,0.793,0.8091,0.7861,0.7861,118664,0.8434,0.9045,0.7824
1962-04-30,0.7861,0.7953,0.747,0.7631,242544,0.8364,0.9006,0.7722
1962-05-01,0.7677,0.8182,0.7677,0.8182,249064,0.8324,0.8899,0.7749
1962-05-02,0.8182,0.8343,0.8182,0.8228,187776,0.8294,0.8819,0.7769
1962-05-03,0.8274,0.8504,0.8274,0.8458,119968,0.8287,0.8799,0.7775
1962-05-04,0.8458,0.8504,0.8205,0.8274,151264,0.8271,0.8762,0.778
1962-05-07,0.8274,0.8274,0.8182,0.8182,80848,0.8246,0.8697,0.7795
1962-05-08,0.8182,0.8228,0.8091,0.8182,164304,0.8232,0.8672,0.7792
1962-05-09,0.8182,0.8251,0.8045,0.8045,113448,0.8205,0.8622,0.7789
1962-05-10,0.8045,0.8182,0.7815,0.7861,203424,0.8184,0.8625,0.7742
1962-05-11,0.7861,0.7953,0.7723,0.7723,156480,0.8161,0.8648,0.7673
1962-05-14,0.7723,0.8091,0.7585,0.8068,474656,0.8154,0.8642,0.7665
1962-05-15,0.8123,0.8355,0.8123,0.8193,404240,0.8154,0.8643,0.7666
1962-05-16,0.8193,0.8308,0.8169,0.8262,101712,0.8151,0.8636,0.7666
1962-05-17,0.8262,0.8563,0.8123,0.847,545072,0.8153,0.8643,0.7663
1962-05-18,0.847,0.8493,0.8262,0.8493,174736,0.8157,0.8657,0.7657
1962-05-21,0.847,0.847,0.8331,0.8355,106928,0.8155,0.8652,0.7659
1962-05-22,0.8355,0.8378,0.8146,0.8193,264712,0.8144,0.8627,0.7662
1962-05-23,0.8193,0.8239,0.7915,0.7961,263408,0.8128,0.8611,0.7644
1962-05-24,0.7961,0.8123,0.7961,0.8054,160392,0.8134,0.861,0.7658
1962-05-25,0.8054,0.8193,0.773,0.8031,299920,0.8142,0.8603,0.7681
1962-05-28,0.8031,0.8054,0.7429,0.7429,435536,0.8132,0.8646,0.7618
1962-05-29,0.7429,0.7591,0.6411,0.7521,1142304,0.8099,0.868,0.7518
1962-05-31,0.7707,0.7961,0.7707,0.7869,652000,0.8081,0.8668,0.7495
1962-06-01,0.7869,0.7869,0.7591,0.7753,482480,0.8046,0.8622,0.747
1962-06-04,0.7753,0.7753,0.7313,0.7336,242544,0.7999,0.8645,0.7353
1962-06-05,0.7336,0.7707,0.7267,0.7545,312960,0.7967,0.8637,0.7297
1962-06-06,0.7614,0.7753,0.7614,0.7683,110840,0.7942,0.8616,0.7268
1962-06-07,0.7707,0.7869,0.7707,0.7822,129096,0.7931,0.8605,0.7257
1962-06-08,0.7822,0.7869,0.7753,0.7799,106928,0.7928,0.8604,0.7252
1962-06-11,0.7799,0.7961,0.7776,0.7799,182560,0.7932,0.8604,0.726
1962-06-12,0.7753,0.7753,0.7498,0.7498,166912,0.7903,0.8599,0.7208
1962-06-13,0.7498,0.766,0.7429,0.7521,279056,0.787,0.8571,0.7168
1962-06-14,0.7521,0.766,0.7336,0.7406,284272,0.7827,0.8532,0.7122
1962-06-15,0.7406,0.7845,0.7359,0.7799,370336,0.7793,0.843,0.7157
1962-06-18,0.7799,0.7984,0.7753,0.7984,221680,0.7768,0.8322,0.7214
1962-06-19,0.7984,0.8031,0.7961,0.8031,203424,0.7752,0.825,0.7253
1962-06-20,0.8077,0.8262,0.8077,0.8077,260800,0.7746,0.8225,0.7267
1962-06-21,0.8054,0.8054,0.773,0.7799,246456,0.7738,0.8207,0.7269
1962-06-22,0.773,0.773,0.7429,0.7429,222984,0.7707,0.817,0.7243
1962-06-25,0.7429,0.7961,0.7267,0.7961,414672,0.7703,0.8157,0.7249
1962-06-26,0.7961,0.8077,0.7683,0.773,323392,0.7718,0.8154,0.7282
1962-06-27,0.773,0.7822,0.766,0.7822,99104,0.7733,0.8161,0.7305
1962-06-28,0.7845,0.8169,0.7845,0.8077,315568,0.7744,0.8195,0.7292
1962-06-29,0.8077,0.8216,0.8077,0.8123,185168,0.7762,0.8244,0.728
1962-07-02,0.8123,0.8239,0.81,0.8193,156480,0.7805,0.828,0.733
1962-07-03,0.8193,0.8285,0.8193,0.8285,166912,0.7842,0.8346,0.7338
1962-07-05,0.8285,0.8355,0.8239,0.8308,170824,0.7873,0.8412,0.7334
1962-07-06,0.8239,0.8239,0.81,0.8169,97800,0.789,0.8445,0.7336
1962-07-09,0.8169,0.8331,0.8146,0.8331,119968,0.7917,0.8503,0.7331
1962-07-10,0.8354,0.8563,0.8354,0.8424,275144,0.7948,0.8573,0.7324
1962-07-11,0.8424,0.8516,0.8285,0.847,142136,0.7997,0.8625,0.7368
1962-07-12,0.847,0.8563,0.8424,0.8424,215160,0.8042,0.8656,0.7428
1962-07-13,0.8424,0.847,0.8331,0.847,113448,0.8095,0.866,0.7531
1962-07-16,0.847,0.8493,0.8378,0.8447,50856,0.8128,0.8695,0.7561
1962-07-17,0.8447,0.847,0.8378,0.8378,127792,0.8147,0.8721,0.7574
1962-07-18,0.8308,0.8308,0.8216,0.8262,148656,0.8159,0.8732,0.7586
1962-07-19,0.8262,0.8331,0.8239,0.8331,125184,0.8172,0.8748,0.7595
1962-07-20,0.8331,0.8401,0.8285,0.8355,135616,0.8199,0.8753,0.7645
1962-07-23,0.8447,0.8609,0.8447,0.854,131704,0.8255,0.8695,0.7815
1962-07-24,0.854,0.8563,0.847,0.847,69112,0.828,0.8707,0.7854
1962-07-25,0.847,0.8586,0.847,0.8586,80848,0.8323,0.8684,0.7962
1962-07-26,0.8632,0.8725,0.8632,0.8725,217768,0.8368,0.8689,0.8048
1962-07-27,0.8725,0.8933,0.8725,0.8933,332520,0.8411,0.8791,0.8031
1962-07-30,0.8933,0.9026,0.8933,0.8956,173432,0.8453,0.8879,0.8026
1962-07-31,0.8956,0.9049,0.8887,0.9026,245152,0.8495,0.8974,0.8016
1962-08-01,0.9003,0.9003,0.8794,0.8794,101712,0.852,0.9006,0.8034
1962-08-02,0.8817,0.9049,0.8817,0.9026,159088,0.8556,0.9081,0.8031
1962-08-03,0.9026,0.9141,0.8979,0.9072,258192,0.8601,0.9141,0.8061
1962-08-06,0.9072,0.9095,0.891,0.9026,125184,0.8636,0.9192,0.808
1962-08-07,0.8956,0.8956,0.8864,0.8864,104320,0.8658,0.9213,0.8102
1962-08-08,0.8864,0.9026,0.884,0.9002,99104,0.8684,0.9253,0.8116
1962-08-09,0.9002,0.9026,0.8956,0.9002,52160,0.8713,0.9285,0.8142
1962-08-10,0.9002,0.9164,0.9002,0.9095,117360,0.8744,0.9328,0.8161
1962-08-13,0.9118,0.9257,0.9118,0.9234,254280,0.8784,0.9389,0.8179
1962-08-14,0.929,0.9336,0.9127,0.9336,245152,0.8832,0.9453,0.821
1962-08-15,0.9336,0.9406,0.9267,0.9267,251672,0.8882,0.9471,0.8293
1962-08-16,0.9267,0.9406,0.922,0.9243,170824,0.8928,0.9477,0.8378
1962-08-17,0.9243,0.9383,0.922,0.9313,146048,0.8975,0.948,0.8471
1962-08-20,0.9383,0.9616,0.9383,0.9569,306440,0.9027,0.9554,0.85
1962-08-21,0.9569,0.9616,0.9453,0.9453,173432,0.9076,0.9566,0.8586
