Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
2006-01-27,11.4724,11.5034,11.4104,11.4724,900,11.4724,,
2006-01-30,11.4104,11.4724,11.4104,11.4104,900,11.4414,11.5291,11.3537
2006-01-31,11.4104,11.4724,11.3483,11.4104,3900,11.431,11.5026,11.3594
2006-02-01,11.3173,11.3173,11.3173,11.3173,100,11.4026,11.5304,11.2748
2006-02-02,11.3173,11.3173,11.3173,11.3173,0,11.3855,11.52,11.2511
2006-02-03,11.3173,11.3173,11.3173,11.3173,0,11.3742,11.5067,11.2417
2006-02-06,11.5654,11.5654,11.0383,11.5654,400,11.4015,11.59,11.213
2006-02-07,11.0073,11.0073,11.0073,11.0073,200,11.3522,11.6811,11.0233
2006-02-08,11.3173,11.3173,11.3173,11.3173,300,11.3483,11.6568,11.0398
2006-02-09,11.4724,11.4724,11.4724,11.4724,100,11.3607,11.662,11.0595
2006-02-10,11.4724,11.4724,11.4724,11.4724,0,11.3709,11.6645,11.0773
2006-02-13,11.4724,11.4724,11.4724,11.4724,0,11.3793,11.6654,11.0933
2006-02-14,11.4724,11.4724,11.4724,11.4724,0,11.3865,11.6652,11.1078
2006-02-15,11.3173,11.3173,11.3173,11.3173,400,11.3816,11.6518,11.1113
2006-02-16,11.0073,11.2243,11.0073,11.0073,1200,11.3566,11.6809,11.0323
2006-02-17,11.0073,11.0073,11.0073,11.0073,0,11.3348,11.6935,10.9761
2006-02-21,11.0073,11.0073,11.0073,11.0073,0,11.3155,11.6974,10.9336
2006-02-22,11.0073,11.0073,11.0073,11.0073,0,11.2984,11.6964,10.9004
2006-02-23,11.5344,11.5344,11.5344,11.5344,1400,11.3108,11.7125,10.9091
2006-02-24,11.3793,11.4724,11.2243,11.3793,700,11.3142,11.7064,10.9221
2006-02-27,11.2863,11.2863,11.2863,11.2863,100,11.3049,11.69,10.9198
2006-02-28,11.3483,11.3483,11.3483,11.3483,100,11.3018,11.6844,10.9193
2006-03-01,11.4724,11.4724,11.4724,11.4724,300,11.3049,11.6921,10.9177
2006-03-02,11.4724,11.4724,11.4724,11.4724,0,11.3127,11.7071,10.9183
2006-03-03,11.4724,11.4724,11.4724,11.4724,0,11.3204,11.7213,10.9196
2006-03-06,12.0305,12.0305,12.0305,12.0305,500,11.3561,11.8674,10.8448
2006-03-07,11.8444,11.8444,11.8444,11.8444,1000,11.37,11.9192,10.8209
2006-03-08,11.4724,11.4724,11.3483,11.4724,200,11.3933,11.9166,10.87
2006-03-09,11.4724,11.4724,11.4724,11.4724,0,11.4011,11.9242,10.8779
2006-03-10,11.4724,11.4724,11.4724,11.4724,0,11.4011,11.9242,10.8779
2006-03-13,12.0305,12.0305,12.0305,12.0305,1300,11.429,12.0229,10.835
2006-03-14,12.0305,12.0305,12.0305,12.0305,0,11.4569,12.109,10.8048
2006-03-15,12.0615,12.0615,12.0615,12.0615,2100,11.4863,12.1924,10.7803
2006-03-16,12.0615,12.0615,12.0615,12.0615,0,11.5235,12.2694,10.7777
2006-03-17,12.2165,12.2165,12.2165,12.2165,1200,11.584,12.3494,10.8185
2006-03-20,12.2475,12.2475,12.2475,12.2475,100,11.646,12.4157,10.8763
2006-03-21,12.2475,12.2475,12.2475,12.2475,100,11.708,12.4607,10.9554
2006-03-22,12.2475,12.2475,12.2475,12.2475,0,11.77,12.4829,11.0572
2006-03-23,11.9375,12.2475,11.9065,11.9375,1000,11.7902,12.4978,11.0826
2006-03-24,11.9375,11.9375,11.9375,11.9375,0,11.8181,12.5011,11.1351
2006-03-27,12.2475,12.2475,12.2475,12.2475,400,11.8661,12.5265,11.2058
2006-03-28,12.2475,12.2475,12.2475,12.2475,0,11.9111,12.5449,11.2773
2006-03-29,11.9685,11.9685,11.9685,11.9685,200,11.9359,12.5353,11.3365
2006-03-30,12.0925,12.0925,12.0925,12.0925,14200,11.9669,12.5283,11.4056
2006-03-31,12.0925,12.0925,12.0925,12.0925,300,11.9979,12.5107,11.4852
2006-04-03,12.0925,12.0925,12.0925,12.0925,0,12.001,12.5153,11.4867
2006-04-04,12.0925,12.0925,12.0925,12.0925,0,12.0134,12.5238,11.5031
2006-04-05,12.2475,12.2475,12.2475,12.2475,300,12.0522,12.5039,11.6005
2006-04-06,12.2475,12.2475,12.2475,12.2475,0,12.0909,12.4584,11.7235
2006-04-07,12.2475,12.2475,12.2475,12.2475,0,12.1297,12.3605,11.8989
2006-04-10,12.2475,12.2475,12.2475,12.2475,0,12.1406,12.3721,11.909
2006-04-11,12.2475,12.2475,12.2475,12.2475,0,12.1514,12.3816,11.9212
2006-04-12,12.2475,12.2475,12.2475,12.2475,0,12.1607,12.3906,11.9308
2006-04-13,12.0925,12.0925,12.0925,12.0925,300,12.1623,12.3898,11.9347
2006-04-17,12.0925,12.0925,12.0925,12.0925,0,12.1561,12.3841,11.928
2006-04-18,12.2475,12.2475,12.2475,12.2475,1800,12.1561,12.3841,11.928
2006-04-19,12.5576,12.5576,12.5576,12.5576,100,12.1716,12.46,11.8832
2006-04-20,12.5576,12.5576,12.5576,12.5576,0,12.1871,12.5222,11.8519
2006-04-21,13.0227,13.0227,12.7126,13.0227,1200,12.2413,12.7249,11.7578
2006-04-24,13.0227,13.0227,13.0227,13.0227,28500,12.2956,12.8705,11.7207
2006-04-25,13.0227,13.0227,13.0227,13.0227,0,12.3343,12.9939,11.6748
2006-04-26,13.1777,13.1777,13.1777,13.1777,200,12.3809,13.1385,11.6232
2006-04-27,13.0227,13.0227,13.0227,13.0227,300,12.4336,13.2167,11.6504
2006-04-28,13.0909,13.0909,13.0909,13.0909,100,12.4835,13.3016,11.6654
2006-05-01,13.0909,13.0909,13.0909,13.0909,0,12.5334,13.3726,11.6942
2006-05-02,13.0227,13.0227,13.0227,13.0227,100,12.5799,13.4193,11.7405
2006-05-03,13.0227,13.0227,13.0227,13.0227,0,12.6264,13.4551,11.7977
2006-05-04,13.0227,13.0227,13.0227,13.0227,0,12.6652,13.4918,11.8386
2006-05-05,13.0227,13.0227,13.0227,13.0227,0,12.7039,13.5207,11.8872
2006-05-08,13.4258,13.6428,13.2087,13.4258,1800,12.7629,13.6104,11.9153
2006-05-09,13.4258,13.4258,13.4258,13.4258,0,12.8218,13.6822,11.9613
2006-05-10,13.4258,13.4258,13.4258,13.4258,0,12.8807,13.7369,12.0245
2006-05-11,13.3328,13.6428,13.1777,13.3328,700,12.9349,13.7592,12.1107
2006-05-12,12.9297,12.9297,12.9297,12.9297,800,12.9768,13.6997,12.2539
2006-05-15,12.9297,12.9297,12.9297,12.9297,0,13.0187,13.6111,12.4262
2006-05-16,12.4956,12.4956,12.4956,12.4956,28600,13.0311,13.5628,12.4993
2006-05-17,12.4956,12.4956,12.4956,12.4956,0,13.028,13.572,12.484
2006-05-18,12.4026,12.4026,12.4026,12.4026,500,13.0202,13.5959,12.4445
2006-05-19,12.2475,12.2475,12.2475,12.2475,10600,12.9814,13.6529,12.31
2006-05-22,12.3095,12.3095,12.3095,12.3095,200,12.9458,13.6807,12.2108
2006-05-23,12.6196,12.6196,12.0925,12.6196,3600,12.9256,13.6737,12.1776
2006-05-24,12.2475,12.2475,12.2475,12.2475,200,12.8791,13.6753,12.0829
2006-05-25,12.4026,12.4026,12.4026,12.4026,400,12.8481,13.6687,12.0276
2006-05-26,12.5266,12.5576,12.4026,12.5266,1400,12.8199,13.6441,11.9957
2006-05-30,12.4026,12.4026,12.4026,12.4026,1000,12.7855,13.6195,11.9515
2006-05-31,12.4026,12.4026,12.4026,12.4026,0,12.7545,13.5974,11.9115
2006-06-01,12.1297,12.1297,12.1297,12.1297,1000,12.7098,13.5869,11.8328
2006-06-02,12.1297,12.1297,12.1297,12.1297,0,12.6652,13.5658,11.7646
2006-06-05,12.4026,12.4026,12.4026,12.4026,100,12.6342,13.5256,11.7428
2006-06-06,12.4026,12.4026,12.4026,12.4026,0,12.583,13.3972,11.7688
2006-06-07,12.4026,12.4026,12.4026,12.4026,0,12.5319,13.2455,11.8182
2006-06-08,11.0383,11.0383,11.0383,11.0383,1400,12.4125,13.2789,11.5461
2006-06-09,11.0383,11.0383,11.0383,11.0383,0,12.2978,13.2541,11.3415
2006-06-12,11.0693,11.4724,11.0693,11.0693,500,12.2047,13.2591,11.1503
2006-06-13,11.0073,11.1623,10.6972,11.0073,2300,12.1086,13.2329,10.9843
2006-06-14,11.3173,11.3173,10.8522,11.3173,3100,12.0497,13.2115,10.8879
2006-06-15,11.3173,11.3173,11.3173,11.3173,0,11.9908,13.1766,10.805
2006-06-16,11.6274,11.6274,11.3793,11.6274,700,11.952,13.1319,10.7722
2006-06-19,11.4104,11.6894,11.4104,11.4104,1000,11.9102,13.1052,10.7152
2006-06-20,11.4104,11.4104,11.4104,11.4104,0,11.8652,13.0646,10.6658
2006-06-21,11.5654,11.6274,11.5654,11.5654,900,11.8125,12.964,10.661
2006-06-22,11.5654,11.5654,11.5654,11.5654,0,11.7784,12.916,10.6408
2006-06-23,11.5654,11.5654,11.5654,11.5654,0,11.7365,12.8385,10.6346
2006-06-26,11.6584,11.6584,11.6584,11.6584,500,11.6931,12.7305,10.6558
2006-06-27,11.3483,11.3483,11.3483,11.3483,200,11.6404,12.6321,10.6487
2006-06-28,11.3483,11.3483,11.3483,11.3483,0,11.5877,12.5191,10.6563
2006-06-29,11.6584,11.6584,11.6584,11.6584,300,11.5641,12.461,10.6673
2006-06-30,12.5576,12.5576,12.5576,12.5576,500,11.5855,12.5566,10.6145
2006-07-03,12.3095,12.3095,12.3095,12.3095,4500,11.5809,12.5362,10.6256
2006-07-05,12.3095,12.3095,12.3095,12.3095,0,11.5762,12.5155,10.637
2006-07-06,12.0305,12.0305,12.0305,12.0305,600,11.5576,12.441,10.6742
2006-07-07,12.0305,12.0305,12.0305,12.0305,0,11.6072,12.4792,10.7353
2006-07-10,12.0305,12.0305,12.0305,12.0305,0,11.6569,12.5051,10.8086
2006-07-11,11.8444,11.9685,11.8444,11.8444,1800,11.6956,12.5005,10.8907
2006-07-12,11.8444,11.8444,11.8444,11.8444,0,11.7375,12.476,10.9989
2006-07-13,11.8444,11.8444,11.8444,11.8444,0,11.7638,12.4764,11.0512
2006-07-14,11.8444,11.8444,11.8444,11.8444,0,11.7902,12.4715,11.1088
2006-07-17,11.3173,11.3173,11.0073,11.3173,400,11.7747,12.4851,11.0642
2006-07-18,11.3793,11.3793,11.3173,11.3793,2000,11.7731,12.487,11.0592
2006-07-19,11.6274,11.8568,11.6274,11.6274,154200,11.784,12.4811,11.0869
2006-07-20,11.5344,11.7824,11.5344,11.5344,1300,11.7824,12.4817,11.0831
2006-07-21,11.5344,11.5344,11.5344,11.5344,0,11.7809,12.4823,11.0794
2006-07-24,11.5344,11.5344,11.5344,11.5344,0,11.7793,12.4829,11.0757
2006-07-25,12.0925,12.0925,11.9375,12.0925,400,11.801,12.5156,11.0865
2006-07-26,12.0925,12.0925,12.0925,12.0925,0,11.8382,12.5307,11.1458
2006-07-27,12.0925,12.0925,12.0925,12.0925,0,11.8754,12.5363,11.2146
2006-07-28,12.0925,12.0925,12.0925,12.0925,0,11.8972,12.5565,11.2378
2006-07-31,12.0925,12.0925,12.0925,12.0925,0,11.8739,12.4644,11.2834
2006-08-01,12.5576,12.5576,12.5576,12.5576,300,11.8863,12.5239,11.2487
2006-08-02,12.5576,12.5576,12.5576,12.5576,0,11.8987,12.5792,11.2182
2006-08-03,12.5576,12.5576,12.5576,12.5576,0,11.9251,12.6652,11.1849
2006-08-04,12.5576,12.5576,12.5576,12.5576,0,11.9514,12.7431,11.1597
2006-08-07,12.5576,12.5576,12.5576,12.5576,0,11.9778,12.8144,11.1411
2006-08-08,12.0925,12.0925,12.0925,12.0925,100,11.9902,12.8258,11.1545
2006-08-09,12.0925,12.0925,12.0925,12.0925,0,12.0026,12.8365,11.1687
2006-08-10,11.8444,11.8444,11.8444,11.8444,900,12.0026,12.8365,11.1687
2006-08-11,11.8444,11.8444,11.8444,11.8444,0,12.0026,12.8365,11.1687
2006-08-14,11.8444,11.8444,11.8444,11.8444,0,12.0289,12.8028,11.2551
2006-08-15,11.8444,11.8444,11.8444,11.8444,0,12.0522,12.7698,11.3346
2006-08-16,11.8444,11.8444,11.8444,11.8444,0,12.063,12.7598,11.3662
2006-08-17,11.8444,11.8444,11.8444,11.8444,0,12.0785,12.7387,11.4184
2006-08-18,12.6196,12.6196,12.6196,12.6196,200,12.1328,12.7829,11.4827
2006-08-21,12.6196,12.6196,12.6196,12.6196,0,12.1871,12.8073,11.5668
2006-08-22,12.5266,12.5266,12.2785,12.5266,700,12.2088,12.8453,11.5723
2006-08-23,12.5266,12.5266,12.5266,12.5266,0,12.2305,12.8798,11.5812
2006-08-24,12.5266,12.5266,12.5266,12.5266,0,12.2522,12.911,11.5934
2006-08-25,12.5266,12.5266,12.5266,12.5266,0,12.2739,12.9391,11.6086
2006-08-28,12.5266,12.5266,12.5266,12.5266,0,12.2956,12.9642,11.6269
2006-08-29,12.5266,12.5266,12.5266,12.5266,200,12.294,12.9603,11.6278
2006-08-30,13.0847,13.0847,12.2165,13.0847,1200,12.3204,13.0673,11.5735
2006-08-31,12.7312,12.7312,12.7312,12.7312,4500,12.3291,13.0915,11.5667
2006-09-01,12.6506,12.6506,12.6506,12.6506,100,12.3337,13.1031,11.5643
2006-09-05,13.0227,13.0227,12.7126,13.0227,500,12.357,13.181,11.5329
