Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
2006-05-25,3.6504,4.1713,3.6414,4.1667,395343000,4.1667,,
2006-05-26,4.1939,4.2338,3.9955,4.0698,103044000,4.1183,4.2553,3.9812
2006-05-30,4.0734,4.0743,3.8814,3.9856,49898000,4.074,4.2553,3.8927
2006-05-31,4.0173,4.1088,4.0173,4.0707,30002000,4.0732,4.2213,3.9251
2006-06-01,4.0698,4.3569,4.0671,4.3035,62344000,4.1193,4.3619,3.8766
2006-06-02,4.3932,4.4113,4.2383,4.2564,37253000,4.1421,4.3863,3.8979
2006-06-05,4.2618,4.4611,4.2573,4.4521,37188000,4.1864,4.5098,3.863
2006-06-06,4.5272,4.5861,4.3298,4.3751,49045000,4.21,4.5378,3.8822
2006-06-07,4.3778,4.3841,4.2347,4.3117,25013000,4.2213,4.5353,3.9073
2006-06-08,4.3117,4.3225,4.1214,4.3225,34439000,4.2314,4.5343,3.9285
2006-06-09,4.4203,4.4203,4.3189,4.328,13372000,4.2402,4.5334,3.947
2006-06-12,4.3479,4.3705,4.1939,4.2528,14546000,4.2412,4.5209,3.9616
2006-06-13,4.1848,4.289,4.1033,4.1214,16716000,4.232,4.5079,3.9561
2006-06-14,4.0671,4.1169,4.0254,4.087,15971000,4.2217,4.4978,3.9455
2006-06-15,4.1124,4.1776,4.0879,4.1622,16500000,4.2177,4.4856,3.9498
2006-06-16,4.1214,4.1667,4.0761,4.078,12280000,4.209,4.477,3.9409
2006-06-19,4.1169,4.1169,3.9946,4.0164,11509000,4.1976,4.4735,3.9218
2006-06-20,4.0526,4.0761,3.9376,3.9874,23792000,4.1859,4.4713,3.9006
2006-06-21,3.9874,4.1559,3.9856,4.1033,18063000,4.1816,4.4615,3.9017
2006-06-22,4.203,4.2528,4.1559,4.2211,13038000,4.1836,4.4566,3.9106
2006-06-23,4.2564,4.3415,4.2455,4.2528,11612000,4.1879,4.4625,3.9133
2006-06-26,4.2528,4.3026,4.2057,4.3026,8565000,4.1995,4.4728,3.9263
2006-06-27,4.3026,4.3506,4.28,4.2854,9826000,4.2145,4.4707,3.9583
2006-06-28,4.2437,4.2935,4.212,4.2537,8756000,4.2237,4.4712,3.9761
2006-06-29,4.2528,4.356,4.2528,4.3479,14470000,4.2259,4.4772,3.9746
