Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
1998-03-23,12.9999,12.9999,12.9999,12.9999,1073,12.9999,,
1998-03-24,13.1804,13.4964,13.1804,13.4964,116711,13.2481,13.9503,12.5459
1998-03-25,13.6769,13.6995,13.5415,13.6995,27891,13.3986,14.1185,12.6787
1998-03-26,13.6092,13.6318,13.4738,13.6318,76163,13.4569,14.0892,12.8245
1998-03-27,13.5867,13.5867,13.1353,13.3158,847444,13.4287,13.9907,12.8667
1998-03-30,13.1353,13.2933,12.9096,12.9773,384890,13.3534,13.9767,12.7302
1998-03-31,13.045,13.1578,12.8193,12.9322,644701,13.2933,13.9453,12.6412
1998-04-01,12.6388,12.6839,12.1874,12.5936,1004918,13.2058,13.9863,12.4253
1998-04-02,12.5936,13.2256,12.5936,13.1804,1046539,13.203,13.9333,12.4727
1998-04-03,13.1353,13.4513,12.9096,13.3835,766990,13.221,13.919,12.5231
1998-04-06,13.3384,13.4287,12.9999,12.9999,417715,13.2009,13.8763,12.5255
1998-04-07,13.0901,13.0901,12.4582,12.7516,1516388,13.1635,13.8578,12.4692
1998-04-08,12.7516,12.8193,12.4808,12.7065,602007,13.1283,13.8397,12.4169
1998-04-09,12.729,13.0224,12.4582,12.4582,711209,13.0805,13.8521,12.3088
1998-04-13,12.2776,12.5033,12.1874,12.5033,1257864,13.042,13.8431,12.2409
1998-04-14,12.5485,13.0901,12.5485,13.0676,1577532,13.0436,13.8176,12.2695
1998-04-15,13.4512,13.4512,13.1804,13.4287,596858,13.0662,13.8386,12.2938
1998-04-16,13.4224,13.4224,12.6767,12.7219,422864,13.0471,13.8138,12.2804
1998-04-17,12.7219,12.767,12.3603,12.4281,788444,13.0145,13.8119,12.2171
1998-04-20,12.4055,12.4281,12.0892,12.0892,577120,12.9683,13.8478,12.0887
1998-04-21,12.1343,12.2699,11.479,11.479,825346,12.8922,13.9949,11.7895
1998-04-22,11.479,11.7502,11.479,11.6824,1218817,12.8015,13.9901,11.613
1998-04-23,11.5242,11.6146,11.3887,11.6146,976169,12.6973,13.9195,11.4751
1998-04-24,11.5694,11.7954,11.5694,11.7502,862676,12.6032,13.8121,11.3943
1998-04-27,11.6824,11.7954,11.5694,11.7502,861818,12.5249,13.7422,11.3076
1998-04-28,11.7728,12.2021,11.7502,12.044,305509,12.4783,13.6941,11.2624
1998-04-29,12.1343,12.1343,11.8858,11.9762,948279,12.4305,13.6463,11.2146
1998-04-30,11.9536,12.0214,11.5694,11.5694,1989240,12.3792,13.6512,11.1073
1998-05-01,11.5694,12.1118,11.5694,12.0666,940341,12.3236,13.5443,11.1028
1998-05-04,12.3829,12.4507,12.2925,12.3829,462340,12.2735,13.3888,11.1582
1998-05-05,12.3829,12.3829,12.2925,12.3829,227844,12.2427,13.3063,11.179
1998-05-06,12.3829,12.4733,11.931,11.931,743605,12.2016,13.2457,11.1575
1998-05-07,11.7502,11.8858,11.5242,11.5694,869542,12.1448,13.1969,11.0926
1998-05-08,11.5694,11.8406,11.5694,11.6598,607156,12.1049,13.1675,11.0422
1998-05-11,11.6598,11.7276,11.3887,11.4339,1053834,12.0514,13.137,10.9658
1998-05-12,11.4113,11.5016,11.0271,11.0271,1263871,11.9494,13.0162,10.8825
1998-05-13,11.1175,12.0214,11.1175,11.9084,2205070,11.8734,12.6817,11.065
1998-05-14,11.818,11.8858,11.5242,11.8406,356141,11.8293,12.5321,11.1265
1998-05-15,11.8406,12.1117,11.6824,11.9988,380599,11.8078,12.4579,11.1578
1998-05-18,12.0892,12.2925,12.044,12.1118,539146,11.809,12.4611,11.1568
1998-05-19,12.1569,12.2925,12.0666,12.0892,433805,11.8395,12.4837,11.1952
1998-05-20,12.1795,12.8122,12.1795,12.7897,652424,11.8948,12.661,11.1287
1998-05-21,12.767,12.767,12.3829,12.4281,607370,11.9355,12.7251,11.1459
1998-05-22,12.4733,12.4733,12.2699,12.2699,535284,11.9615,12.7595,11.1634
1998-05-26,12.3829,12.4281,12.1795,12.1795,1083870,11.983,12.7802,11.1857
1998-05-27,12.1795,12.5863,12.1343,12.4507,570040,12.0033,12.8273,11.1792
1998-05-28,12.3603,12.5411,12.3377,12.4507,552233,12.027,12.8748,11.1793
1998-05-29,12.4733,12.6541,12.4733,12.5637,1080008,12.0767,12.9281,11.2254
1998-06-01,12.3829,12.8348,12.3377,12.5863,758623,12.1027,12.984,11.2214
1998-06-02,12.6089,12.6541,12.2925,12.3603,502030,12.1016,12.9814,11.2218
1998-06-03,12.2473,12.4733,12.2473,12.3603,761627,12.1005,12.9788,11.2221
1998-06-04,12.2247,12.6315,12.1343,12.6315,895501,12.1355,13.0408,11.2301
1998-06-05,12.5863,12.7219,12.5863,12.6541,871472,12.1897,13.0821,11.2973
1998-06-08,12.6541,12.6993,12.0892,12.1343,915239,12.2134,13.0711,11.3558
1998-06-09,11.7954,11.9536,11.7276,11.7276,1026587,12.2281,13.0383,11.4179
1998-06-10,11.7502,11.8858,11.5468,11.592,1434647,12.2564,12.9156,11.5971
1998-06-11,11.6146,11.7276,11.4339,11.479,797241,12.2349,12.9659,11.5039
1998-06-12,11.6146,11.705,11.4113,11.5694,916526,12.2213,12.9921,11.4506
1998-06-15,11.479,11.5468,11.2531,11.2531,642126,12.1841,13.0645,11.3036
1998-06-16,11.2983,11.8406,11.2983,11.6146,700482,12.1592,13.0756,11.2428
1998-06-17,11.6372,11.8406,11.592,11.592,1868881,12.1343,13.085,11.1836
1998-06-18,11.6146,11.6146,11.3887,11.3887,757765,12.0643,13.0181,11.1105
1998-06-19,11.3209,11.3887,11.2305,11.2531,814833,12.0055,13.0085,11.0026
1998-06-22,11.4339,11.5694,10.8463,10.8915,862676,11.9366,13.0468,10.8264
1998-06-23,11.0271,11.4113,11.0271,11.3661,1113691,11.896,13.0281,10.7638
1998-06-24,11.271,11.4973,11.2031,11.4973,1458676,11.8483,12.9622,10.7344
