Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
2007-08-10,21.318,28.1009,20.349,27.6164,9800300,27.6164,,
2007-08-13,30.2327,38.4401,28.1009,30.6688,3162100,29.1426,33.4593,24.8259
2007-08-14,31.444,31.6862,29.0505,29.099,609300,29.1281,32.1808,26.0753
2007-08-15,29.2734,29.2734,27.1804,27.6746,991800,28.7647,31.6501,25.8793
2007-08-16,27.3742,29.0699,24.2831,27.2288,1107500,28.4575,31.3091,25.606
2007-08-17,29.38,32.5971,29.0699,31.8316,438100,29.0199,32.7741,25.2656
2007-08-20,31.88,32.4614,28.5854,29.5254,235000,29.0921,32.5405,25.6437
2007-08-21,28.7889,29.3509,26.8994,28.1203,180500,28.9706,32.2363,25.7049
2007-08-22,28.2463,29.8742,28.2463,28.6533,77900,28.9353,31.9974,25.8732
2007-08-23,29.9323,29.9323,28.004,29.0699,244700,28.9488,31.837,26.0606
2007-08-24,28.256,29.3122,27.6358,29.0699,144200,28.9598,31.7008,26.2188
2007-08-27,28.4595,29.3122,27.6261,28.4885,173200,28.9205,31.5481,26.293
2007-08-28,28.3916,28.8761,27.6164,28.004,292600,28.85,31.4166,26.2835
2007-08-29,28.6048,29.7676,27.8684,28.4207,113800,28.8194,31.2959,26.3429
2007-08-30,28.8277,28.8277,27.6649,27.8587,259600,28.7553,31.1928,26.3179
2007-08-31,28.2463,28.2463,27.1319,27.2482,69100,28.6611,31.1336,26.1887
2007-09-04,27.1416,28.1009,26.4343,27.1319,135500,28.5712,31.0774,26.065
2007-09-05,26.5312,28.0137,26.1629,27.6261,198800,28.5187,30.9905,26.0468
2007-09-06,27.9653,31.2502,27.8684,29.0021,179300,28.5441,30.9566,26.1317
2007-09-07,29.7289,30.7172,28.3432,28.5854,74900,28.5462,30.8944,26.198
2007-09-10,28.8277,29.7095,28.1688,28.3916,118000,28.5849,30.8938,26.2761
2007-09-11,28.7502,28.8277,27.9362,28.1785,106100,28.4604,30.5547,26.3662
2007-09-12,27.975,28.8374,27.4033,28.2657,76500,28.4188,30.4926,26.3449
2007-09-13,28.2947,28.5273,28.0428,28.1009,22700,28.4401,30.4903,26.3898
2007-09-14,27.723,28.8374,27.1707,27.6164,117200,28.4595,30.4684,26.4505
2007-09-17,27.3742,27.5292,26.754,26.8897,71900,28.2124,29.5921,26.8326
2007-09-18,26.8897,28.256,26.6184,27.1319,167800,28.0927,29.4065,26.7789
2007-09-19,29.1668,32.694,29.1184,32.2482,697200,28.2991,30.5755,26.0227
2007-09-20,32.4517,37.1611,31.9672,35.9111,505100,28.662,32.7607,24.5633
2007-09-21,35.3878,39.4091,34.5254,39.2638,324000,29.1717,35.4433,22.9
2007-09-24,37.0835,40.0196,37.0738,39.787,312300,29.7075,37.5717,21.8433
2007-09-25,37.5196,38.7502,35.9207,37.0157,262100,30.1339,38.6199,21.6479
2007-09-26,36.8219,36.9382,35.3684,36.8994,326700,30.5787,39.5151,21.6422
2007-09-27,37.3064,38.6824,34.6514,35.7754,380400,30.9464,40.1113,21.7815
2007-09-28,35.1068,36.8219,34.2734,35.1359,1571400,31.3103,40.5366,22.0839
2007-10-01,35.4944,38.0235,34.4576,35.5719,227700,31.7264,40.9322,22.5206
2007-10-02,36.4634,38.7599,36.0855,38.1785,304200,32.2788,41.648,22.9096
2007-10-03,37.946,41.4634,37.3742,40.8142,383000,32.9382,42.7734,23.103
2007-10-04,41.3859,42.3937,38.9537,39.9905,216700,33.4876,43.6202,23.355
2007-10-05,40.9402,41.8801,38.7599,39.8355,745200,34.0501,44.2854,23.8148
2007-10-08,39.5933,40.0584,38.1398,39.7483,102600,34.6179,44.7914,24.4445
2007-10-09,39.6998,44.0216,39.3995,43.9731,405200,35.4077,45.9228,24.8925
2007-10-10,44.1572,44.1572,42.539,43.5468,234300,36.1717,46.7224,25.621
2007-10-11,43.7212,44.0797,39.1475,39.9324,331000,36.7633,46.7186,26.808
2007-10-12,39.7289,41.3181,38.8568,39.2056,178300,37.3428,46.3615,28.324
2007-10-15,40.0681,40.8336,35.8529,37.2483,234200,37.8607,45.4241,30.2972
2007-10-16,36.8704,37.4518,34.3607,35.7851,237500,38.2933,44.0459,32.5408
2007-10-17,36.6475,38.2754,36.037,37.3839,203600,38.5501,43.5795,33.5207
2007-10-18,37.0254,39.7289,36.0758,38.6049,188800,38.6848,43.5585,33.8111
2007-10-19,38.5661,39.099,36.1436,36.1436,88100,38.5288,43.5228,33.5348
2007-10-22,36.0952,38.4498,35.349,37.4421,157500,38.4116,43.3912,33.4319
2007-10-23,38.3432,42.7522,38.3432,41.5022,336100,38.6359,43.7531,33.5187
2007-10-24,40.9208,41.0758,36.3083,38.1591,358400,38.6989,43.7568,33.641
2007-10-25,38.1301,39.099,37.1707,38.789,108800,38.8495,43.7167,33.9824
2007-10-26,38.8665,42.0061,38.4305,41.7347,232600,39.1795,43.8784,34.4806
2007-10-29,41.822,44.4964,41.0661,43.2076,341600,39.5613,44.2668,34.8557
2007-10-30,43.2173,46.6669,43.2173,44.4382,405400,39.8743,45.006,34.7426
2007-10-31,44.7483,44.7483,39.8646,43.2948,336200,39.9983,45.3412,34.6554
2007-11-01,42.8394,43.0235,39.2444,40.0778,287100,40.0027,45.3457,34.6596
2007-11-02,40.727,43.6049,39.2444,42.9654,246100,40.1591,45.6625,34.6558
2007-11-05,41.8607,43.5467,40.9692,42.1805,138500,40.2808,45.8529,34.7086
2007-11-06,42.1514,44.3801,41.8607,44.07,138200,40.2856,45.8715,34.6997
2007-11-07,42.9653,43.4498,36.1824,38.1785,462700,40.0172,45.4572,34.5771
2007-11-08,38.7599,38.7599,35.0583,36.3568,346600,39.8384,45.5199,34.157
2007-11-09,36.5991,36.5991,33.3238,35.6204,287700,39.6591,45.6429,33.6754
2007-11-12,35.5138,36.8219,31.6572,34.0893,310300,39.5012,45.9049,33.0975
2007-11-13,34.9033,40.3103,34.2541,39.787,329600,39.7013,45.8615,33.541
2007-11-14,43.6049,45.4072,40.2134,41.851,442800,39.9246,46.055,33.7943
2007-11-15,41.9867,46.2212,41.0177,45.0003,618800,40.2444,46.7411,33.7477
2007-11-16,45.0972,45.7367,42.3549,45.0681,379900,40.6906,47.2272,34.154
2007-11-19,44.603,45.5913,42.6553,43.3045,249400,40.9838,47.4322,34.5353
