Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
2012-05-18,41.7226,44.6496,37.7041,37.9323,573576400,37.9323,,
2012-05-21,36.2456,36.3745,32.743,33.765,168192700,35.8487,41.7421,29.9552
2012-05-22,32.3561,33.3285,30.6991,30.7586,101786600,34.152,41.3569,26.947
2012-05-23,31.1257,32.2469,31.1158,31.7508,73600000,33.5517,39.9057,27.1977
2012-05-24,32.6934,32.9514,31.5226,32.7728,50237200,33.3959,38.9426,27.8493
2012-05-25,32.6438,32.6934,30.8678,31.6615,37149800,33.1069,38.2661,27.9476
2012-05-29,31.2349,31.4432,28.4269,28.6154,78063400,32.4652,38.2711,26.6593
2012-05-30,28.4765,29.3199,27.6431,27.9705,57267900,31.9034,38.1479,25.6588
2012-05-31,28.3277,29.439,26.6211,29.3695,111639200,31.6218,37.7024,25.5413
2012-06-01,28.6651,28.923,27.1767,27.5042,41855500,31.2101,37.5067,24.9134
2012-06-04,26.9882,27.4347,26.2341,26.6905,35230300,30.7992,37.3651,24.2334
2012-06-05,26.4921,27.5439,25.5495,25.6686,42473400,30.3717,37.2974,23.4459
2012-06-06,25.867,26.9584,25.3213,26.6012,61489200,30.0816,37.0345,23.1287
2012-06-07,26.7898,27.137,25.9464,26.1051,26159500,29.7976,36.8077,22.7875
2012-06-08,26.3433,27.5439,26.2341,26.889,38034000,29.6037,36.5238,22.6836
2012-06-11,26.9684,27.8514,26.631,26.7997,28219600,29.4284,36.2593,22.5976
2012-06-12,27.266,27.5538,26.7501,27.1867,15816800,29.2966,35.9993,22.5938
2012-06-13,27.4446,27.8812,26.889,27.0577,17102800,29.1722,35.7599,22.5844
2012-06-14,27.4347,28.0995,27.1668,28.0697,16855000,29.1142,35.5362,22.6921
2012-06-15,28.288,29.8656,28.1293,29.7763,43563800,29.1473,35.4051,22.8895
2012-06-18,29.7267,31.8302,29.181,31.1654,42978900,28.8089,33.6347,23.9832
2012-06-19,31.2944,31.9294,30.461,31.6615,30849000,28.7037,33.1516,24.2559
2012-06-20,31.6715,31.6814,30.9075,31.354,15553600,28.7335,33.2467,24.2203
2012-06-21,31.4234,32.2469,31.2647,31.5921,21875300,28.7256,33.217,24.2342
2012-06-22,32.1576,33.1895,31.8104,32.7927,74834000,28.7266,33.2217,24.2314
2012-06-25,32.6041,32.7629,31.3043,31.8104,24352900,28.734,33.2501,24.218
2012-06-26,32.4355,33.1796,32.2469,32.8423,24858700,28.9454,33.8195,24.0712
