Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
1986-03-13,0.054,0.0619,0.054,0.0593,1031788800,0.0593,,
1986-03-14,0.0593,0.0624,0.0593,0.0614,308160000,0.0603,0.0633,0.0573
1986-03-17,0.0614,0.063,0.0614,0.0624,133171200,0.061,0.0642,0.0578
1986-03-18,0.0624,0.063,0.0603,0.0608,67766400,0.061,0.0636,0.0583
1986-03-19,0.0608,0.0614,0.0593,0.0598,47894400,0.0607,0.0633,0.0582
1986-03-20,0.0598,0.0598,0.0577,0.0582,58435200,0.0603,0.0634,0.0572
1986-03-21,0.0582,0.0593,0.0556,0.0566,59990400,0.0598,0.0637,0.0558
1986-03-24,0.0566,0.0566,0.0545,0.055,65289600,0.0592,0.0642,0.0542
1986-03-25,0.055,0.0561,0.0545,0.0561,32083200,0.0588,0.0639,0.0537
1986-03-26,0.0561,0.0582,0.0556,0.0577,22752000,0.0587,0.0636,0.0539
1986-03-27,0.0577,0.0587,0.0577,0.0587,16848000,0.0587,0.0633,0.0541
1986-03-31,0.0587,0.0587,0.0571,0.0582,12873600,0.0587,0.0631,0.0543
1986-04-01,0.0582,0.0582,0.0577,0.0577,11088000,0.0586,0.0629,0.0543
1986-04-02,0.0577,0.0593,0.0577,0.0582,27014400,0.0586,0.0627,0.0545
1986-04-03,0.0587,0.0603,0.0587,0.0587,23040000,0.0586,0.0625,0.0546
1986-04-04,0.0587,0.0593,0.0587,0.0587,26582400,0.0586,0.0624,0.0548
1986-04-07,0.0587,0.0593,0.0566,0.0577,16560000,0.0585,0.0623,0.0548
1986-04-08,0.0577,0.0593,0.0577,0.0582,10252800,0.0585,0.0621,0.0549
1986-04-09,0.0582,0.0598,0.0582,0.0593,12153600,0.0586,0.0621,0.055
1986-04-10,0.0593,0.0603,0.0582,0.0598,13881600,0.0586,0.0621,0.0551
1986-04-11,0.0603,0.0619,0.0603,0.0608,17222400,0.0587,0.0623,0.0551
1986-04-14,0.0608,0.0619,0.0608,0.0614,12153600,0.0587,0.0623,0.0551
1986-04-15,0.0614,0.0614,0.0593,0.0614,9302400,0.0586,0.062,0.0552
1986-04-16,0.0614,0.064,0.0608,0.0635,31910400,0.0588,0.0627,0.0548
1986-04-17,0.0635,0.064,0.0635,0.064,22003200,0.059,0.0635,0.0544
1986-04-18,0.064,0.064,0.0614,0.0619,21628800,0.0592,0.0639,0.0545
1986-04-21,0.0619,0.0624,0.0603,0.0619,22924800,0.0594,0.0641,0.0547
1986-04-22,0.0619,0.0619,0.0608,0.0608,15552000,0.0597,0.064,0.0555
1986-04-23,0.0608,0.0614,0.0603,0.0611,15609600,0.06,0.0639,0.056
1986-04-24,0.0611,0.0682,0.0608,0.0672,62352000,0.0605,0.0654,0.0555
1986-04-25,0.0677,0.0743,0.0677,0.0714,85795200,0.0611,0.068,0.0542
1986-04-28,0.0714,0.0725,0.0709,0.072,28886400,0.0618,0.07,0.0535
1986-04-29,0.072,0.072,0.0693,0.0698,30326400,0.0624,0.0712,0.0536
1986-04-30,0.0698,0.0704,0.0667,0.0682,30902400,0.0629,0.0718,0.054
1986-05-01,0.0682,0.0682,0.0661,0.0672,54345600,0.0633,0.0722,0.0544
1986-05-02,0.0672,0.0682,0.0667,0.0672,20246400,0.0637,0.0725,0.055
1986-05-05,0.0672,0.0672,0.0667,0.0667,3254400,0.0642,0.0726,0.0558
1986-05-06,0.0672,0.0682,0.0672,0.0672,9734400,0.0646,0.0726,0.0567
1986-05-07,0.0672,0.0677,0.0661,0.0672,5155200,0.065,0.0727,0.0574
1986-05-08,0.0672,0.0677,0.0667,0.0677,3542400,0.0654,0.0727,0.0581
1986-05-09,0.0677,0.0677,0.0672,0.0672,6076800,0.0657,0.0727,0.0588
1986-05-12,0.0672,0.0693,0.0672,0.0677,10483200,0.0661,0.0728,0.0593
1986-05-13,0.0677,0.0688,0.0677,0.0682,3830400,0.0664,0.0728,0.06
1986-05-14,0.0682,0.0682,0.0677,0.0677,9302400,0.0666,0.0729,0.0603
1986-05-15,0.0677,0.0688,0.0677,0.0677,3801600,0.0668,0.073,0.0606
1986-05-16,0.0677,0.0698,0.0677,0.0682,11952000,0.0671,0.0729,0.0614
1986-05-19,0.0682,0.0682,0.0667,0.0672,11001600,0.0674,0.0726,0.0622
1986-05-20,0.0672,0.0672,0.0661,0.0667,61977600,0.0677,0.0719,0.0635
1986-05-21,0.0667,0.0672,0.0656,0.0656,8092800,0.0679,0.071,0.0648
1986-05-22,0.0656,0.0661,0.0656,0.0656,4406400,0.0678,0.0711,0.0646
1986-05-23,0.0656,0.0667,0.0656,0.0656,4089600,0.0675,0.0704,0.0646
1986-05-27,0.0656,0.0677,0.0656,0.0677,13881600,0.0673,0.0693,0.0653
1986-05-28,0.0677,0.0698,0.0677,0.0698,15523200,0.0673,0.0693,0.0653
1986-05-29,0.0698,0.0725,0.0693,0.0714,45676800,0.0675,0.0702,0.0648
1986-05-30,0.072,0.0751,0.072,0.0741,27072000,0.0678,0.0718,0.0638
1986-06-02,0.0741,0.0741,0.072,0.072,19728000,0.0681,0.0724,0.0637
1986-06-03,0.072,0.072,0.0709,0.072,5011200,0.0683,0.073,0.0637
1986-06-04,0.072,0.0725,0.0709,0.0714,4723200,0.0685,0.0734,0.0637
1986-06-05,0.0714,0.0725,0.0709,0.0725,13708800,0.0688,0.0739,0.0637
1986-06-06,0.0725,0.0725,0.0714,0.0725,3427200,0.069,0.0744,0.0637
1986-06-09,0.0725,0.0725,0.0693,0.0693,12672000,0.0691,0.0744,0.0639
1986-06-10,0.0693,0.0693,0.0682,0.0693,3427200,0.0692,0.0744,0.064
1986-06-11,0.0693,0.0693,0.0682,0.0693,2304000,0.0693,0.0745,0.0641
1986-06-12,0.0693,0.0693,0.0661,0.0667,13708800,0.0692,0.0745,0.064
1986-06-13,0.0667,0.0672,0.0661,0.0667,7891200,0.0692,0.0745,0.0638
1986-06-16,0.0667,0.0672,0.0656,0.0661,9590400,0.0691,0.0746,0.0636
1986-06-17,0.0667,0.0682,0.0667,0.0672,13075200,0.0691,0.0746,0.0636
1986-06-18,0.0672,0.0672,0.0656,0.0667,4348800,0.0691,0.0746,0.0636
1986-06-19,0.0667,0.0672,0.0656,0.0661,8467200,0.0691,0.0745,0.0637
1986-06-20,0.0661,0.0667,0.0661,0.0664,3801600,0.0691,0.0745,0.0638
1986-06-23,0.0664,0.0672,0.0651,0.0672,46195200,0.0692,0.0744,0.064
1986-06-24,0.0672,0.0677,0.0661,0.0667,14572800,0.0692,0.0744,0.0639
1986-06-25,0.0667,0.0672,0.0656,0.0656,15235200,0.0689,0.0744,0.0635
1986-06-26,0.0656,0.0661,0.0635,0.0635,19152000,0.0686,0.0744,0.0627
1986-06-27,0.0635,0.064,0.0624,0.063,10396800,0.068,0.0738,0.0622
1986-06-30,0.063,0.0667,0.0624,0.0651,62352000,0.0677,0.0732,0.0621
1986-07-01,0.0651,0.0651,0.0645,0.0651,47577600,0.0673,0.0726,0.062
1986-07-02,0.0651,0.0651,0.0645,0.0651,52617600,0.067,0.072,0.062
1986-07-03,0.0656,0.0667,0.0656,0.0661,14140800,0.0667,0.071,0.0624
1986-07-07,0.0661,0.0661,0.0635,0.0635,14054400,0.0662,0.0698,0.0626
1986-07-08,0.0635,0.0635,0.0614,0.0619,14256000,0.0659,0.0696,0.0621
1986-07-09,0.0619,0.0619,0.0587,0.0593,46137600,0.0654,0.0698,0.0609
1986-07-10,0.0593,0.0598,0.055,0.0577,46886400,0.0648,0.07,0.0595
1986-07-11,0.0577,0.0603,0.0577,0.0593,17395200,0.0644,0.0701,0.0587
1986-07-14,0.0577,0.0598,0.0577,0.0585,28598400,0.064,0.0702,0.0578
1986-07-15,0.0585,0.0603,0.0577,0.0593,13190400,0.0636,0.0701,0.0572
1986-07-16,0.0598,0.0614,0.0598,0.0614,9360000,0.0634,0.0696,0.0571
1986-07-17,0.0614,0.0624,0.0608,0.0624,6940800,0.0631,0.0692,0.057
1986-07-18,0.0624,0.0635,0.0608,0.063,12326400,0.063,0.0689,0.057
1986-07-21,0.063,0.064,0.063,0.063,3513600,0.0628,0.0685,0.0571
1986-07-22,0.063,0.0651,0.063,0.0651,10512000,0.0627,0.0682,0.0573
1986-07-23,0.0651,0.0661,0.0635,0.0635,20793600,0.0625,0.0677,0.0574
1986-07-24,0.0645,0.0667,0.0645,0.0656,14140800,0.0625,0.0677,0.0574
1986-07-25,0.0656,0.0667,0.0656,0.0661,20448000,0.0627,0.0681,0.0573
