Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
1973-02-21,0.3488,0.3513,0.3488,0.35,92800,0.35,,
1973-02-22,0.35,0.3561,0.35,0.3549,35200,0.3525,0.3593,0.3456
1973-02-23,0.3549,0.3597,0.3525,0.3597,92800,0.3549,0.3645,0.3452
1973-02-26,0.3597,0.3694,0.3585,0.3585,284800,0.3558,0.3645,0.3471
1973-02-27,0.3585,0.3633,0.3573,0.3621,280000,0.3571,0.3665,0.3476
1973-02-28,0.3621,0.3669,0.3597,0.3669,113600,0.3587,0.3704,0.347
1973-03-01,0.3669,0.3694,0.3669,0.3694,144000,0.3602,0.3736,0.3469
1973-03-02,0.3694,0.3706,0.3657,0.3694,124800,0.3614,0.3753,0.3474
1973-03-05,0.3694,0.373,0.3694,0.3706,129600,0.3624,0.3768,0.348
1973-03-06,0.3706,0.3754,0.3706,0.373,132800,0.3634,0.3786,0.3483
1973-03-07,0.3742,0.3778,0.3742,0.3766,169600,0.3646,0.3811,0.3482
1973-03-08,0.3754,0.3754,0.3742,0.3742,92800,0.3654,0.382,0.3488
1973-03-09,0.3742,0.3766,0.373,0.373,211200,0.366,0.3825,0.3496
1973-03-12,0.373,0.3766,0.373,0.3742,89600,0.3666,0.383,0.3502
1973-03-13,0.3766,0.3851,0.3766,0.3851,176000,0.3678,0.3863,0.3494
1973-03-14,0.3851,0.3863,0.3766,0.3766,176000,0.3684,0.3867,0.35
1973-03-15,0.3766,0.3778,0.3694,0.3694,115200,0.3684,0.3862,0.3507
1973-03-16,0.3694,0.3694,0.3525,0.3549,438400,0.3677,0.3861,0.3493
1973-03-19,0.3525,0.3525,0.3476,0.3513,312000,0.3668,0.3862,0.3474
1973-03-20,0.3513,0.3537,0.3488,0.3525,870400,0.3661,0.386,0.3462
1973-03-21,0.3525,0.3525,0.3488,0.3488,270400,0.366,0.3862,0.3459
1973-03-22,0.3476,0.3476,0.344,0.3452,158400,0.3656,0.3872,0.3439
1973-03-23,0.3452,0.3452,0.3392,0.3416,761600,0.3647,0.3887,0.3406
1973-03-26,0.338,0.338,0.3295,0.3319,257600,0.3633,0.3914,0.3352
1973-03-27,0.3319,0.338,0.3283,0.338,273600,0.3621,0.3924,0.3318
1973-03-28,0.338,0.3452,0.3331,0.3331,473600,0.3604,0.3933,0.3276
1973-03-29,0.3332,0.3332,0.3247,0.3319,108800,0.3586,0.3935,0.3237
1973-03-30,0.3319,0.3319,0.3295,0.3295,75200,0.3566,0.3934,0.3198
1973-04-02,0.3295,0.3307,0.3211,0.3271,166400,0.3544,0.3928,0.316
1973-04-03,0.3271,0.3283,0.3211,0.3211,126400,0.3518,0.3919,0.3117
1973-04-04,0.3211,0.3428,0.3211,0.338,750400,0.3499,0.3886,0.3111
1973-04-05,0.338,0.3416,0.3344,0.338,150400,0.3481,0.3854,0.3107
1973-04-06,0.338,0.3428,0.338,0.3404,145600,0.3464,0.382,0.3109
1973-04-09,0.3404,0.3428,0.338,0.3404,99200,0.3447,0.3779,0.3116
