Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
2002-05-23,0.1156,0.1243,0.1146,0.1196,1047900000,0.1196,,
2002-05-24,0.1214,0.1225,0.1197,0.121,111048000,0.1203,0.1222,0.1184
2002-05-28,0.1214,0.1232,0.1157,0.1157,66094000,0.1188,0.1243,0.1133
2002-05-29,0.1164,0.1164,0.1086,0.1104,67578000,0.1167,0.1262,0.1071
2002-05-30,0.1108,0.1108,0.1071,0.1071,101542000,0.1148,0.1266,0.1029
2002-05-31,0.1079,0.1079,0.1071,0.1076,84644000,0.1136,0.1257,0.1015
2002-06-03,0.108,0.1149,0.1076,0.1129,31514000,0.1135,0.1246,0.1024
2002-06-04,0.1136,0.114,0.1111,0.1118,31052000,0.1133,0.1236,0.1029
2002-06-05,0.1111,0.1159,0.1107,0.1147,15316000,0.1134,0.1231,0.1037
2002-06-06,0.115,0.1232,0.1149,0.1182,23058000,0.1139,0.1235,0.1043
2002-06-07,0.1178,0.1178,0.1104,0.1119,13692000,0.1137,0.1229,0.1045
2002-06-10,0.1135,0.1175,0.1134,0.1156,4844000,0.1139,0.1227,0.105
2002-06-11,0.1156,0.1189,0.1129,0.1154,10038000,0.114,0.1225,0.1055
2002-06-12,0.1154,0.1182,0.1089,0.1093,17990000,0.1137,0.1222,0.1051
2002-06-13,0.1104,0.1122,0.108,0.1083,25676000,0.1133,0.122,0.1046
2002-06-14,0.1082,0.1086,0.098,0.0986,47838000,0.1124,0.1235,0.1012
2002-06-17,0.1014,0.1059,0.0918,0.0922,48552000,0.1112,0.1258,0.0966
2002-06-18,0.0939,0.0939,0.0842,0.0911,108080000,0.1101,0.1271,0.0931
2002-06-19,0.0911,0.0996,0.0893,0.0951,54824000,0.1093,0.1272,0.0914
2002-06-20,0.0971,0.104,0.095,0.0957,61110000,0.1086,0.1271,0.0902
2002-06-21,0.0982,0.0989,0.0948,0.0979,23464000,0.1075,0.1258,0.0892
2002-06-24,0.0979,0.1014,0.0957,0.0979,25676000,0.1064,0.124,0.0888
2002-06-25,0.0989,0.1007,0.0947,0.0964,39410000,0.1054,0.123,0.0878
2002-06-26,0.0964,0.0996,0.0921,0.0989,29246000,0.1048,0.1225,0.0872
2002-06-27,0.1009,0.1019,0.0943,0.0944,38178000,0.1042,0.1224,0.086
2002-06-28,0.0961,0.1014,0.0961,0.0999,92344000,0.1038,0.122,0.0856
2002-07-01,0.1,0.1046,0.0993,0.1028,45850000,0.1033,0.121,0.0856
2002-07-02,0.1054,0.1195,0.1039,0.1173,90202000,0.1036,0.122,0.0851
2002-07-03,0.1179,0.1214,0.1118,0.1214,49574000,0.1039,0.1234,0.0844
2002-07-05,0.1214,0.1299,0.1214,0.1276,20034000,0.1044,0.1257,0.0831
2002-07-08,0.1252,0.1252,0.1168,0.1176,19530000,0.1047,0.1266,0.0828
2002-07-09,0.1175,0.1196,0.1114,0.1161,29358000,0.1047,0.1266,0.0828
2002-07-10,0.1161,0.1179,0.1132,0.1164,15540000,0.1047,0.1268,0.0827
2002-07-11,0.1154,0.1279,0.1133,0.1269,25298000,0.1056,0.1297,0.0815
2002-07-12,0.1279,0.128,0.1207,0.1208,28378000,0.1063,0.1313,0.0812
2002-07-15,0.1243,0.1249,0.1076,0.1143,42392000,0.107,0.1321,0.082
2002-07-16,0.1153,0.1157,0.1104,0.1126,19418000,0.1081,0.1322,0.0839
2002-07-17,0.1145,0.1164,0.1076,0.1089,12614000,0.1089,0.1317,0.0862
2002-07-18,0.1117,0.1166,0.1111,0.1149,28994000,0.1099,0.1319,0.088
2002-07-19,0.1153,0.1161,0.1122,0.116,17920000,0.111,0.132,0.0899
2002-07-22,0.1136,0.1179,0.1115,0.1171,19936000,0.1119,0.1322,0.0916
2002-07-23,0.1176,0.1214,0.1131,0.1146,15778000,0.1127,0.1319,0.0936
2002-07-24,0.1146,0.1159,0.1074,0.1114,33558000,0.1135,0.1311,0.0959
2002-07-25,0.1125,0.1128,0.1035,0.1036,47558000,0.1137,0.1306,0.0969
2002-07-26,0.105,0.1059,0.085,0.0871,70462000,0.1134,0.1322,0.0946
2002-07-29,0.0896,0.0924,0.085,0.0876,32606000,0.1128,0.1341,0.0915
2002-07-30,0.0894,0.0943,0.0894,0.0914,37772000,0.1122,0.1352,0.0892
2002-07-31,0.0929,0.096,0.0906,0.0954,33334000,0.1111,0.1351,0.0871
2002-08-01,0.095,0.096,0.0878,0.0891,45290000,0.1095,0.1349,0.0841
2002-08-02,0.0886,0.0888,0.0706,0.0778,66556000,0.107,0.1346,0.0794
2002-08-05,0.0779,0.0813,0.0761,0.0775,38080000,0.105,0.135,0.0749
2002-08-06,0.0796,0.0804,0.0743,0.0761,32172000,0.103,0.1352,0.0708
2002-08-07,0.0761,0.0794,0.0743,0.0794,27580000,0.1011,0.1343,0.0679
2002-08-08,0.0796,0.0804,0.0751,0.0796,22834000,0.0988,0.1309,0.0666
2002-08-09,0.0799,0.0821,0.0779,0.0787,15008000,0.0967,0.1283,0.0651
2002-08-12,0.0803,0.0807,0.0754,0.0757,21308000,0.0947,0.1265,0.0629
2002-08-13,0.0768,0.0805,0.0754,0.0773,16772000,0.093,0.1245,0.0614
2002-08-14,0.0776,0.0834,0.0771,0.0834,40474000,0.0917,0.1226,0.0608
2002-08-15,0.0837,0.0911,0.0833,0.0883,32634000,0.0904,0.1192,0.0615
2002-08-16,0.0893,0.0924,0.0857,0.0913,18284000,0.0891,0.1154,0.0629
2002-08-19,0.0925,0.0984,0.0918,0.0982,20748000,0.0882,0.1114,0.065
2002-08-20,0.0985,0.0994,0.0921,0.0946,25396000,0.0872,0.1071,0.0673
2002-08-21,0.0953,0.0971,0.0919,0.0969,27790000,0.0865,0.1035,0.0694
2002-08-22,0.0974,0.0999,0.0929,0.0984,29638000,0.0862,0.1022,0.0701
2002-08-23,0.0994,0.0996,0.0968,0.0994,24066000,0.0868,0.1039,0.0697
2002-08-26,0.0996,0.0996,0.0938,0.0968,26446000,0.0873,0.1049,0.0696
2002-08-27,0.0968,0.0968,0.0858,0.0874,49840000,0.0871,0.1046,0.0695
2002-08-28,0.0861,0.089,0.0825,0.0864,22750000,0.0866,0.1037,0.0695
2002-08-29,0.0833,0.0922,0.0824,0.0904,23954000,0.0867,0.1038,0.0695
2002-08-30,0.0914,0.0963,0.0894,0.0936,21210000,0.0875,0.1044,0.0706
2002-09-03,0.0936,0.0964,0.0914,0.0925,15932000,0.0882,0.1046,0.0719
2002-09-04,0.0926,0.0946,0.0908,0.0929,3738000,0.089,0.1045,0.0736
2002-09-05,0.0918,0.0936,0.0911,0.0918,2856000,0.0897,0.1044,0.0749
2002-09-06,0.0928,0.0936,0.0911,0.0914,7630000,0.0903,0.1043,0.0762
2002-09-09,0.0919,0.0925,0.0893,0.0901,14196000,0.0908,0.1038,0.0779
2002-09-10,0.0901,0.095,0.0889,0.0945,47460000,0.0918,0.1026,0.0809
2002-09-11,0.0939,0.0976,0.0939,0.0961,16296000,0.0927,0.1013,0.0841
2002-09-12,0.0963,0.0967,0.0914,0.0925,19432000,0.0932,0.1006,0.0858
2002-09-13,0.0921,0.0927,0.0864,0.0879,24850000,0.0932,0.1006,0.0857
2002-09-16,0.0892,0.0892,0.0853,0.0857,35126000,0.0929,0.101,0.0847
2002-09-17,0.0864,0.0864,0.0825,0.083,28630000,0.0921,0.101,0.0833
2002-09-18,0.0836,0.0841,0.0785,0.0788,15218000,0.0913,0.1019,0.0808
2002-09-19,0.0785,0.0786,0.0718,0.0724,49784000,0.0901,0.1033,0.0769
2002-09-20,0.0754,0.0768,0.07,0.0708,34846000,0.0887,0.1039,0.0735
2002-09-23,0.0714,0.0732,0.0706,0.0711,48398000,0.0873,0.1035,0.0711
2002-09-24,0.0711,0.0725,0.0689,0.0718,37478000,0.0861,0.103,0.0691
2002-09-25,0.0724,0.075,0.0708,0.0732,14574000,0.0854,0.1033,0.0674
2002-09-26,0.0749,0.0783,0.0729,0.0783,41622000,0.0849,0.1031,0.0668
2002-09-27,0.0776,0.0784,0.0712,0.072,51058000,0.084,0.1029,0.0652
2002-09-30,0.0707,0.0721,0.0689,0.0693,48370000,0.0828,0.1022,0.0634
2002-10-01,0.0709,0.071,0.0661,0.0679,38500000,0.0816,0.1015,0.0617
2002-10-02,0.0689,0.0689,0.0561,0.0579,93142000,0.0798,0.1016,0.058
2002-10-03,0.0569,0.057,0.0489,0.0518,97650000,0.0778,0.1022,0.0535
2002-10-04,0.0518,0.0531,0.0447,0.0469,84336000,0.0756,0.1027,0.0485
2002-10-07,0.045,0.0459,0.0382,0.0412,157248000,0.0732,0.1034,0.0429
2002-10-08,0.0411,0.0428,0.0391,0.0405,45318000,0.0705,0.1023,0.0386
2002-10-09,0.041,0.0411,0.0347,0.0373,59822000,0.0675,0.1002,0.0348
2002-10-10,0.0378,0.0525,0.0346,0.0506,135772000,0.0654,0.0967,0.0341
2002-10-11,0.0509,0.0529,0.0446,0.0471,132818000,0.0634,0.0938,0.0329
2002-10-14,0.0464,0.0535,0.0464,0.0534,52724000,0.0618,0.0906,0.0329
2002-10-15,0.0543,0.0586,0.0542,0.055,41258000,0.0604,0.0875,0.0332
2002-10-16,0.0529,0.0533,0.0443,0.0459,58002000,0.0587,0.0851,0.0323
2002-10-17,0.0472,0.0586,0.0471,0.055,74816000,0.0578,0.0835,0.0322
2002-10-18,0.0586,0.0736,0.0586,0.0683,249046000,0.0577,0.0831,0.0323
2002-10-21,0.0639,0.0664,0.0609,0.0636,96866000,0.0573,0.0821,0.0325
2002-10-22,0.0636,0.0644,0.0618,0.0625,42630000,0.0569,0.0809,0.0329
2002-10-23,0.0625,0.0625,0.0586,0.0589,35392000,0.0562,0.0789,0.0334
2002-10-24,0.0606,0.0606,0.0554,0.0579,24318000,0.0552,0.0754,0.0349
2002-10-25,0.058,0.0685,0.0568,0.0643,64470000,0.0548,0.074,0.0356
2002-10-28,0.0664,0.0707,0.065,0.0686,56476000,0.0547,0.0738,0.0356
2002-10-29,0.0675,0.0679,0.0633,0.0657,20048000,0.0546,0.0734,0.0358
2002-10-30,0.0664,0.0666,0.0636,0.0641,14238000,0.0549,0.0742,0.0357
2002-10-31,0.0636,0.0643,0.0624,0.0641,16590000,0.0556,0.0751,0.036
2002-11-01,0.0629,0.0643,0.0607,0.0639,21266000,0.0564,0.0759,0.0369
2002-11-04,0.0643,0.0703,0.0639,0.0671,35896000,0.0577,0.0764,0.039
2002-11-05,0.0672,0.0676,0.0651,0.0651,10458000,0.0589,0.076,0.0419
2002-11-06,0.0664,0.0664,0.0613,0.0629,70322000,0.0602,0.074,0.0465
2002-11-07,0.0632,0.0638,0.0593,0.0593,25858000,0.0606,0.0736,0.0476
2002-11-08,0.0605,0.0613,0.0554,0.0611,49224000,0.0613,0.0727,0.05
2002-11-11,0.0607,0.0607,0.0586,0.0601,3710000,0.0617,0.0724,0.051
2002-11-12,0.06,0.0614,0.0572,0.0578,21910000,0.0618,0.0722,0.0514
2002-11-13,0.0579,0.0643,0.0556,0.0641,32312000,0.0627,0.07,0.0554
2002-11-14,0.0643,0.0645,0.0619,0.0619,9310000,0.0631,0.0694,0.0567
2002-11-15,0.0642,0.0654,0.0589,0.065,20454000,0.0629,0.0688,0.057
2002-11-18,0.0649,0.0781,0.0625,0.0779,100618000,0.0636,0.0726,0.0547
2002-11-19,0.072,0.0721,0.0624,0.0664,281946000,0.0638,0.0728,0.0548
2002-11-20,0.0674,0.0728,0.0661,0.0717,100856000,0.0644,0.0738,0.0551
2002-11-21,0.0729,0.0786,0.0718,0.0786,105168000,0.0655,0.0763,0.0547
2002-11-22,0.0757,0.08,0.0752,0.0786,44926000,0.0662,0.0785,0.0539
2002-11-25,0.0793,0.0796,0.0754,0.0793,47712000,0.0667,0.0803,0.0532
2002-11-26,0.0771,0.0786,0.0749,0.0749,17710000,0.0672,0.0812,0.0532
2002-11-27,0.0761,0.0766,0.0744,0.0751,10696000,0.0677,0.0821,0.0534
2002-11-29,0.075,0.0795,0.0743,0.0775,9324000,0.0684,0.0833,0.0535
2002-12-02,0.0743,0.0796,0.0724,0.0761,20090000,0.069,0.0842,0.0539
2002-12-03,0.075,0.0789,0.0739,0.0771,11648000,0.0695,0.085,0.054
2002-12-04,0.0743,0.075,0.0696,0.071,24682000,0.0698,0.0852,0.0544
2002-12-05,0.0859,0.0864,0.077,0.0786,126322000,0.0706,0.0861,0.0551
2002-12-06,0.0785,0.0798,0.0738,0.0782,38836000,0.0715,0.0864,0.0567
2002-12-09,0.0796,0.08,0.0764,0.0799,40684000,0.0725,0.087,0.058
2002-12-10,0.08,0.0873,0.0799,0.0871,32368000,0.0738,0.0885,0.0592
2002-12-11,0.0854,0.0929,0.0841,0.0897,48958000,0.0754,0.0897,0.0612
2002-12-12,0.0906,0.0914,0.0886,0.0901,25340000,0.0767,0.0914,0.0621
2002-12-13,0.09,0.0914,0.0861,0.0893,13958000,0.0781,0.092,0.0642
2002-12-16,0.0899,0.0928,0.0868,0.0914,20986000,0.0794,0.0931,0.0658
2002-12-17,0.0914,0.0927,0.0893,0.0906,16800000,0.0801,0.0946,0.0656
2002-12-18,0.0896,0.0899,0.0764,0.0785,133784000,0.0807,0.0937,0.0676
2002-12-19,0.0771,0.0799,0.0759,0.0771,37814000,0.0809,0.0934,0.0685
2002-12-20,0.0764,0.0771,0.0729,0.0764,43848000,0.0808,0.0934,0.0683
2002-12-23,0.0739,0.0761,0.0728,0.0732,33110000,0.0806,0.0936,0.0676
2002-12-24,0.0729,0.0732,0.0699,0.0707,48958000,0.0801,0.0939,0.0664
2002-12-26,0.0702,0.0714,0.0684,0.0696,21224000,0.0799,0.0942,0.0655
2002-12-27,0.0693,0.0709,0.0686,0.0691,45920000,0.0796,0.0946,0.0646
2002-12-30,0.0704,0.0714,0.0686,0.0714,51982000,0.0793,0.0947,0.0638
2002-12-31,0.0713,0.08,0.0693,0.0786,113694000,0.0794,0.0947,0.064
2003-01-02,0.0846,0.09,0.0811,0.0818,83972000,0.0796,0.095,0.0643
2003-01-03,0.085,0.085,0.0771,0.0773,32480000,0.0799,0.0948,0.0651
2003-01-06,0.0786,0.08,0.0762,0.0793,30030000,0.08,0.0948,0.0651
2003-01-07,0.0771,0.0796,0.0771,0.0784,19376000,0.08,0.0948,0.0651
2003-01-08,0.0771,0.0857,0.0762,0.0815,53564000,0.0801,0.0949,0.0652
2003-01-09,0.0825,0.0846,0.0809,0.0839,53228000,0.0799,0.0945,0.0653
2003-01-10,0.0835,0.0907,0.0829,0.0886,54348000,0.0798,0.0943,0.0654
2003-01-13,0.0858,0.0884,0.0855,0.0867,44086000,0.0797,0.0937,0.0656
2003-01-14,0.0871,0.0882,0.0836,0.086,25494000,0.0795,0.0931,0.0659
2003-01-15,0.0849,0.0882,0.0848,0.0871,94304000,0.0793,0.0923,0.0663
2003-01-16,0.0907,0.0956,0.0857,0.0857,186536000,0.0791,0.0913,0.0668
2003-01-17,0.0843,0.085,0.0789,0.0817,53648000,0.0792,0.0915,0.0669
2003-01-21,0.0826,0.085,0.0793,0.0814,60816000,0.0794,0.0917,0.0671
2003-01-22,0.0813,0.0854,0.0806,0.0829,41734000,0.0797,0.092,0.0675
2003-01-23,0.0851,0.0906,0.0836,0.087,72198000,0.0804,0.0927,0.0681
2003-01-24,0.0875,0.0884,0.0846,0.0881,63532000,0.0813,0.0932,0.0695
2003-01-27,0.0864,0.0877,0.0836,0.0877,34398000,0.0822,0.093,0.0714
2003-01-28,0.0859,0.0918,0.0851,0.0896,49462000,0.0832,0.0926,0.0739
2003-01-29,0.09,0.09,0.0845,0.0881,29568000,0.0841,0.0918,0.0763
2003-01-30,0.0893,0.0911,0.0882,0.0902,37002000,0.0847,0.0924,0.0769
2003-01-31,0.0906,0.0946,0.089,0.0943,40194000,0.0853,0.094,0.0765
2003-02-03,0.0939,0.0941,0.0893,0.0914,28364000,0.086,0.0943,0.0777
2003-02-04,0.09,0.0911,0.0861,0.0879,20398000,0.0864,0.0941,0.0787
2003-02-05,0.0876,0.0886,0.0844,0.0853,34846000,0.0868,0.0935,0.08
2003-02-06,0.0854,0.0857,0.0824,0.0832,37352000,0.0868,0.0934,0.0803
2003-02-07,0.0843,0.0875,0.0835,0.087,50162000,0.087,0.0934,0.0806
2003-02-10,0.0874,0.0912,0.0868,0.0891,73052000,0.087,0.0934,0.0806
2003-02-11,0.0921,0.0936,0.0901,0.0927,47908000,0.0873,0.0942,0.0804
2003-02-12,0.0955,0.0957,0.0929,0.0949,56154000,0.0878,0.0954,0.0801
2003-02-13,0.0951,0.0951,0.0944,0.0944,60928000,0.0881,0.0963,0.08
2003-02-14,0.0952,0.102,0.0947,0.1017,84350000,0.0889,0.099,0.0788
2003-02-18,0.1022,0.1056,0.1003,0.1047,62678000,0.0901,0.1018,0.0784
2003-02-19,0.1059,0.1089,0.1049,0.1081,51184000,0.0914,0.1049,0.0779
2003-02-20,0.1106,0.1125,0.1074,0.1099,63392000,0.0928,0.108,0.0776
2003-02-21,0.11,0.11,0.1033,0.1064,62552000,0.0937,0.1099,0.0776
2003-02-24,0.1024,0.1042,0.1001,0.1003,123396000,0.0944,0.1105,0.0782
2003-02-25,0.0986,0.1061,0.0965,0.1046,46298000,0.0952,0.1116,0.0788
2003-02-26,0.1054,0.106,0.1006,0.1039,38780000,0.0959,0.1126,0.0792
2003-02-27,0.1059,0.1179,0.1055,0.1179,231196000,0.0974,0.1163,0.0785
2003-02-28,0.1188,0.1229,0.1164,0.1222,118790000,0.099,0.1206,0.0774
2003-03-03,0.1208,0.122,0.1125,0.114,157976000,0.1,0.1224,0.0775
2003-03-04,0.1142,0.1172,0.111,0.1168,55650000,0.1012,0.1245,0.078
2003-03-05,0.1169,0.1169,0.1126,0.1154,34986000,0.1026,0.1258,0.0794
2003-03-06,0.1165,0.1178,0.1143,0.1164,34552000,0.1042,0.1266,0.0817
2003-03-07,0.1141,0.1186,0.1125,0.1149,48538000,0.1058,0.1264,0.0851
2003-03-10,0.1141,0.1164,0.1122,0.1124,34244000,0.107,0.1258,0.0882
2003-03-11,0.1124,0.1125,0.1071,0.1107,55314000,0.1081,0.125,0.0913
2003-03-12,0.1104,0.1108,0.1064,0.1076,57512000,0.1089,0.1241,0.0937
2003-03-13,0.1097,0.1184,0.1089,0.1161,75600000,0.1099,0.1239,0.0959
2003-03-14,0.1186,0.1211,0.1171,0.1182,61292000,0.1111,0.1235,0.0987
2003-03-17,0.1184,0.1292,0.1119,0.1286,166166000,0.1125,0.1263,0.0986
2003-03-18,0.1321,0.137,0.1291,0.1339,210910000,0.1139,0.1303,0.0976
2003-03-19,0.1364,0.1399,0.1336,0.1374,160622000,0.1154,0.1346,0.0962
2003-03-20,0.1389,0.1406,0.1329,0.1345,146034000,0.1166,0.1374,0.0958
2003-03-21,0.1365,0.1401,0.1308,0.1325,81508000,0.1179,0.1393,0.0966
2003-03-24,0.1305,0.1329,0.1268,0.1286,89964000,0.1193,0.1395,0.0992
2003-03-25,0.1286,0.1392,0.1282,0.1375,126028000,0.121,0.1414,0.1005
2003-03-26,0.1386,0.1481,0.1375,0.1471,185808000,0.1231,0.1451,0.1012
2003-03-27,0.1464,0.1565,0.1443,0.1552,306320000,0.125,0.151,0.099
2003-03-28,0.1554,0.1595,0.1479,0.1504,261436000,0.1264,0.1548,0.098
2003-03-31,0.1442,0.1507,0.1436,0.1454,82838000,0.128,0.1569,0.099
2003-04-01,0.1464,0.147,0.1326,0.1354,170198000,0.1289,0.1575,0.1003
2003-04-02,0.1429,0.1472,0.1397,0.1417,227612000,0.1302,0.1586,0.1018
2003-04-03,0.1443,0.1446,0.1397,0.1429,80332000,0.1315,0.1597,0.1034
2003-04-04,0.144,0.1459,0.1389,0.1396,58842000,0.1328,0.16,0.1055
2003-04-07,0.1443,0.1518,0.1411,0.1425,103152000,0.1343,0.1601,0.1085
2003-04-08,0.1421,0.1471,0.1364,0.1441,62650000,0.136,0.1596,0.1124
2003-04-09,0.1482,0.1486,0.1429,0.1457,58646000,0.1379,0.1577,0.1181
2003-04-10,0.1464,0.1511,0.1436,0.1501,54194000,0.1396,0.1572,0.1219
2003-04-11,0.15,0.155,0.1475,0.1484,47908000,0.1411,0.156,0.1262
2003-04-14,0.1451,0.1479,0.1436,0.1443,53550000,0.1419,0.1556,0.1281
2003-04-15,0.1436,0.145,0.1409,0.1439,63112000,0.1424,0.1556,0.1291
2003-04-16,0.1449,0.1473,0.1436,0.1469,45332000,0.1428,0.156,0.1297
2003-04-17,0.1475,0.1571,0.1469,0.1569,134624000,0.144,0.1579,0.13
2003-04-21,0.1693,0.1764,0.1614,0.1759,485730000,0.1461,0.1652,0.1271
2003-04-22,0.1749,0.1749,0.1603,0.1641,305704000,0.1479,0.1667,0.1291
2003-04-23,0.1647,0.1649,0.1432,0.148,367878000,0.1484,0.1665,0.1303
2003-04-24,0.1467,0.1628,0.145,0.1573,357658000,0.1489,0.1675,0.1304
2003-04-25,0.1571,0.1586,0.1492,0.1511,149226000,0.1487,0.1671,0.1304
2003-04-28,0.15,0.1589,0.15,0.1583,227276000,0.1491,0.1679,0.1303
2003-04-29,0.1579,0.1643,0.1579,0.1629,201292000,0.15,0.1697,0.1303
2003-04-30,0.1635,0.1663,0.1554,0.1629,110712000,0.1514,0.1706,0.1322
2003-05-01,0.1619,0.1631,0.1596,0.1607,149842000,0.1523,0.1714,0.1332
2003-05-02,0.1604,0.1643,0.16,0.1616,123340000,0.1533,0.1722,0.1343
2003-05-05,0.1601,0.1742,0.1601,0.1669,144494000,0.1546,0.1734,0.1358
2003-05-06,0.1669,0.1728,0.1636,0.1659,149646000,0.1558,0.1743,0.1373
2003-05-07,0.1659,0.17,0.1632,0.1688,134736000,0.157,0.1755,0.1385
2003-05-08,0.1665,0.1672,0.1626,0.1634,100464000,0.1579,0.1758,0.14
2003-05-09,0.1636,0.165,0.1593,0.1616,59262000,0.1585,0.1761,0.1409
2003-05-12,0.1635,0.1711,0.1621,0.1681,117880000,0.1595,0.1769,0.142
2003-05-13,0.1693,0.1804,0.1682,0.1796,182070000,0.1612,0.1793,0.1431
2003-05-14,0.1849,0.1852,0.1737,0.1749,191170000,0.1628,0.1799,0.1456
2003-05-15,0.1756,0.1784,0.1725,0.1747,106848000,0.1642,0.1804,0.148
2003-05-16,0.1751,0.1757,0.1643,0.1699,129668000,0.1648,0.1808,0.1488
