Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
1980-12-02,0.1228,0.1254,0.1228,0.1228,100710400,0.1228,,
1980-12-03,0.1214,0.1214,0.1201,0.1201,25177600,0.1214,0.1252,0.1176
1980-12-04,0.1241,0.1254,0.1241,0.1241,22694400,0.1223,0.1264,0.1182
1980-12-05,0.1201,0.1201,0.1174,0.1174,7590400,0.1211,0.127,0.1152
1980-12-08,0.1121,0.1121,0.1107,0.1107,5414400,0.119,0.1296,0.1084
1980-12-09,0.1107,0.1107,0.1081,0.1081,5824000,0.1172,0.1302,0.1042
1980-12-10,0.1054,0.1054,0.1014,0.1014,5875200,0.1149,0.1318,0.0981
1980-12-11,0.0987,0.0987,0.0961,0.0961,5440000,0.1126,0.1331,0.0921
1980-12-12,0.1001,0.1014,0.1001,0.1001,8153600,0.1112,0.1321,0.0903
1980-12-15,0.1041,0.1054,0.1041,0.1041,6643200,0.1105,0.1307,0.0902
1980-12-16,0.1041,0.1041,0.1014,0.1014,6630400,0.1097,0.1296,0.0897
1980-12-17,0.1001,0.1001,0.0974,0.0974,4672000,0.1086,0.1289,0.0883
1980-12-18,0.1001,0.1027,0.1001,0.1001,11251200,0.108,0.128,0.088
1980-12-19,0.1041,0.1054,0.1041,0.1041,10035200,0.1077,0.127,0.0884
1980-12-22,0.1041,0.1067,0.1041,0.1041,1856000,0.1075,0.1262,0.0887
1980-12-23,0.1067,0.1094,0.1067,0.1067,5696000,0.1074,0.1255,0.0893
1980-12-24,0.1107,0.1134,0.1107,0.1107,2444800,0.1076,0.1252,0.09
1980-12-26,0.1121,0.1148,0.1121,0.1121,1459200,0.1079,0.1251,0.0907
1980-12-29,0.1121,0.1134,0.1107,0.1107,1740800,0.108,0.1248,0.0912
1980-12-30,0.1134,0.1148,0.1134,0.1134,4364800,0.1083,0.1248,0.0918
1980-12-31,0.1134,0.1148,0.1121,0.1121,2918400,0.1077,0.1229,0.0926
1981-01-02,0.1148,0.1174,0.1148,0.1148,1574400,0.1075,0.1219,0.0931
1981-01-05,0.1194,0.1214,0.1194,0.1194,5824000,0.1072,0.1207,0.0938
1981-01-06,0.1201,0.1214,0.1201,0.1201,6950400,0.1074,0.1213,0.0935
1981-01-07,0.1148,0.1148,0.1134,0.1134,8806400,0.1075,0.1216,0.0934
1981-01-08,0.1121,0.1121,0.1107,0.1107,3302400,0.1076,0.1218,0.0935
1981-01-09,0.1107,0.1121,0.1094,0.1094,2470400,0.108,0.1219,0.0942
1981-01-12,0.1107,0.1134,0.1107,0.1107,3353600,0.1088,0.1215,0.0961
1981-01-13,0.1134,0.1161,0.1134,0.1134,4467200,0.1094,0.1216,0.0973
1981-01-14,0.1174,0.1201,0.1174,0.1174,7923200,0.1101,0.1225,0.0978
1981-01-15,0.1174,0.1188,0.1174,0.1174,2521600,0.1109,0.123,0.0989
1981-01-16,0.1174,0.1201,0.1174,0.1174,3328000,0.1119,0.1225,0.1013
1981-01-19,0.1174,0.1188,0.1174,0.1174,4032000,0.1128,0.122,0.1035
1981-01-20,0.1161,0.1161,0.1134,0.1134,3507200,0.1132,0.1215,0.105
1981-01-21,0.1134,0.1148,0.1121,0.1121,985600,0.1137,0.1208,0.1065
1981-01-22,0.1107,0.1107,0.1067,0.1067,1318400,0.1137,0.1208,0.1065
1981-01-23,0.1094,0.1121,0.1094,0.1094,1382400,0.1136,0.1208,0.1063
1981-01-26,0.1094,0.1094,0.1067,0.1067,1126400,0.1133,0.1212,0.1055
1981-01-27,0.1067,0.1081,0.1067,0.1067,857600,0.1131,0.1214,0.1048
1981-01-28,0.1067,0.1081,0.1067,0.1067,1164800,0.1128,0.1216,0.104
1981-01-29,0.1067,0.1094,0.1067,0.1067,2521600,0.1125,0.1217,0.1033
1981-01-30,0.1054,0.1054,0.1027,0.1027,832000,0.1119,0.122,0.1018
1981-02-02,0.1027,0.1027,0.1001,0.1001,2060800,0.1109,0.1217,0.1002
1981-02-03,0.1001,0.1027,0.1001,0.1001,1139200,0.1099,0.1208,0.0991
