Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
1999-01-22,0.0401,0.0448,0.0356,0.0376,2714688000,0.0376,,
1999-01-25,0.0406,0.042,0.0376,0.0415,510480000,0.0396,0.0451,0.034
1999-01-26,0.042,0.0429,0.0377,0.0383,343200000,0.0392,0.0434,0.035
1999-01-27,0.0384,0.0394,0.0363,0.0382,244368000,0.0389,0.0425,0.0354
1999-01-28,0.0382,0.0384,0.0378,0.0381,227520000,0.0387,0.0419,0.0356
1999-01-29,0.0381,0.0382,0.0363,0.0363,244032000,0.0383,0.0418,0.0349
1999-02-01,0.0363,0.0372,0.0363,0.037,154704000,0.0381,0.0415,0.0348
1999-02-02,0.0363,0.0372,0.0331,0.0341,264096000,0.0376,0.0418,0.0335
1999-02-03,0.0337,0.0353,0.0334,0.0349,75120000,0.0373,0.0417,0.033
1999-02-04,0.0353,0.0377,0.0349,0.0368,181920000,0.0373,0.0414,0.0332
1999-02-05,0.0374,0.0382,0.0364,0.0378,136848000,0.0373,0.0412,0.0334
1999-02-08,0.0381,0.0382,0.0365,0.0365,154080000,0.0373,0.041,0.0335
1999-02-09,0.0372,0.0375,0.0346,0.0351,86976000,0.0371,0.0409,0.0333
1999-02-10,0.0351,0.0361,0.0341,0.0347,148224000,0.0369,0.0408,0.0331
1999-02-11,0.0349,0.0392,0.0349,0.0377,132240000,0.037,0.0407,0.0332
1999-02-12,0.0382,0.0401,0.0382,0.0399,109728000,0.0372,0.0411,0.0333
1999-02-16,0.0406,0.0423,0.0361,0.0401,211008000,0.0373,0.0414,0.0333
1999-02-17,0.0392,0.0396,0.0372,0.038,67728000,0.0374,0.0413,0.0335
1999-02-18,0.0392,0.0396,0.0375,0.0386,70704000,0.0374,0.0413,0.0336
1999-02-19,0.0382,0.0406,0.0377,0.0399,75360000,0.0376,0.0415,0.0337
1999-02-22,0.0406,0.0411,0.038,0.0401,205248000,0.0377,0.0417,0.0336
1999-02-23,0.0411,0.0429,0.0387,0.042,138096000,0.0377,0.0419,0.0335
1999-02-24,0.0482,0.0501,0.0443,0.0454,612768000,0.0381,0.0434,0.0327
1999-02-25,0.0473,0.0487,0.0432,0.0439,149136000,0.0383,0.0443,0.0323
1999-02-26,0.0444,0.0458,0.0415,0.0419,172608000,0.0385,0.0447,0.0323
1999-03-01,0.043,0.0439,0.0401,0.0421,92160000,0.0388,0.0451,0.0325
1999-03-02,0.042,0.0423,0.0411,0.0418,55248000,0.0391,0.0454,0.0327
