Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
1994-10-18,1.1405,1.1494,1.1227,1.1405,418166,1.1405,,
1994-10-19,1.1494,1.2474,1.1494,1.2385,249950,1.1895,1.3281,1.0509
1994-10-20,1.2563,1.292,1.2474,1.2474,141590,1.2088,1.3275,1.0902
1994-10-21,1.2474,1.2563,1.2207,1.2296,68731,1.214,1.3131,1.1149
1994-10-24,1.2296,1.2563,1.2029,1.2029,75749,1.2118,1.2982,1.1254
1994-10-25,1.194,1.2296,1.1761,1.2207,65222,1.2133,1.2909,1.1357
1994-10-26,1.2135,1.2315,1.2135,1.2135,47678,1.2133,1.2841,1.1424
1994-10-27,1.2135,1.2315,1.2135,1.2135,34882,1.2133,1.2789,1.1477
1994-10-28,1.2135,1.2225,1.1955,1.1955,41280,1.2113,1.2738,1.1488
1994-10-31,1.2045,1.2135,1.1955,1.1955,33850,1.2098,1.2695,1.15
1994-11-01,1.1955,1.2045,1.1865,1.1955,34056,1.2085,1.2658,1.1511
1994-11-02,1.1955,1.2045,1.1596,1.1865,75542,1.2066,1.2628,1.1505
1994-11-03,1.1955,1.2045,1.1775,1.1775,56554,1.2044,1.2605,1.1483
1994-11-04,1.1775,1.1865,1.1506,1.1506,67699,1.2006,1.2617,1.1395
1994-11-07,1.1506,1.1685,1.1506,1.1506,73478,1.1972,1.2615,1.1329
1994-11-08,1.1506,1.1686,1.1506,1.1686,106296,1.1954,1.2592,1.1317
1994-11-09,1.1596,1.1775,1.1596,1.1596,61920,1.1933,1.2574,1.1292
1994-11-10,1.1506,1.1775,1.1236,1.1326,76574,1.1899,1.2584,1.1215
1994-11-11,1.1416,1.1416,1.0966,1.1236,80909,1.1865,1.2596,1.1133
1994-11-14,1.1146,1.1416,1.0966,1.1326,65842,1.1838,1.2589,1.1086
1994-11-15,1.1056,1.1326,1.0966,1.1056,70382,1.182,1.2628,1.1012
1994-11-16,1.1056,1.1236,1.0966,1.1146,85862,1.1758,1.2574,1.0942
1994-11-17,1.0966,1.1236,1.0966,1.1236,99485,1.1696,1.247,1.0922
1994-11-18,1.1146,1.1146,1.0966,1.0966,113933,1.163,1.2415,1.0845
1994-11-21,1.1146,1.1326,1.0966,1.1146,136843,1.1586,1.2376,1.0796
1994-11-22,1.1056,1.1236,1.1056,1.1146,93086,1.1533,1.2289,1.0776
1994-11-23,1.1056,1.1236,1.1056,1.1236,48504,1.1488,1.2199,1.0777
1994-11-25,1.1073,1.1345,1.1073,1.1345,33850,1.1448,1.2093,1.0804
1994-11-28,1.1345,1.1526,1.1254,1.1526,68525,1.1427,1.2027,1.0827
1994-11-29,1.1526,1.1617,1.1436,1.1436,48091,1.1401,1.1947,1.0854
1994-11-30,1.1526,1.1708,1.1436,1.1617,72653,1.1384,1.1877,1.0891
1994-12-01,1.1617,1.1708,1.1526,1.1708,68731,1.1376,1.1841,1.0912
1994-12-02,1.1617,1.1708,1.1526,1.1526,31579,1.1364,1.1795,1.0932
1994-12-05,1.1436,1.1617,1.1436,1.1526,45614,1.1365,1.1798,1.0931
1994-12-06,1.1436,1.1526,1.1345,1.1526,43344,1.1366,1.18,1.0931
1994-12-07,1.1345,1.1526,1.1345,1.1526,34056,1.1358,1.1773,1.0942
1994-12-08,1.1436,1.1617,1.1436,1.1436,38597,1.135,1.1752,1.0948
1994-12-09,1.1345,1.1526,1.1345,1.1436,72653,1.1355,1.1759,1.0951
1994-12-12,1.1526,1.1617,1.1436,1.1436,31992,1.1365,1.1766,1.0964
1994-12-13,1.1526,1.1526,1.1436,1.1436,69350,1.1371,1.1773,1.0969
1994-12-14,1.1526,1.1617,1.1345,1.1617,112901,1.1399,1.1786,1.1011
1994-12-15,1.1617,1.1799,1.1526,1.1617,44170,1.1422,1.1803,1.1042
1994-12-16,1.1799,1.2253,1.1708,1.198,83386,1.146,1.1903,1.1016
1994-12-19,1.2071,1.2343,1.198,1.2162,79051,1.1519,1.2004,1.1035
1994-12-20,1.198,1.2162,1.1799,1.2162,57586,1.157,1.21,1.104
1994-12-21,1.2071,1.2253,1.2071,1.2162,55109,1.1621,1.2174,1.1067
1994-12-22,1.2162,1.2253,1.2071,1.2162,59443,1.1667,1.224,1.1095
1994-12-23,1.2162,1.2253,1.2071,1.2071,45408,1.1703,1.2282,1.1125
1994-12-27,1.2089,1.2364,1.1906,1.1998,47059,1.1727,1.2313,1.1141
1994-12-28,1.2089,1.2181,1.1998,1.2181,42106,1.1764,1.2367,1.1161
1994-12-29,1.2089,1.2089,1.1998,1.2089,65222,1.1788,1.2403,1.1172
1994-12-30,1.2089,1.2547,1.1998,1.2547,106296,1.183,1.2531,1.1129
1995-01-03,1.2364,1.2456,1.2273,1.2364,47266,1.1872,1.2596,1.1147
1995-01-04,1.2273,1.2364,1.2089,1.2089,21878,1.19,1.2612,1.1188
1995-01-05,1.2089,1.2273,1.1998,1.2181,16099,1.1933,1.2632,1.1233
