Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
2012-07-20,9.1917,10.345,8.85,8.855,42096600,8.855,,
2012-07-23,8.7667,9.0,8.5167,8.585,4730400,8.72,9.1018,8.3382
2012-07-24,8.6667,9.3333,8.5867,9.25,4300800,8.8967,9.5656,8.2278
2012-07-25,9.4167,9.8333,9.2167,9.825,3598200,9.1287,10.2058,8.0517
2012-07-26,9.9633,10.3083,9.68,9.98,2566800,9.299,10.5031,8.0949
2012-07-27,10.1467,10.1467,9.5,9.5,920400,9.3325,10.4219,8.2431
2012-07-30,9.4767,9.4767,8.9867,9.1667,1658400,9.3088,10.3111,8.3065
2012-07-31,9.1667,9.5233,8.7017,9.5233,1712400,9.3356,10.2759,8.3953
2012-08-01,9.7867,9.7867,9.19,9.3633,665400,9.3387,10.2185,8.4589
2012-08-02,9.28,10.0,8.8783,9.1833,996000,9.3232,10.1584,8.4879
2012-08-03,9.4417,9.4833,9.0417,9.1317,1745400,9.3058,10.1065,8.505
2012-08-06,9.2833,9.32,8.9467,9.13,937800,9.2911,10.0613,8.5209
2012-08-07,9.1667,9.5733,9.0867,9.4667,2194800,9.3046,10.0484,8.5608
2012-08-08,9.3667,10.1667,9.3117,10.155,3023400,9.3654,10.2123,8.5184
2012-08-09,10.1667,10.41,9.9767,10.2217,1756200,9.4224,10.3507,8.4942
2012-08-10,10.1667,10.6617,10.0817,10.22,1710600,9.4723,10.4537,8.4909
2012-08-13,10.1833,10.5133,10.0,10.4533,1332000,9.53,10.5928,8.4672
2012-08-14,10.6883,10.7267,9.8883,9.9667,2842200,9.5543,10.6056,8.5029
2012-08-15,9.9333,10.4833,9.6167,10.455,1522800,9.6017,10.7038,8.4995
2012-08-16,10.5833,11.1517,10.3117,11.0833,2230800,9.6757,10.9367,8.4148
2012-08-17,11.1833,11.4167,10.8067,11.215,2307600,9.7938,11.1679,8.4196
2012-08-20,11.13,11.1917,10.8283,10.9117,1620000,9.9101,11.2468,8.5734
2012-08-21,10.9133,11.0717,10.5467,10.72,1485600,9.9836,11.3291,8.6381
2012-08-22,10.8433,10.8617,10.52,10.5417,747600,10.0194,11.3852,8.6537
2012-08-23,10.5333,10.8133,10.4167,10.69,1291800,10.0549,11.4529,8.6569
2012-08-24,10.575,10.9617,10.5417,10.795,1217400,10.1197,11.5293,8.71
2012-08-27,10.8417,10.9733,10.4367,10.615,1062000,10.1921,11.5432,8.841
2012-08-28,10.6167,10.735,10.485,10.65,625200,10.2484,11.5759,8.921
2012-08-29,10.7033,10.85,10.5167,10.7883,972000,10.3197,11.5992,9.0401
2012-08-30,10.785,11.1117,10.545,10.5717,1379400,10.3891,11.5546,9.2235
2012-08-31,10.7467,10.7633,10.5167,10.73,553800,10.469,11.4805,9.4575
2012-09-04,10.8833,11.7133,10.65,11.7017,4606800,10.5976,11.5442,9.651
2012-09-05,12.1017,12.1017,11.52,11.6667,2838000,10.7076,11.6111,9.804
2012-09-06,11.785,12.0,11.73,11.9017,1348800,10.7949,11.805,9.7849
2012-09-07,12.0267,12.0367,11.56,11.79,3539400,10.8733,11.938,9.8086
2012-09-10,11.9183,12.1,11.855,11.9583,8309400,10.9602,12.0826,9.8379
2012-09-11,11.125,11.6233,10.7217,11.1,18154800,10.9926,12.0905,9.8947
2012-09-12,11.28,11.375,10.7917,10.81,4134600,11.0347,12.0264,10.0431
2012-09-13,10.7917,11.3717,10.7917,11.33,4605000,11.0785,12.0391,10.1179
2012-09-14,11.4317,11.495,11.1467,11.165,2548200,11.0826,12.044,10.1212
2012-09-17,11.12,11.33,11.0967,11.3183,890400,11.0877,12.0533,10.1222
2012-09-18,11.1683,11.7217,11.1683,11.53,2595000,11.1187,12.0999,10.1374
2012-09-19,11.4933,11.4967,11.25,11.3333,2349000,11.1493,12.1164,10.1823
2012-09-20,11.115,11.235,10.7733,10.8417,1551000,11.1643,12.1005,10.2282
2012-09-21,10.9083,10.9167,10.3733,10.67,3152400,11.1633,12.1017,10.225
2012-09-24,10.6633,10.8083,10.4017,10.7767,1828200,11.1624,12.1023,10.2225
2012-09-25,10.9,11.0917,10.69,10.695,2271600,11.1664,12.0971,10.2357
2012-09-26,10.6617,10.6617,10.425,10.5417,2356200,11.161,12.1055,10.2165
2012-09-27,10.6667,10.8717,10.5617,10.845,2256600,11.1638,12.104,10.2237
2012-09-28,10.8333,10.885,10.2117,10.2617,6390000,11.1483,12.1385,10.1582
2012-10-01,10.2683,10.5317,10.04,10.1,2383200,11.1168,12.1988,10.0348
2012-10-02,10.275,10.4,9.9967,10.3333,2213400,11.0484,12.1476,9.9492
2012-10-03,10.475,11.0367,10.3583,10.9767,4986600,11.0139,12.074,9.9538
2012-10-04,10.97,10.995,10.7583,10.96,1057800,10.9668,11.9411,9.9926
2012-10-05,10.875,10.9367,10.1467,10.3333,4583400,10.894,11.826,9.962
2012-10-08,10.3933,10.4733,10.2417,10.345,1182000,10.8133,11.6296,9.9971
2012-10-09,10.195,10.4817,10.1633,10.3267,1482000,10.7747,11.6069,9.9425
2012-10-10,10.2667,10.5833,10.2333,10.24,3275400,10.7462,11.6116,9.8807
2012-10-11,10.3433,10.41,10.125,10.16,1774800,10.6877,11.5451,9.8302
2012-10-12,10.4167,10.525,10.18,10.4933,1922400,10.6541,11.485,9.8232
2012-10-15,10.5183,10.9667,10.4867,10.925,1770000,10.6344,11.4163,9.8525
2012-10-16,10.9817,10.9933,10.7167,10.9283,1565400,10.6043,11.2803,9.9284
2012-10-17,10.8717,11.1667,10.7517,10.9167,4473600,10.5835,11.1866,9.9804
2012-10-18,10.68,10.68,10.2817,10.3167,24424800,10.5573,11.1587,9.9558
2012-10-19,10.3067,10.465,9.8333,10.0033,5164800,10.5239,11.1712,9.8766
2012-10-22,10.02,10.1833,10.0,10.0,3094200,10.4851,11.1611,9.8091
2012-10-23,10.0,10.025,9.5883,9.9583,5323200,10.4483,11.1557,9.7408
2012-10-24,10.0833,10.09,9.815,9.9583,2004600,10.4191,11.1577,9.6805
2012-10-25,10.02,10.02,9.6167,9.675,2665200,10.3606,11.1413,9.5799
2012-10-26,9.775,9.775,9.3667,9.3833,5200200,10.3167,11.2113,9.422
2012-10-31,9.4,9.5317,9.0,9.1633,6797400,10.2698,11.3,9.2396
2012-11-01,9.2917,9.505,9.075,9.365,4828800,10.2214,11.3273,9.1155
2012-11-02,9.4083,9.4583,9.045,9.1,2953200,10.1276,11.2811,8.9741
2012-11-05,9.1667,9.4517,9.0567,9.3,3885000,10.0446,11.1847,8.9045
2012-11-06,9.3,9.4367,9.0833,9.2367,2161200,9.9897,11.1759,8.8036
2012-11-07,9.14,9.215,8.975,8.9833,909000,9.9217,11.1763,8.667
2012-11-08,8.9767,9.1433,8.605,8.66,3613800,9.8383,11.1968,8.4798
2012-11-09,8.6167,8.89,8.5867,8.6667,1946400,9.7597,11.2,8.3193
2012-11-12,8.67,8.81,8.625,8.7167,1360800,9.6875,11.1868,8.1882
2012-11-13,8.7917,8.9483,8.7617,8.865,2869800,9.6061,11.098,8.1142
2012-11-14,9.0,9.03,8.5833,8.7317,2221200,9.4964,10.8999,8.0929
2012-11-15,8.9967,8.9967,8.425,8.5667,1357200,9.3783,10.6673,8.0894
2012-11-16,8.4517,8.9483,8.335,8.875,4039200,9.2762,10.3591,8.1934
2012-11-19,8.9617,9.335,8.9617,9.335,3178800,9.2272,10.1943,8.26
