Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
1972-06-01,0.1438,0.146,0.1438,0.146,2458771,0.146,,
1972-06-02,0.146,0.1464,0.1438,0.1442,1613885,0.1451,0.1476,0.1426
1972-06-05,0.1442,0.1447,0.1429,0.1438,2585251,0.1447,0.147,0.1423
1972-06-06,0.1438,0.1478,0.1433,0.1469,2347469,0.1452,0.1481,0.1423
1972-06-07,0.1469,0.1469,0.1447,0.1469,1032077,0.1455,0.1485,0.1426
1972-06-08,0.1469,0.1473,0.146,0.146,1067491,0.1456,0.1483,0.143
1972-06-09,0.146,0.1473,0.146,0.1469,1563293,0.1458,0.1484,0.1432
1972-06-12,0.1469,0.1495,0.1469,0.1473,1942733,0.146,0.1486,0.1434
1972-06-13,0.1473,0.1495,0.1464,0.1486,2175456,0.1463,0.1493,0.1433
1972-06-14,0.1486,0.1495,0.1478,0.1486,2069213,0.1465,0.1497,0.1433
1972-06-15,0.1486,0.15,0.1469,0.1469,2726909,0.1466,0.1496,0.1435
1972-06-16,0.1469,0.1495,0.1451,0.1495,2398061,0.1468,0.1502,0.1434
1972-06-19,0.1495,0.1513,0.1491,0.1513,1694832,0.1471,0.1512,0.1431
1972-06-20,0.1513,0.1522,0.1504,0.1522,2332291,0.1475,0.1523,0.1427
1972-06-21,0.1522,0.1531,0.1504,0.1504,2038858,0.1477,0.1525,0.1429
1972-06-22,0.1504,0.1517,0.1491,0.1509,2438534,0.1479,0.1528,0.143
1972-06-23,0.1509,0.1513,0.1469,0.1504,1482346,0.148,0.153,0.1431
1972-06-26,0.1504,0.1504,0.1469,0.1486,1618944,0.1481,0.1529,0.1433
1972-06-27,0.1486,0.15,0.1469,0.1486,2048976,0.1481,0.1528,0.1435
1972-06-28,0.1482,0.1482,0.1464,0.1473,1315392,0.1481,0.1526,0.1435
1972-06-29,0.1473,0.1495,0.1464,0.1495,1118083,0.1482,0.1527,0.1438
1972-06-30,0.1495,0.1522,0.1491,0.15,2924218,0.1485,0.1527,0.1444
1972-07-03,0.15,0.1513,0.1486,0.1504,824650,0.1489,0.1524,0.1453
1972-07-05,0.1513,0.1548,0.1513,0.1531,2903981,0.1492,0.153,0.1453
1972-07-06,0.1544,0.1566,0.1544,0.1562,3895584,0.1496,0.1545,0.1448
1972-07-07,0.1562,0.1584,0.1553,0.1584,2119805,0.1503,0.1562,0.1444
1972-07-10,0.1584,0.1606,0.1579,0.1588,3091171,0.1509,0.1577,0.144
1972-07-11,0.1588,0.1606,0.1588,0.1588,2185574,0.1514,0.1589,0.144
1972-07-12,0.1588,0.1606,0.1584,0.1593,2696554,0.152,0.1601,0.1439
1972-07-13,0.1584,0.1584,0.154,0.1548,1113024,0.1523,0.1603,0.1442
1972-07-14,0.1548,0.1593,0.1544,0.1584,1583530,0.1528,0.1609,0.1448
1972-07-17,0.1584,0.1593,0.1544,0.1571,819590,0.1532,0.1613,0.1451
1972-07-18,0.1566,0.1566,0.1509,0.1553,1527878,0.1534,0.1615,0.1453
1972-07-19,0.1553,0.1575,0.154,0.1562,2145101,0.1536,0.1618,0.1454
1972-07-20,0.1562,0.1571,0.1535,0.154,1492464,0.1538,0.1618,0.1458
1972-07-21,0.154,0.1548,0.1522,0.1548,956189,0.154,0.1619,0.1461
1972-07-24,0.1548,0.1548,0.1495,0.1513,9733901,0.154,0.1619,0.1462
1972-07-25,0.1517,0.1553,0.1517,0.154,2696554,0.1543,0.1617,0.1469
1972-07-26,0.154,0.1548,0.1531,0.1531,1355866,0.1545,0.1615,0.1476
1972-07-27,0.1531,0.1535,0.1522,0.1522,1133261,0.1548,0.161,0.1486
1972-07-28,0.1526,0.1535,0.1526,0.1535,1128202,0.155,0.1607,0.1492
1972-07-31,0.1535,0.1535,0.1522,0.1522,2043917,0.1551,0.1605,0.1497
1972-08-01,0.1522,0.1557,0.1522,0.1553,1806134,0.1553,0.1603,0.1504
1972-08-02,0.1557,0.1579,0.1557,0.1575,3020342,0.1555,0.1605,0.1506
1972-08-03,0.1575,0.1579,0.1544,0.1553,1305274,0.1555,0.1604,0.1506
1972-08-04,0.1553,0.1571,0.154,0.1562,2145101,0.1554,0.1601,0.1507
1972-08-07,0.1562,0.1566,0.1544,0.1566,1962970,0.1553,0.1598,0.1508
1972-08-08,0.1566,0.1575,0.1557,0.1566,2403120,0.1552,0.1594,0.1509
1972-08-09,0.1566,0.1571,0.1557,0.1571,2479008,0.1551,0.1589,0.1512
1972-08-10,0.1571,0.1588,0.1562,0.1588,1163616,0.1553,0.1595,0.151
1972-08-11,0.1588,0.1619,0.1579,0.1619,3162000,0.1554,0.1604,0.1504
1972-08-14,0.1619,0.1628,0.1606,0.1619,3313776,0.1557,0.1614,0.1499
1972-08-15,0.1619,0.1619,0.1601,0.161,1254682,0.156,0.1622,0.1497
1972-08-16,0.161,0.1619,0.1588,0.1601,1532938,0.1562,0.1627,0.1497
1972-08-17,0.1601,0.1624,0.1597,0.1606,2726909,0.1565,0.1632,0.1498
1972-08-18,0.1601,0.1601,0.1575,0.1575,3050698,0.1566,0.1633,0.15
1972-08-21,0.1575,0.1584,0.1553,0.1575,1295155,0.1569,0.1631,0.1508
1972-08-22,0.1575,0.1593,0.1557,0.1566,1431754,0.1571,0.1631,0.151
1972-08-23,0.1566,0.1584,0.1544,0.1557,1654358,0.1572,0.163,0.1514
1972-08-24,0.1557,0.1562,0.1522,0.1548,2155219,0.1573,0.1627,0.152
1972-08-25,0.1548,0.1557,0.1522,0.1531,2823034,0.1573,0.1628,0.1519
1972-08-28,0.1531,0.1544,0.1517,0.1526,1436813,0.1573,0.1627,0.152
1972-08-29,0.1532,0.155,0.1523,0.1541,2140042,0.1573,0.1628,0.1518
1972-08-30,0.1541,0.1541,0.1523,0.1532,2231107,0.1571,0.1629,0.1513
1972-08-31,0.1532,0.1536,0.151,0.1519,2190634,0.1569,0.1631,0.1507
1972-09-01,0.1519,0.1523,0.1501,0.1523,4877069,0.1567,0.1632,0.1502
1972-09-05,0.1523,0.1528,0.1514,0.1528,991603,0.1565,0.1633,0.1497
1972-09-06,0.1523,0.1523,0.1479,0.1488,1917437,0.1561,0.1637,0.1485
1972-09-07,0.1488,0.1492,0.1439,0.1443,3075994,0.1555,0.1647,0.1463
1972-09-08,0.1443,0.1479,0.1443,0.1465,1780838,0.1549,0.1648,0.145
1972-09-11,0.1465,0.147,0.1448,0.1456,1391280,0.1541,0.1642,0.1439
1972-09-12,0.1456,0.147,0.1434,0.1434,1492464,0.1531,0.1636,0.1427
1972-09-13,0.1434,0.1456,0.1425,0.1452,4275024,0.1523,0.1627,0.142
1972-09-14,0.1452,0.147,0.143,0.1439,2069213,0.1515,0.1618,0.1412
1972-09-15,0.1443,0.1465,0.1443,0.1461,1158557,0.1508,0.1605,0.1411
1972-09-18,0.1461,0.1483,0.1448,0.1465,728525,0.1502,0.1595,0.141
1972-09-19,0.1465,0.1496,0.1456,0.1483,849946,0.1498,0.1585,0.1411
1972-09-20,0.1483,0.1501,0.1465,0.1479,1158557,0.1494,0.1574,0.1413
1972-09-21,0.1479,0.1496,0.1474,0.1483,1340688,0.149,0.1565,0.1415
1972-09-22,0.1483,0.1492,0.1465,0.147,1290096,0.1486,0.1556,0.1416
1972-09-25,0.147,0.147,0.1439,0.1456,6799565,0.1482,0.155,0.1414
1972-09-26,0.1456,0.1483,0.1448,0.1483,2018621,0.148,0.1545,0.1415
1972-09-27,0.1492,0.1519,0.1492,0.1519,2038858,0.1479,0.154,0.1418
1972-09-28,0.1519,0.1528,0.1496,0.1528,5752310,0.1479,0.1539,0.1418
1972-09-29,0.1528,0.1528,0.151,0.1523,2276640,0.1479,0.154,0.1418
1972-10-02,0.1514,0.1514,0.1501,0.1501,2590310,0.1478,0.1536,0.1419
1972-10-03,0.1496,0.1496,0.147,0.147,784176,0.1475,0.1529,0.1421
1972-10-04,0.147,0.1496,0.1461,0.147,1922496,0.1474,0.1527,0.1421
1972-10-05,0.1448,0.1448,0.1408,0.1417,8261674,0.1473,0.153,0.1415
1972-10-06,0.1417,0.1448,0.1412,0.1443,2403120,0.1472,0.1531,0.1412
1972-10-09,0.1443,0.1448,0.1434,0.1434,986544,0.147,0.1532,0.1409
1972-10-10,0.1434,0.1465,0.143,0.1448,1411517,0.1471,0.1531,0.1411
1972-10-11,0.1448,0.1461,0.1425,0.1443,2048976,0.1471,0.1531,0.141
1972-10-12,0.1443,0.1443,0.1421,0.143,3232829,0.147,0.1532,0.1409
1972-10-13,0.143,0.143,0.1408,0.1412,3020342,0.1468,0.1535,0.1401
1972-10-16,0.1412,0.1425,0.1399,0.1403,1826371,0.1465,0.1537,0.1392
1972-10-17,0.1403,0.1417,0.1403,0.1417,2838211,0.1461,0.1537,0.1386
1972-10-18,0.1417,0.1439,0.1385,0.1399,4077715,0.1457,0.1537,0.1378
1972-10-19,0.1399,0.1412,0.139,0.1412,1588589,0.1454,0.1535,0.1373
1972-10-20,0.1412,0.1452,0.1399,0.1448,1239504,0.1453,0.1534,0.1372
1972-10-23,0.1456,0.1483,0.1456,0.1479,1269859,0.1454,0.1536,0.1372
1972-10-24,0.1479,0.1488,0.147,0.1483,3526262,0.1454,0.1536,0.1372
1972-10-25,0.1474,0.1474,0.1448,0.1461,1153498,0.1451,0.1527,0.1375
1972-10-26,0.1461,0.1479,0.1448,0.1456,1436813,0.1447,0.1514,0.138
1972-10-27,0.1456,0.1465,0.1439,0.1461,1325510,0.1444,0.1502,0.1387
1972-10-30,0.1461,0.1461,0.1439,0.1439,880301,0.1441,0.1492,0.139
1972-10-31,0.1448,0.147,0.1448,0.1456,3602150,0.144,0.149,0.1391
1972-11-01,0.1456,0.1483,0.1452,0.1474,3187296,0.1441,0.1491,0.1391
1972-11-02,0.1474,0.1528,0.1474,0.1528,3900643,0.1446,0.1508,0.1384
1972-11-03,0.1528,0.1599,0.1523,0.1599,2590310,0.1454,0.1546,0.1362
1972-11-06,0.1599,0.1599,0.1563,0.1567,2696554,0.1461,0.1565,0.1356
1972-11-08,0.1567,0.1585,0.1559,0.1572,3531322,0.1467,0.1582,0.1352
1972-11-09,0.1572,0.1581,0.155,0.1567,895478,0.1473,0.1596,0.135
1972-11-10,0.1567,0.1567,0.1514,0.1528,5236272,0.1478,0.1602,0.1354
1972-11-13,0.1528,0.1554,0.1519,0.1532,890419,0.1484,0.1606,0.1362
1972-11-14,0.1532,0.155,0.1505,0.1528,1360925,0.149,0.1607,0.1373
1972-11-15,0.1528,0.1536,0.1528,0.1528,5119910,0.1496,0.1609,0.1383
1972-11-16,0.1528,0.1532,0.1514,0.1528,3010224,0.1502,0.1606,0.1398
1972-11-17,0.1528,0.1545,0.1523,0.1528,4927661,0.1508,0.1603,0.1413
1972-11-20,0.1528,0.1536,0.1523,0.1528,1391280,0.1512,0.1603,0.1421
1972-11-21,0.1528,0.1528,0.1492,0.1496,1790957,0.1513,0.1603,0.1423
1972-11-22,0.1496,0.1536,0.1488,0.1519,3364368,0.1515,0.1604,0.1426
1972-11-24,0.1523,0.1545,0.1523,0.1532,1426694,0.1518,0.1604,0.1433
1972-11-27,0.1532,0.155,0.1532,0.1545,1178794,0.1523,0.1604,0.1441
1972-11-28,0.1553,0.1562,0.1535,0.1548,1517760,0.1527,0.1604,0.145
1972-11-29,0.1548,0.1557,0.1535,0.1548,1608826,0.1532,0.1597,0.1468
1972-11-30,0.1553,0.1575,0.1553,0.1562,1735306,0.1538,0.1593,0.1483
1972-12-01,0.1562,0.1584,0.1557,0.1571,1811194,0.1543,0.1591,0.1494
1972-12-04,0.1575,0.1588,0.1575,0.1588,1952851,0.1546,0.1597,0.1494
1972-12-05,0.1588,0.1606,0.158,0.1588,2595370,0.1545,0.1595,0.1495
1972-12-06,0.1588,0.1588,0.1575,0.1588,784176,0.1546,0.1599,0.1494
1972-12-07,0.1588,0.1602,0.158,0.1588,1679654,0.1547,0.1602,0.1492
1972-12-08,0.1588,0.1606,0.1588,0.1606,3248006,0.1549,0.1609,0.1489
1972-12-11,0.1606,0.162,0.1593,0.1611,2064154,0.1553,0.1618,0.1488
1972-12-12,0.1611,0.1615,0.1588,0.1588,2499245,0.1556,0.1622,0.149
1972-12-13,0.1588,0.1588,0.1571,0.1575,3440256,0.1558,0.1624,0.1493
1972-12-14,0.1575,0.1584,0.1571,0.1571,1578470,0.156,0.1624,0.1497
1972-12-15,0.1571,0.1571,0.1517,0.1526,8226259,0.156,0.1624,0.1496
1972-12-18,0.1526,0.153,0.1517,0.1522,1123142,0.156,0.1625,0.1495
1972-12-19,0.1522,0.1544,0.1508,0.1539,2175456,0.1561,0.1624,0.1497
1972-12-20,0.1539,0.1566,0.153,0.1535,1801075,0.1563,0.162,0.1505
1972-12-21,0.1535,0.1553,0.1522,0.1535,1062432,0.1563,0.1619,0.1508
1972-12-22,0.1535,0.1544,0.1522,0.1544,743702,0.1564,0.1618,0.151
1972-12-26,0.1544,0.1557,0.1535,0.1535,526157,0.1563,0.1619,0.1508
1972-12-27,0.1535,0.1553,0.153,0.153,1441872,0.1563,0.1619,0.1506
1972-12-29,0.153,0.1553,0.153,0.153,1386221,0.1562,0.162,0.1503
1973-01-02,0.1539,0.1566,0.1539,0.1557,1325510,0.1561,0.162,0.1503
1973-01-03,0.1557,0.1571,0.1548,0.1562,1603766,0.1561,0.1619,0.1503
1973-01-04,0.1562,0.158,0.1548,0.158,2322173,0.1561,0.1618,0.1503
1973-01-05,0.158,0.1602,0.1566,0.1588,2570074,0.1561,0.1618,0.1503
1973-01-08,0.1571,0.1571,0.1548,0.1553,1937674,0.1559,0.1615,0.1503
1973-01-09,0.1553,0.1566,0.1544,0.1553,1350806,0.1557,0.1611,0.1503
1973-01-10,0.1553,0.1584,0.1553,0.1571,2119805,0.1555,0.1605,0.1506
1973-01-11,0.1571,0.1597,0.1571,0.1593,2661139,0.1554,0.16,0.1509
1973-01-12,0.1593,0.1597,0.1553,0.1566,2944454,0.1553,0.1597,0.151
1973-01-15,0.1566,0.1588,0.1557,0.1571,2033798,0.1553,0.1596,0.151
1973-01-16,0.1571,0.1571,0.1553,0.1566,1153498,0.1553,0.1595,0.151
1973-01-17,0.1566,0.1566,0.1553,0.1566,1912378,0.1555,0.1596,0.1514
1973-01-18,0.1566,0.1584,0.1557,0.1566,1168675,0.1557,0.1595,0.1519
1973-01-19,0.1566,0.1571,0.1544,0.1562,2231107,0.1558,0.1595,0.1521
1973-01-22,0.1562,0.1575,0.1548,0.1548,2038858,0.1559,0.1595,0.1523
1973-01-23,0.1539,0.1539,0.1517,0.1535,2747146,0.1559,0.1595,0.1523
1973-01-24,0.1535,0.1548,0.1517,0.1522,2231107,0.1558,0.1597,0.1519
1973-01-26,0.1522,0.1522,0.1437,0.1468,3506026,0.1554,0.161,0.1499
1973-01-29,0.1468,0.1486,0.1468,0.1468,2018621,0.1551,0.1618,0.1484
1973-01-30,0.1468,0.149,0.1468,0.1472,2473949,0.1548,0.1624,0.1473
1973-01-31,0.1472,0.1495,0.1468,0.1495,1219267,0.1545,0.1624,0.1466
1973-02-01,0.1495,0.1517,0.149,0.149,3030461,0.1542,0.1624,0.146
1973-02-02,0.149,0.1495,0.1481,0.1481,1042195,0.1537,0.1621,0.1453
1973-02-05,0.1481,0.1495,0.1472,0.1472,1507642,0.1531,0.1616,0.1446
1973-02-06,0.1472,0.1486,0.145,0.1472,2620666,0.1527,0.1615,0.1439
1973-02-07,0.1472,0.1472,0.1428,0.1441,2605488,0.1521,0.1617,0.1426
1973-02-08,0.1441,0.1477,0.1437,0.1464,1472227,0.1516,0.1612,0.142
1973-02-09,0.1464,0.149,0.1464,0.1486,1735306,0.1511,0.16,0.1421
1973-02-12,0.1486,0.1508,0.1486,0.1495,3242947,0.1507,0.1593,0.1422
1973-02-13,0.1513,0.1571,0.1513,0.1526,4032182,0.1505,0.1586,0.1424
1973-02-14,0.1526,0.1535,0.1504,0.1504,1998384,0.1502,0.1577,0.1426
1973-02-15,0.1504,0.153,0.149,0.1522,2236166,0.1499,0.1569,0.143
1973-02-16,0.1522,0.1535,0.1508,0.1522,2322173,0.1497,0.1561,0.1434
1973-02-20,0.1526,0.1539,0.1526,0.153,1027018,0.1496,0.1554,0.1438
1973-02-21,0.153,0.1553,0.153,0.1544,1568352,0.1495,0.1553,0.1438
1973-02-22,0.1544,0.1553,0.1535,0.1553,1704950,0.1496,0.1557,0.1436
1973-02-23,0.1553,0.1562,0.1526,0.1535,2028739,0.1497,0.1559,0.1435
1973-02-26,0.1535,0.1535,0.1517,0.1526,2190634,0.15,0.1561,0.1438
1973-02-27,0.1526,0.1548,0.1517,0.1535,1674595,0.1503,0.1565,0.1442
1973-02-28,0.1541,0.1541,0.1496,0.1518,4189018,0.1506,0.1566,0.1446
1973-03-01,0.1518,0.1536,0.1509,0.1518,1563293,0.1507,0.1567,0.1447
1973-03-02,0.1518,0.1527,0.15,0.1514,2048976,0.1508,0.1567,0.1448
1973-03-05,0.1514,0.1527,0.1487,0.1509,2878685,0.1509,0.1568,0.1451
1973-03-06,0.1509,0.1523,0.1505,0.1514,3116467,0.1511,0.1567,0.1456
1973-03-07,0.1514,0.1545,0.1514,0.1545,3708394,0.1515,0.1569,0.1461
1973-03-08,0.155,0.1568,0.155,0.1563,4421741,0.1521,0.1567,0.1475
1973-03-09,0.1563,0.1572,0.1554,0.1572,3860170,0.1527,0.157,0.1483
1973-03-12,0.1568,0.1568,0.1541,0.1554,1239504,0.153,0.157,0.1489
1973-03-13,0.1554,0.1563,0.1532,0.155,3030461,0.1533,0.157,0.1495
1973-03-14,0.155,0.1559,0.1541,0.1545,2600429,0.1534,0.1572,0.1496
1973-03-15,0.1545,0.1545,0.1523,0.1532,849946,0.1535,0.157,0.15
1973-03-16,0.1532,0.1554,0.1518,0.1545,2210870,0.1536,0.1571,0.1501
1973-03-19,0.1545,0.1545,0.1527,0.1532,971366,0.1537,0.1571,0.1502
1973-03-20,0.1532,0.155,0.1527,0.1532,1421635,0.1537,0.1571,0.1502
1973-03-21,0.1532,0.1541,0.1496,0.1496,4103011,0.1534,0.1573,0.1496
1973-03-22,0.1487,0.1487,0.1424,0.1429,4725293,0.1528,0.1588,0.1468
1973-03-23,0.1429,0.1433,0.1379,0.1415,4183958,0.1522,0.1601,0.1444
1973-03-26,0.142,0.146,0.142,0.1438,2868566,0.1518,0.1605,0.1431
1973-03-27,0.1447,0.1518,0.1447,0.1514,2580192,0.1517,0.1603,0.143
1973-03-28,0.1514,0.1536,0.1491,0.1518,1629062,0.1517,0.1603,0.143
1973-03-29,0.1518,0.1527,0.1505,0.1509,1158557,0.1516,0.1603,0.143
1973-03-30,0.1509,0.1514,0.1469,0.1478,1360925,0.1514,0.1603,0.1426
1973-04-02,0.1478,0.1491,0.1442,0.1442,591926,0.1511,0.1605,0.1417
1973-04-03,0.1442,0.1447,0.1397,0.1438,3202474,0.1507,0.1607,0.1408
1973-04-04,0.1438,0.1451,0.1433,0.1447,1118083,0.1502,0.1604,0.1401
1973-04-05,0.1442,0.1442,0.1402,0.1406,1942733,0.1495,0.16,0.1389
1973-04-06,0.1406,0.1438,0.1397,0.1429,2261462,0.1487,0.159,0.1384
1973-04-09,0.1429,0.1451,0.1415,0.1438,2954573,0.1482,0.1582,0.1381
1973-04-10,0.1438,0.1473,0.1433,0.1469,4330675,0.1478,0.1573,0.1382
1973-04-11,0.1469,0.1496,0.1451,0.1465,3758986,0.1473,0.1563,0.1384
1973-04-12,0.1465,0.1478,0.1456,0.1465,1219267,0.147,0.1556,0.1385
1973-04-13,0.1465,0.1469,0.1442,0.1465,1107965,0.1466,0.1544,0.1388
1973-04-16,0.1465,0.1487,0.1465,0.1465,1897200,0.1463,0.1534,0.1391
1973-04-17,0.1465,0.1473,0.1451,0.1451,1371043,0.1459,0.1523,0.1395
1973-04-18,0.1451,0.1465,0.1447,0.146,1441872,0.1457,0.1518,0.1395
1973-04-19,0.146,0.1482,0.1456,0.146,3364368,0.1458,0.1518,0.1398
1973-04-23,0.146,0.1469,0.1442,0.1465,2069213,0.1461,0.1517,0.1404
1973-04-24,0.1456,0.1456,0.1438,0.1442,3870288,0.1461,0.1517,0.1405
1973-04-25,0.1442,0.1442,0.1424,0.1429,1087728,0.1457,0.1509,0.1405
1973-04-26,0.1411,0.1411,0.1388,0.1402,2696554,0.1451,0.15,0.1402
1973-04-27,0.1402,0.1415,0.1393,0.1411,1725187,0.1446,0.149,0.1402
