Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
1962-01-02,0.245,0.2483,0.245,0.2463,192000,0.2463,,
1962-01-03,0.2463,0.2463,0.2416,0.2436,428800,0.245,0.2488,0.2411
1962-01-04,0.2436,0.2443,0.2396,0.2396,326400,0.2432,0.2499,0.2364
1962-01-05,0.2396,0.2402,0.2349,0.2379,544000,0.2418,0.2495,0.2342
1962-01-08,0.2365,0.2365,0.2288,0.2315,1523200,0.2398,0.2512,0.2284
1962-01-09,0.2315,0.2349,0.2302,0.2312,499200,0.2383,0.2507,0.226
1962-01-10,0.2312,0.2335,0.2298,0.2318,300800,0.2374,0.2497,0.2251
1962-01-11,0.2318,0.2335,0.2315,0.2315,371200,0.2367,0.2488,0.2245
1962-01-12,0.2315,0.2349,0.2315,0.2328,390400,0.2362,0.2479,0.2246
1962-01-15,0.2328,0.2335,0.2302,0.2315,281600,0.2358,0.2472,0.2244
1962-01-16,0.2325,0.2339,0.2312,0.2325,236800,0.2355,0.2464,0.2245
1962-01-17,0.2325,0.2328,0.2244,0.2244,377600,0.2346,0.2468,0.2223
1962-01-18,0.2244,0.2254,0.2237,0.2254,544000,0.2338,0.2466,0.2211
1962-01-19,0.2254,0.2268,0.2247,0.2254,697600,0.2332,0.2463,0.2202
1962-01-22,0.2254,0.2271,0.2244,0.2258,646400,0.2327,0.2459,0.2196
1962-01-23,0.2258,0.2268,0.2251,0.2254,332800,0.2323,0.2455,0.219
1962-01-24,0.2254,0.2258,0.2224,0.2234,422400,0.2318,0.2453,0.2182
1962-01-25,0.2234,0.2258,0.2224,0.2244,294400,0.2314,0.2449,0.2178
1962-01-26,0.2244,0.2254,0.2224,0.2224,230400,0.2309,0.2447,0.217
1962-01-29,0.2224,0.2237,0.2217,0.2217,313600,0.2304,0.2445,0.2163
1962-01-30,0.2217,0.223,0.2197,0.2217,294400,0.2292,0.2416,0.2167
1962-01-31,0.223,0.2258,0.223,0.2237,422400,0.2282,0.2388,0.2176
1962-02-01,0.2237,0.2258,0.2237,0.2244,435200,0.2274,0.2367,0.2181
1962-02-02,0.2244,0.2258,0.2237,0.2251,595200,0.2268,0.2347,0.2189
1962-02-05,0.2244,0.2244,0.2224,0.2237,396800,0.2264,0.2341,0.2187
1962-02-06,0.2237,0.2237,0.2217,0.2234,249600,0.226,0.2335,0.2185
1962-02-07,0.2234,0.2237,0.2224,0.2234,268800,0.2256,0.2327,0.2185
1962-02-08,0.2234,0.2237,0.221,0.2217,403200,0.2251,0.2318,0.2184
1962-02-09,0.2217,0.2227,0.2207,0.2207,396800,0.2245,0.2304,0.2186
1962-02-12,0.2207,0.2214,0.2207,0.2214,134400,0.224,0.229,0.2189
1962-02-13,0.2214,0.222,0.2207,0.2207,345600,0.2234,0.2267,0.2201
1962-02-14,0.2207,0.2214,0.2193,0.2207,422400,0.2232,0.2267,0.2197
1962-02-15,0.2207,0.2214,0.2203,0.2214,281600,0.223,0.2264,0.2196
1962-02-16,0.2214,0.2214,0.2193,0.2203,486400,0.2228,0.2262,0.2193
1962-02-19,0.2203,0.2203,0.219,0.219,281600,0.2224,0.2259,0.2189
1962-02-20,0.219,0.219,0.2173,0.218,460800,0.2221,0.2258,0.2183
1962-02-21,0.2176,0.2176,0.2143,0.2163,531200,0.2217,0.2262,0.2172
1962-02-23,0.2163,0.2183,0.2156,0.2163,332800,0.2213,0.2262,0.2164
1962-02-26,0.2163,0.2173,0.2153,0.2153,326400,0.2209,0.2265,0.2154
1962-02-27,0.2153,0.2163,0.2143,0.2156,480000,0.2206,0.2267,0.2146
1962-02-28,0.2156,0.2163,0.2143,0.2149,326400,0.2203,0.2268,0.2138
1962-03-01,0.216,0.217,0.216,0.217,268800,0.22,0.2264,0.2135
1962-03-02,0.217,0.217,0.2146,0.2153,313600,0.2195,0.2259,0.2131
1962-03-05,0.2153,0.2163,0.2146,0.2156,198400,0.219,0.2251,0.2129
1962-03-06,0.2156,0.217,0.2139,0.2163,294400,0.2187,0.2244,0.2129
1962-03-07,0.2163,0.217,0.2153,0.2163,275200,0.2183,0.2237,0.2129
1962-03-08,0.2166,0.219,0.2166,0.219,390400,0.2181,0.223,0.2132
1962-03-09,0.2193,0.2203,0.2193,0.22,358400,0.218,0.2227,0.2133
1962-03-12,0.22,0.221,0.2197,0.221,332800,0.218,0.2227,0.2133
1962-03-13,0.2214,0.2237,0.2214,0.2224,473600,0.2181,0.223,0.2132
1962-03-14,0.223,0.2268,0.223,0.2268,480000,0.2184,0.2245,0.2122
