Fecha,PrecioApertura,PrecioMaximo,PrecioMinimo,PrecioCierre,Volumen,SMA_20,Banda_Superior,Banda_Inferior
2015-07-06,37.7979,39.5386,35.8086,36.5148,5866600,36.5148,,
2015-07-07,37.5194,37.6089,35.8086,36.4253,7359000,36.47,36.5966,36.3434
2015-07-08,36.1467,36.1666,34.3464,34.5155,5387700,35.8185,38.0772,33.5598
2015-07-09,34.9133,35.3311,33.8092,34.3165,3760100,35.443,37.8215,33.0646
2015-07-10,34.4757,35.0029,33.7993,34.5055,4472800,35.2555,37.4794,33.0316
2015-07-13,35.4007,37.3006,35.3112,36.5844,7626000,35.477,37.7428,33.2112
2015-07-14,36.7933,37.5393,36.4054,36.7336,4653300,35.6565,37.9326,33.3804
2015-07-15,37.778,37.9969,36.8331,37.3105,13072800,35.8633,38.2733,33.4532
2015-07-16,38.6136,39.7574,37.8775,38.4246,21348500,36.1478,38.9759,33.3198
2015-07-17,39.2104,39.9862,37.977,38.1858,45720200,36.3516,39.3132,33.3901
2015-07-20,41.2395,42.3237,39.5883,40.2548,52286500,36.7065,40.3717,33.0413
2015-07-21,40.8615,40.8914,38.912,39.1407,32954600,36.9093,40.676,33.1427
2015-07-22,39.1407,39.5088,37.8974,38.1858,25363900,37.0075,40.6827,33.3324
2015-07-23,38.534,38.5439,36.7336,36.8132,19250200,36.9936,40.5261,33.4612
2015-07-24,37.5095,37.7979,36.7137,36.8032,14274300,36.9809,40.3863,33.5755
2015-07-27,36.5844,37.1812,36.0274,36.1965,16179900,36.9319,40.2451,33.6187
2015-07-28,36.9922,37.7979,36.6341,37.4,18986000,36.9595,40.1755,33.7434
2015-07-29,37.8278,37.8974,37.4199,37.7482,11788400,37.0033,40.1454,33.8612
2015-07-30,37.8377,38.8025,37.5144,38.2455,13845100,37.0687,40.175,33.9623
2015-07-31,38.9319,38.9915,38.0167,38.4942,12480600,37.1399,40.2299,34.05
2015-08-03,39.0413,39.6679,38.6931,39.1805,15126600,37.2732,40.4775,34.069
2015-08-04,39.6978,39.6978,38.2256,38.7429,10992200,37.3891,40.6316,34.1466
2015-08-05,39.4889,39.6679,38.9617,39.0612,9463100,37.6164,40.6407,34.592
2015-08-06,39.4192,39.5287,38.345,38.6434,7324100,37.8327,40.4556,35.2099
2015-08-07,38.8324,39.0214,38.3947,38.9219,8331300,38.0535,40.1967,35.9104
2015-08-10,39.2203,39.4789,38.5638,38.8423,7998900,38.1664,40.2197,36.1132
2015-08-11,38.723,39.0711,38.5141,38.6434,8184000,38.2619,40.2096,36.3143
2015-08-12,38.345,38.3748,36.8132,37.9869,21350600,38.2958,40.1968,36.3947
